Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
I M Gates Curse handwritten on stationary						Munroe family	Documents					1 manuscript			University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015								http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150008860001001	Text		image/tiff				105233060 Bytes	6630	5087	690857263	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150008860001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/13	13	220.jp2	/asm0015/image/220.jp2
Chowder party at Cape Fla.					Written on verso: "B.B.Y. Club Chowder Party - Cape Fla."	Munroe family	Photographs				Cape Florida (Key Biscayne, Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 6			jrn; ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150002120001001	Image		image/tiff				38141444 Bytes	3992	2866	3225338344	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150002120001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/14	14	196.jp2	/asm0015/image/196.jp2
Bimini landing					Written on verso: "Wabun V. Gilpin"; "Bimini landing - just a reminder of that proposed fleet cruise!"	Bimini Islands (Bahamas); Munroe family	Photographs				Bimini (Bahamas)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 10			ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150003750001001	Image		image/tiff				29751080 Bytes	3838	2582	833904480	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150003750001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/15	15	76.jp2	/asm0015/image/76.jp2
Coconut palm tree and three men						Coconut palm; Munroe family	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box 22			ccg; jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150011210001001	Image		image/tiff				21416812 Bytes	2392	2981	2971978001	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150011210001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/16	16	685.jp2	/asm0015/image/685.jp2
Description of largest elm in U.S.A.						Munroe family	Documents		1916	1910-1920		1 handwritten note	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015					cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150008530001001	Text		image/tiff				11981908 Bytes	2344	1703	3921978779	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150008530001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/17	17	660.jp2	/asm0015/image/660.jp2
Jessie Wirth Munroe, Susie Wirth Benton, Nellie Wirth Fowler, and Sarah Josephine Wirth					Written on verso: "Jessie Wirth Munroe, Susie Wirth Benton, Nellie Wirth Fowler, Sarah Josephine Wirth"	Portrait photography; Munroe family	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 13			jrn	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150004550001001	Image		image/tiff				13334052 Bytes	2684	1653	2041111560	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150004550001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/18	18	862.jp2	/asm0015/image/862.jp2
Blue tinted photo of ship					Written on verso: "337"	Barks (Sailing ships); Oceans; Munroe family	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 11			jrn; ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150004270001001	Image		image/tiff				15502812 Bytes	2248	2295	54694569	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150004270001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/19	19	214.jp2	/asm0015/image/214.jp2
An old wreck near Palm Beach					Printed on front: "West Palm Beach, Fla.  The Old Wreck Near Palm Beach."; printed on verso: "postcard"; written on verso: "at Hypoluxo"	Barks (Sailing ships); Beaches; Munroe family	Postcards				West Palm Beach (Florida)	1 postcard	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 11			ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150004120001001	Image		image/tiff				20095516 Bytes	2060	3248	3351013442	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150004120001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/20	20	784.jp2	/asm0015/image/784.jp2
Proa					Written on verso: "11 - 61"	Munroe family; Boats and boating; Oceans	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 2; Folder No.7			ccg; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150002600001001	Image		image/tiff				13108752 Bytes	2381	1832	2176532036	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150002600001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/21	21	819.jp2	/asm0015/image/819.jp2
Kingfishing					Written on front: "Kingfishing"; written on verso: "12"	Boats and boating; Munroe family	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No.9			ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150003090001001	Image		image/tiff				18915928 Bytes	2846	2213	269783791	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150003090001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/22	22	957.jp2	/asm0015/image/957.jp2
Along the shore at Great Kills					Written on verso: "Along the shore at Great Kills Staten Island N.Y."	Munroe family	Photographs				Staten Island (New York)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 15			jrn	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150005780001001	Image		image/tiff				73531144 Bytes	5956	4114	2195026480	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150005780001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/23	23	630.jp2	/asm0015/image/630.jp2
Crocodile					Written on front: "Crocodile; written on verso: "Wirth Munroe"	Crocodiles; Wharves; Munroe family	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 2			ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150000610001001	Image		image/tiff				81029636 Bytes	5966	4526	1696522389	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150000610001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/24	24	447.jp2	/asm0015/image/447.jp2
Remains of the wreck of Ingrid on Cape Florida					Written on verso: "Ingrid  Wreck At Cape Fla 1886", "Still There 1913  Still There 1921"	Munroe family; Boats and boating	Photographs		1886	1880-1890	Cape Florida (Key Biscayne, Florida)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 11			ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150004340001001	Image		image/tiff				26219096 Bytes	3634	2403	2112351905	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150004340001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/25	25	982.jp2	/asm0015/image/982.jp2
The Volunteer					Written on front: "Volunteer". Printed on front: "T.A. Hine Photo"	Munroe family; Boats and boating; Oceans	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 8			ccg; cme	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150002860001001	Image		image/tiff				70523648 Bytes	4304	5460	3557734975	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150002860001001.tif		2009-10-22	2010-11-10	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/26	26	518.jp2	/asm0015/image/518.jp2
Salvage tug, Relief					Printed on boat in photo: "Relief"; printed on front: "Compliments of Merritt & Chapman Derrick & Wrecking Co. New York."; written on verso: "12"	Munroe family; Steamboats	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No.9			ccg ; jrn	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150003060001001	Image		image/tiff				37094472 Bytes	4172	2962	4222845918	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150003060001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/27	27	525.jp2	/asm0015/image/525.jp2
Plantation on St. Catherine's Island					Written on front mat: "25";  written on verso: "St. Catherine's Isl. Plantation"	Munroe family; Saint Catherines Island (Georgia) -- History	Photographs				St. Catherines Island (Georgia)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 5			jrn; ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150001810001001	Image		image/tiff				42257160 Bytes	3876	3270	3599894839	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150001810001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/28	28	984.jp2	/asm0015/image/984.jp2
Lois Pool					Written on verso: "Lois Pool", "Return To Wirth Munroe" , "#26"	Portrait photography; Munroe family	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 14			ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150005150001001	Image		image/tiff				8028364 Bytes	1411	1891	158488076	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150005150001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/29	29	30.jp2	/asm0015/image/30.jp2
Manchester					Written on front: "Manchester"	Coasts; Munroe family	Photographs					1 photograph			University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 19			ccg; cme	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150006880001001	Image		image/tiff				74680072 Bytes	5988	4156	1233899323	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150006880001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/30	30	205.jp2	/asm0015/image/205.jp2
Patty Munroe at five months					Written on verso: "Patty Munroe"	Munroe family; Munroe, Patty; Portrait photography	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box 22			ccg; jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150010880001001	Image		image/tiff				10645748 Bytes	1486	2383	599737433	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150010880001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/31	31	416.jp2	/asm0015/image/416.jp2
Steamer ashore					Written on verso: "Steamer ashore"	Munroe family; Boats and boating; Steamboats; Oceans	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 11			jrn; ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150004260001001	Image		image/tiff				20786848 Bytes	2954	2343	549018113	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150004260001001.tif		2009-10-22	2010-11-10	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/32	32	999.jp2	/asm0015/image/999.jp2
The Towboat Bee					On verso: "Towboat Bee Built By Brown Tottenville Flalen Island"	Munroe family; Boats and boating; Oceans	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No.8			ccg; cme	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150002810001001	Image		image/tiff				36859132 Bytes	5010	2451	3937210588	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150002810001001.tif		2009-10-22	2010-11-10	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/33	33	312.jp2	/asm0015/image/312.jp2
Watermark paper							Paper		1926-12-21	1920-1930		1 leaf watermark paper	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015					ccg; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150007070001001	Image		image/tiff				72766536 Bytes	4656	5208	3785871284	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150007070001001.tif		2009-10-22	2010-07-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/34	34	671.jp2	/asm0015/image/671.jp2
Off Newport in August					Written on front: "(2) Photos", "Newport Aug. 1886"	Boats and boating; Harbors; Munroe family	Photographs		1886	1880-1890		1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No.9			ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150003140001001	Image		image/tiff				67533172 Bytes	5381	4182	3282907958	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150003140001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/35	35	914.jp2	/asm0015/image/914.jp2
Deed Ralph Munroe Jessie Munroe						Munroe, Ralph, 1851-1933; Munroe family	Documents					1 typescript			University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015								http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150008780001001	Text		image/tiff				104427781 Bytes	5088	6578	893035066	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150008780001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/36	36	270.jp2	/asm0015/image/270.jp2
Breezy Knoll from the shore line					Written on front: "Shore At Breezy Knoll Staten Island" ; Written on verso: "Pavillion House Great Kills Staten Island"	Munroe family	Photographs				Staten Island (New York)	1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 15			jrn	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150005720001001	Image		image/tiff				41958008 Bytes	4996	2798	2743544025	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150005720001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/37	37	870.jp2	/asm0015/image/870.jp2
Cathedral						Cathedrals -- Pictorial works; Munroe family	Photographs					1 b&w photograph			University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 18			ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150006590001001	Image		image/tiff				70309376 Bytes	4294	5456	3993431010	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150006590001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/38	38	744.jp2	/asm0015/image/744.jp2
Arizona					Written on front: "Arizona"; written on verso: "27"	Oceans; Steamboats; Oceans; Munroe family	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No.9			ccg	Reviewed items		http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150003130001001	Image		image/tiff				59147276 Bytes	5082	3878	3093751248	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150003130001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/39	39	243.jp2	/asm0015/image/243.jp2
Savanilla					Written on front: "Lampasas [?]", "93"  Written on verso: "Savanilla"	Munroe family; Boats and boating	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box No. 2; Folder No.7			ccg; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150002420001001	Image		image/tiff				32644704 Bytes	3627	2998	2779876759	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150002420001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/40	40	468.jp2	/asm0015/image/468.jp2
Egret					Printed on front: "The Egret" by Phil Capen"  Printed on non-photographic paper	Boats and boating; Sailing; Munroe family	Photographs					1 b&w photograph	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015		Box 22			ccg; jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150010860001001	Image		image/tiff				19736172 Bytes	2936	2238	3785551440	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150010860001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/41	41	507.jp2	/asm0015/image/507.jp2
Ralph Munroe and others					Written on verso: "Ralph Munroe On Left 1917"	Munroe family; Munroe, Ralph, 1851-1933; Portrait photography	Photographs		1917	1910-1920			eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015					ccg; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150009480001001	Image		image/tiff				22339044 Bytes	2137		1049152147	RGB	3481	600 Pixels Per Inch	asm00150009480001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/42	42	761.jp2	/asm0015/image/761.jp2
Note compliments of John B. Semple explaining the origins of a knife handle		Semple, John B.				Notes; Knives; Munroe family	Documents		1923-09-10	1920-1930		1 typewritten leaf	eng		University of Miami Libraries. Special Collections	Ralph M. Munroe Family Papers	ASM0015					sr			http://merrick.library.miami.edu/digitalprojects/copyright.html			asm00150009730001001	Text		image/tiff				26065610 Bytes	4158	2089	2297949293	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm00150009730001001.tif		2009-10-22	2013-05-08	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0015/id/43	43	305.jp2	/asm0015/image/305.jp2
