Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Upload ID	Full Text	Type	Date Digital	Hardware	Software	Directory	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Cuban family arriving in Miami						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 44; Folder No. 78; Folder title: Cuban Refugee Center C. R. Resettlement Program: HIAS; Folder date: 1962-1971				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000150001001			Image					image/tiff	3053.815 KB	3103	2421	0xB97E11E	RGB	24-bit color	600 dpi	02180000150001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/11	11	15.jp2	/chc0218/image/15.jp2
People waiting at the Cuban Refugee Center						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218						axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000170001001			Image					image/tiff	2110.535 KB	3041	2359	0xBD878823	RGB	24-bit color	600 dpi	02180000170001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/12	12	17.jp2	/chc0218/image/17.jp2
Cuban refugees attending a Dade County Schools' English class					Picture from the files of the U.S. Cuban Refugee Center	Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1965?	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 42; Folder No. 17; Folder Title: Nine points; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000190001001			Image					image/tiff	10972.298 KB	5979	4159	0xC88CEC36	RGB	24-bit color	600 dpi	02180000190001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/13	13	19.jp2	/chc0218/image/19.jp2
Cuban mother with daughters						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1968	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 43; Folder No. 46; Folder Title: Resettlements 1968; Folder Date: 1968				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000090001001			Image					image/tiff	1646.598 KB	2503	2069	0x9F100A5	RGB	24-bit color	600 dpi	02180000090001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/14	14	9.jp2	/chc0218/image/9.jp2
Giveaway of Junior Red Cross Friendship boxes						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 58; Folder No. 381; Folder Title: American Red Cross: Junior Friendship Boxes; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000280001001			Image					image/tiff	7927.905 KB	4883	5421	0xC98DEF76	RGB	24-bit color	600 dpi	02180000280001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/15	15	28.jp2	/chc0218/image/28.jp2
Cuban family at the Refugee Center						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1965?	1960-1970	Miami (Florida)	1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 44;  Folder No. 63;  Folder Title: Volags: Church World Services, family resettled.;  Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000530001001			Image					image/tiff	10303.555 KB	6124	4945	0x7EEEECEC	RGB	24-bit color	600 dpi	02180000530001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/16	16	51.jp2	/chc0218/image/51.jp2
Hernández family						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1964-03	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 43; Folder No. 30; Folder Title: Refugees pointing at a map; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000010001001			Image					image/tiff	1918.859 KB	2441	1966	0x182082D7	RGB	24-bit color	600 dpi	02180000010001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/17	17	1.jp2	/chc0218/image/1.jp2
Children attending bilingual education program						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1965?	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 45; Folder No. 94; Folder Title: Children’s bilingual program: Riverside Elementary; Folder date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000490001001			Image					image/tiff	8399.1 KB	6145	4945	0xD3B4394B	RGB	24-bit color	600 dpi	02180000490001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/18	18	47.jp2	/chc0218/image/47.jp2
Crowded waiting room						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 49; Folder No. 186; Folder Title: Registration: Waiting scenes; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000680001001			Image					image/tiff	11105.892 KB	6000	4862	0x443ED5EC	RGB	24-bit color	600 dpi	02180000680001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/19	19	65.jp2	/chc0218/image/65.jp2
Hernández family					Fernando Hernández (age 25), his wife and daughter, were resettled in Los Angeles through plans made by Catholic Relief Services, one of the four voluntary agencies in resettlement work coordinated by HEW at the Cuban Refugee Center. (Created in 1953, HEW is the U.S. Department of Health, Education, and Welfare)  Picture from the files of the U.S. Cuban Refugee Center, Miami.	Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 43; Folder No. 30; Folder Title: Refugees pointing at a map; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000270001001			Image					image/tiff	10635.22 KB	6021	4862	0x721A2AA3	RGB	24-bit color	600 dpi	02180000270001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/20	20	27.jp2	/chc0218/image/27.jp2
Cuban family being registered at the Cuban Refugee Center					Picture from the files of the U.S. Cuban Refugee Center, Miami.	Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1962	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 49; Folder No. 192; Folder Title: Interviews: Family interviewing scenes.; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000240001001			Image					image/tiff	7391.695 KB	6021	4883	0xDE044EB7	RGB	24-bit color	600 dpi	02180000240001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/21	21	24.jp2	/chc0218/image/24.jp2
People waiting outside the Cuban Refugee Center					Picture from the files of the U.S. Refugee Center, Miami.	Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph	spa; eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 49; Folder No. 182; Folder Title: Registration: waiting line (c.2); Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000260001001			Image					image/tiff	10468.459 KB	6021	4345	0xA5933218	RGB	24-bit color	600 dpi	02180000260001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/22	22	26.jp2	/chc0218/image/26.jp2
Nurse listening to baby's back						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 42; Folder No. 17; Folder Title: Nine points; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000700001001			Image					image/tiff	13039.374 KB	6000	4862	0x7B84D214	RGB	24-bit color	600 dpi	02180000700001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/23	23	67.jp2	/chc0218/image/67.jp2
U.S. Coast Guard crewmen aid a refugee						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1965	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 42; Folder No. 8; Folder Title: Boatlift (Camarioca) 1965; Folder Date: 1965				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000460001001			Image					image/tiff	5496.417 KB	4986	6124	0x922BD709	RGB	24-bit color	600 dpi	02180000460001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/24	24	44.jp2	/chc0218/image/44.jp2
Line outside the Cuban Refugee Center						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 49; Folder No. 181; Folder Title: Registration and Interviews; Folder Date: 1961 - 1962				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000780001001			Image					image/tiff	7199.757 KB	6021	4862	0x7D15C0C3	RGB	24-bit color	600 dpi	02180000780001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/25	25	75.jp2	/chc0218/image/75.jp2
Perdón, pero está completamente repleto...	Sorry, we hit total capacity...	Silvio				Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Cartoons (commentary)		1968-08	1960-1970	Miami (Florida)	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Folder Title: OPS - Photos				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc02180000300001001			Image					image/tiff	10436.998 KB	2938	4862	0xBB2F1C4D	RGB	24-bit color	600 dpi	02180000300001001.tif		2008-11-29	2013-03-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/26	26	30.jp2	/chc0218/image/30.jp2
Man at the entrance of the Freedom House						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 46; Folder No. 129; Folder Title: Freedom House: Building; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000580001001			Image					image/tiff	12785.801 KB	6041	4883	0xE6AFB376	RGB	24-bit color	600 dpi	02180000580001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/27	27	56.jp2	/chc0218/image/56.jp2
Sponsor Cuban refugees... fulfill their faith in freedom				Flier encouraging people to sponsor Cuban Refugees.		Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Promotional materials				Miami (Florida)	1 leaf	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218						axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html 		chc02180000650001001			Image					image/tiff	36472.405 KB	5152	6600	0x25ECED86	RGB	24-bit color	600 dpi	02180000650001001.tif		2008-11-29	2013-06-07	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/28	28	62.jp2	/chc0218/image/62.jp2
Cuban couple with children						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1968	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 43; Folder No. 46; Folder Title: Resettlements 1968; Folder Date: 1968				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000110001001			Image					image/tiff	1891.46 KB	2503	2069	0x39CFEB2F	RGB	24-bit color	600 dpi	02180000110001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/29	29	11.jp2	/chc0218/image/11.jp2
Cubans awaiting consultation at a voluntary resettlement agency					Sign on back wall reads: "Bienvenidos a los Estados Unidos. Comité de Rescate Internacional"  Photo from the file of the U.S. Cuban Refugee Center, Miami	Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 42; Folder No. 17; Folder Title: Nine Points; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000430001001			Image					image/tiff	11128.606 KB	6000	4821	0x5D6DA487	RGB	24-bit color	600 dpi	02180000430001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/30	30	42.jp2	/chc0218/image/42.jp2
Little girl carrying a puppy		Coya, Albert				Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 48; Folder No. 154; Folder title: CRC: Medical Dispensary Waiting Room				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000590001001			Image					image/tiff	455.784 KB	1353	1287	0xE546E6A7	RGB	24-bit color	600 dpi	02180000590001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/31	31	57.jp2	/chc0218/image/57.jp2
Group of people getting off Freedom Flight					From December 1, 1965 to April 6, 1973, Cuban families were reunited in the U.S. by an agreement made between the United States and Cuba. Airplanes traveled twice daily between Miami and Camarioca.	Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1966?	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 52; Folder No. 230; Folder Title: Personalities: Nugent, Randolph, Rev. 1970; Folder Date: 1970				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000230001001			Image					image/tiff	5354.278 KB	6021	4883	0x2765076B	RGB	24-bit color	600 dpi	02180000230001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/32	32	23.jp2	/chc0218/image/23.jp2
Cheung family					From left to right: Rosa Cheung; Rosita Cheung; Sergio Cheung, Jr.; Sergio Cheung, Sr. and Onilda Cheung.	Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1964-08	1960-1970	Olympia (Washington)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 43; Folder No. 37; Folder Title: C. R. Resettlements Program: Resettlement 2; Folder date: 1964				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000710001001			Image					image/tiff	7241.938 KB	6021	4862	0xB2081558	RGB	24-bit color	600 dpi	02180000710001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/33	33	68.jp2	/chc0218/image/68.jp2
Cuban refugees with representatives of the U.S. Catholic Conference						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1963?	1960-1970	Miami (Florida)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 44; Folder No. 83; Folder Title: Volags: United States Catholic Conference, interviews; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000210001001			Image					image/tiff	8351.159 KB	6021	4800	0xA4855513	RGB	24-bit color	600 dpi	02180000210001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/34	34	21.jp2	/chc0218/image/21.jp2
Cuban dentist treating a young patient						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 54; Folder No. 279; Folder Title: Dentists at work, 1965; Folder Date: 1965				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000630001001			Image					image/tiff	15557.75 KB	4883	6000	0xE5A43F87	RGB	24-bit color	600 dpi	02180000630001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/35	35	61.jp2	/chc0218/image/61.jp2
Your opportunity to help worthy Cubans help themselves -- and to aid the cause of freedom everywhere				Flier encouraging people to sponsor Cuban Refugees		Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Promotional materials				Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218						axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html 		chc02180000660001001			Image					image/tiff	28591.097 KB	5152	6600	0x93006A6E	RGB	24-bit color	600 dpi	02180000660001001.tif		2008-11-29	2013-06-07	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/36	36	63.jp2	/chc0218/image/63.jp2
Representative of United HIAS Service interviewing a Cuban family						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1962	1960-1970	Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 44; Folder No. 79; Folder Title: Volags: United H.I.A.S. Service, interviews; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000520001001			Image					image/tiff	5767.253 KB	6103	4966	0x66BD0F3B	RGB	24-bit color	600 dpi	02180000520001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/37	37	50.jp2	/chc0218/image/50.jp2
Man after being rescued at sea by the U.S. Coast Guard						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs		1965	1960-1970	Miami (Florida)	1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 42; Folder No. 8; Folder Title: Boatlift (Camarioca) 1965; Folder Date: 1965				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000470001001			Image					image/tiff	5235.177 KB	5028	6083	0x30ADC466	RGB	24-bit color	600 dpi	02180000470001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/38	38	45.jp2	/chc0218/image/45.jp2
Group of people in front of Ozark airplane, N4216						Cubans -- United States; Refugees -- United States; Refugees -- Cuba	Photographs				Miami (Florida)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection	Cuban Refugee Center Records	CHC0218		Box No. 43; Folder No. 50; Folder Title: Resettlements in Illinois; Folder Date: n.d.				axr; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html   		chc02180000440001001			Image					image/tiff	6111.038 KB	6062	4883	0xB92E901A	RGB	24-bit color	600 dpi	02180000440001001.tif		2008-11-29	2010-12-10	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0218/id/39	39	43.jp2	/chc0218/image/43.jp2
