Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																Alan Crockwell Collection	ASM0447									asm0447000028		asm04470000280001001			Image				51027732 Bytes	3326	5114	180573662	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000280001001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/10	10	11.jp2	/asm0447/image/11.jp2
Page 2																Alan Crockwell Collection	ASM0447									asm0447000028		asm04470000280002001			Image				51441966 Bytes	3353	5114	2087243801	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000280002001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/11	11	12.jp2	/asm0447/image/12.jp2
Patty Munroe letter to Mrs. Gilpin, January 12, 1912		Munroe, Patty				Munroe, Patty; Letters	Correspondence		1912-01-12	1910-1920		1 letter; 2 pages	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 1; Folder No. 6						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0447000028		asm0447000028	Text	0000-00-00	image/tiff													2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/12	12	13.cpd	/asm0447/image/13.cpd
Page 1																Alan Crockwell Collection	ASM0447									asm0447000023		asm04470000230001001			Image				32513760 Bytes	3065	3536	2684374340	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000230001001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/13	13	14.jp2	/asm0447/image/14.jp2
Page 2																Alan Crockwell Collection	ASM0447									asm0447000023		asm04470000230002001			Image				32513760 Bytes	3065	3536	3666174483	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000230002001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/14	14	15.jp2	/asm0447/image/15.jp2
Page 3																Alan Crockwell Collection	ASM0447									asm0447000023		asm04470000230003001			Image				32513760 Bytes	3065	3536	3601146822	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000230003001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/15	15	16.jp2	/asm0447/image/16.jp2
Page 4																Alan Crockwell Collection	ASM0447									asm0447000023		asm04470000230004001			Image				32412873 Bytes	3079	3509	2612761019	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000230004001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/16	16	17.jp2	/asm0447/image/17.jp2
Page 5																Alan Crockwell Collection	ASM0447									asm0447000023		asm04470000230005001			Image				32237952 Bytes	3039	3536	3116026834	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000230005001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/17	17	18.jp2	/asm0447/image/18.jp2
Page 6																Alan Crockwell Collection	ASM0447									asm0447000023		asm04470000230006001			Image				32247672 Bytes	3052	3522	2449179609	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000230006001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/18	18	19.jp2	/asm0447/image/19.jp2
Page 7																Alan Crockwell Collection	ASM0447									asm0447000023		asm04470000230007001			Image				32110314 Bytes	3039	3522	2909339069	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000230007001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/19	19	20.jp2	/asm0447/image/20.jp2
Page 8																Alan Crockwell Collection	ASM0447									asm0447000023		asm04470000230008001			Image				32532954 Bytes	3079	3522	506359070	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000230008001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/20	20	21.jp2	/asm0447/image/21.jp2
Page 9																Alan Crockwell Collection	ASM0447									asm0447000023		asm04470000230009001			Image				32385030 Bytes	3065	3522	2853877496	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000230009001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/21	21	22.jp2	/asm0447/image/22.jp2
Page 10																Alan Crockwell Collection	ASM0447									asm0447000023		asm04470000230010001			Image				32385030 Bytes	3065	3522	1293843272	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000230010001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/22	22	23.jp2	/asm0447/image/23.jp2
Page 11																Alan Crockwell Collection	ASM0447									asm0447000023		asm04470000230011001			Image				32110314 Bytes	3039	3522	239776307	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000230011001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/23	23	24.jp2	/asm0447/image/24.jp2
Page 12																Alan Crockwell Collection	ASM0447									asm0447000023		asm04470000230012001			Image				32385030 Bytes	3065	3522	2409254550	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000230012001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/24	24	25.jp2	/asm0447/image/25.jp2
Jessie N. Munroe letter to Mrs. Gilpin, April 26, 1915		Munroe, Jessie N.				Munroe, Patty; Letters	Correspondence		1915-04-26	1910-1920	Coconut Grove (Miami, Florida)	1 letter	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 1; Folder No. 6						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0447000023		asm0447000023	Text	0000-00-00	image/tiff													2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/25	25	26.cpd	/asm0447/image/26.cpd
Page 1																Alan Crockwell Collection	ASM0447									asm0447000013		asm04470000130001001			Image				21349305 Bytes	3287	2165	2837152670	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000130001001.tif		2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/26	26	27.jp2	/asm0447/image/27.jp2
Page 2																Alan Crockwell Collection	ASM0447									asm0447000013		asm04470000130002001			Image				21349305 Bytes	3287	2165	1922701011	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000130002001.tif		2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/27	27	28.jp2	/asm0447/image/28.jp2
Postcard from Luis Poole wishing the Munroe family a Happy New Year					Printed on front: "1180 PARIS (IVe). - L'Abside de Notre-Dam. - LL."	Munroe, Ralph, 1851-1933; Greeting cards	Postcards		1908-12-17	1900-1910	Paris (France)	1 postcard	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 2; Folder No. 4						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0447000013		asm0447000013	Text	0000-00-00	image/tiff													2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/28	28	29.cpd	/asm0447/image/29.cpd
Page 1																Alan Crockwell Collection	ASM0447									asm0447000018		asm04470000180001001			Image				101945508 Bytes	5127	6628	2485070816	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000180001001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/29	29	30.jp2	/asm0447/image/30.jp2
Page 2																Alan Crockwell Collection	ASM0447									asm0447000018		asm04470000180002001			Image				101945508 Bytes	5127	6628	704462751	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000180002001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/30	30	31.jp2	/asm0447/image/31.jp2
Vincent Gilpin letter to Patty Munroe, September 3, 1933		Gilpin, Vincent		In this letter Vincent Gilpin expresses sympathy after the decease of Patty Munroe's father, Ralph Munroe.		Gilpin, Vincent; Munroe, Patty; Munroe, Ralph, 1851-1933; Letters	Correspondence		1933-09-03	1930-1940	Excelsior (Minnesota)	1 letter	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 1; Folder No. 6			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0447000018		asm0447000018	Text	0000-00-00	image/tiff													2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/31	31	32.cpd	/asm0447/image/32.cpd
Page 1																Alan Crockwell Collection	ASM0447									asm0447000027		asm04470000270001001			Image				51641412 Bytes	3366	5114	1933958415	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000270001001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/32	32	33.jp2	/asm0447/image/33.jp2
Page 2																Alan Crockwell Collection	ASM0447									asm0447000027		asm04470000270002001			Image				51641412 Bytes	3366	5114	2729556964	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000270002001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/33	33	34.jp2	/asm0447/image/34.jp2
Page 3																Alan Crockwell Collection	ASM0447									asm0447000027		asm04470000270003001			Image				51641412 Bytes	3366	5114	1356390710	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000270003001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/34	34	35.jp2	/asm0447/image/35.jp2
Page 4																Alan Crockwell Collection	ASM0447									asm0447000027		asm04470000270004001			Image				51641412 Bytes	3366	5114	3509264980	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000270004001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/35	35	36.jp2	/asm0447/image/36.jp2
Page 5																Alan Crockwell Collection	ASM0447									asm0447000027		asm04470000270005001			Image				51641412 Bytes	3366	5114	1325273000	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000270005001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/36	36	37.jp2	/asm0447/image/37.jp2
Page 6																Alan Crockwell Collection	ASM0447									asm0447000027		asm04470000270006001			Image				52372545 Bytes	3405	5127	2880002630	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000270006001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/37	37	38.jp2	/asm0447/image/38.jp2
Page 7																Alan Crockwell Collection	ASM0447									asm0447000027		asm04470000270007001			Image				51641412 Bytes	3366	5114	948208893	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000270007001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/38	38	39.jp2	/asm0447/image/39.jp2
Jessie N. Munroe letter to Mrs. Gilpin, January 16, 1912		Munroe, Jessie N.				Letters	Correspondence		1912-01-16	1910-1920	Coconut Grove (Miami, Florida)	1 letter	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 1; Folder No. 6						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0447000027		asm0447000027	Text	0000-00-00	image/tiff													2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/39	39	40.cpd	/asm0447/image/40.cpd
Page 1																Alan Crockwell Collection	ASM0447									asm0447000008		asm04470000080001001			Image				23239014 Bytes	2113	3666	1497011499	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000080001001.tif		2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/40	40	41.jp2	/asm0447/image/41.jp2
Page 2																Alan Crockwell Collection	ASM0447									asm0447000008		asm04470000080002001			Image				23239014 Bytes	2113	3666	4267543783	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000080002001.tif		2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/41	41	42.jp2	/asm0447/image/42.jp2
Page 3																Alan Crockwell Collection	ASM0447									asm0447000008		asm04470000080003001			Image				23239014 Bytes	2113	3666	371841659	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000080003001.tif		2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/42	42	43.jp2	/asm0447/image/43.jp2
Page 4																Alan Crockwell Collection	ASM0447									asm0447000008		asm04470000080004001			Image				23239014 Bytes	2113	3666	798029250	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000080004001.tif		2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/43	43	44.jp2	/asm0447/image/44.jp2
Brochure of "Cocoanut Grove History" and "Camp Biscayne History"						Coconut Grove (Miami, Florida); Munroe, Ralph, 1851-1933; Brochures	Promotional materials					1 brochure; 4 pages	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 2; Folder No. 4						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0447000008		asm0447000008	Text; Image	0000-00-00	image/tiff													2010-10-29	2012-03-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/44	44	45.cpd	/asm0447/image/45.cpd
Page 1																Alan Crockwell Collection	ASM0447									asm0447000022		asm04470000220001001			Image				32412873 Bytes	3079	3509	1893564878	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000220001001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/45	45	46.jp2	/asm0447/image/46.jp2
Page 2																Alan Crockwell Collection	ASM0447									asm0447000022		asm04470000220002001			Image				64516236 Bytes	3522	6106	1980204698	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000220002001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/46	46	47.jp2	/asm0447/image/47.jp2
Page 3																Alan Crockwell Collection	ASM0447									asm0447000022		asm04470000220003001			Image				32800176 Bytes	3092	3536	3549973990	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000220003001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/47	47	48.jp2	/asm0447/image/48.jp2
Page 4																Alan Crockwell Collection	ASM0447									asm0447000022		asm04470000220004001			Image				32532954 Bytes	3079	3522	2505181007	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000220004001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/48	48	49.jp2	/asm0447/image/49.jp2
Page 5																Alan Crockwell Collection	ASM0447									asm0447000022		asm04470000220005001			Image				64516236 Bytes	3522	6106	2443353924	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000220005001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/49	49	50.jp2	/asm0447/image/50.jp2
Patty Munroe letter to Mr. Gilpin, May 22, 1915		Munroe, Patty				Munroe, Patty; Gilpin, Vincent; Biscayne Bay, Florida; Letters	Correspondence		1916-07-29	1910-1920	Coconut Grove (Miami, Florida)	1 letter; 5 pages	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 1; Folder No. 6						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0447000022		asm0447000022	Text	0000-00-00	image/tiff													2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/50	50	51.cpd	/asm0447/image/51.cpd
Page 1																Alan Crockwell Collection	ASM0447									asm0447000015		asm04470000150001001			Image				60698202 Bytes	3666	5519	2964990813	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000150001001.tif		2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/51	51	52.jp2	/asm0447/image/52.jp2
Page 2																Alan Crockwell Collection	ASM0447									asm0447000015		asm04470000150002001			Image				60913443 Bytes	3679	5519	3595365401	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000150002001.tif		2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/52	52	53.jp2	/asm0447/image/53.jp2
Page 3																Alan Crockwell Collection	ASM0447									asm0447000015		asm04470000150003001			Image				60626481 Bytes	3679	5493	3938932438	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000150003001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/53	53	54.jp2	/asm0447/image/54.jp2
Page 4																Alan Crockwell Collection	ASM0447									asm0447000015		asm04470000150004001			Image				60626481 Bytes	3679	5493	2338698441	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000150004001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/54	54	55.jp2	/asm0447/image/55.jp2
Brochure promoting the book, "The Commodore Story"					Written on page 4: "Order Blank", "to be inserted here". Stamped at bottom right corner of page 4: "PROOF No. 4 1930", "Paul Maisel CO"	Munroe, Ralph, 1851-1933;  Biscayne Bay, Florida;  Barnacle (Miami, Florida);  Coconut Grove (Miami, Florida)	Promotional materials					1 brochure; 4 pages	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 2; Folder No. 4						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0447000015		asm0447000015	Text	0000-00-00	image/tiff													2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/55	55	56.cpd	/asm0447/image/56.cpd
Page 1																Alan Crockwell Collection	ASM0447									asm0447000025		asm04470000250001001			Image				36642333 Bytes	3131	3901	1135634165	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000250001001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/56	56	57.jp2	/asm0447/image/57.jp2
Page 2																Alan Crockwell Collection	ASM0447									asm0447000025		asm04470000250002001			Image				72505140 Bytes	3900	6197	4036921672	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000250002001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/57	57	58.jp2	/asm0447/image/58.jp2
Page 3																Alan Crockwell Collection	ASM0447									asm0447000025		asm04470000250003001			Image				36917088 Bytes	3144	3914	1622630081	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000250003001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/58	58	59.jp2	/asm0447/image/59.jp2
Page 4																Alan Crockwell Collection	ASM0447									asm0447000025		asm04470000250004001			Image				36490194 Bytes	3118	3901	1302604324	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm04470000250004001.tif		2010-03-29	2010-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/59	59	60.jp2	/asm0447/image/60.jp2
Patty Munroe letter to Mr. Gilpin, July 14, 1914		Munroe, Patty				Munroe, Patty; Gilpin, Vincent; Letters	Correspondence		1914-07-14	1910-1920	Hamden (Connecticut)	1 letter	eng		University of Miami Libraries. Special Collections.	Alan Crockwell Collection	ASM0447		Box No. 1; Folder No. 6						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0447000025		asm0447000025	Text	0000-00-00	image/tiff													2010-10-29	2010-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0447/id/60	60	61.cpd	/asm0447/image/61.cpd
