Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Editor	Object ID	Hardware	Software	Directory	Digital ID	Type	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Ruth Bryan Rohde, Trustee				Written on verso: "Ruth Bryan Rohde"		Portrait photographs			Coral Gables, Florida	1 b&w photograph; 25.4 x 20.2 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 6; Folder No. 6; Folder Title: Trustee: Rohde, Ruth Bryan.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350900001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/10	10	64.jp2	/umsupport/image/64.jp2
James Billings, Citizens Board Member				Written on verso: "James Billings, Jr. 1965 Citizens Board"		Portrait photographs	1965	1960-1970	Coral Gables, Florida	1 b&w photograph; 20.7 x 25.4 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 2; Folder No. 12; Folder Title: Citizens Board (1965): Billings, James Jr. Folder Date: 1965	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350220001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/11	11	33.jp2	/umsupport/image/33.jp2
N.B.T. Roney, Trustee	Hannau, H.W.			Written on verso: "N.B.T. Roney" : Photographer’s signature on right corner of the photograph.		Portrait photographs			Coral Gables, Florida	1 b&w photograph; 25.1 x 20.2 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 6; Folder No. 7; Folder Title: Trustee: Roney, N.B.T.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350910001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/12	12	41.jp2	/umsupport/image/41.jp2
Frank B. Shutts, Trustee				Photographer’s signature on right corner of the photograph.		Portrait photographs			Coral Gables, Florida	1 b&w photograph; 25.2 x 20.1 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 6; Folder No. 11; Folder Title: Trustee: Shutts, Frank B..	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350950001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/13	13	97.jp2	/umsupport/image/97.jp2
Leaders of Citizens Board				Written on verso: "Left to Right: Mr. Louis C Huch, Vice President of the University of Miami Broward Citizens Board; Mrs. Louis C. Huch; Mr. Emil Gould, President of the University of Miami Dade Citizens Board."		Photographs	1973-03	1970-1980	Coral Gables, Florida	1 b&w photograph; 25.3 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 2; Folder No. 22; Folder Title: Citizens Board (1973-74): Reception Photos. Folder Date: 1973-74	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350270001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/14	14	89.jp2	/umsupport/image/89.jp2
Harry Hood Bassett,Trustee						Portrait photographs			Coral Gables, Florida	1 b&w photograph; 25.3 x 20.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 4; Folder No. 16; Folder Title: Trustee: Bassett, Harry Hood.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350800001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/15	15	42.jp2	/umsupport/image/42.jp2
S. Pierre Robinson, Trustee				Written on verso: "S. Pierre Robinson"		Portrait photographs			Coral Gables, Florida	1 b&w photograph; 25.3 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 6; Folder No. 5; Folder Title: Trustee: Robineau, S. Pierre.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350890001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/16	16	26.jp2	/umsupport/image/26.jp2
Installation of Officers	Fineman, Lewis T.			Written on verso: "Tall person in the center behind the lady in the white dress is Ralph Renick.  He was evening newscaster for WTVJ channel 4 in the 1950's and 60's"		Photographs		1960-1970	Coral Gables, Florida	1 b&w photograph; 25.4 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 1; Folder No. 4; Folder Title: Alumni (1960s) - 2. Folder Date: 1960s	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350060001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/17	17	82.jp2	/umsupport/image/82.jp2
Mildred Merrick and Lou Morgan at the Annual Alumni Dinner	Blakely, Ron			Written on verso: "Alumni (1962) - Annual Dinner; Merrick, Mildred; Morgan, Lou"		Photographs	1962	1960-1970	Coral Gables, Florida	1 b&w photograph; 25.4 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 2; Folder No. 8; Folder Title: Citizens Board (1962): Annual Dinner. Folder Date: 1962	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350200001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/18	18	80.jp2	/umsupport/image/80.jp2
Charles T. Fuchs, Donor	Pilkington Studio					Portrait photographs			Coral Gables, Florida	1 b&w photograph; 25.2 x 20.25 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 3; Folder No. 16; Folder Title: Donor: Fuchs, Charles T.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350420001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/19	19	83.jp2	/umsupport/image/83.jp2
McGregor Smith, Trustee						Portrait photographs			Coral Gables, Florida	1 b&w photograph; 24.2 x 20.2 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 6; Folder No. 12; Folder Title: Trustee: Smith, McGregor.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350970001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/20	20	75.jp2	/umsupport/image/75.jp2
Daniel Redteam, Trustee				Written on verso: "Daniel Redteam Trustee 1948"		Portrait photographs	1948	1940-1950	Coral Gables, Florida	1 b&w photograph; 7.6 x 5.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 6; Folder No. 2; Folder Title: Trustee: Redteam, Daniell.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350860001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/21	21	27.jp2	/umsupport/image/27.jp2
Dan B. Ruskin, Donor				Written on verso: "Dan B. Ruskin; 1780 Purdy Ave.; Miami, Beach, FLA"		Portrait photographs			Coral Gables, Florida	1 b&w photograph; 25.35 x 20.25 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 3; Folder No. 34; Folder Title: Donor: Ruskin, Dan B..	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350660001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/22	22	36.jp2	/umsupport/image/36.jp2
John R. Ring, Trustee	Bachrach, Fabian			Written on verso: "John R. Ring March '65 Trustee" : Photographers signature on right corner of the photograph.		Portrait photographs	1965-03	1960-1970	Coral Gables, Florida	1 b&w photograph; 25.8 x 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 6; Folder No. 3; Folder Title: Trustee: Ring, John R.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350870001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/23	23	38.jp2	/umsupport/image/38.jp2
John J. Koubek, Donor with President Ashe				Written on vers: "Mr. John J. Koubek (U of M benefactor) with Pres. B.F. Ashe"		Photographs	1941	1940-1950	Coral Gables, Florida	1 b&w photograph; 20.6 x 25.4 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 3; Folder No. 26; Folder Title: Donor: Koubek, John J.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350520001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/24	24	16.jp2	/umsupport/image/16.jp2
Beverly Kelly, alumnus				Written on verso: "Beverly Kelly Alumnus"		Photographs			Coral Gables, Florida	1 b&w photograph; 17.8 x 12.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 1; Folder No. 14; Folder Title: Alumni (N.D.): Individual Photos. Folder Date: TC	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350120001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/25	25	55.jp2	/umsupport/image/55.jp2
Joseph Weintraub and Dan Mahoney at the Annual Alumni Dinner	Blakely, Ron			Written on verso: "Alumni (1962) - Annual Dinner; L - Jos. Weintraub, R - Dan Mahoney"		Photographs	1962	1960-1970	Coral Gables, Florida	1 b&w photograph; 25.4 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 2; Folder No. 8; Folder Title: Citizens Board (1962): Annual Dinner. Folder Date: 1962	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350180001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/26	26	22.jp2	/umsupport/image/22.jp2
Herman Wall, Donor				Written on verso: "H. Wall"		Portrait photographs			Coral Gables, Florida	1 b&w photograph; 25.7 x 20.2 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 3; Folder No. 39; Folder Title: Donor: Wall, Herman.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350670001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/27	27	78.jp2	/umsupport/image/78.jp2
Three Members of the Women's Guild						Photographs		1970-1980	Coral Gables, Florida	1 b&w photograph; 25.3 x 20.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 2; Folder No. 22; Folder Title: Citizens Board (1973-74): Reception Photos. Folder Date: 1973-74	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350310001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/28	28	62.jp2	/umsupport/image/62.jp2
Edmund J. von Henke, Donor				Written on verso: "Edmund J. von Henke"		Portrait photographs			Coral Gables, Florida	1 b&w photograph; 25.4 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 3; Folder No. 37; Folder Title: Donor: von Henke, Edmund J..	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350740001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/29	29	43.jp2	/umsupport/image/43.jp2
George C. Estill, Trustee						Portrait photographs		1930-1940	Coral Gables, Florida	1 b&w photograph; 20.6 x 25.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 5; Folder No. 17; Folder Title: Trustee: Estill, George C. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350630001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/30	30	73.jp2	/umsupport/image/73.jp2
Walter W. Sackett Jr., Trustee				Text written on bottom center of the photograp.		Portrait photographs	1961	1960-1970	Coral Gables, Florida	1 b&w photograph; 13.0 x 9.0 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 6; Folder No. 8; Folder Title: Trustee: Sackett, Walter W. Jr.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350920001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/31	31	21.jp2	/umsupport/image/21.jp2
Gardner Cowles, Trustee	Newman, Arnold					Portrait photographs	1961	1960-1970	Coral Gables, Florida	1 b&w photograph; 20.4 x 25.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 5; Folder No. 6; Folder Title: Trustee: Cowles, Gardner. Folder Date: 1961	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350430001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/32	32	45.jp2	/umsupport/image/45.jp2
Portrait of Antonio Ferre				Written on verso: "Antonio Ferre"		Portrait photographs	1958	1950-1960	Coral Gables, Florida	1 color photograph; 25.35 x 20.2 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 3; Folder No. 14; Folder Title: Donor: Ferre, Antonio. Folder Date: 1958	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350380001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/33	33	48.jp2	/umsupport/image/48.jp2
Mayor Robtert L. Floyd meeting with Alumni		City of Miami News Bureau		written on verso: "Left to right: Claude Corrigan, Mayor Robt. L. Floyd (Miami), Marshall Simmons, Dan Conroy; Nov. 1949"		Photographs	1949-11	1940-1950	Coral Gables, Florida	1 b&w photograph; 25.5 x 20.8 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 1; Folder No. 1; Folder Title: Alumni (1940s). Folder Date: 1940s	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350000001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/34	34	14.jp2	/umsupport/image/14.jp2
James M. Cox Jr., Trustee						Portrait photographs		1950-1960	Coral Gables, Florida	1 b&w photograph; 20.5 x 25.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 5; Folder No. 7; Folder Title: Trustee: Cox, James M. Folder Date: Various	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350470001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/35	35	66.jp2	/umsupport/image/66.jp2
Susan Piper Lyle, Zoo Designer				Written on verso: "Susan Piper Lyle,UM alumna and Assistant Zoo Designer, Miami Metro Zoo."		Photographs			Coral Gables, Florida	1 b&w photograph; 25.4 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 1; Folder No. 14; Folder Title: Alumni (N.D.): Individual Photos. Folder Date: TC	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350100001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/36	36	59.jp2	/umsupport/image/59.jp2
Lawrence H. Adams, Trustee						Portrait photographs			Coral Gables, Florida	1 b&w photograph; 20.7 x 12.8 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 4; Folder No. 14; Folder Title: Trustee: Adams, Lawrence H..	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350760001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/37	37	57.jp2	/umsupport/image/57.jp2
W. H. Walker, Sr., Donor						Portrait photographs			Coral Gables, Florida	1 b&w photograph; 25.7 x 20.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 3; Folder No. 38; Folder Title: Donor: Wakler, W.H., Sr.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350650001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/38	38	99.jp2	/umsupport/image/99.jp2
Rafael Belaunde, Trustee						Portrait photographs			Coral Gables, Florida	1 b&w photograph; 24.8 x 19.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 4; Folder No. 17; Folder Title: Trustee: Belaunde, Rafael.	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350770001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/39	39	18.jp2	/umsupport/image/18.jp2
Everest G. Sewell, Trustee	Hurnor					Portrait photographs			Coral Gables, Florida	1 b&w photograph; 25.3 x 20.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 6; Folder No. 10; Folder Title: Trustee: Sewell, Everest G..	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350940001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/40	40	63.jp2	/umsupport/image/63.jp2
Receiving Sunshine Breakfast Program and Souvenir Ash Tray form University of Miami Hostess	Florida State News Bureau			Written on verso: "Left to right: Doyle Conner, Commissioner of Agriculture; Dr. Jay F. W. Pearson, President, University of Miami; Gerald Howell, Director, Florida merit System; Robert J. Kelly, Assistant Attorney General and President of University of Miami Alumni Club of Tallahassee, receiving Sunshine Breakfast Program and Souvenir Ash Tray form University of Miami Hostess, Miss Pauline Hard."		Photographs	1961-04-18	1960-1970	Coral Gables, Florida	1 b&w photograph; 25.3 x 20.5 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 1; Folder No. 3; Folder Title: Alumni (1960s) - 1. Folder Date: 1960s	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350050001001	Image	image/tiff										2009-05-26	2011-03-07	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/41	41	4.jp2	/umsupport/image/4.jp2
First UM alumni meeting held outside of the US	Martinez, Fernando			Written on verso: "Group entertained in August 1940 in Lima, Peru, by Lr. Montero, father of 2 former students, Luis and Alfonse Montero, of Lima, Peru. This records the first of U of Miami alumni meeting held outside of the U.S." written on verso.		Photographs	1940-08	1940-1950	Coral Gables, Florida	1 b&w photograph; 24 x 18.2 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 1; Folder No. 1; Folder Title: Alumni (1940s). Folder Date: 1940s	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350010001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/42	42	61.jp2	/umsupport/image/61.jp2
Radford R. Crane, Trustee				Written on verso: "Ibis 1961 p.25"		Portrait photographs	1961	1960-1970	Coral Gables, Florida	1 b&w photograph; 12.6 x 18 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organizations	Box No. 5; Folder No. 10; Folder Title: Trustee: Crane Radford R. Folder Date: 1961	http://merrick.library.miami.edu/digitalprojects/copyright.html		jag					asu06420350510001001	Image	image/tiff										2009-05-26	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umsupport/id/43	43	19.jp2	/umsupport/image/19.jp2
