Title	Translated Title	Watch Video	Speakers	Host	Summary	Note	Subjects	Genre	Publisher	Date	Physical Description	Language	Full Text	Web Site	Repository	Collection Title	Collection No.	Series	Container	Program	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Date Digital	Type	Format	Original Source	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Program													Cuban Heritage Collection Scholars Series  La Conexión Cubana  Narcotráfico, contrabando y juego en Cuba  entre los años 20 y comienzos de la Revolución  Una presentación de Eduardo Sáenz Rovner  Profesor, Universidad Nacional de Colombia  Martes, 11 de enero del 2005  5:30 p.m.  Roberto C. Goizueta Pavilion  2º piso de la Biblioteca Otto G. Richter de la Universidad de Miami, 1300 Memorial Drive, Coral  Gables  Eduardo Sáenz Rovner es profesor en la Universidad Nacional de Colombia. Obtuvo su Ph.D. en  Historia en Brandeis University en 1989. Ha sido Visiting Professor en University of California, Los  Angeles (UCLA) en 1992 y 1998 y Visiting Scholar en University of Miami en 2002‐2003. Es autor de los  libros La ofensiva empresarial. Industriales, políticos y violencia en Colombia en los años 40 (1992) y Colombia  años 50. Industriales, política y diplomacia (2002).  En su nuevo libro, Narcotráfico, contrabando y juego en Cuba entre los años 20 y comienzos de la Revolución,  Sáenz Rovner subraya la dinámica economía de Cuba y su gran integración a las corrientes migratorias  y al comercio internacional durante las primeras décadas del siglo XX. El autor afirma que en cuanto al  narcotráfico la isla fue un importante lugar de paso de diferentes sustancias psicoactivas hacia el  mercado norteamericano. Teniendo en cuenta el carácter cosmopolita de Cuba, en especial de La  Habana, los grupos de traficantes estaban compuestos tanto por cubanos como por inmigrantes quienes  desarrollaron redes con Europa, el Medio Oriente, Sudamérica, México y los Estados Unidos.  Esta presentación forma parte de la Scholars Series de la Cuban Heritage Collection (CHC) de la Biblioteca  de la Universidad de Miami. CHC patrocina esta serie para diseminar la obra de estos investigadores y  resaltar el modo en que los materiales de la CHC apoyan los estudios cubanos y cubano‐americanos. El  Centro de Estudios Latinoamericanos (CLAS) de la Universidad de Miami se une al CHC en patrocinar  la presentación del profesor Sáenz Rovner.  Cuban Heritage Collection  305‐284‐4900  http://www.library.miami.edu/umcuban/  Center for Latin American  Studies  305‐284‐1854  http://www.as.miami.edu/las/ 														chc5229000004	chc52290000040001001			application/pdf		chc5229000004.pdf		2012-09-07	2012-09-07	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/33	33	42.pdf	/chc5229/image/42.pdf
La Conexion Cubana: Narcotrafico, contrabando y juego en Cuba entre los años 20 y comienzos de la revolucion	The Cuban Conection: drug traffficking, contraband and movement in Cuba between the 1920s until the beginning of the revolution		Sáenz Rovner, Eduardo	University of Miami Libraries. Cuban Heritage Collection.		Lecture was presented as part of the Cuban Heritage Collection Scholars Series	Sáenz Rovner, Eduardo; Drug traffic	Public speaking		2005-01-11	1 streaming video (43:05 min.); 1 PDF, 1 page	spa			University of Miami Libraries. Cuban Heritage Collection.	Cuban Heritage Collection Lectures and Presentations	CHC5229									http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000004			Moving Image; Text	video/mp4; application/pdf				2013-02-21	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/35	35	44.cpd	/chc5229/image/44.cpd
Program													Cuban Heritage Collection  200 Years of Cuban Children’s Books  Exhibition opening with a presentation by  Antonio Orlando Rodríguez  “Un paseo por la literatura cubana para niños y adolescentes.”  Thursday, January 31, 2008  6:00 p.m.  Roberto C. Goizueta Pavilion, Otto G. Richter Library  1300 Memorial Drive, 2nd Floor, Coral Gables, Florida  Nostalgia and history intertwine in this exhibition of Cuban children’s literature presented by the Cuban Heritage Collection of the University of Miami Libraries. The ideas and ideals expressed in a child’s book can influence the reader for the rest of his or her life. It is with this in mind that the books included in this exhibition were chosen: they have had a lasting impact on the Cuban imagination and consciousness. The featured books range from the nineteenth to the twenty-first century and include every genre, from cuentos to poetry to primers. They are written by Cubans both in and outside the island, and each one highlights the author’s unique perspective.  At the opening of this exhibition, noted author and expert on children’s literature Antonio Orlando Rodríguez will discuss “Un paseo por la literatura cubana para niños y adolescentes.”  RSVP to 305-284-4008 or chc@miami.edu by Monday, January 28, 2008  http://library.miami.edu/chc/ 														chc5229000001	chc52290000010001001			application/pdf		chc5229000001.pdf		2012-09-07	2012-09-07	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/36	36	45.pdf	/chc5229/image/45.pdf
Un paseo por la literatura cubana para niños y adolescentes	A walkthrough to Cuban literature for children and young adults		Rodríguez, Antonio Orlando	University of Miami Libraries. Cuban Heritage Collection.		Lecture presented on opening night of exhibition, ""200 Years of Cuban Children's Books""	Rodríguez, Antonio Orlando, 1956- ; Children's literature, Cuban	Public speaking		2008-01-31	1 streaming video (43:21 min.); 1 PDF, 1 page	spa			University of Miami Libraries. Cuban Heritage Collection.	Cuban Heritage Collection Lectures and Presentations	CHC5229									http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000001			Moving Image; Text	video/mp4; application/pdf				2013-02-21	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/38	38	47.cpd	/chc5229/image/47.cpd
Program													Cuban Heritage Collection Scholars Series  in collaboration with the Center for Latin American Studies  Identity and the Politics of Memory in the Cuban Diaspora:  Monuments to José Martí in Miami, 1959-1995  A presentation by João Felipe Gonçalves  PhD candidate in history, Johns Hopkins University  Tuesday, February 10, 2004 at 4:00 p.m.  Roberto C. Goizueta Pavilion  Otto G. Richter Library (2nd floor), University of Miami  1300 Memorial Drive, Coral Gables, Florida  João Felipe Gonçalves, from Minas Gerais, Brazil, is a doctoral student in history at The Johns Hopkins University in Baltimore, Maryland. He obtained his master’s degree in anthropology in 1999 from the Museu Nacional of the Universidade Federal do Rio de Janeiro. Gonçalves’ current research compares the construction of national identity and the politics of memory in Cuba and in the South Florida Cuban exile community between 1959 and 1995, with a special emphasis on the construction of the image of José Martí as a national icon on both sides of the Straights of Florida.  Gonçalves’ presentation of his research is the inaugural lecture in the University of Miami’s Cuban Heritage Collection (CHC) new Scholars Series. Every year, scholars from our University and other institutions around the world conduct in-depth research using the extensive holdings of the Cuban Heritage Collection. The CHC is sponsoring presentations by these scholars to highlight their work and emphasize the ways in which the CHC’s research collection support today’s scholarship in Cuban and Latin American studies.  Cuban Heritage Collection  305-284-4900 or http://www.library.miami.edu/umcuban/  Center for Latin American Studies  305-284-1854 or http://www.as.miami.edu/las/ 														chc5229000002	chc52290000020001001			application/pdf		chc5229000002.pdf		2012-09-07	2012-09-07	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/39	39	48.pdf	/chc5229/image/48.pdf
Identity and the politics of memory in the Cuban Diaspora: Monuments to José Martí in Miami, 1959-1995			Gonçalves, João Felipe	University of Miami Libraries, Cuban Heritage Collection		Lecture was presented as part of the Cuban Heritage Collection Scholars Series	Gonçalves, João Felipe; Martí, Jose´, 1853-1895	Public speaking		2004-02-10	1 streaming video (45:51 min.); 1 PDF, 1 page	eng			University of Miami Libraries, Cuban Heritage Collection	Cuban Heritage Collection Lectures and Presentations	CHC5229									http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000002			Moving Image; Text	video/mp4; application/pdf				2013-02-21	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/41	41	50.cpd	/chc5229/image/50.cpd
Program													The Unbreakable  Voice in a  Minor Language  José Martí and the Literature of the  Latin American Diaspora in New York  Join us for a presentation by award-winning  author Laura Lomas from Rutgers University  February 10, 2010  4:30 p.m. - 6:00 p.m.  Roberto C. Goizueta Pavilion  Otto G. Richter Library, 1300 Memorial Drive 														chc5229000006	chc52290000060001001			application/pdf		chc5229000006.pdf		2012-09-07	2012-09-07	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/42	42	51.pdf	/chc5229/image/51.pdf
The Unbreakable Voice in a Minor Language: José Martí and the Literature of the Latin American Diaspora in New York			Lomas, Laura	University of Miami Libraries. Cuban Heritage Collection.		Laura Lomas teaches literature of the United States and the Americas, Latina/o literature and culture, and the literature of migration in the English Department at Rutgers University, Newark. Lomas is author of the book Translating Empire: José Martí, Migrant Latino Subjects and American Modernities (Duke University Press, 2008), which won the 2009 MLA Prize in United States Latina and Latino and Chicana and Chicano Literary and Cultural Studies. She is a founding member of the Rutgers Inmigrant Rights Collective.	Lomas, Laura, 1967- ; Martí, José, 1853-1895	Public speaking		2010-02-10	1 streaming video (43:44 min.); 1 PDF, 1 page	eng			University of Miami Libraries. Cuban Heritage Collection.	Cuban Heritage Collection Lectures and Presentations	CHC5229									http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000006			Moving Image; Text	video/mp4; application/pdf				2013-02-21	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/44	44	53.cpd	/chc5229/image/53.cpd
Program													Cuban Heritage Collection  University of Miami Libraries  UNIVERSITY OF MIAMI’S FEDERACIÓN DE ESTUDIANTES CUBANOS (FEC) PRESENTS  Worldview, the Orichas, and Santería  A presentation by Mercedes Cros Sandoval  Thursday, March 11, 2010  6:00 p.m.  Roberto C. Goizueta Pavilion, Otto G. Richter Library  1300 Memorial Drive (2nd Floor)  Coral Gables, Florida  Inle, Oricha of Medicine, from the Alberto del Pozo Orichas Collection at the Cuban Heritage Collection.  Mercedes Cros Sandoval is professor emeritus in the department of social sciences at Miami Dade College and adjunct professor, Department of Psychiatry, at the Miller School of Medicine of the University of Miami. In her most recent book, Worldview, the Orichas, and Santería (University Press of Florida, 2007), Dr. Sandoval examines the transatlantic history of how Yoruba traditions came to Cuba and were established and adapted to Cuban society. She also provides a comprehensive comparison of Yoruba and Cuban mythologies along with an overview of how Santeria has continued to diffuse and change in response to new contexts and adherents--with an especially illuminating perspective on Santería among Cubans in Miami.  On view in the Exhibition Gallery is “Alberto del Pozo’s Orichas,” an exhibit of the rich portraits of the Santería Orichas as conceived by Cuban-born artist Alberto del Pozo (1945-1992).  This event is part of FEC’s annual Week of Cuban Culture, celebrated from March 6th to March 12th this year. For more information, please visit:  http://www.miami.edu/index.php/events/university_of_miami_once_again_to_celebrate_a_week_of_cuban_culture/. 														chc5229000008	chc52290000080001001			application/pdf		chc5229000008.pdf		2012-09-07	2012-09-07	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/45	45	54.pdf	/chc5229/image/54.pdf
Worldview, the Orichas, and Santería			Cros Sandoval, Mercedes	University of Miami's Federación de Estudiantes Cubanos (FEC)		Mercedes Cros Sandoval is professor emeritus in the department of social sciences at Miami Dade College and adjunct professor, Department of Psychiatry, at the Miller School of Medicine of the University of Miami. In her most recent book, Worldview, the Orichas, and Santería (University Press of Florida, 2007), Dr. Sandoval examines the transatlantic history of how Yoruba traditions came to Cuba and were established and adapted to Cuban society. She also provides a comprehensive comparison of Yoruba and Cuban mythologies along with an overview of how Santeria has continued to diffuse and change in response to new contexts and adherents--with an especially illuminating perspective on Santería among Cubans in Miami.	Cros Sandoval, Mercedes; Santeria; Orishas	Public speaking		2010-03-11	1 streaming video (01:13:11 hr.); 1 PDF, 1 page	eng			University of Miami Libraries. Cuban Heritage Collection.	Cuban Heritage Collection Lectures and Presentations	CHC5229									http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000008			Moving Image; Text	video/mp4; application/pdf				2013-02-21	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/47	47	56.cpd	/chc5229/image/56.cpd
Program													Cuban Heritage Collection  University of Miami Libraries  MEET THE AUTHOR  John Radanovich  presents his new book  Wildman of Rhythm  The Life and Music of Benny Moré  Thursday, November 19, 2009  6:00 p.m.  Roberto C. Goizueta Pavilion, Otto G. Richter Library  1300 Memorial Drive (2nd Floor)  Coral Gables, Florida  Benny Moré (1919-1963) was one of the giants at the center of the golden age of Cuban music. Arguably the greatest singer ever to come from the island, his name is still spoken with reverence and nostalgia by Cubans and Cuban exiles alike.  John Radanovich has written the first English-language biography of the singer known as the Cuban Sinatra. Radanovich has published articles and reviews in Living Blues and New Orleans Times-Picayune. He has covered the New York music scene for the Bergen Record newspaper, and has written about Latin music, jazz, and world music for Offbeat and Downbeat.  Space is limited. RSVP to 305-284-4900 or chc@miami.edu by Monday, November 16, 2009.  http://library.miami.edu/chc/ 														chc5229000005	chc52290000050001001			application/pdf		chc5229000005.pdf		2012-09-07	2012-09-07	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/48	48	57.pdf	/chc5229/image/57.pdf
The Wildman of Rhythm: The Life and Music of Benny Moré			Radanovich, John	University of Miami Libraries. Cuban Heritage Collection.		Benny Moré (1919-1963) was one of the giants at the center of the golden age of Cuban music. Arguably the greatest singer ever to come from the island, his name is still spoken with reverence and nostalgia by Cubans and Cuban exiles alike. John Radanovich has written the first English-language biography of the singer known as the Cuban Sinatra.  Radanovich has published articles and reviews in Living Blues and New Orleans Times-Picayune. He has covered the New York music scene for the Bergen Record newspaper, and has written about Latin music, jazz, and world music for Offbeat and Downbeat.	Moré, Benny,  1919-1963; Radanovich, John; Música tropical	Public speaking		2009-11-19	1 streaming video (55:34 min.); 1 PDF, 1 page	eng			University of Miami Libraries. Cuban Heritage Collection.	Cuban Heritage Collection Lectures and Presentations	CHC5229									http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000005			Moving Image; Text	video/mp4; application/pdf				2013-02-21	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/50	50	59.cpd	/chc5229/image/59.cpd
Program													Cuban Heritage Collection Scholars Series  Journey to the Origins:  Lydia Cabrera’s Laguna Sagrada  A presentation by Madeline Cámara  Professor of Hispano-American Literature, University of South Florida  Friday, October 15, 2004 at 4:30 p.m.  Roberto C. Goizueta Pavilion  Otto G. Richter Library (2nd Floor), University of Miami  1300 Memorial Drive, Coral Gables, Florida  NOTE: This presentation is in Spanish. En español.  Madeline Cámara is professor of Hispano-American literature in the World Language Education Department of the University of South Florida in Tampa. She received degrees from the University of Havana and the Colegio de México and a PhD from the State University of New York en Stony Brook. The recipient of a Fulbright Fellowship in 2001, Dr. Cámara is the author of several books La letra rebelde: estudios de escritoras cubanas (Miami: Ediciones Universal, 2002). In her presentation, Dr. Cámara explores the concept of “poetic consciousness” that the Spanish philosopher María Zambrano proposes to characterize the way in which Lydia Cabrera’s writing approaches the African roots of Cuban culture. Cámara maintains that research and poetry are inseperable in the work of Lydia Cabrera and proposes that Cabrera can also be studied as a pioneer of postmodern ethnography.  This presentation forms part of the University of Miami’s Cuban Heritage Collection Scholars Series. Every year, scholars from our University and other institutions around the world conduct in-depth research using the extensive holdings of the Cuban Heritage Collection (CHC). The CHC is sponsoring presentations by these scholars to highlight their work and emphasize the ways in which the CHC’s research collection support today’s scholarship in Cuban and Latin American studies.  Please RSVP by calling 305-284-4900  http://www.library.miami.edu/umcuban/ 														chc5229000003	chc52290000030001001			application/pdf		chc5229000003.pdf		2012-09-07	2012-09-07	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/51	51	60.pdf	/chc5229/image/60.pdf
Los Origenes: La Laguna Sagrada de Lydia Cabrera	Journey to the Origins: Lydia Cabrera's Laguna Sagrada		Cámara, Madeline	University of Miami Libraries. Cuban Heritage Collection.		Madeline Cámara is professor of Hispano-American literature in the World Language Education Department of the University of South Florida in Tampa. She received degrees from the University of Havana and the Colegio de México and a PhD from the State University of New York in Stony Brook. The recipient of a Fullbright Fellowship in 2001, Dr. Cámara is the author of several books La letra rebelde: estudios de escritoras cubanas (Miami: Ediciones Universal, 2002). In her presentation, Dr. Cámara explores the concept of ""poetic consciousness"" that the spanish philosopher María Zambrano proposes to characterize the way in which Lydia Cabrera's writing approaches the African roots of Cuban culture. Cámara maintains that research and poetry are inseperable in the work of Lydia Cabrera and proposes that Cabrera can also be studied as a pioneer of postmodern ethnography. Lecture was presented as part of the Cuban Heritage Collection Scholars Series.	Cámara, Madeline, 1957- ; Cabrera, Lydia; Santeria	Public speaking		2004-10-15	1 streaming video (49:59 min.); 1 PDF, 1 page	spa			University of Miami Libraries. Cuban Heritage Collection.	Cuban Heritage Collection Lectures and Presentations	CHC5229									http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000003			Moving Image; Text	video/mp4; application/pdf				2013-02-21	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/53	53	62.cpd	/chc5229/image/62.cpd
Watch the Video																											CHC5229000008				video/mp4	Betacam	62.url		2012-09-05	2012-09-05	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/54	54		
Watch the Video																											CHC5229000003				video/mp4	Betacam	58.url		2012-09-05	2012-09-05	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/56	56		
Watch the Video																											CHC5229000001				video/mp4	Betacam	56.url		2012-09-05	2012-09-05	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/57	57		
Watch the Video																											CHC5229000006				video/mp4	Betacam	61.url		2012-09-05	2012-09-05	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/58	58		
Watch the Video																											CHC5229000004				video/mp4	Betacam	59.url		2012-09-05	2012-09-05	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/59	59		
Watch the Video																											CHC5229000005				video/mp4	Betacam	60.url		2012-09-05	2012-09-05	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/60	60		
Program													My Struggle Against Lies  About Cuba  Monday, November 21, 2011  7:00 p.m.  Robert and Judi Prokop Newman Alumni Center  University of Miami  6200 San Amaro Drive, Coral Gables, FL  by Carlos M. N. Eire  Reservations required. For more information, please contact The Institute for Cuban and Cuban-American Studies at (305) 284-CUBA (2822).  The Institute for Cuban and Cuban-American Studies and  The Cuban Heritage Collection of the University of Miami Libraries  cordially invite you to a lecture  Made possible by a grant from The Goizueta Foundation.  Havana-born, professor of history and religious studies at Yale University who fled to the United States in 1962 as part of Operation Pedro Pan. Eire’s award-winning memoir Waiting for Snow in Havana (Free Press, 2003) was followed in 2010 by its sequel Learning to Die in Miami (Free Press).  Introduction by Dr. Jaime Suchlicki, Director, Institute for Cuban and Cuban-American Studies, and Emilio Bacardi Moreau Professor of History at the University of Miami														chc5229000013	chc52290000130001001			application/pdf		chc5229000013.pdf		2012-09-07	2012-09-07	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/62	62	65.pdf	/chc5229/image/65.pdf
My Struggles Against Lies About Cuba			Eire, Carlos M. N.	University of Miami Libraries. Cuban Heritage Collection.		Havana-born, professor of history and religious studies at Yale University who fled to the United States in 1962 as part of Operation Pedro Pan.	Eire, Carlos M. N.; Cuban Americans; Cuba -- History -- 1959-1990 -- Press coverage	Public speaking		2011-11-21	1 streaming video (42:59 min.); 1 PDF, 1 page	eng			University of Miami Libraries. Cuban Heritage Collection.	Cuban Heritage Collection Lectures and Presentations	CHC5229									http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5229000013			Moving Image; Text	video/mp4; application/pdf				2013-02-21	2013-02-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/64	64	67.cpd	/chc5229/image/67.cpd
Watch the Video																											CHC5229000002				video/mp4	Betacam	71.url		2012-09-05	2012-09-05	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/70	70		
Watch the Video																											CHC5229000013				video/mp4	Betacam	0.url		2012-09-06	2012-09-06	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5229/id/72	72		
