Title	Translated Title	Movements Title	Uniform Title	Composer	Lyricist	Arranger	Performer	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Sheet  11																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/13	13	14.pdfpage	/asm0038/image/14.pdfpage
Sheet  12																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/14	14	15.pdfpage	/asm0038/image/15.pdfpage
Sheet  13																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/15	15	16.pdfpage	/asm0038/image/16.pdfpage
Sheet  14																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/16	16	17.pdfpage	/asm0038/image/17.pdfpage
Sheet  15																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/17	17	18.pdfpage	/asm0038/image/18.pdfpage
Sheet  16																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/18	18	19.pdfpage	/asm0038/image/19.pdfpage
Sheet  17																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/19	19	20.pdfpage	/asm0038/image/20.pdfpage
Sheet  18																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/20	20	21.pdfpage	/asm0038/image/21.pdfpage
Sheet  19																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/21	21	22.pdfpage	/asm0038/image/22.pdfpage
Sheet  20																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/22	22	23.pdfpage	/asm0038/image/23.pdfpage
Sheet  21																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/23	23	24.pdfpage	/asm0038/image/24.pdfpage
Sheet  22																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/24	24	25.pdfpage	/asm0038/image/25.pdfpage
Sheet  23																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/25	25	26.pdfpage	/asm0038/image/26.pdfpage
Sheet  24																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/26	26	27.pdfpage	/asm0038/image/27.pdfpage
Sheet  25																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/27	27	28.pdfpage	/asm0038/image/28.pdfpage
Sheet  26																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/28	28	29.pdfpage	/asm0038/image/29.pdfpage
Sheet  27																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/29	29	30.pdfpage	/asm0038/image/30.pdfpage
Sheet  28																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/30	30	31.pdfpage	/asm0038/image/31.pdfpage
Sheet  29																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/31	31	32.pdfpage	/asm0038/image/32.pdfpage
Sheet  30																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/32	32	33.pdfpage	/asm0038/image/33.pdfpage
Sheet  31																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/33	33	34.pdfpage	/asm0038/image/34.pdfpage
Sheet  32																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/34	34	35.pdfpage	/asm0038/image/35.pdfpage
Sheet  33																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/35	35	36.pdfpage	/asm0038/image/36.pdfpage
Sheet  34																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/36	36	37.pdfpage	/asm0038/image/37.pdfpage
Sheet  35																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/37	37	38.pdfpage	/asm0038/image/38.pdfpage
Sheet  36																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/38	38	39.pdfpage	/asm0038/image/39.pdfpage
Sheet  37																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/39	39	40.pdfpage	/asm0038/image/40.pdfpage
Sheet  38																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/40	40	41.pdfpage	/asm0038/image/41.pdfpage
Sheet  39																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/41	41	42.pdfpage	/asm0038/image/42.pdfpage
Sheet  40																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/42	42	43.pdfpage	/asm0038/image/43.pdfpage
Sheet  41																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/43	43	44.pdfpage	/asm0038/image/44.pdfpage
Sheet  42																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/44	44	45.pdfpage	/asm0038/image/45.pdfpage
Sheet  43																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/45	45	46.pdfpage	/asm0038/image/46.pdfpage
Sheet  44																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/46	46	47.pdfpage	/asm0038/image/47.pdfpage
Sheet  45																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/47	47	48.pdfpage	/asm0038/image/48.pdfpage
Sheet  46																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/48	48	49.pdfpage	/asm0038/image/49.pdfpage
Sheet  47																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/49	49	50.pdfpage	/asm0038/image/50.pdfpage
Sheet  48																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/50	50	51.pdfpage	/asm0038/image/51.pdfpage
Sheet  49																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/51	51	52.pdfpage	/asm0038/image/52.pdfpage
Sheet  50																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/52	52	53.pdfpage	/asm0038/image/53.pdfpage
Sheet  51																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/53	53	54.pdfpage	/asm0038/image/54.pdfpage
Sheet  52																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/54	54	55.pdfpage	/asm0038/image/55.pdfpage
Sheet  53																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/55	55	56.pdfpage	/asm0038/image/56.pdfpage
Sheet  54																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/56	56	57.pdfpage	/asm0038/image/57.pdfpage
Sheet  55																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/57	57	58.pdfpage	/asm0038/image/58.pdfpage
Sheet  56																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/58	58	59.pdfpage	/asm0038/image/59.pdfpage
Sheet  57																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/59	59	60.pdfpage	/asm0038/image/60.pdfpage
Sheet  58																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/60	60	61.pdfpage	/asm0038/image/61.pdfpage
Sheet  59																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/61	61	62.pdfpage	/asm0038/image/62.pdfpage
Sheet  60																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/62	62	63.pdfpage	/asm0038/image/63.pdfpage
Sheet  61																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/63	63	64.pdfpage	/asm0038/image/64.pdfpage
Sheet  62																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/64	64	65.pdfpage	/asm0038/image/65.pdfpage
Sheet  63																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/65	65	66.pdfpage	/asm0038/image/66.pdfpage
Sheet  64																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/66	66	67.pdfpage	/asm0038/image/67.pdfpage
Sheet  65																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/67	67	68.pdfpage	/asm0038/image/68.pdfpage
Sheet  66																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/68	68	69.pdfpage	/asm0038/image/69.pdfpage
Sheet  67																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/69	69	70.pdfpage	/asm0038/image/70.pdfpage
Sheet  68																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/70	70	71.pdfpage	/asm0038/image/71.pdfpage
Sheet  69																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/71	71	72.pdfpage	/asm0038/image/72.pdfpage
Sheet  70																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/72	72	73.pdfpage	/asm0038/image/73.pdfpage
Sheet  71																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/73	73	74.pdfpage	/asm0038/image/74.pdfpage
Sheet  72																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/74	74	75.pdfpage	/asm0038/image/75.pdfpage
Sheet  73																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/75	75	76.pdfpage	/asm0038/image/76.pdfpage
Sheet  74																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/76	76	77.pdfpage	/asm0038/image/77.pdfpage
Sheet  75																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/77	77	78.pdfpage	/asm0038/image/78.pdfpage
Sheet  76																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/78	78	79.pdfpage	/asm0038/image/79.pdfpage
Sheet  77																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/79	79	80.pdfpage	/asm0038/image/80.pdfpage
Sheet  78																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/80	80	81.pdfpage	/asm0038/image/81.pdfpage
Sheet  79																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/81	81	82.pdfpage	/asm0038/image/82.pdfpage
Sheet  80																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/82	82	83.pdfpage	/asm0038/image/83.pdfpage
Sheet  81																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/83	83	84.pdfpage	/asm0038/image/84.pdfpage
Sheet  82																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/84	84	85.pdfpage	/asm0038/image/85.pdfpage
Sheet  83																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/85	85	86.pdfpage	/asm0038/image/86.pdfpage
Sheet  84																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/86	86	87.pdfpage	/asm0038/image/87.pdfpage
Sheet  85																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/87	87	88.pdfpage	/asm0038/image/88.pdfpage
Sheet  86																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/88	88	89.pdfpage	/asm0038/image/89.pdfpage
Sheet  87																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/89	89	90.pdfpage	/asm0038/image/90.pdfpage
Concierto Cubano. III. Conga, Bembé and Guaguancó		III. Conga, Bembé and Guaguancó		Romero, Aldemaro					For trumpet, flugelhorn and orchestra (score and trumpet part) dedicated to Arturo Sandoval.  Premiered in Santa Barbara, California in February 23, 2002 with Sant Barbara Symphony.	Concertos (Flugelhorn and trumpet); Composers -- Venezuela; Music -- Venezuela;			2000-02-18	2000-2010		1 musical score, 87 pages; 43 x 28 cm		University of Miami Libraries. Special Collections.	Aldemaro Romero Archive	ASM0038		Box No. 1			ccg; sr; amy		Requests to publish materials from this collection require written permission from the rights owner. For more information please contact: A PAGANI S.r.l. Edizioni Musicali, Via Nazario Sauro, 5, 22073 Fino Mornasco (CO) - Italy, Tel. (+39) 031.927642, Fax (+39) 031.881335, info@apagani.it - www.apagani.it	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm00380000103			Text		application/pdf											asm00380000103.pdf		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/90	90	91.cpd	/asm0038/supp/90/index.pdf
Sheet  1		Bolero																																													2011-03-01	2011-03-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/91	91	92.pdfpage	/asm0038/image/92.pdfpage
Sheet  2																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/92	92	93.pdfpage	/asm0038/image/93.pdfpage
Sheet  3																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/93	93	94.pdfpage	/asm0038/image/94.pdfpage
Sheet  4																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/94	94	95.pdfpage	/asm0038/image/95.pdfpage
Sheet  5																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/95	95	96.pdfpage	/asm0038/image/96.pdfpage
Sheet  6																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/96	96	97.pdfpage	/asm0038/image/97.pdfpage
Sheet  7																																															2011-03-01	2011-03-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/97	97	98.pdfpage	/asm0038/image/98.pdfpage
Sheet  8																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/98	98	99.pdfpage	/asm0038/image/99.pdfpage
Sheet  9																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/99	99	100.pdfpage	/asm0038/image/100.pdfpage
Sheet  10																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/100	100	101.pdfpage	/asm0038/image/101.pdfpage
Sheet  11																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/101	101	102.pdfpage	/asm0038/image/102.pdfpage
Sheet  12																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/102	102	103.pdfpage	/asm0038/image/103.pdfpage
Sheet  13																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/103	103	104.pdfpage	/asm0038/image/104.pdfpage
Sheet  14																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/104	104	105.pdfpage	/asm0038/image/105.pdfpage
Sheet  15																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/105	105	106.pdfpage	/asm0038/image/106.pdfpage
Sheet  16																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/106	106	107.pdfpage	/asm0038/image/107.pdfpage
Sheet  17																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/107	107	108.pdfpage	/asm0038/image/108.pdfpage
Sheet  18																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/108	108	109.pdfpage	/asm0038/image/109.pdfpage
Sheet  19																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/109	109	110.pdfpage	/asm0038/image/110.pdfpage
Sheet  20																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/110	110	111.pdfpage	/asm0038/image/111.pdfpage
Sheet  21																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/111	111	112.pdfpage	/asm0038/image/112.pdfpage
Sheet  22																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/112	112	113.pdfpage	/asm0038/image/113.pdfpage
Sheet  23																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/113	113	114.pdfpage	/asm0038/image/114.pdfpage
Sheet  24																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/114	114	115.pdfpage	/asm0038/image/115.pdfpage
Sheet  25																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/115	115	116.pdfpage	/asm0038/image/116.pdfpage
Sheet  26																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/116	116	117.pdfpage	/asm0038/image/117.pdfpage
Sheet  27																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/117	117	118.pdfpage	/asm0038/image/118.pdfpage
Sheet  28																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/118	118	119.pdfpage	/asm0038/image/119.pdfpage
Sheet  29																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/119	119	120.pdfpage	/asm0038/image/120.pdfpage
Sheet  30																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/120	120	121.pdfpage	/asm0038/image/121.pdfpage
Sheet  31																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/121	121	122.pdfpage	/asm0038/image/122.pdfpage
Sheet  32																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/122	122	123.pdfpage	/asm0038/image/123.pdfpage
Sheet  33																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/123	123	124.pdfpage	/asm0038/image/124.pdfpage
Sheet  34																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/124	124	125.pdfpage	/asm0038/image/125.pdfpage
Sheet  35																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/125	125	126.pdfpage	/asm0038/image/126.pdfpage
Sheet  36																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/126	126	127.pdfpage	/asm0038/image/127.pdfpage
Sheet  37																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/127	127	128.pdfpage	/asm0038/image/128.pdfpage
Sheet  38																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/128	128	129.pdfpage	/asm0038/image/129.pdfpage
Sheet  39																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/129	129	130.pdfpage	/asm0038/image/130.pdfpage
Sheet  40																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/130	130	131.pdfpage	/asm0038/image/131.pdfpage
Sheet  41																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/131	131	132.pdfpage	/asm0038/image/132.pdfpage
Sheet  42																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/132	132	133.pdfpage	/asm0038/image/133.pdfpage
Sheet  43																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/133	133	134.pdfpage	/asm0038/image/134.pdfpage
Sheet  44																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/134	134	135.pdfpage	/asm0038/image/135.pdfpage
Concierto Cubano. II. Bolero		II. Bolero		Romero, Aldemaro					For trumpet, flugelhorn and orchestra (score and trumpet part) dedicated to Arturo Sandoval.  Premiered in Santa Barbara, California in February 23, 2002 with Sant Barbara Symphony.	Concertos (Flugelhorn and trumpet); Composers -- Venezuela; Music -- Venezuela;			2000-01-23	2000-2010		1 musical score, 44 pages; 43 x 28 cm		University of Miami Libraries. Special Collections.	Aldemaro Romero Archive	ASM0038		Box No. 1			ccg; sr; amy		Requests to publish materials from this collection require written permission from the rights owner. For more information please contact: A PAGANI S.r.l. Edizioni Musicali, Via Nazario Sauro, 5, 22073 Fino Mornasco (CO) - Italy, Tel. (+39) 031.927642, Fax (+39) 031.881335, info@apagani.it - www.apagani.it	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm00380000102			Text		application/pdf											asm00380000102.pdf		2013-06-11	2013-06-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/135	135	136.cpd	/asm0038/supp/135/index.pdf
Sheet  1		Rumba																																													2011-03-01	2011-03-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/136	136	137.pdfpage	/asm0038/image/137.pdfpage
Sheet  2																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/137	137	138.pdfpage	/asm0038/image/138.pdfpage
Sheet  3																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/138	138	139.pdfpage	/asm0038/image/139.pdfpage
Sheet  4																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/139	139	140.pdfpage	/asm0038/image/140.pdfpage
Sheet  5																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/140	140	141.pdfpage	/asm0038/image/141.pdfpage
Sheet  6																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/141	141	142.pdfpage	/asm0038/image/142.pdfpage
Sheet  7																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/142	142	143.pdfpage	/asm0038/image/143.pdfpage
Sheet  8																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/143	143	144.pdfpage	/asm0038/image/144.pdfpage
Sheet  9																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/144	144	145.pdfpage	/asm0038/image/145.pdfpage
Sheet  10																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/145	145	146.pdfpage	/asm0038/image/146.pdfpage
Sheet  11																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/146	146	147.pdfpage	/asm0038/image/147.pdfpage
Sheet  12																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/147	147	148.pdfpage	/asm0038/image/148.pdfpage
Sheet  13																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/148	148	149.pdfpage	/asm0038/image/149.pdfpage
Sheet  14																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/149	149	150.pdfpage	/asm0038/image/150.pdfpage
Sheet  15																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/150	150	151.pdfpage	/asm0038/image/151.pdfpage
Sheet  16																																															2010-07-14	2010-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0038/id/151	151	152.pdfpage	/asm0038/image/152.pdfpage
