Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	Full Text	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Woman's Club members sitting around a table						Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida)	Photographs					1 b&w photograph; 17.7 x 12.7 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 1; Folder Title: Photographs: Miscellaneous						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000430001001	image/tiff		39998348 Bytes	4299	3100	3100996939	RGB	8	600	asm04000000430001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/29	29	97.jp2	/asm0400/image/97.jp2
Path to the first clubhouse						Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Clubhouses	Photographs					1 b&w photograph; 9.1 x 11.4 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 2; Folder Title: Photographs : A-W						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000610001001	image/tiff		19922828 Bytes	2320	2860	1808063120	RGB	8	600	asm04000000610001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/30	30	64.jp2	/asm0400/image/64.jp2
Pageant, "Trip around the Orient" at Lake Placid School					Imprint on front: "No 1105"; Written on verso: "END OF THE TOUR-LAKE PLACID SCHOOL NOW-COCONUT GROVE PARK"; "[1922, FAIRS TRIP AROUND THE ORIENT"	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Pageants	Photographs		1922	1920-1930	Coconut Grove (Miami, Florida)	1 b&w photograph; 17.9 x 12.8 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 4; Folder Title: Photographs: "Trip Around the World" and "Trip Around the Orient", 1922						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000001000001001	image/tiff		43328222 Bytes	4475	3226	3926546870	RGB	8	600	asm04000001000001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/32	32	80.jp2	/asm0400/image/80.jp2
Group photograph of women and children						Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida)	Group portraits; Photographs; Portrait photographs					1 b&w photograph; 25.3 x 19.6 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 1; Folder Title: Photographs: Miscellaneous						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000370001001	image/tiff		88912932 Bytes	6121	4841	588532332	RGB	8	600	asm04000000370001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/33	33	36.jp2	/asm0400/image/36.jp2
Blue Pheasant Tearoom						Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Tearooms	Photographs		1921	1920-1930		1 b&w photograph; 11.5 x 7.1 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 2; Folder Title: Photographs : A-W						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000570001001	image/tiff		15298016 Bytes	2836	1796	1459029425	RGB	8	600	asm04000000570001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/34	34	1.jp2	/asm0400/image/1.jp2
Sightseeing in Florida Keys and the old lighthouse					Written on verso: "Sight-Seeing on Florida Key The old light-house Feb 22-1913"; Stamped on verso: "1841"	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Florida Keys (Florida); Lighthouses; Florida -- Tours; Voyages and travels	Photographs		1913-02-22	1910-1920		1 b&w photograph; 13.8 x 8.4 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 2; Folder Title: Photographs : A-W						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000840001001	image/tiff		22075124 Bytes	3393	2167	40009577	RGB	8	600	asm04000000840001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/38	38	93.jp2	/asm0400/image/93.jp2
Coconut Grove entry in Palm Fete Parade					Stamped on verso: "DEVINE & HAYES Commercial Photographers 300 Second st., MIAMI, FLA."	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Parades	Photographs		1915	1910-1920		1 b&w photograph; 25 x 19.9 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 3; Folder Title: Photographs: "Palm Fete" Parade 1915						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000880001001	image/tiff		91501316 Bytes	6183	4932	3450193004	RGB	8	600	asm04000000880001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/40	40	85.jp2	/asm0400/image/85.jp2
Scene from the pageant, "Trip around the world"					Imprint on front: "No 1101"; Written on verso: "El jardin-Feb 18, 1926"; "19"; [Original date 1922?]	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Pageants	Photographs		1922	1920-1930	Coconut Grove (Miami, Florida)	1 b&w photograph; 17.9 x 12.7 cm.	eng; spa		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 4; Folder Title: Photographs: "Trip Around the World" and "Trip Around the Orient", 1922						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000980001001	image/tiff		41851448 Bytes	4392	3175	2495063317	RGB	8	600	asm04000000980001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/41	41	51.jp2	/asm0400/image/51.jp2
View of the clubhouse					Imprint on front: "R.B. Holi Miami, Fla."; Written on verso: "Please return to the House Keepers [Club] 2985 S. Bay[shore] [Drive] Coconut [Grove]"; "137"	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Clubhouses	Photographs				Miami (Florida)	1 b&w photograph; 23.3 x 17.9 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 1; Folder Title: Photographs: Miscellaneous						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000400001001	image/tiff		77402852 Bytes	5772	4469	1768501603	RGB	8	600	asm04000000400001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/43	43	39.jp2	/asm0400/image/39.jp2
Norma Wooley					Written on verso: "21"	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Wooley, Norma	Photographs					1 b&w photograph; 10 x 12.6 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400								http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000820001001	image/tiff		24249920 Bytes	2557	3159	3266774556	RGB	8	600	asm04000000820001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/46	46	43.jp2	/asm0400/image/43.jp2
Photograph of a pageant					Imprint on front: "No 1090"	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Pageants	Photographs		1922	1920-1930		1 b&w photograph; 25.1 x 19.8 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 4; Folder Title: Photographs: "Trip Around the World" and "Trip Around the Orient", 1922						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000900001001	image/tiff		90052102 Bytes	6111	4911	3631481516	RGB	8	600	asm04000000900001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/47	47	10.jp2	/asm0400/image/10.jp2
Athene Foster, president of the Housekeepers Club					Written on verso: "Athene Foster"; Housekeepers Club is the original name of the Woman's Club of Coconut Grove	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Foster, Athene	Photographs					1 b&w photograph; 7.2 x 9.9 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 2; Folder Title: Photographs : A-W						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000670001001	image/tiff		13737008 Bytes	1844	2480	2905603676	RGB	8	600	asm04000000670001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/48	48	44.jp2	/asm0400/image/44.jp2
Flora McFarlane with the Housekeepers Club members at the yard of old clubhouse					Written on paper slip inserted by the club: "Taken at the last meeting of the club before the old club house was torn down. Left to Right: Front Row: Mrs. Edith Gifford, Mrs. Sue V. Moore, Mrs. John Charles Peacock, Mrs. Kirk Munroe, Miss Flora McFarlane, Mrs. Jessie Moore, Miss Kate McClure, Second Row: Mrs. DeForrest Christiance, Mrs. E.E. Wooley, Mrs. W.B. Schober, Mrs. Harry Richardson, Mrs. Esther Griffen, Miss Alice McFarlane, Mrs. Lillian Justison, Mrs. Irving J. Thomas, Mrs. Flora A. Callahan, Mrs. S.J. Kent, Miss Olive Callahan, Mrs. E.A. Conrad, Mrs. L.J. Eschelman, Mrs. D.T. Davis, Third Row: Mrs. Thomas Hall Wyatt, Mrs. Edward Howard, Mrs. R.L. Stewart. 'The Old and the New' April 17, 1917 Yard of old Housekeepers Club House"; Housekeepers Club is the original name of the Woman's Club of Coconut Grove	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); McFarlane, Flora; Gifford, Edith; Peacock, Charles John, Mrs.; Munroe, Kirk, Mrs.	Group portraits; Photographs; Portrait photographs		1917-04-17	1910-1920		1 b&w photograph; 23 x 18.7 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 2; Folder Title: Photographs : A-W						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000770001001	image/tiff		80020976 Bytes	5708	4672	332634641	RGB	8	600	asm04000000770001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/52	52	79.jp2	/asm0400/image/79.jp2
Scene from the pageant, "Trip around the world"					Imprint on front: "no 1091"; Written on verso: "TRIP AROUND THE WORLD, 1922"; "[COCONUT GROVE WOMAN'S CLUB]"; Stamped on verso: "The Photo Shop 145 1-2 N.E. Second Street MIAMI, FLA Phone 6143"	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Pageants	Photographs		1922	1920-1930	Coconut Grove (Miami, Florida)	1 b&w photograph; 24.6 x 19.4 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 4; Folder Title: Photographs : "Trip Around the World" and "Trip Around the Orient", 1922						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000930001001	image/tiff		88249898 Bytes	6059	4854	758214812	RGB	8	600	asm04000000930001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/53	53	5.jp2	/asm0400/image/5.jp2
Flora McFarlane at Miami's first school in 1891					Imprint on front: "Miss McFarlane (Arrow) Was Teacher at Miami's first school in 1891"	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); McFarlane, Flora	Clippings		1891	1890-1900	Miami (Florida)	1 clipping; 10.1 x 10.2 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 2; Folder Title: Photographs : A-W						http://merrick.library.miami.edu/digitalprojects/copyright.html			Text	2012-04-05				asm04000000740001001	image/tiff		19739216 Bytes	2554	2574	467912342	RGB	8	600	asm04000000740001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/54	54	82.jp2	/asm0400/image/82.jp2
Clubhouse					Written on verso: "[clubhouse?]"	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Clubhouses	Photographs					1 b&w photograph; 11.4 x 7 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 2; Folder Title: Photographs : A-W						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000000620001001	image/tiff		15293088 Bytes	2843	1791	1383766137	RGB	8	600	asm04000000620001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/58	58	55.jp2	/asm0400/image/55.jp2
Photograph of the pageant, "Trip around the world"					Imprint on front: "No 1081"; Written on verso: "TRIP AROUND THE WORLD, 1922"; "[COCONUT GROVE WOMAN'S CLUB]"; "30"; "Property of Olga Kent 3850 Poinciana Ave"	Coconut Grove (Miami, Florida) -- History -- Sources; Women -- Florida -- History -- Sources; Women -- Florida -- Societies and clubs; Woman's Club of Coconut Grove (Miami, Florida); Housekeepers Club (Miami, Florida); Pageants	Photographs		1922	1920-1930		1 b&w photograph; 24.7 x 19.6 cm.	eng		University of Miami Libraries. Special Collections.	Womens Club of Coconut Grove Records	ASM0400	Series: VII. Photographs (arranged alphabetically)	Box No. 44; Folder No. 4; Folder Title: Photographs: "Trip Around the World" and "Trip Around the Orient", 1922						http://merrick.library.miami.edu/digitalprojects/copyright.html			Image	2012-04-05				asm04000001020001001	image/tiff		90747200 Bytes	6157	4912	2781108348	RGB	8	600	asm04000001020001001.tif		2012-04-06	2012-04-06	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0400/id/61	61	22.jp2	/asm0400/image/22.jp2
