Title	Translated Title	CTDA Link	Creator	Photographer	Costume Designer	Set Designer	Poster Designer	Production Title	Play Title	Note	Genre	Subject	Publisher	Date	Theater Venue	Theater Company	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Summary	Copyright	Object ID	Digital ID	Type	Date Digital	Format	Hardware	Software	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Scene from the production, "Grease"				Torres, Asela				Grease		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1975			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005760001001	Image		image/tiff			22824984 Bytes	3369	2256	194720450	RGB	8	2400	chc52770005760001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/10	10	17.jp2	/chc5277/image/17.jp2
Scene from the production, "Drácula"	Scene from the production, "Dracula"			Torres, Asela				Drácula		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006120001001	Image		image/tiff			23399432 Bytes	3379	2306	1083628133	RGB	8	2400	chc52770006120001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/11	11	8.jp2	/chc5277/image/8.jp2
Scene from the production, "El cafetal"	Scene from the production, "The coffee plantation"			Torres, Asela				El cafetal		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005930001001	Image		image/tiff			23585428 Bytes	3403	2308	280247747	RGB	8	2400	chc52770005930001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/12	12	24.jp2	/chc5277/image/24.jp2
Scene from the production, "La soprano calva"	Scene from the production, "The bold soprano"			Torres, Asela				La soprano calva		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1974			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005520001001	Image		image/tiff			22761292 Bytes	3376	2245	1483064948	RGB	8	2400	chc52770005520001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/13	13	50.jp2	/chc5277/image/50.jp2
Scene from the production, "Doña Francisquita"	Scene from the production, "Mrs. Francisquita"			Torres, Asela				Doña Francisquita		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006060001001	Image		image/tiff			23317324 Bytes	3392	2289	118928212	RGB	8	2400	chc52770006060001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/14	14	6.jp2	/chc5277/image/6.jp2
Scene from the production, "40 quilates"	Scene from the production, "40 carats"			Torres, Asela				40 quilates		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1973			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005560001001	Image		image/tiff			22582572 Bytes	3378	2226	3798910876	RGB	8	2400	chc52770005560001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/15	15	13.jp2	/chc5277/image/13.jp2
Frankie Kein				Torres, Asela			Arsenio	Frankie Kein		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Theatrical posters	Posters; Theatrical Productions; Performing arts -- Florida -- Miami		1976-07-11			1970-1980	Miami (Florida)	1 theatrical poster	eng		University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005850001001	Image		image/tiff			209554556 Bytes	6951	10048	3339658203	RGB	8	600	chc52770005850001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/16	16	48.jp2	/chc5277/image/48.jp2
Scene from the production, "Drácula"	Scene from the production, "Dracula"			Torres, Asela				Drácula		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006130001001	Image		image/tiff			23840764 Bytes	3422	2320	1477073345	RGB	8	2400	chc52770006130001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/17	17	56.jp2	/chc5277/image/56.jp2
Scene from the production, "La verbena de la paloma"	Scene from the production, "Fair of the dove"			Torres, Asela				La verbena de la paloma		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005880001001	Image		image/tiff			24870724 Bytes	3606	2297	832576095	RGB	8	2400	chc52770005880001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/18	18	42.jp2	/chc5277/image/42.jp2
Scene from the production, "Grateli cuenta su historia"	Scene from the production, "Grateli tells its history"			Torres, Asela				Grateli cuenta su historia		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1975			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006040001001	Image		image/tiff			21956440 Bytes	3396	2153	1931927281	RGB	8	2400	chc52770006040001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/19	19	40.jp2	/chc5277/image/40.jp2
Scene from the production, "La malquerida"	Scene from the production, "The unloved woman"			Torres, Asela				La malquerida		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1973-03-16			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005470001001	Image		image/tiff			23746696 Bytes	3450	2292	2554810790	RGB	8	2400	chc52770005470001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/20	20	66.jp2	/chc5277/image/66.jp2
Scene from the production, "La malquerida"	Scene from the production, "The unloved woman"			Torres, Asela				La malquerida		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1973-03-15			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005460001001	Image		image/tiff			24551016 Bytes	3558	2298	3799174377	RGB	8	2400	chc52770005460001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/21	21	60.jp2	/chc5277/image/60.jp2
Scene from the production, "Grease"				Torres, Asela				Grease		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1975			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005630001001	Image		image/tiff			23210740 Bytes	3387	2282	2367100924	RGB	8	2400	chc52770005630001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/22	22	33.jp2	/chc5277/image/33.jp2
"Chin de Plata" Award,  1979				Torres, Asela						This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Awards; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005950001001	Image		image/tiff			22565296 Bytes	2291	3280	1168772963	RGB	8	2400	chc52770005950001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/23	23	30.jp2	/chc5277/image/30.jp2
Scene from the production, "Electra Garrigó"				Torres, Asela				Electrica Garrigó		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006180001001	Image		image/tiff			23345464 Bytes	3446	2256	2540586828	RGB	8	2400	chc52770006180001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/24	24	15.jp2	/chc5277/image/15.jp2
Scene from the production, "Cecilia Valdés"				Torres, Asela				Cecilia Valdés		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1977			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006000001001	Image		image/tiff			22951072 Bytes	3376	2264	2672774821	RGB	8	2400	chc52770006000001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/25	25	47.jp2	/chc5277/image/47.jp2
Scene from the production, "Grease"				Torres, Asela				Grease		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1975			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005640001001	Image		image/tiff			23170612 Bytes	3393	2274	1868844908	RGB	8	2400	chc52770005640001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/26	26	64.jp2	/chc5277/image/64.jp2
Scene from the production, "Drácula"	Scene from the production, "Dracula"			Torres, Asela				Drácula		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006110001001	Image		image/tiff			22054720 Bytes	3326	2208	19163384	RGB	8	2400	chc52770006110001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/27	27	28.jp2	/chc5277/image/28.jp2
Scene from the production, "Luisa Fernanda"				Torres, Asela				Luisa Fernanda		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005730001001	Image		image/tiff			22899044 Bytes	2256	3380	1087044976	RGB	8	2400	chc52770005730001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/28	28	36.jp2	/chc5277/image/36.jp2
Nati Mistral				Torres, Asela						This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Mistral, Nati; Actors; Theatrical productions; Performing arts -- Florida -- Miami		1976			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005600001001	Image		image/tiff			21818468 Bytes	3155	2303	1812176832	RGB	8	2400	chc52770005600001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/30	30	38.jp2	/chc5277/image/38.jp2
Scene from the production, "Quinto cielo"	Scene from the production, "Fifth Heaven"			Torres, Asela				Quinto cielo		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005860001001	Image		image/tiff			24568152 Bytes	3674	2227	443823999	RGB	8	2400	chc52770005860001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/31	31	11.jp2	/chc5277/image/11.jp2
Scene from the production, "Electra Garrigó"				Torres, Asela				Electrica Garrigó		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006170001001	Image		image/tiff			24054816 Bytes	3501	2288	1751134832	RGB	8	2400	chc52770006170001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/32	32	35.jp2	/chc5277/image/35.jp2
View of the sea, "La barca sin pescador"	View of the sea, "La barca sin pescador"			Torres, Asela						This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Beaches; Ocean		1973-11-22 			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005510001001	Image		image/tiff			23048636 Bytes	3393	2262	1752547295	RGB	8	2400	chc52770005510001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/33	33	51.jp2	/chc5277/image/51.jp2
Scene from the production, "Drácula"	Scene from the production, "Dracula"			Torres, Asela				Drácula		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1978			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006150001001	Image		image/tiff			19204980 Bytes	3005	2128	2738171452	RGB	8	2400	chc52770006150001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/34	34	72.jp2	/chc5277/image/72.jp2
"Estrellas del 74" Award, 1975				Torres, Asela						This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Awards; Performing arts -- Florida -- Miami		1975-02-17			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005550001001	Image		image/tiff			23120536 Bytes	3390	2271	2978518605	RGB	8	2400	chc52770005550001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/35	35	39.jp2	/chc5277/image/39.jp2
Scene from the production, "Picardías de madrugada"	Scene from the production, "Mischevious at night"			Torres, Asela				Picardías de madrugada		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1979			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770006090001001	Image		image/tiff			20892080 Bytes	3367	2066	2149885184	RGB	8	2400	chc52770006090001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/36	36	9.jp2	/chc5277/image/9.jp2
Scene from the production, "Cecilia Valdés"				Torres, Asela				Cecilia Valdés		This image is available in digital format only.  It was scanned from the original negative owned by Asela Torres.	Film negatives	Actors; Theatrical productions; Performing arts -- Florida -- Miami		1977			1970-1980	Miami (Florida)	1 b&w film negative			University of Miami Libraries. Cuban Heritage Collection	Asela Torres Photography Collection	CHC5277						mj; mpc		© Asela Torres. All rights reserved.		http://merrick.library.miami.edu/digitalprojects/copyright.html		chc52770005980001001	Image		image/tiff			22821980 Bytes	3388	2243	2688967692	RGB	8	2400	chc52770005980001001.tif		2011-12-16	2012-09-25	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5277/id/37	37	3.jp2	/chc5277/image/3.jp2
