Title	Translated title	Creator	Link to transcription	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Full Text	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 2																								guns & very poor at that. they tell all manner of stories about the War which are not very reliable.    Eve. I am in Luck the steamer has not come in but the Mail came on the Pilot Boat & I have rec;d yours of the 16th & 23rd, also a letter from Lt. Williams, I was sorry to hear that you were sick & caution you to be careful I fear the Dyptheria may get hold of some of you if it does the chances are as bad as in War, dont let the Children expose themselves if you can possible help it You dont know what a blow it would be to me if any of you should be taken away as it is not my style to show all my feelings. You write that you never knew how to prize till since I have been away; now, go way if I should get home, I should say or do something the first week that would vex you & you would wish the Devil had me forthwith You must not expect to				asm0383000042						asm03830000420002001		45907232 Bytes	3132	4883	141229571	RGB	8	600	asm03830000420002001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/40	40	42.jp2	/asm0383/image/42.jp2
Page 3																								much. realiseation is hardly ever up to the expectations, hence we are disapointed most always. If I should get home it would get to be an old story in a short time. & perhaps old or new difficulties to contend with; and perfect happiness in this world I believe is an Obsolete Idea at any rate I have lived most thirty seven years & dont see it yet. Speaking of those very respectable men that have got the --x you ask if that is not good I dont see it but you with the rest of the Grass Widows will if you dont keep clear of them. of course I dont wish to insinuate that any of you have had anything to do with them; but if the War should last long , the Flesh being weak & frail. That may be a timely caution how you wade in or rather where for if it gets to going in a neighborhood there is no telling where it will stop so dont put your fingers in a hole where there				asm0383000042						asm03830000420003001		44954800 Bytes	3067	4883	2851678198	RGB	8	600	asm03830000420003001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/41	41	43.jp2	/asm0383/image/43.jp2
Page 4																								are Teeth for they may bite I want you to write me which you would prefer, hadnt you just a [     ] rather would get Drunk once in a while than to be caught in such a scrape as that not that any one ought or need do either, but men & women may be led to do both. apparently without cause. but I am a believer in the Doctrine that there is a cause for everything Especially Wh---ng & Drinking. now dont you honestly think I have kept pretty clear of the former & got most D--n-dly Bit by the latter. (I cry enough of that)    Mrs Ps good wishes with yours that I might have a Merry Thanksgiving you have undoubtedly heard ere this were not fully realised. the fact is I dont take much comfort in the Army & did not expect to so I am not disapointed on that point. it is about 11 and I will go to bed. I have taken Pills & shall have to route out before morning probably.    C.S.    				asm0383000042						asm03830000420004001		45392912 Bytes	3083	4905	61655180	RGB	8	600	asm03830000420004001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/42	42	44.jp2	/asm0383/image/44.jp2
Page 5																												asm0383000042						asm03830000420005001		21282644 Bytes	3474	2040	569052412	RGB	8	600	asm03830000420005001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/43	43	45.jp2	/asm0383/image/45.jp2
Calvin Shedd letter to family, December 5, 1862		Shedd, Calvin (1826-1891)   	http://scholar.library.miami.edu/shedd/letters/62dec05.html		Shedd reports that he is still on the sick list but hopes to be back on duty soon.  He tells how happy they all are when a steamer arrives for the mail they receive means so much to them.   Shedd turns philosophical as he comments on the fleeting nature of happiness in life.  He worries over his wife's illness and cautions her and the children not to expose themselves to diphtheria.		Shedd, Calvin -- Correspondence; Shedd, S. Augusta; United States. Army. New Hampshire Infantry Regiment, 7th. Company A; Florida -- History -- Civil War, 1861-1865 -- Personal narratives; United States -- History -- Civil War, 1861-1865; Enfield (New Hampshire)	Correspondence		1862-12-05	1860-1870	Saint Augustine (Florida)	1 letter (4 pages); 1 envelope	eng	University of Miami Libraries. Special Collections	Calvin Shedd Papers	ASM0383		Box No. 1; Folder No. 3; Folder Title: Oct - Dec 1862							http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0383000042	Text						image/tiff										2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/44	44	46.cpd	/asm0383/supp/44/index.pdf
Page 1																								[undated]     I have been thinking when you get able & courage, to have your teeth out, & some put in that it will be agreeable; & I dont know as we shall ever have a better time to pay for them. I want you to have some good ones, & well fitted. I believe you need a whole upper set the under I do not recollect about, but if you undertake the job be thorough, so they will be servicable, dont get into a row with Carter for he & his wife are the longest tongued animals in E. & I fear will get the worst of it. you think I made a great mistake in mortgaging on things, but you must remember at the time Heath had foreclosed and the court was coming on and things looked bad with no place for you to go; if I had known then how things would turn out of course I should not have done it, & if you move out of town I never want to move any of the things in the mortgage at ny rate but very few. My health is pretty good I have been on duty every day the last month. & now, this mail send to Concord for a Hat, to C.A. Colbath of our Co. he has some of the Cos money & it will save sending money each way. I sent it to N.Y. & it was wrecked to H.H. & they have none & I have got tired of Bugling with the Sutters.   				asm0383000028						asm03830000280001001		79015324 Bytes	3607	7300	3359309443	RGB	8	600	asm03830000280001001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/45	45	47.jp2	/asm0383/image/47.jp2
Page 2																								Ada thinks the new minister is first-rate. Nannie says he is all Fish so I cannot tell which to rely on for a just judgement, I am afraid they are not quite well enough acquainted to pass an opinion. In the expedition Col Put acted as Brig. Gen. Ajt. Webber as A.A.A. Gen. Capt. Rollins as Col. & they said Put swore like a Trooper when he was ordered back here, he had the 3rd 4th & 7th N.H. & 6th Conn, in his Brigade, a pretty good crowd for a fight I think, Lt. Hooper quarters with me, I like him pretty well, but had rather be alone than with any Man in the world. are they doing anything at E. Lebanon in the shop I have not heard from there for a long time I have bought a watch of F. Davis to pay him at payday; if I dont like it this is a great place to sell and make something two. I hear that Capt House has lost one of his twin boys & Lane his Boy & he expects his Wife & Daugh. Bad news for them, I understand they died of Spotted Fever an uncommon disease. The Mail leaves early in the morning so I must get this in this eve, [     ] & [     ] will be all hunks in a little while no fear of their quarreling long, give my regards to all who deserve it Kiss them three Gals for me    Yours Truly C. Shedd     				asm0383000028						asm03830000280002001		79015208 Bytes	3607	7300	102037718	RGB	8	600	asm03830000280002001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/46	46	48.jp2	/asm0383/image/48.jp2
Calvin Shedd letter to wife, S. Augusta Shedd		Shedd, Calvin (1826-1891)   	http://scholar.library.miami.edu/shedd/letters/undated.html		In this undated fragment of a letter, Shedd consoles his wife about the prospect of having her teeth out and gives some advice about other domestic problems at home.  He comments about an expedition involving Colonel Putnam and expresses his sorrow at the illness and death of several family members of other officers.		Shedd, Calvin -- Correspondence; Shedd, S. Augusta; United States. Army. New Hampshire Infantry Regiment, 7th. Company A; Florida -- History -- Civil War, 1861-1865 -- Personal narratives; United States -- History -- Civil War, 1861-1865; Enfield (New Hampshire)	Correspondence		undated	1860-1870	Saint Augustine (Florida)	1 letter; 2 pages	eng	University of Miami Libraries. Special Collections	Calvin Shedd Papers	ASM0383		Box No. 1; Folder No. 5; Folder Title: Mar - Dec 1863							http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0383000028	Text						image/tiff										2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/47	47	49.cpd	/asm0383/supp/47/index.pdf
Page 1																								Fort Jefferson, Fla., March 24 1862    Dear Wife & Children,    I have a chance to send this by Lieut. House waiter Billy Smith who goes to Lebanon Capt. George has resigned starts for Key West today, Lieut House is in command of C. and as big a Lunk Head on military as George was the best part of the co think it is a poor swap Now dont be frightened our Men are Dying at the rate of one a day of small Pox L.L. Page of my squad is dead of it & his Brother Coporal Page is very sick    I have been expecting to have it for a few days I am just able to sit up & write the Surgeon has just left me he says I shall not have it; and I shall be out in a few days; this is the first time I have been on sick List since I enlisted. We have had no Mail for two or three weeks and I long to hear how you are getting on write often no matter if a No. of Letters come by the same Mail. 				asm0383000012						asm03830000120001001		43268220 Bytes	2997	4810	2090350732	RGB	8	600	asm03830000120001001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/48	48	50.jp2	/asm0383/image/50.jp2
Page 2																								I want to hear about Town Meeting what C & H are doing in shop & McConnell & Heath in Tannery. Dont worry about me for I think I shall be out soon as my health has been first rate appetite good could eat double Rations easy    Mr Thayer is writing I dont know what he can find for news I cant think of any. Give my respects to I.H. Hayes tell him I should be very happy to have him send me a paper the oftener the better We have got to learn the Drill on Big Guns I like that. after I learn that I shall be pretty well posted up on Drill.    Patriotism is pretty well played out in this Regt, all the men talk of is being discharged; they want to go home and act like a parcel of boys and would be about as reliable in active service.    I shall have this Letter smoked so dont be afraid of it I will close with love to all    C. Shedd    I should write more but dont feel able    				asm0383000012						asm03830000120002001		43268728 Bytes	3007	4794	3900186438	RGB	8	600	asm03830000120002001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/49	49	51.jp2	/asm0383/image/51.jp2
Page 3																												asm0383000012						asm03830000120003001		19230980 Bytes	3216	1991	685493726	RGB	8	600	asm03830000120003001.tif		2012-06-04	2012-06-04	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0383/id/50	50	52.jp2	/asm0383/image/52.jp2
