Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage - Temporal	Coverage - Spatial	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Virgilio Piñera letter to Adolfo de Obieta, April 9, 1948		Piñera, Virgilio				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1948-04-09	1940-1950	Havana (Cuba)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 1; Folder Title: Correspondence: from Virgilio Piñera to Adolfo de Obieta; Folder Date: 1942-1945, 1948, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5278000007	Text																2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/11	11	19.cpd	/chc5278/image/19.cpd
Page 1																											chc5278000001						chc52780000010001001	image/tiff	26370412 Bytes	2616	3357	1594503187	RGB	8	600	chc52780000010001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/12	12	20.jp2	/chc5278/image/20.jp2
Page 2																											chc5278000001						chc52780000010002001	image/tiff	26155776 Bytes	2615	3331	2043726777	RGB	8	600	chc52780000010002001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/13	13	21.jp2	/chc5278/image/21.jp2
Page 3																											chc5278000001						chc52780000010003001	image/tiff	26329336 Bytes	2632	3332	4284409422	RGB	8	600	chc52780000010003001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/14	14	22.jp2	/chc5278/image/22.jp2
Page 4																											chc5278000001						chc52780000010004001	image/tiff	26235812 Bytes	2614	3343	2302102916	RGB	8	600	chc52780000010004001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/15	15	23.jp2	/chc5278/image/23.jp2
Virgilio Piñera letter to Adolfo de Obieta, June 9, 1942		Piñera, Virgilio			Letter is addressed to Adolfo Fernández Gireta or Obieta. Adolfo de Obieta was the son of Argentine writer Macedonio Fernández.	Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1942-06-09	1940-1950	Havana (Cuba)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 1; Folder Title: Correspondence: from Virgilio Piñera to Adolfo de Obieta; Folder Date: 1942-1945, 1948, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5278000001	Text																2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/16	16	24.cpd	/chc5278/image/24.cpd
Page 1																											chc5278000019						chc52780000190001001	image/tiff	107183704 Bytes	5051	7072	1887803256	RGB	8	600	chc52780000190001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/17	17	25.jp2	/chc5278/image/25.jp2
Page 2																											chc5278000019						chc52780000190002001	image/tiff	106726380 Bytes	5021	7084	3342757945	RGB	8	600	chc52780000190002001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/18	18	26.jp2	/chc5278/image/26.jp2
Adolfo de Obieta letter to Virgilio Piñera		Obieta, Adolfo de				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence			1940-1950	San Carlos de Bariloche (Argentina)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 2; Folder Title: Correspondence: to Virgilio Piñera from Adolfo de Obieta; Folder Date: n.d., 1942-1944, 1949, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5278000019	Text																2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/19	19	27.cpd	/chc5278/image/27.cpd
Page 1																											chc5278000013						chc52780000130001001	image/tiff	117268176 Bytes	5323	7342	1736262501	RGB	8	600	chc52780000130001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/20	20	28.jp2	/chc5278/image/28.jp2
Page 2																											chc5278000013						chc52780000130002001	image/tiff	116970400 Bytes	5306	7347	3164791734	RGB	8	600	chc52780000130002001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/21	21	29.jp2	/chc5278/image/29.jp2
Page 3																											chc5278000013						chc52780000130003001	image/tiff	116576868 Bytes	5296	7336	1087853770	RGB	8	600	chc52780000130003001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/22	22	30.jp2	/chc5278/image/30.jp2
Page 4																											chc5278000013						chc52780000130004001	image/tiff	116738380 Bytes	5315	7320	1077298572	RGB	8	600	chc52780000130004001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/23	23	31.jp2	/chc5278/image/31.jp2
Adolfo de Obieta letter to Virgilio Piñera, August 20, 1942		Obieta, Adolfo de				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1942-08-20	1940-1950	Buenos Aires (Argentina)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 2; Folder Title: Correspondence: to Virgilio Piñera from Adolfo de Obieta; Folder Date: n.d., 1942-1944, 1949, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5278000013	Text																2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/24	24	32.cpd	/chc5278/image/32.cpd
Page 1																											chc5278000003						chc52780000030001001	image/tiff	104422032 Bytes	5160	6744	1177927620	RGB	8	600	chc52780000030001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/25	25	33.jp2	/chc5278/image/33.jp2
Page 2																											chc5278000003						chc52780000030002001	image/tiff	104091876 Bytes	5169	6711	1442191695	RGB	8	600	chc52780000030002001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/26	26	34.jp2	/chc5278/image/34.jp2
Virgilio Piñera letter to Adolfo de Obieta, June 9, 1944		Piñera, Virgilio				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1944-06-09	1940-1950	Havana (Cuba)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 1; Folder Title: Correspondence: from Virgilio Piñera to Adolfo de Obieta; Folder Date: 1942-1945, 1948, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5278000003	Text																2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/27	27	35.cpd	/chc5278/image/35.cpd
Page 1																											chc5278000016						chc52780000160001001	image/tiff	102710156 Bytes	5370	6374	688748726	RGB	8	600	chc52780000160001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/28	28	36.jp2	/chc5278/image/36.jp2
Page 2																											chc5278000016						chc52780000160002001	image/tiff	103800520 Bytes	5400	6406	757586927	RGB	8	600	chc52780000160002001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/29	29	37.jp2	/chc5278/image/37.jp2
Adolfo de Obieta letter to Virgilio Piñera, August 5, 1944		Obieta, Adolfo de				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1944-08-05	1940-1950	Buenos Aires (Argentina)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 2; Folder Title: Correspondence: to Virgilio Piñera from Adolfo de Obieta; Folder Date: n.d., 1942-1944, 1949, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5278000016	Text																2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/30	30	38.cpd	/chc5278/image/38.cpd
Page 1																											chc5278000009						chc52780000090001001	image/tiff	56897932 Bytes	3565	5318	2873956509	RGB	8	600	chc52780000090001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/31	31	39.jp2	/chc5278/image/39.jp2
Page 2																											chc5278000009						chc52780000090002001	image/tiff	56349684 Bytes	3542	5301	1708228506	RGB	8	600	chc52780000090002001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/32	32	40.jp2	/chc5278/image/40.jp2
Virgilio Piñera letter to Adolfo de Obieta, July 13, 1948		Piñera, Virgilio				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1948-07-13	1940-1950	Havana (Cuba)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 1; Folder Title: Correspondence: from Virgilio Piñera to Adolfo de Obieta; Folder Date: 1942-1945, 1948, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5278000009	Text																2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/33	33	41.cpd	/chc5278/image/41.cpd
Page 1																											chc5278000017						chc52780000170001001	image/tiff	107894196 Bytes	5085	7071	3463620355	RGB	8	600	chc52780000170001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/34	34	42.jp2	/chc5278/image/42.jp2
Page 2																											chc5278000017						chc52780000170002001	image/tiff	108161380 Bytes	5105	7061	2321507689	RGB	8	600	chc52780000170002001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/35	35	43.jp2	/chc5278/image/43.jp2
Adolfo de Obieta letter to Virgilio Piñera, January 29, 1949		Obieta, Adolfo de				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1949-01-29	1940-1950	Buenos Aires (Argentina)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 2; Folder Title: Correspondence: to Virgilio Piñera from Adolfo de Obieta; Folder Date: n.d., 1942-1944, 1949, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5278000017	Text																2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/36	36	44.cpd	/chc5278/image/44.cpd
Page 1																											chc5278000005						chc52780000050001001	image/tiff	103312456 Bytes	5161	6671	1664871167	RGB	8	600	chc52780000050001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/37	37	45.jp2	/chc5278/image/45.jp2
Page 2																											chc5278000005						chc52780000050002001	image/tiff	102434580 Bytes	5138	6644	2398770283	RGB	8	600	chc52780000050002001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/38	38	46.jp2	/chc5278/image/46.jp2
Virgilio Piñera letter to Adolfo de Obieta, August 20, 1945		Piñera, Virgilio				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1945-08-20	1940-1950	Havana (Cuba)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 1; Folder Title: Correspondence: from Virgilio Piñera to Adolfo de Obieta; Folder Date: 1942-1945, 1948, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5278000005	Text																2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/39	39	47.cpd	/chc5278/image/47.cpd
Page 1																											chc5278000014						chc52780000140001001	image/tiff	124820388 Bytes	5285	7871	2378567722	RGB	8	600	chc52780000140001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/40	40	48.jp2	/chc5278/image/48.jp2
Page 2																											chc5278000014						chc52780000140002001	image/tiff	122027140 Bytes	5342	7613	4198072311	RGB	8	600	chc52780000140002001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/41	41	49.jp2	/chc5278/image/49.jp2
Adolfo de Obieta letter to Virgilio Piñera, January 10, 1943		Obieta, Adolfo de				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1943-01-10	1940-1950	Buenos Aires (Argentina)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 2; Folder Title: Correspondence: to Virgilio Piñera from Adolfo de Obieta; Folder Date: n.d., 1942-1944, 1949, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		chc5278000014	Text																2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/42	42	50.cpd	/chc5278/image/50.cpd
Virgilio Piñera letter to Adolfo de Obieta, July 1, 1948		Piñera, Virgilio				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1948-07-01	1940-1950	Havana (Cuba)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 1; Folder Title: Correspondence: from Virgilio Piñera to Adolfo de Obieta; Folder Date: 1942-1945, 1948, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					chc52780000080001001	image/tiff	52205760 Bytes	5128	3392	2001100931	RGB	8	600	chc52780000080001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/43	43	6.jp2	/chc5278/image/6.jp2
Virgilio Piñera letter to Adolfo de Obieta		Piñera, Virgilio				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence			1940-1950	Havana (Cuba)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 1; Folder Title: Correspondence: from Virgilio Piñera to Adolfo de Obieta; Folder Date: 1942-1945, 1948, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					chc52780000060001001	image/tiff	51535592 Bytes	5112	3359	3419077814	RGB	8	600	chc52780000060001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/44	44	1.jp2	/chc5278/image/1.jp2
Virgilio Piñera letter to Adolfo de Obieta, June 30, 1943		Piñera, Virgilio				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1943-06-30	1940-1950	Havana (Cuba)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 1; Folder Title: Correspondence: from Virgilio Piñera to Adolfo de Obieta; Folder Date: 1942-1945, 1948, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					chc52780000020001001	image/tiff	102734480 Bytes	5160	6635	4261025098	RGB	8	600	chc52780000020001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/45	45	3.jp2	/chc5278/image/3.jp2
Adolfo de Obieta letter to Virgilio Piñera, August 6, 1953		Obieta, Adolfo de				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1953-08-06	1950-1960	Buenos Aires (Argentina)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 2; Folder Title: Correspondence: to Virgilio Piñera from Adolfo de Obieta; Folder Date: n.d., 1942-1944, 1949, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					chc52780000180001001	image/tiff	104681548 Bytes	5150	6774	630388965	RGB	8	600	chc52780000180001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/46	46	5.jp2	/chc5278/image/5.jp2
Adolfo de Obieta letter to Virgilio Piñera, May 25, 1942		Obieta, Adolfo de				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1942-05-25	1940-1950	Buenos Aires (Argentina)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 2; Folder Title: Correspondence: to Virgilio Piñera from Adolfo de Obieta; Folder Date: n.d., 1942-1944, 1949, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					chc52780000120001001	image/tiff	113607928 Bytes	5381	7036	2069093723	RGB	8	600	chc52780000120001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/47	47	7.jp2	/chc5278/image/7.jp2
Virgilio Piñera letter to Adolfo de Obieta, December 22, 1948		Piñera, Virgilio				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1948-12-22	1940-1950	Havana (Cuba)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 1; Folder Title: Correspondence: from Virgilio Piñera to Adolfo de Obieta; Folder Date: 1942-1945, 1948, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					chc52780000100001001	image/tiff	104013224 Bytes	5193	6675	4282095603	RGB	8	600	chc52780000100001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/48	48	4.jp2	/chc5278/image/4.jp2
Virgilio Piñera letter to Adolfo de Obieta, June 20, 1953		Piñera, Virgilio				Letters; Piñera, Virgilio, 1912-1979; Obieta, Adolfo de	Correspondence		1953-06-20	1950-1960	Havana (Cuba)	1 letter	spa		University of Miami Libraries. Cuban Heritage Collection.	Virgilio Piñera Collection	CHC5278		Box No. 1; Folder No. 1; Folder Title: Correspondence: from Virgilio Piñera to Adolfo de Obieta; Folder Date: 1942-1945, 1948, 1953			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					chc52780000110001001	image/tiff	103199224 Bytes	5174	6647	3102877744	RGB	8	600	chc52780000110001001.tif		2012-03-20	2012-03-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/49	49	2.jp2	/chc5278/image/2.jp2
Page 1	Página 1														University of Miami Libraries. Cuban Heritage Collection	Cuban Manuscripts Collection	347		Box No. 7, Folder No. 10, Folder Title Piñero, Virgilio - Una caja de zapatos vacia.			mcz		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0347000185	Text		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		chc03470001850001001	image/tiff; image/tiff	122645436 Bytes	5157	7926	774599717	RGB	8	600	chc03470001850001001.tif		2012-03-29	2012-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/50	50	51.jp2	/chc5278/image/51.jp2
Blank page	Página en blanco														University of Miami Libraries. Cuban Heritage Collection	Cuban Manuscripts Collection	347		Box No. 7, Folder No. 10, Folder Title Piñero, Virgilio - Una caja de zapatos vacia.			mcz		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0347000185	Text		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		chc03470001850002001	image/tiff; image/tiff	122643840 Bytes	5157	7926	1848804222	RGB	8	600	chc03470001850002001.tif		2012-03-29	2012-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/51	51	52.jp2	/chc5278/image/52.jp2
Page 2	Página 2														University of Miami Libraries. Cuban Heritage Collection	Cuban Manuscripts Collection	347		Box No. 7, Folder No. 10, Folder Title Piñero, Virgilio - Una caja de zapatos vacia.			mcz		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0347000185	Text		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		chc03470001850003001	image/tiff; image/tiff	122810244 Bytes	5160	7932	754998309	RGB	8	600	chc03470001850003001.tif		2012-03-29	2012-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/52	52	53.jp2	/chc5278/image/53.jp2
Blank page	Página en blanco														University of Miami Libraries. Cuban Heritage Collection	Cuban Manuscripts Collection	347		Box No. 7, Folder No. 10, Folder Title Piñero, Virgilio - Una caja de zapatos vacia.			mcz		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0347000185	Text		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		chc03470001850004001	image/tiff; image/tiff	122643636 Bytes	5157	7926	285246266	RGB	8	600	chc03470001850004001.tif		2012-03-29	2012-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/53	53	54.jp2	/chc5278/image/54.jp2
Page 3	Página 3														University of Miami Libraries. Cuban Heritage Collection	Cuban Manuscripts Collection	347		Box No. 7, Folder No. 10, Folder Title Piñero, Virgilio - Una caja de zapatos vacia.			mcz		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0347000185	Text		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		chc03470001850005001	image/tiff; image/tiff	122905888 Bytes	5181	7906	3234283861	RGB	8	600	chc03470001850005001.tif		2012-03-29	2012-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/54	54	55.jp2	/chc5278/image/55.jp2
Blank page	Página en blanco														University of Miami Libraries. Cuban Heritage Collection	Cuban Manuscripts Collection	347		Box No. 7, Folder No. 10, Folder Title Piñero, Virgilio - Una caja de zapatos vacia.			mcz		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0347000185	Text		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		chc03470001850006001	image/tiff; image/tiff	122643492 Bytes	5157	7926	3438060615	RGB	8	600	chc03470001850006001.tif		2012-03-29	2012-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/55	55	56.jp2	/chc5278/image/56.jp2
Page 4	Página 4														University of Miami Libraries. Cuban Heritage Collection	Cuban Manuscripts Collection	347		Box No. 7, Folder No. 10, Folder Title Piñero, Virgilio - Una caja de zapatos vacia.			mcz		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0347000185	Text		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		chc03470001850007001	image/tiff; image/tiff	122646316 Bytes	5157	7926	1634092958	RGB	8	600	chc03470001850007001.tif		2012-03-29	2012-03-29	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5278/id/56	56	57.jp2	/chc5278/image/57.jp2
