Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection  No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Helen Muir letter to Teresa Heinz, May 28, 1994		Muir, Helen, 1911-		Helen Muir writes, "I apologize for the lapsed time since your May 12th request for information about Marjory Stoneman Douglas. I am on deadline for a book and therefore the mail suffers. MSD and I have been friends for sixty years, since I arrived from N.Y.C. in 1934 as a working journalist. We live on the same Coconut Grove street. She has earned all the honors she has won for her persistence about the Everglades. Last November I attended the White House ceremony when President Clinton awarded her the Freedom Medal. So there is no doubt about her acceptability. What I like about the Heinz Award is that it carries money along with it and that has always been in short supply for Marjory. The State of Florida purchased her house to provide her with income. On her death (she will be 105 next April 7th) the house will be turned into a sort of museum in her memory. I am happy to hear that the Heinz Family Foundation is considering my old friend."		Douglas, Marjory Stoneman; Heinz Kerry, Teresa, 1938-; letters	Correspondence		1994-05-28	1990-2000	Miami, Florida	2 handwritten leaves	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 4;  Folder Title: Douglas, Marjory Stoneman.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000001	Text					asm0471000001	image/tiff										2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/41	41	42.cpd	/asm0471/image/42.cpd
Page 1																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000004						asm04710000040001001	image/tiff	12965.228 KB	5272	6793	0x8223648D	RGB	24 bit depth	600 dpi	asm04710000040001001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/42	42	43.jp2	/asm0471/image/43.jp2
Page 2																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000004						asm04710000040002001	image/tiff	13111.03 KB	5272	6793	0xA44A108B	RGB	24 bit depth	600 dpi	asm04710000040002001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/43	43	44.jp2	/asm0471/image/44.jp2
Page 3																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000004						asm04710000040003001	image/tiff	13207.378 KB	5272	6793	0xABD71B95	RGB	24 bit depth	600 dpi	asm04710000040003001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/44	44	45.jp2	/asm0471/image/45.jp2
Page 4																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000004						asm04710000040004001	image/tiff	12247.273 KB	5272	6793	0xF5879E8A	RGB	24 bit depth	600 dpi	asm04710000040004001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/45	45	46.jp2	/asm0471/image/46.jp2
Marjory Stoneman Douglas letter to the Former Housekeepers' Club, March 5, 1984		Douglas, Marjory Stoneman		Douglas writes about attending a meeting of the Housekeepers' Club Executive Board, Helen Muir of the Dade County Library Board, and Edward Sintz, Director of the Dade County Library System. The topic is of merging the Woman's Club of Coconut Grove and the Coconut Grove Library with the Dade County Library System. Douglas urges that the Housekeepers' Club sell their building to the Dade County Library System, which is in need of auditoriums and which can maintain the historic building and its grounds.		Land use; Muir, Helen, 1911-; letters	Correspondence		1984-03-05	1980-1990	Coconut Grove, Florida	4 handwritten leaves	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 4;  Folder Title: Douglas, Marjory Stoneman.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000004	Text					asm0471000004	image/tiff										2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/46	46	47.cpd	/asm0471/image/47.cpd
Page 1																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000007						asm04710000070001001	image/tiff	14968.344 KB	5320	8562	0x5579CF0D	RGB	24 bit depth	600 dpi	asm04710000070001001.tif		2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/47	47	48.jp2	/asm0471/image/48.jp2
Page 2																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000007						asm04710000070002001	image/tiff	13782.201 KB	5320	8562	0x783E0E2B	RGB	24 bit depth	600 dpi	asm04710000070002001.tif		2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/48	48	49.jp2	/asm0471/image/49.jp2
Page 3																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000007						asm04710000070003001	image/tiff	13839.069 KB	5320	8562	0xA16EDC5	RGB	24 bit depth	600 dpi	asm04710000070003001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/49	49	50.jp2	/asm0471/image/50.jp2
Page 4																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000007						asm04710000070004001	image/tiff	14690.731 KB	5320	8562	0xE48A2689	RGB	24 bit depth	600 dpi	asm04710000070004001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/50	50	51.jp2	/asm0471/image/51.jp2
Page 5																Helen Muir Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000007						asm04710000070005001	image/tiff	14192.487 KB	5320	8562	0x1E954290	RGB	24 bit depth	600 dpi	asm04710000070005001.tif		2008-06-09	2008-06-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/51	51	52.jp2	/asm0471/image/52.jp2
Catalog of works by Richard Merrick, art professor at the University of Miami				Entitled "Artist at 80." List includes various etchings, drawings, wood engravings, pieces of furniture, oil paintings, water color paintings, photographs, and lithographs.	Richard Merrick was the younger brother of George Merrick, founder of the city of Coral Gables	Merrick, Richard L., 1903-1986; Merrick, George E.	Catalogs	Coral Gables Branch Library	c. 1983	1980-1990	Coral Gables, Florida	5 typewritten leaves	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 9; Folder Title: Merrick, Richard and George.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000007	Text					asm0471000007	image/tiff										2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/52	52	53.cpd	/asm0471/image/53.cpd
George Firestone letter to Helen Muir, June 21, 1979		Firestone, George		Florida Secretary of State George Firestone notifies Helen Muir that he is appointing her to a four-year term on the State Library Advisory Council.		Muir, Helen, 1911-; letters	Correspondence		1979-06-21	1970-1980	Tallahassee, Florida	1 typewritten leaf	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 6; Folder Title: Correspondence - Firestone, George, Secretary of State.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000005						asm04710000050001001	image/tiff	11364.036 KB	5242	6763	0x684D27BC	RGB	24 bit depth	600 dpi	asm04710000050001001.tif		2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/53	53	54.jp2	/asm0471/image/54.jp2
Helen Muir letter to George Firestone, July 6, 1979		Muir, Helen, 1911-		Helen Muir notifies George Firestone of her acceptance of her appointment to the State Library Advisory Council.		Firestone, George; letters	Correspondence		1979-07-06	1970-1980		1 typewritten leaf	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 6; Folder Title: Correspondence - Firestone, George, Secretary of State.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000005						asm04710000050002001	image/tiff	9483.453 KB	4942	6553	0x147F02D1	RGB	24 bit depth	600 dpi	asm04710000050002001.tif		2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/54	54	55.jp2	/asm0471/image/55.jp2
George Firestone letter to Helen Muir, September 9, 1983		Firestone, George		Florida Secretary of State George Firestone notifies Helen Muir that he is appointing her to a second four-year term on the State Library Advisory Council.		Muir, Helen, 1911-; letters	Correspondence		1983-09-09	1980-1990	Tallahassee, Florida	1 typewritten leaf	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 6; Folder Title: Correspondence - Firestone, George, Secretary of State.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000005						asm04710000050003001	image/tiff	11567.254 KB	5272	6763	0xC0D52AC2	RGB	24 bit depth	600 dpi	asm04710000050003001.tif		2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/55	55	56.jp2	/asm0471/image/56.jp2
Correspondence between George Firestone and Helen Muir		Firestone, George; Muir, Helen, 1911-				Muir, Helen, 1911-; letters; Firestone, George	Correspondence		1979-1983	1970-1990		3 typewritten leaves	eng		University of Miami Libraries. Special Collections	Helen Muir Papers	ASM0471	Series: I Correspondence	Box No. 6; Folder Title: Correspondence - Firestone, George, Secretary of State.			AL			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0471000005	Text					asm0471000005	image/tiff										2010-04-30	2010-04-30	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0471/id/56	56	57.cpd	/asm0471/image/57.cpd
