Title	Translated Title	Variation of Title	Uniform Title	IBISWEB Catalog Link	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Call Number	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
The Army headquarters																														chc0364000002		chc03640000020011001							110542816 Bytes	5000	3684	2757747703	RGB	16	600	chc03640000020011001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/10	10	11.jp2	/chc0364/image/11.jp2
General Wade and staff																														chc0364000002		chc03640000020012001							308299844 Bytes	8368	6140	3894817971	RGB	16	600	chc03640000020012001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/11	11	12.jp2	/chc0364/image/12.jp2
Transport vessels for Cuba																														chc0364000002		chc03640000020013001							308731508 Bytes	8377	6142	1875888960	RGB	16	600	chc03640000020013001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/12	12	13.jp2	/chc0364/image/13.jp2
Camp Chickamauga																														chc0364000002		chc03640000020014001							309296336 Bytes	8361	6165	2972301059	RGB	16	600	chc03640000020014001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/13	13	14.jp2	/chc0364/image/14.jp2
An Army store																														chc0364000002		chc03640000020015001							315175188 Bytes	8465	6205	3930184392	RGB	16	600	chc03640000020015001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/14	14	15.jp2	/chc0364/image/15.jp2
A street scene, Manila																														chc0364000002		chc03640000020016001							310669056 Bytes	8409	6157	1051856497	RGB	16	600	chc03640000020016001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/15	15	16.jp2	/chc0364/image/16.jp2
A torpedo explosion																														chc0364000002		chc03640000020017001							312550244 Bytes	6165	8449	744594607	RGB	16	600	chc03640000020017001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/16	16	17.jp2	/chc0364/image/17.jp2
List of contents																														chc0364000002		chc03640000020018001							308279668 Bytes	8377	6133	2459155058	RGB	16	600	chc03640000020018001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/17	17	18.jp2	/chc0364/image/18.jp2
Page 19																														chc0364000002		chc03640000020019001							309380148 Bytes	8385	6149	3448503917	RGB	16	600	chc03640000020019001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/18	18	19.jp2	/chc0364/image/19.jp2
Through the war by camera : a weekly artfolio of current events, on land and sea in the Spanish-American War of 1898, No. 10, July 11, 1898																1 viewbook, 18 pages														chc0364000002		chc03640000020020001							309239776 Bytes	8425	6117	530352749	RGB	16	600	chc03640000020020001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/19	19	20.jp2	/chc0364/image/20.jp2
Page 21																														chc0364000002		chc03640000020021001							311443088 Bytes	8441	6149	1254407720	RGB	16	600	chc03640000020021001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/20	20	21.jp2	/chc0364/image/21.jp2
The troop ship China leaving San Francisco																														chc0364000002		chc03640000020022001							317109908 Bytes	8528	6197	2873811831	RGB	16	600	chc03640000020022001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/21	21	22.jp2	/chc0364/image/22.jp2
The heart of Manila																														chc0364000002		chc03640000020023001							316693864 Bytes	8561	6165	3206247965	RGB	16	600	chc03640000020023001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/22	22	23.jp2	/chc0364/image/23.jp2
The hospital ship Solace																														chc0364000002		chc03640000020024001							310794724 Bytes	8433	6142	2161130870	RGB	16	600	chc03640000020024001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/23	23	24.jp2	/chc0364/image/24.jp2
The interior of a hospital ship																														chc0364000002		chc03640000020025001							310934572 Bytes	8408	6163	820786221	RGB	16	600	chc03640000020025001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/24	24	25.jp2	/chc0364/image/25.jp2
An operating room at sea																														chc0364000002		chc03640000020026001							312651704 Bytes	8404	6200	2473382696	RGB	16	600	chc03640000020026001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/25	25	26.jp2	/chc0364/image/26.jp2
With the Spanish at Guantanamo																														chc0364000002		chc03640000020027001							314352948 Bytes	8428	6216	1962092757	RGB	16	600	chc03640000020027001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/26	26	27.jp2	/chc0364/image/27.jp2
Admiral Cervera's headquarters																														chc0364000002		chc03640000020028001							314020732 Bytes	8415	6219	1612378434	RGB	16	600	chc03640000020028001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/27	27	28.jp2	/chc0364/image/28.jp2
The Infanta Maria Teresa																														chc0364000002		chc03640000020029001							312726720 Bytes	8462	6159	1918997052	RGB	16	600	chc03640000020029001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/28	28	29.jp2	/chc0364/image/29.jp2
Cities of the War																														chc0364000002		chc03640000020030001							312255692 Bytes	8392	6201	2030450439	RGB	16	600	chc03640000020030001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/29	29	30.jp2	/chc0364/image/30.jp2
A great flag raising																														chc0364000002		chc03640000020031001							313225288 Bytes	6179	8448	2211552298	RGB	16	600	chc03640000020031001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/30	30	31.jp2	/chc0364/image/31.jp2
Where the ammunition comes from																														chc0364000002		chc03640000020032001							311589856 Bytes	8408	6176	483083076	RGB	16	600	chc03640000020032001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/31	31	32.jp2	/chc0364/image/32.jp2
Guarding the government powder mills																														chc0364000002		chc03640000020033001							313405904 Bytes	8457	6176	2716000637	RGB	16	600	chc03640000020033001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/32	32	33.jp2	/chc0364/image/33.jp2
Testing explosives																														chc0364000002		chc03640000020034001							313434504 Bytes	8425	6200	1708465023	RGB	16	600	chc03640000020034001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/33	33	34.jp2	/chc0364/image/34.jp2
The bread supply																														chc0364000002		chc03640000020035001							314590468 Bytes	8433	6217	4239507641	RGB	16	600	chc03640000020035001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/34	34	35.jp2	/chc0364/image/35.jp2
How the cavalry are cared for																														chc0364000002		chc03640000020036001							314888616 Bytes	8441	6217	1119161824	RGB	16	600	chc03640000020036001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/35	35	36.jp2	/chc0364/image/36.jp2
The awkward squad																														chc0364000002		chc03640000020037001							312201256 Bytes	8456	6153	3904621310	RGB	16	600	chc03640000020037001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/36	36	37.jp2	/chc0364/image/37.jp2
Through the war by camera : a weekly artfolio of current events, on land and sea in the Spanish-American War of 1898, No. 12, July 25, 1898																1 viewbook, 20 pages														chc0364000002		chc03640000020038001							311583128 Bytes	8420	6167	2960419067	RGB	16	600	chc03640000020038001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/37	37	38.jp2	/chc0364/image/38.jp2
Page 39																														chc0364000002		chc03640000020039001							313087160 Bytes	8428	6191	828088491	RGB	16	600	chc03640000020039001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/38	38	39.jp2	/chc0364/image/39.jp2
The Ministry of War, Madrid																														chc0364000002		chc03640000020040001							309507100 Bytes	8364	6167	259653183	RGB	16	600	chc03640000020040001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/39	39	40.jp2	/chc0364/image/40.jp2
Changing the guard at the Royal Palace, Madrid																														chc0364000002		chc03640000020041001							311200056 Bytes	8388	6183	3483971983	RGB	16	600	chc03640000020041001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/40	40	41.jp2	/chc0364/image/41.jp2
The Queen's Body-Guard																														chc0364000002		chc03640000020042001							310242888 Bytes	8373	6175	1741964201	RGB	16	600	chc03640000020042001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/41	41	42.jp2	/chc0364/image/42.jp2
General Weyler's house in Madrid																														chc0364000002		chc03640000020043001							310507008 Bytes	6181	8372	4252559964	RGB	16	600	chc03640000020043001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/42	42	43.jp2	/chc0364/image/43.jp2
Recruiting in the streets																														chc0364000002		chc03640000020044001							314712632 Bytes	8420	6229	1469544299	RGB	16	600	chc03640000020044001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/43	43	44.jp2	/chc0364/image/44.jp2
On the way to the war																														chc0364000002		chc03640000020045001							312218836 Bytes	8364	6221	2227766680	RGB	16	600	chc03640000020045001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/44	44	45.jp2	/chc0364/image/45.jp2
Armor on the Buffalo																														chc0364000002		chc03640000020046001							314690148 Bytes	8452	6205	681590333	RGB	16	600	chc03640000020046001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/45	45	46.jp2	/chc0364/image/46.jp2
Wounded																														chc0364000002		chc03640000020047001							315585444 Bytes	8415	6250	2458577745	RGB	16	600	chc03640000020047001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/46	46	47.jp2	/chc0364/image/47.jp2
The transport of Army ammunition and supplies in Santiago Province																														chc0364000002		chc03640000020048001							310576412 Bytes	8359	6192	2561868489	RGB	16	600	chc03640000020048001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/47	47	48.jp2	/chc0364/image/48.jp2
Bathing horses, Havana Harbor																														chc0364000002		chc03640000020049001							312018868 Bytes	8387	6200	1174750188	RGB	16	600	chc03640000020049001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/48	48	49.jp2	/chc0364/image/49.jp2
The Red Cross in Cuba																														chc0364000002		chc03640000020050001							312904344 Bytes	6205	8404	3201040827	RGB	16	600	chc03640000020050001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/49	49	50.jp2	/chc0364/image/50.jp2
The Astor Battery and its Commander																														chc0364000002		chc03640000020051001							312316824 Bytes	8395	6200	549786334	RGB	16	600	chc03640000020051001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/50	50	51.jp2	/chc0364/image/51.jp2
Captured Manila																														chc0364000002		chc03640000020052001							311108512 Bytes	8395	6176	2426087266	RGB	16	600	chc03640000020052001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/51	51	52.jp2	/chc0364/image/52.jp2
A new Philippines Fort																														chc0364000002		chc03640000020053001							311511480 Bytes	8395	6184	147646415	RGB	16	600	chc03640000020053001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/52	52	53.jp2	/chc0364/image/53.jp2
Small arms																														chc0364000002		chc03640000020054001							310302720 Bytes	8395	6160	4209317825	RGB	16	600	chc03640000020054001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/53	53	54.jp2	/chc0364/image/54.jp2
Three Famous Fighters																														chc0364000002		chc03640000020055001							312438620 Bytes	8420	6184	226096797	RGB	16	600	chc03640000020055001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/54	54	55.jp2	/chc0364/image/55.jp2
Page 56																														chc0364000002		chc03640000020056001							312992524 Bytes	8435	6184	2699875590	RGB	16	600	chc03640000020056001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/55	55	56.jp2	/chc0364/image/56.jp2
Page 57																														chc0364000002		chc03640000020057001							312807200 Bytes	8419	6192	2971521773	RGB	16	600	chc03640000020057001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/56	56	57.jp2	/chc0364/image/57.jp2
Through the war by camera : a weekly artfolio of current events, on land and sea in the Spanish-American War of 1898, No. 13, August 1, 1898																1 viewbook, 19 pages														chc0364000002		chc03640000020058001							314259684 Bytes	8469	6184	2803797418	RGB	16	600	chc03640000020058001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/57	57	58.jp2	/chc0364/image/58.jp2
Page 59																														chc0364000002		chc03640000020059001							314435136 Bytes	8452	6200	2575753907	RGB	16	600	chc03640000020059001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/58	58	59.jp2	/chc0364/image/59.jp2
Santiago bombarded																														chc0364000002		chc03640000020060001							315285908 Bytes	8453	6216	820185240	RGB	16	600	chc03640000020060001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/59	59	60.jp2	/chc0364/image/60.jp2
The Government Ammunition Store																														chc0364000002		chc03640000020061001							319487160 Bytes	8500	6264	3032384468	RGB	16	600	chc03640000020061001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/60	60	61.jp2	/chc0364/image/61.jp2
Manila troops at Camp Foster																														chc0364000002		chc03640000020062001							317256808 Bytes	8484	6232	1947261992	RGB	16	600	chc03640000020062001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/61	61	62.jp2	/chc0364/image/62.jp2
General Miles and staff																														chc0364000002		chc03640000020063001							317083736 Bytes	8459	6247	2380243142	RGB	16	600	chc03640000020063001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/62	62	63.jp2	/chc0364/image/63.jp2
Moving an Army																														chc0364000002		chc03640000020064001							318689720 Bytes	8491	6255	1176886916	RGB	16	600	chc03640000020064001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/63	63	64.jp2	/chc0364/image/64.jp2
An avenger of the Maine																														chc0364000002		chc03640000020065001							315051828 Bytes	6207	8459	1289876656	RGB	16	600	chc03640000020065001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/64	64	65.jp2	/chc0364/image/65.jp2
Forage for our cavalry in Cuba																														chc0364000002		chc03640000020066001							319179540 Bytes	8481	6272	392807742	RGB	16	600	chc03640000020066001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/65	65	66.jp2	/chc0364/image/66.jp2
War animals																														chc0364000002		chc03640000020067001							319267140 Bytes	6256	8505	1290911197	RGB	16	600	chc03640000020067001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/66	66	67.jp2	/chc0364/image/67.jp2
Fortification, Cadiz																														chc0364000002		chc03640000020068001							319141184 Bytes	8480	6272	327470501	RGB	16	600	chc03640000020068001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/67	67	68.jp2	/chc0364/image/68.jp2
A Spanish walled town																														chc0364000002		chc03640000020069001							317756068 Bytes	8496	6233	4011272764	RGB	16	600	chc03640000020069001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/68	68	69.jp2	/chc0364/image/69.jp2
Camara's Suez trip																														chc0364000002		chc03640000020070001							318608764 Bytes	8497	6249	2787980028	RGB	16	600	chc03640000020070001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/69	69	70.jp2	/chc0364/image/70.jp2
Commodore Watson's Flagship																														chc0364000002		chc03640000020071001							316729828 Bytes	8489	6218	476446676	RGB	16	600	chc03640000020071001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/70	70	71.jp2	/chc0364/image/71.jp2
Sixth Ohio colored volunteers																														chc0364000002		chc03640000020072001							316703816 Bytes	8457	6241	1717806753	RGB	16	600	chc03640000020072001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/71	71	72.jp2	/chc0364/image/72.jp2
Plaza de Santa Ana, Las Palmas																														chc0364000002		chc03640000020073001							315378228 Bytes	8465	6209	2885239170	RGB	16	600	chc03640000020073001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/72	72	73.jp2	/chc0364/image/73.jp2
The Cathedral and Palace, Manila																														chc0364000002		chc03640000020074001							315262448 Bytes	6231	8432	3560466649	RGB	16	600	chc03640000020074001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/73	73	74.jp2	/chc0364/image/74.jp2
Page 75																														chc0364000002		chc03640000020075001							313235156 Bytes	8432	6191	368878376	RGB	16	600	chc03640000020075001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/74	74	75.jp2	/chc0364/image/75.jp2
Page 76																														chc0364000002		chc03640000020076001							314674896 Bytes	8472	6190	2070339542	RGB	16	600	chc03640000020076001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/75	75	76.jp2	/chc0364/image/76.jp2
Through the war by camera : a weekly artfolio of current events, on land and sea in the Spanish-American War of 1898, No. 15, August 15, 1898																1 viewbook, 20 pages														chc0364000002		chc03640000020077001							313429720 Bytes	8448	6183	4113828631	RGB	16	600	chc03640000020077001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/76	76	77.jp2	/chc0364/image/77.jp2
Page 78																														chc0364000002		chc03640000020078001							314235756 Bytes	8448	6199	269309800	RGB	16	600	chc03640000020078001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/77	77	78.jp2	/chc0364/image/78.jp2
The Almirante Oquendo																														chc0364000002		chc03640000020079001							317001244 Bytes	8499	6216	3468601304	RGB	16	600	chc03640000020079001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/78	78	79.jp2	/chc0364/image/79.jp2
The Colt automatic gun																														chc0364000002		chc03640000020080001							314992928 Bytes	8456	6208	1601776980	RGB	16	600	chc03640000020080001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/79	79	80.jp2	/chc0364/image/80.jp2
The Vizcaya																														chc0364000002		chc03640000020081001							313989788 Bytes	8440	6200	1456097090	RGB	16	600	chc03640000020081001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/80	80	81.jp2	/chc0364/image/81.jp2
Landing on Cuban soil																														chc0364000002		chc03640000020082001							315072300 Bytes	8480	6192	1046454054	RGB	16	600	chc03640000020082001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/81	81	82.jp2	/chc0364/image/82.jp2
Unforbidden fruit																														chc0364000002		chc03640000020083001							316402436 Bytes	8472	6224	1308914985	RGB	16	600	chc03640000020083001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/82	82	83.jp2	/chc0364/image/83.jp2
Queen of the Fighters																														chc0364000002		chc03640000020084001							314991292 Bytes	8456	6208	1188412913	RGB	16	600	chc03640000020084001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/83	83	84.jp2	/chc0364/image/84.jp2
War scenes in Cuba																														chc0364000002		chc03640000020085001							316809252 Bytes	6232	8472	6409566	RGB	16	600	chc03640000020085001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/84	84	85.jp2	/chc0364/image/85.jp2
Building a pontoon bridge																														chc0364000002		chc03640000020086001							316046560 Bytes	8453	6231	2177617144	RGB	16	600	chc03640000020086001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/85	85	86.jp2	/chc0364/image/86.jp2
Cuban scouts																														chc0364000002		chc03640000020087001							314911168 Bytes	8477	6191	4025358461	RGB	16	600	chc03640000020087001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/86	86	87.jp2	/chc0364/image/87.jp2
The Palace, Havana																														chc0364000002		chc03640000020088001							315723232 Bytes	8477	6207	3403727732	RGB	16	600	chc03640000020088001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/87	87	88.jp2	/chc0364/image/88.jp2
The field gun																														chc0364000002		chc03640000020089001							314721436 Bytes	8461	6199	2039596155	RGB	16	600	chc03640000020089001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/88	88	89.jp2	/chc0364/image/89.jp2
Resting after drill																														chc0364000002		chc03640000020090001							316455744 Bytes	8498	6206	78571494	RGB	16	600	chc03640000020090001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/89	89	90.jp2	/chc0364/image/90.jp2
The land of latent fortunes																														chc0364000002		chc03640000020091001							316792696 Bytes	8477	6228	3030658284	RGB	16	600	chc03640000020091001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/90	90	91.jp2	/chc0364/image/91.jp2
Filippinos																														chc0364000002		chc03640000020092001							316130156 Bytes	8492	6204	3815604608	RGB	16	600	chc03640000020092001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/91	91	92.jp2	/chc0364/image/92.jp2
The gunboat Helena																														chc0364000002		chc03640000020093001							316753400 Bytes	8476	6228	2188548730	RGB	16	600	chc03640000020093001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/92	92	93.jp2	/chc0364/image/93.jp2
The return of the wounded																														chc0364000002		chc03640000020094001							315974180 Bytes	8496	6198	93620095	RGB	16	600	chc03640000020094001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/93	93	94.jp2	/chc0364/image/94.jp2
Page 95																														chc0364000002		chc03640000020095001							316697464 Bytes	8480	6224	2878536039	RGB	16	600	chc03640000020095001.tif		2011-06-30	2011-06-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0364/id/94	94	95.jp2	/chc0364/image/95.jp2
