Title	Translated Title	Creator	Recipient	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Web Site	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240001001	image/tiff	4020.844 KB	2388	5396	0x25AE6D42	RGB	24-bit depth	600 dpi	asm00750002240001001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/785	785	786.jp2	/asm0075/image/786.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240002001	image/tiff	4672.623 KB	2358	5396	0x2F42B09	RGB	24-bit depth	600 dpi	asm00750002240002001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/786	786	787.jp2	/asm0075/image/787.jp2
Page 3																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240003001	image/tiff	5560.681 KB	2343	5411	0xF68D2DA5	RGB	24-bit depth	600 dpi	asm00750002240003001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/787	787	788.jp2	/asm0075/image/788.jp2
Page 4																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240004001	image/tiff	4925.553 KB	2358	5396	0xAE4022DC	RGB	24-bit depth	600 dpi	asm00750002240004001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/788	788	789.jp2	/asm0075/image/789.jp2
Page 5																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240005001	image/tiff	5717.89 KB	2343	5411	0xB7739DF9	RGB	24-bit depth	600 dpi	asm00750002240005001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/789	789	790.jp2	/asm0075/image/790.jp2
Page 6																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240006001	image/tiff	4854.056 KB	2358	5396	0xA6A0CED9	RGB	24-bit depth	600 dpi	asm00750002240006001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/790	790	791.jp2	/asm0075/image/791.jp2
Page 7																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240007001	image/tiff	4821.936 KB	2343	5411	0xE6823A4	RGB	24-bit depth	600 dpi	asm00750002240007001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/791	791	792.jp2	/asm0075/image/792.jp2
Page 8																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240008001	image/tiff	5341.766 KB	2358	5396	0x79CCFC1D	RGB	24-bit depth	600 dpi	asm00750002240008001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/792	792	793.jp2	/asm0075/image/793.jp2
Page 9																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240009001	image/tiff	4831.061 KB	2343	5411	0xDEEBD286	RGB	24-bit depth	600 dpi	asm00750002240009001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/793	793	794.jp2	/asm0075/image/794.jp2
Page 10																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240010001	image/tiff	4810.224 KB	2358	5396	0x53C534D6	RGB	24-bit depth	600 dpi	asm00750002240010001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/794	794	795.jp2	/asm0075/image/795.jp2
Page 11																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240011001	image/tiff	4793.548 KB	2343	5411	0x66DB507D	RGB	24-bit depth	600 dpi	asm00750002240011001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/795	795	796.jp2	/asm0075/image/796.jp2
Page 12																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240012001	image/tiff	5366.555 KB	2358	5396	0xF395C11C	RGB	24-bit depth	600 dpi	asm00750002240012001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/796	796	797.jp2	/asm0075/image/797.jp2
Page 13																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240013001	image/tiff	5241.19 KB	2343	5411	0x39FC88F7	RGB	24-bit depth	600 dpi	asm00750002240013001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/797	797	798.jp2	/asm0075/image/798.jp2
Page 14																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240014001	image/tiff	5270.639 KB	2358	5396	0x1ADDFBF4	RGB	24-bit depth	600 dpi	asm00750002240014001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/798	798	799.jp2	/asm0075/image/799.jp2
Page 15																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240015001	image/tiff	5234.449 KB	2343	5411	0xA4095344	RGB	24-bit depth	600 dpi	asm00750002240015001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/799	799	800.jp2	/asm0075/image/800.jp2
Page 16																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224						asm00750002240016001	image/tiff	4299.536 KB	2358	5411	0x8F73FC76	RGB	24-bit depth	600 dpi	asm00750002240016001.tif		2008-05-17	2008-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/800	800	801.jp2	/asm0075/image/801.jp2
Something new and good to eat			Dorn, Mabel White; Dorn Brothers Company; Dorn, Harold; Dorn, Robert	Probable authors are Mabel White Dorn and the Dorn brothers. The book promotes the excellence of avocado, mango, and citrus fruits and of the soil and climate of Dade County for growing them. The final few pages sing the praises of South Miami and introduce the reader to the Dorn Brothers Company and their activities.	South Miami (previously known as Larkins) pioneers, inventors, and developers Robert and Harold Dorn built some of the city's earliest buildings: a post office, a bank, a drugstore. Harold was one of the first Aldermen of South Miami, and Robert was a member of the Town Council and the School Board. Robert's wife, Mary Wheeler Dorn, was a charter member of the Cocoplum Women's Club. Harold's wife, Mabel White Dorn, collaborated with Marjory Stoneman Douglas on books about fruits and vegetables native to South Florida.	Agriculture; Place marketing; Dorn Brothers Company	Books		1915	1915	Florida. Miami-Dade county. South Miami.	1 illustrated booklet (15 pages)			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 8, Folder Title: Promotion of avocado and mango growing in South Florida, 1915 (Special file 325).						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000224	Text					asm0075000224	image/tiff										2010-09-22	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/801	801	802.cpd	/asm0075/image/802.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000123						asm00750001230001001.tif	image/tiff	6382.507 KB	4897	3276	0x3FD66B21	RGB	24-bit depth	600 dpi	asm00750001230001001.tif		2008-05-18	2008-05-21	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/802	802	803.jp2	/asm0075/image/803.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000123						asm00750001230002001.tif	image/tiff	7204.021 KB	3259	4930	0x577D7281	RGB	24-bit depth	600 dpi	asm00750001230002001.tif		2008-05-18	2008-05-21	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/803	803	804.jp2	/asm0075/image/804.jp2
Telegraph from Ingraham to Morse		Ingraham, J. E. (James E.)	Morse, Frederick S., 1859-1920	Model Land Company vice-president James Ingraham sends this telegram to sales agent Frederick Morse: "Letter 8th regarding Dr Burkhart will allow 5 percent for cash Selections cover most of prairie on grant would not reduce price."		Land use; Burkhart, W. S.	Telegrams		1911-02-09-1911-02-09	1911	Florida. Miami-Dade county. Perrine.	1 typewritten document			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 3, Folder Title: Assigned contract: 11-56-39, 1912 (Special file 81).						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000123	Text				000123		image/tiff										2010-09-22	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/804	804	805.cpd	/asm0075/image/805.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000212						asm00750002120001001.tif	image/tiff	4884.421 KB	4897	3126	0x8FBEBED5	RGB	24-bit depth	600 dpi	asm00750002120001001.tif		2008-05-18	2008-05-21	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/805	805	806.jp2	/asm0075/image/806.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000212						asm00750002120002001.tif	image/tiff	5327.928 KB	4897	3126	0xB008905B	RGB	24-bit depth	600 dpi	asm00750002120002001.tif		2008-05-18	2008-05-21	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/806	806	807.jp2	/asm0075/image/807.jp2
Description of Coconut Grove property sold to A.T. Carter		Renfroe, D. J.; Renfroe, R. R.		Abstract of title of the land conveyed to the Florida East Coast Railway Company by the Renfroes in 1903.		Land use; Florida East Coast Railway	Forms (Documents)		1903-07-25	1903	Florida. Miami-Dade county. Miami. Coconut Grove.	1 typewritten form			University of Miami Libraries, Special Collections	Model Land Company Records	ASM0075	Series:  I Special Files	Box No.: 7, Folder Title: Sale: Coconut Grove, 1914. Plat: Coconut Grove (Special file 234).						http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000212	Text				000212		image/tiff										2010-09-22	2010-09-22	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/807	807	808.cpd	/asm0075/image/808.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000039						asm00750000390001001.tif	image/tiff	31412.038 KB	4869	6317	0xE89B1709	RGB	24-bit depth	600 dpi	asm00750000390001001.tif		2008-05-18	2008-05-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/808	808	809.jp2	/asm0075/image/809.jp2
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0075000039						asm00750000390002001.tif	image/tiff	29427.171 KB	4869	6317	0xB107ED29	RGB	24-bit depth	600 dpi	asm00750000390002001.tif		2008-05-18	2008-05-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0075/id/809	809	810.jp2	/asm0075/image/810.jp2
