Title	Translated title	Creator	Contributors	Production Title	Summary	Note	Subject	Genre	Publisher	Date	Theater Venue	Theater Company	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
(Left to right) Armando Romeu and Manuel Ochoa				Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000480001001	image/tiff	87207120 Bytes	6042	4810	3519986938	RGB	8	600	chc04870000480001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/344	344	354.jp2	/chc0487/image/354.jp2
Playbill for the production, "Los gavilanes"	Playbill for the production, "The sparrowhawks"			Los gavilanes				Playbills		1974-11-17	Miami High School Auditorium		1970-1980	Miami (Florida)	1 playbill	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text; Image					chc04870000150001001	image/tiff	103877672 Bytes	6688	5176	2356517820	RGB	8	600	chc04870000150001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/345	345	348.jp2	/chc0487/image/348.jp2
Playbill for the production, "La tabernera del puerto"	Playbill for the production, "The port's taverner"			La tabernera del puerto				Playbills		1975-06-07	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 playbill	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1975			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text; Image					chc04870000190001001	image/tiff	104223852 Bytes	5205	6673	28662593	RGB	8	600	chc04870000190001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/346	346	366.jp2	/chc0487/image/366.jp2
Architectural rendering,  Arts Center of America								Site plans		1970			1970-1980	Miami (Florida)	1 hand-drawn plan	eng; spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 2; Folder Title: Miami Performing Arts Center Project, 1970			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Still image					chc04870000330001001	image/tiff	89690868 Bytes	6059	4933	1194996594	RGB	8	600	chc04870000330001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/347	347	385.jp2	/chc0487/image/385.jp2
Synopsis, "De Belén a Bayamo"	Synopsis, "From Bethlehem to Bayamo"			De Belén a Bayamo				Typescripts		1968			1960-1970	Miami (Florida)	1 typescript	eng; spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 27; Folder Title: 1968			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text					chc04870000620001001	image/tiff	134321892 Bytes	5276	8485	3960062350	RGB	8	600	chc04870000620001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/348	348	382.jp2	/chc0487/image/382.jp2
Article on the production, "De Belén a Bayamo"	Article on the production, "From Bethelem to  Bayamo"	Saavedra, María Elena		De Belén a Bayamo				Clippings		1969-01			1960-1980	Miami (Florida)	1 clipping	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 27; Folder Title: 1968			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text					chc04870000680001001	image/tiff	96603584 Bytes	5719	5629	1113439272	RGB	8	600	chc04870000680001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/349	349	379.jp2	/chc0487/image/379.jp2
"La bella cubana"	"The beautiful Cuban lady"			Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000500001001	image/tiff	87057376 Bytes	6034	4808	785235028	RGB	8	600	chc04870000500001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/350	350	346.jp2	/chc0487/image/346.jp2
Scene from the production, "Cuba: dos siglos de música"	Scene from the production, "Cuba: Two centuries of music"			Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000570001001	image/tiff	87457772 Bytes	6048	4819	712318169	RGB	8	600	chc04870000570001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/351	351	337.jp2	/chc0487/image/337.jp2
Manuel Ochoa and Angelita Castany				La duquesa del Baltabarín				Photographs		1973	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: C. 1973			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000400001001	image/tiff	87679408 Bytes	4840	6037	2022692162	RGB	8	600	chc04870000400001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/352	352	378.jp2	/chc0487/image/378.jp2
Pedro de Pol, Irán Eory and Sergio Doré		Rosy		Las Leandras				Photographs		1976-01-10	Gusman Center for the Performing Arts		1970-1980	Miami (Florida)	1 color photograph; 12.5 x 8.5 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1976			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000250001001	image/tiff	19011632 Bytes	3040	2082	1792787806	RGB	8	600	chc04870000250001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/353	353	383.jp2	/chc0487/image/383.jp2
Néstor Cabell	Néstor Cabell			Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000590001001	image/tiff	87468056 Bytes	6055	4814	408092570	RGB	8	600	chc04870000590001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/354	354	365.jp2	/chc0487/image/365.jp2
Article on the Hispanic-American Art Company		Lescano-Abella, Edgardo						Clippings		1972-09-01			1970-1980	Miami (Florida)	1 clipping	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 27; Folder Title: 1972			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text					chc04870000700001001	image/tiff	119180920 Bytes	4373	9083	62747795	RGB	8	600	chc04870000700001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/355	355	363.jp2	/chc0487/image/363.jp2
Scene from the production, "Marina"		César		Marina				Photographs		1973-06-30	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1972			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000030001001	image/tiff	88166768 Bytes	6068	4842	112066167	RGB	8	600	chc04870000030001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/356	356	343.jp2	/chc0487/image/343.jp2
Scene from the production, "Las Leandras"	Scene from the production, "The Leandras"	Rosy		Las Leandras				Photographs		1976-01-10	Gusman Center for the Performing Arts		1970-1980	Miami (Florida)	1 color photograph; 12.5 x 8.5 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1976			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000230001001	image/tiff	18771744 Bytes	3028	2064	2184769318	RGB	8	600	chc04870000230001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/357	357	373.jp2	/chc0487/image/373.jp2
"La bella cubana"	"The beautiful Cuban lady"			Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000490001001	image/tiff	87248724 Bytes	6046	4809	2788826707	RGB	8	600	chc04870000490001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/358	358	369.jp2	/chc0487/image/369.jp2
Article on the production, "Marina"		Réplica		Marina				Clippings		1972-10-09	Miami-Dade County Auditorium		1970-1980	Miami (Florida)	1 clipping	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 27; Folder Title: 1972			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text					chc04870000730001001	image/tiff	215670332 Bytes	6766	10624	3202050038	RGB	8	600	chc04870000730001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/359	359	351.jp2	/chc0487/image/351.jp2
Article on the production, "Marina"				Marina				Clippings		1972-10-01			1970-1980	Miami (Florida)	1 clipping	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 27; Folder Title: 1972			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text					chc04870000720001001	image/tiff	111083008 Bytes	6990	5296	2038956935	RGB	8	600	chc04870000720001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/360	360	387.jp2	/chc0487/image/387.jp2
Playbill for the production, "Cuba: dos siglos de música"	Playbill for the production, "Cuba: Two centuries of music"	Delfín, R.		Cuba: dos siglos de música				Playbills		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 playbill	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text; Image					chc04870000430001001	image/tiff	84471944 Bytes	4440	6340	3054825381	RGB	8	600	chc04870000430001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/361	361	350.jp2	/chc0487/image/350.jp2
"La volanta"	"The horse-drawn carriage"			Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000560001001	image/tiff	87142688 Bytes	6040	4808	1316355360	RGB	8	600	chc04870000560001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/362	362	339.jp2	/chc0487/image/339.jp2
Scene from the production, "La del Soto del Parral"	Scene from the production, "Her from Soto del Parral"			La del Soto del Parral				Photographs		1973-06-23	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1973			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000110001001	image/tiff	88649196 Bytes	6100	4843	1687506101	RGB	8	600	chc04870000110001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/363	363	374.jp2	/chc0487/image/374.jp2
Article titled, Manuel Ochoa directs Cuban choir		The Voice						Clippings		1968-12-20			1960-1970	Miami (Florida)	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 27; Folder Title: 1968			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text					chc04870000630001001	image/tiff	48982404 Bytes	4542	3593	3656708517	RGB	8	600	chc04870000630001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/364	364	376.jp2	/chc0487/image/376.jp2
Irán Eory interpreting, "Las Leandras"	Irán Eory interpreting, "The Leandras"	Rosy		Las Leandras				Photographs		1976-01-10	Gusman Center for the Performing Arts		1970-1980	Miami (Florida)	1 color photograph; 12.5 x 8.5 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1976			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000270001001	image/tiff	19385600 Bytes	3046	2119	1417188396	RGB	8	600	chc04870000270001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/365	365	358.jp2	/chc0487/image/358.jp2
Mara González and Carlos Barrera				Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000520001001	image/tiff	86728144 Bytes	6015	4805	2421868799	RGB	8	600	chc04870000520001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/366	366	370.jp2	/chc0487/image/370.jp2
(First row left to right)  Alberto Insua and Manuel Ochoa				La duquesa del Baltabarín				Photographs		1973	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: C. 1973			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000420001001	image/tiff	87223840 Bytes	6048	4806	3633431023	RGB	8	600	chc04870000420001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/367	367	377.jp2	/chc0487/image/377.jp2
Scene from the production, "Cuba: dos siglos de música"	Scene from the production, "Cuba: Two centuries of music"			Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000580001001	image/tiff	87360492 Bytes	6045	4816	414418902	RGB	8	600	chc04870000580001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/368	368	357.jp2	/chc0487/image/357.jp2
Scene from the production, "La del Soto del Parral"	Scene from the production, "Her from Soto del Parral"			La del Soto del Parral				Photographs		1973-06-23	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1973			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000100001001	image/tiff	88842388 Bytes	6107	4848	4283737755	RGB	8	600	chc04870000100001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/369	369	336.jp2	/chc0487/image/336.jp2
Article on the production, "De Belén a Bayamo"	Article on the production, "From Bethelem to  Bayamo"	Reyes, Manolo		De Belén a Bayamo				Clippings		1968			1960-1970	Miami (Florida)	1 clipping	spa		University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 27; Folder Title: 1968			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Text					chc04870000670001001	image/tiff	223871824 Bytes	6848	10896	2248530386	RGB	8	600	chc04870000670001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/370	370	341.jp2	/chc0487/image/341.jp2
Carlos Barrera interpreting a scene from, "Solitude"	Carlos Barrera interpreting a scene from, "Solitude"			Soledad				Photographs		1974	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000610001001	image/tiff	87752212 Bytes	6047	4836	1081114027	RGB	8	600	chc04870000610001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/371	371	380.jp2	/chc0487/image/380.jp2
Scene from the production, "La del Soto del Parral"	Scene from the production, "Her from Soto del Parral"			La del Soto del Parral				Photographs		1973-06-23	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1973			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000120001001	image/tiff	88012620 Bytes	6065	4836	1817745144	RGB	8	600	chc04870000120001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/372	372	360.jp2	/chc0487/image/360.jp2
Irán Eory holding flower bouquet		Rosy						Photographs		1976			1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1975			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000180001001	image/tiff	87796984 Bytes	4865	6014	2886821126	RGB	8	600	chc04870000180001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/373	373	352.jp2	/chc0487/image/352.jp2
Scene from the production, "Marina"		César		Marina		Inscription: José Le Matt and Jesús Zubizarreta		Photographs		1972-10-13	Miami-Dade County Auditorium		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 1; Folder Title: Miami, Florida, 1972			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000070001001	image/tiff	87727308 Bytes	6049	4833	2324013700	RGB	8	600	chc04870000070001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/374	374	388.jp2	/chc0487/image/388.jp2
"Damisela encantadora"	"A very charming lady"			Cuba: dos siglos de música				Photographs		1974-06-14	Gusman Philharmonic Hall		1970-1980	Miami (Florida)	1 color photograph; 25.3 x 20 cm			University of Miami Libraries. Cuban Heritage Collection	Manuel Ochoa Papers	CHC0487		Box 25; Folder Title: Photos and Programs, 1974			mj			http://merrick.library.miami.edu:81/digitalprojects/copyright.html			Image. Photograph					chc04870000550001001	image/tiff	87403272 Bytes	6048	4816	2370909851	RGB	8	600	chc04870000550001001.tif		2011-12-08	2012-01-17	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0487/id/375	375	345.jp2	/chc0487/image/345.jp2
