Título	Translated Title	Creator	Sender	Contributors	Recipient	Resumen	Summary	Nota	Note	Tema	Subject	Género	Genre	Publisher	Date	Time Period	Geographic Subject	Geo Point	Geo Box	Descripción Física	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Upload ID	Type	Format	Date Digital	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Oficio redactado a nombre de los patrocinados Miguel y Benigno Cruz, quienes reclaman haber pagado las cantidades necesarias para terminar ambos su patronato, agosto de 1882	Official document written on behalf of the patrocinados Miguel and Benigno Cruz, in which they claim to have paid the amount necessary to end their patronato, August 1882	Puig, Domingo						Miguel y Benigno Cruz eran ambos patrocinados de Joaquín Rionda.	Miguel y Benigno Cruz were both patrocinados of Joaquín Rionda.	Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Matanzas (Cuba : Provincia). Junta Provincial de Patronato	Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Matanzas (Cuba : Province). Junta Provincial de Patronato	documentos oficiales; manuscritos	official documents; manuscripts (document genre)		1882-08	1880-1890	Matanzas (Cuba : Province)	east=22.66667; north=-81.16667; name=http://www.geonames.org/3547394/provincia-de-matanzas.html		2 páginas; 31.4 x 22 cm	2 pages; 31.4 x 22 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 1; Folder No. 47; Folder Title: 1882 August 21				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000049			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/10	10	33.cpd	/chc5298/supp/10/index.pdf
W 3377, pardo Félix Criollo de D. Jorge García Chávez	Cover page																																			chc5298000108	chc52980001080001001								125020812 Bytes	5529	7536	3392968217	RGB	8	600	chc52980001080001001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/11	11	34.jp2	/chc5298/image/34.jp2
Nota escrita por Jorge García Chávez otorgando la libertad de su patrocinado Félix Criollo, 14 de julio de 1885	Jorge García Chávez note authorizing the freedom of his patrocinado Félix Criollo, July 14, 1885														1885-07-14	1880-1890																				chc5298000108	chc52980001080002001								44247716 Bytes	4851	3039	269444657	RGB	8	600	chc52980001080002001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/12	12	35.jp2	/chc5298/image/35.jp2
Oficio preparado para el proceso de libertad del "pardo" Félix Criollo, patrocinado de Jorge García Chávez, julio de 1885	Official document prepared for the petition for freedom of the "pardo" Félix Criollo, patrocinado of Jorge García Chávez, July 1885														1885-05-15	1880-1890																				chc5298000108	chc52980001080003001								125142992 Bytes	5444	7661	432896141	RGB	8	600	chc52980001080003001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/13	13	36.jp2	/chc5298/image/36.jp2
Oficio, página 2	Official document, page 2																																			chc5298000108	chc52980001080004001								123167260 Bytes	5377	7634	319976798	RGB	8	600	chc52980001080004001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/14	14	37.jp2	/chc5298/image/37.jp2
Oficio, página 3	Official document, page 3																																			chc5298000108	chc52980001080005001								125355912 Bytes	5425	7701	2852648081	RGB	8	600	chc52980001080005001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/15	15	38.jp2	/chc5298/image/38.jp2
Oficio que documenta el proceso de libertad de Félix Criollo, patrocinado de Jorge García Chávez, julio de 1885	Official document regarding the petition for freedom of Félix Criollo, patrocinado of Jorge García Chávez, July 1885									Libertos -- Cuba -- Matanzas (Provincia); Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Matanzas (Cuba : Provincia). Junta Provincial de Patronato	Freedmen -- Cuba -- Matanzas (Province); Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Matanzas (Cuba : Province). Junta Provincial de Patronato	manuscritos; documentos oficiales	manuscripts (document genre); official documents		1885-07	1880-1890	Matanzas (Cuba : Province)	east=22.66667; north=-81.16667; name=http://www.geonames.org/3547394/provincia-de-matanzas.html		2 hojas, 3 páginas; 31.8 x 21.8 cm	2 leaves, 3 pages; 31.8 x 21.8 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 2; Folder No. 34; Folder Title: 1885 July 14				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000108			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/16	16	39.cpd	/chc5298/supp/16/index.pdf
No. 1782, Parda Agripina, patrocinada por Don Francisco Hernández y García	Cover page															1880-1890																				chc5298000050	chc52980000500001001								120233620 Bytes	5269	7605	2589683752	RGB	8	600	chc52980000500001001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/17	17	40.jp2	/chc5298/image/40.jp2
Oficio redactado a nombre de la patrocinada Agripina para denunciar la falta de su estipendio por parte de su patrono, Francisco Hernández y García, y en base a este hecho reclamar la terminación de su patronato, 23 de septiembre de 1882	Official document written on behalf of the patrocinada Agripina to file a claim against her patrono, Francisco Hernández y García, for failure to pay her stipend, and to petition for her freedom on these grounds, September 23, 1882																																			chc5298000050	chc52980000500002001								122404312 Bytes	5357	7615	2519910056	RGB	8	600	chc52980000500002001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/18	18	41.jp2	/chc5298/image/41.jp2
Constestación del Teniente 3ro de Alcalde y el Alcalde de Matanzas en relación a la reclamación de la patrocinada Agripina, 26 de septiembre de 1882	Reply from government officials in Matanzas regarding the case of the patrocinada Agripina, September 26, 1882														1882-09-26	1880-1890																				chc5298000050	chc52980000500003001								121885808 Bytes	5328	7624	183363484	RGB	8	600	chc52980000500003001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/19	19	42.jp2	/chc5298/image/42.jp2
Visto bueno del Teniente 3ro de Alcalde para finalmente otorgar la redención de patronato de la patrocinada Agripina, 29 de septiembre de 1882	Approval by an official in Matanzas to grant the patrocinada Agripina's freedom from patronato, September 29, 1882														1882-09-29	1880-1890																				chc5298000050	chc52980000500004001								123323432 Bytes	5367	7658	2404474266	RGB	8	600	chc52980000500004001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/20	20	43.jp2	/chc5298/image/43.jp2
Oficio, página 4	Official document, page 4																																			chc5298000050	chc52980000500005001								123126276 Bytes	5348	7673	2608849994	RGB	8	600	chc52980000500005001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/21	21	44.jp2	/chc5298/image/44.jp2
Oficio redactado a nombre de la patrocinada Agripina el cual documenta su proceso de terminación de patronato para obtener finalmente la libertad, septiembre de 1882	Official document written on behalf of the patrocinada Agripina, documenting the process through which she obtained her freedom, September 1882									Mujeres esclavas -- Cuba -- Matanzas (Provincia); Libertos -- Cuba -- Matanzas (Provincia); Mujeres -- Cuba -- Matanzas (Provincia); Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Matanzas (Cuba : Provincia). Junta Provincial de Patronato	Women slaves -- Cuba -- Matanzas (Province); Freedmen -- Cuba -- Matanzas (Province); Women -- Cuba -- Matanzas (Province); Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Matanzas (Cuba : Province). Junta Provincial de Patronato	documentos oficiales; manuscritos	official documents; manuscripts (document genre)		1882-09	1880-1890	Matanzas (Cuba : Province)	east=22.66667; north=-81.16667; name=http://www.geonames.org/3547394/provincia-de-matanzas.html		1 hoja, 4 páginas; 31.7 x 21.8 cm	1 leaf, 4 pages; 31.7 x 21.8 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 1; Folder No. 48; Folder Title: 1882 October 2				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000050			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/22	22	45.cpd	/chc5298/supp/22/index.pdf
Carta de la Secretaría del Gobierno General de la Isla de Cuba a la Junta Provincial de Patronato de Matanzas en la cual se desestima la demanda presentada por Socorro de Armas por concepto de caducidad y incumplimiento de reglas establecidas, 14 de diciembre de 1885	Secretaría del Gobierno General letter to the Junta Provincial de Patronato de Matanzas with instructions to disregard the order issued by Socorro de Armas, citing failure to comply with established regulations, December 14, 1885		Cuba. Secretaría del Gobierno General		Matanzas (Cuba : Province). Junta Provincial de Patronato										1885-12-14	1880-1890																				chc5298000124	chc52980001240001001								67969492 Bytes	4296	5272	534965639	RGB	8	600	chc52980001240001001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/23	23	46.jp2	/chc5298/image/46.jp2
Carta, página 2	Letter, page 2																																			chc5298000124	chc52980001240002001								68533472 Bytes	4344	5257	607708298	RGB	8	600	chc52980001240002001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/24	24	47.jp2	/chc5298/image/47.jp2
Carta, página 3	Letter, page 3																																			chc5298000124	chc52980001240003001								63582964 Bytes	4024	5265	3895890465	RGB	8	600	chc52980001240003001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/25	25	48.jp2	/chc5298/image/48.jp2
Carta, página 4	Letter, page 4																																			chc5298000124	chc52980001240004001								64409796 Bytes	4064	5281	1726203903	RGB	8	600	chc52980001240004001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/26	26	49.jp2	/chc5298/image/49.jp2
Carta, página 5	Letter, page 5																																			chc5298000124	chc52980001240005001								64357160 Bytes	4080	5256	518872272	RGB	8	600	chc52980001240005001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/27	27	50.jp2	/chc5298/image/50.jp2
Carta, página 6	Letter, page 6																																			chc5298000124	chc52980001240006001								63266652 Bytes	4004	5265	2379900631	RGB	8	600	chc52980001240006001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/28	28	51.jp2	/chc5298/image/51.jp2
Carta, página 7	Letter, page 7																																			chc5298000124	chc52980001240007001								59304716 Bytes	3739	5285	2920488033	RGB	8	600	chc52980001240007001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/29	29	52.jp2	/chc5298/image/52.jp2
Oficio que documenta la demanda presentada por Socorro de Armas para revocar el acuerdo de libertad del patrocinado Eusorgio, emitido por la Junta Provincial de Patronato de Matanzas, 24 de diciembre de 1885	Official document detailing the order issued by Socorro de Armas to revoke the decision to free the patrocinado Eusorgio, issued by the Junta Provincial de Patronato de Matanzas, December 24, 1885	Lavastida, Miguel Alfredo; Matanzas (Cuba : Province). Junta Provincial de Patronato													1885-12-24	1880-1890																				chc5298000124	chc52980001240008001								124861760 Bytes	5424	7672	1336732665	RGB	8	600	chc52980001240008001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/30	30	53.jp2	/chc5298/image/53.jp2
Carta y oficio referente a la demanda impuesta por Socorro de Armas para revocar el acuerdo de libertad del patrocinado Eusorgio, emitido por la Junta Provincial de Patronato de Matanzas, diciembre de 1885	Letter and official document regarding the order issued by Socorro de Armas to revoke the decision to free the patrocinado Eusorgio, issued by the Junta Provincial de Patronato de Matanzas, December 1885									Libertos -- Cuba -- Matanzas (Provincia); Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Matanzas (Cuba : Provincia). Junta Provincial de Patronato	Freedmen -- Cuba -- Matanzas (Province); Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Matanzas (Cuba : Province). Junta Provincial de Patronato	manuscritos; correspondencia; documentos oficiales	manuscripts (document genre); correspondence; official documents		1885-12	1880-1890	Havana (Cuba : Province)	east=23.13302; north=-82.38304; name=http://www.geonames.org/3553478/havana.html		7 páginas, 1 hoja; 21.8 x 17.7 cm	7 pages, 1 leaf; 21.8 x 17.7 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 2; Folder No. 50; Folder Title: 1885 December 16				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000124			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/31	31	54.cpd	/chc5298/supp/31/index.pdf
Página 1	Page 1																																			chc5298000092	chc52980000920001001								62967248 Bytes	3958	5301	1060116527	RGB	8	600	chc52980000920001001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/32	32	55.jp2	/chc5298/image/55.jp2
Página 2	Page 2																																			chc5298000092	chc52980000920002001								63426012 Bytes	3969	5325	2912158956	RGB	8	600	chc52980000920002001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/33	33	56.jp2	/chc5298/image/56.jp2
Carta de Pelayo Villanueva al presidente de la Junta Provincial de Patronato de Matanzas referente al expediente del patrocinado José Bayamo, 2 de agosto de 1884	Pelayo Villanueva letter to the president of the Junta Provincial de Patronato de Matanzas regarding the file of the patrocinado José Bayamo, August 2, 1884		Villanueva, Pelayo; Colón (Cuba). Junta Municipal de Patronato		Matanzas (Cuba : Province). Junta Provincial de Patronato					Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Colón (Cuba). Junta Municipal de Patronato; Matanzas (Cuba : Provincia). Junta Provincial de Patronato	Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Colón (Cuba). Junta Municipal de Patronato; Matanzas (Cuba : Province). Junta Provincial de Patronato	manuscritos; correspondencia	manuscripts (document genre); correspondence		1884-08-02	1880-1890	Colón (Cuba)	east=22.71917; north=-80.90583; name=http://www.geonames.org/3563843/colon.html		2 páginas; 22 x 32.5 cm	2 pages; 22 x 32.5 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 2; Folder No. 18; Folder Title: 1884 August 4				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000092			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/34	34	57.cpd	/chc5298/supp/34/index.pdf
Sobre la devolución del expediente de Pedro Gómez, patrocinado de Belen Yera, 14 de febrero de 1881	Regarding the return of the file of Pedro Gómez, patrocinado of Belen Yera, February 14, 1881														1881-02-14	1880-1890																				chc5298000025	chc52980000250001001								62335596 Bytes	3916	5304	1148947439	RGB	8	600	chc52980000250001001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/35	35	58.jp2	/chc5298/image/58.jp2
Sobre Eleuterio, un patrocinado de Pedro Calero, 14 de febrero de 1881	Regarding Eleuterio, patrocinado of Pedro Calero, February 14, 1881														1881-02-14	1880-1890																				chc5298000025	chc52980000250002001								62253336 Bytes	3930	5278	827292435	RGB	8	600	chc52980000250002001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/36	36	59.jp2	/chc5298/image/59.jp2
Carta sobre la devolución del expediente de Pedro Gómez, patrocinado de Belen Yera, y de Eleuterio, patrocinado de Pedro Calero, 14 de febrero de 1881	Letter regarding the return of the files of Pedro Gómez, patrocinado of Belen Yera, and Eleuterio, patrocinado of Pedro Calero, February 14, 1881		Matanzas (Cuba : Province). Junta Provincial de Patronato							Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Matanzas (Cuba : Provincia). Junta Provincial de Patronato	Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Matanzas (Cuba : Province). Junta Provincial de Patronato	manuscritos; correspondencia	manuscripts (document genre); correspondence		1881-02-14	1880-1890	Matanzas (Cuba : Province)	east=22.66667; north=-81.16667; name=http://www.geonames.org/3547394/provincia-de-matanzas.html		2 páginas; 22 x 32.1 cm	2 pages; 22 x 32.1 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 1; Folder No. 23.1; Folder Title: 1881 July 4				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000025			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/37	37	60.cpd	/chc5298/supp/37/index.pdf
Noviembre 1880, fugas y nacidos, Jovellanos	November 1880, escapes and births, Jovellanos														1880-11	1880-1890																				chc5298000010	chc52980000100001001								63687540 Bytes	3992	5316	985639771	RGB	8	600	chc52980000100001001.tif		2013-07-27	2013-07-27	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/38	38	61.jp2	/chc5298/image/61.jp2
Carta enviada al presidente de la Junta Provincial de Patronato de Matanzas, 11 de noviembre de 1880	Letter sent to the president of the Junta Provincial de Patronato de Matanzas, November 11, 1880		Jovellanos (Cuba). Junta Local de Patronato												1880-11-11	1880-1890																				chc5298000010	chc52980000100002001								63305924 Bytes	4041	5220	90907472	RGB	8	600	chc52980000100002001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/39	39	62.jp2	/chc5298/image/62.jp2
Inventario de niños nacidos de patrocinados, 1 de noviembre de 1880	Table reporting children born to patrocinados, November 1, 1880	Jovellanos (Cuba). Junta Local de Patronato													1880-11-01	1880-1890																				chc5298000010	chc52980000100003001								122954712 Bytes	7655	5353	3694259721	RGB	8	600	chc52980000100003001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/40	40	63.jp2	/chc5298/image/63.jp2
Carta y inventario sobre los niños que nacieron de padres patrocinados, noviembre de 1880	Letter and table reporting children born to patrocinados, November 1880	Jovellanos (Cuba). Junta Local de Patronato								Hijos de patrocinados -- Cuba -- Matanzas (Provincia); Patrocinados -- Cuba -- Matanzas (Provincia); Documentos de esclavos -- Cuba; Esclavos -- Emancipación -- Cuba; Esclavitud -- Cuba; Jovellanos (Cuba). Junta Local de Patronato; Jovellanos (Cuba). Alcaldía Municipal	Children of patrocinados -- Cuba -- Matanzas (Province); Patrocinados -- Cuba -- Matanzas (Province); Slave records -- Cuba; Slaves -- Emancipation -- Cuba; Slavery -- Cuba; Jovellanos (Cuba). Junta Local de Patronato; Jovellanos (Cuba). Alcaldía Municipal	manuscritos; correspondencia; tablas (documento)	manuscripts (document genre); correspondence; tables (documents)		1880-11	1880-1890	Jovellanos (Cuba)	east=22.80444; north=-81.19444; name=http://www.geonames.org/3555907/jovellanos.html		3 hojas; 21.6 x 31.5 cm	3 leaves; 21.6 x 31.5 cm	spa		University of Miami Libraries. Cuban Heritage Collection	Junta Provincial de Patronato de Matanzas Records	CHC5298		Box No. 1; Folder No. 10; Folder Title: 1880 November				axr			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc5298000010			Text	image/tiff														2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/41	41	64.cpd	/chc5298/supp/41/index.pdf
Página 1	Page 1																																			chc5298000133	chc52980001330001001								63330596 Bytes	4005	5269	3689972197	RGB	8	600	chc52980001330001001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/62	62	85.jp2	/chc5298/image/85.jp2
Página 2	Page 2																																			chc5298000133	chc52980001330002001								63016232 Bytes	3995	5256	2297918446	RGB	8	600	chc52980001330002001.tif		2013-07-28	2013-07-28	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5298/id/63	63	86.jp2	/chc5298/image/86.jp2
