Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
José Curbelo (center) and his father with the artist Gypse Enna and her portrait of Curbelo and his band					Caption describes Gypse Enna's painting of Curbelo and his band. Photographic reproduction of a newspaper clipping.	Curbelo, José, 1917-2012; Cuban American band directors; Mambos (Music); Rumbas;	Clippings; Reproductions;	Miami herald	1951-01-20	1950-1960	Miami (Florida)	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000045						chc52990000450001001		28456716 Bytes	2545	3724	602291603	RGB	8	600	chc52990000450001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/10	10	37.jp2	/chc5299/image/37.jp2
Galaxy of Stars program					José Curbelo featured in the lineup of artists for the Galaxy of Stars benefit in New York City. Photographic reproduction of a program.	Curbelo, José, 1917-2012; Cuban American band directors; Madison Square Garden (New York, New York); Benefit shows;	Programs; Reproductions;		1949-05-12	1940-1950	New York (New York);	1 program	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000090						chc52990000900001001		26841760 Bytes	3643	2454	2923663430	RGB	8	600	chc52990000900001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/11	11	122.jp2	/chc5299/image/122.jp2
José Curbelo and Louis Prima shows at the Rustic Cabin nightclub in Englewood, New Jersey					Photographic reproduction of an advertisement.	Prima, Louis, 1910-1978; Curbelo, José, 1917-2012; Cuban American band directors; Mambos (Music); Rumbas; Latin jazz; Nightclubs -- New Jersey -- Englewood;	Advertisements; Clippings; Reproductions;	Daily mirror	1954-06-11	1950-1960	Englewood (New Jersey)	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000012						chc52990000120001001		26839476 Bytes	2444	3657	3967556630	RGB	8	600	chc52990000120001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/12	12	68.jp2	/chc5299/image/68.jp2
José Curbelo and his band		Kriegsmann, James J.			Reproduction of a photograph.	Curbelo, José, 1917-2012; Cuban American band directors; Dance orchestra music -- United States;	Photographs; Reproductions;				New York (New York);	1 b&w photograph; 15.3 x 10.3 cm			University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 2; Folder Title: Photographs and music CD, circa 1940s-1980s			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000132						chc52990001320001001		28357176 Bytes	2545	3711	1509420390	RGB	8	600	chc52990001320001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/13	13	75.jp2	/chc5299/image/75.jp2
Two orchestras to play at Latin Carnival here					Photographic reproduction of a newspaper clipping.	Curbelo, José, 1917-2012; Cuban American band directors; Latin jazz; Mambos (Music); Rumbas; Festivals -- Florida -- Tampa;	Clippings; Reproductions;	Tampa Sunday tribune	1946-01-27	1940-1950	Tampa (Florida)	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000048						chc52990000480001001		28017900 Bytes	2501	3731	2523989666	RGB	8	600	chc52990000480001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/14	14	52.jp2	/chc5299/image/52.jp2
José Curbelo (at center) at the Havana-Madrid nightclub with other artists		Pérez			Written on front: "Raul y Eva Reyes, June Havoc, Garzon, Argentinita, Pilar Lopez". Reproduction of a photograph.	Curbelo, José, 1917-2012; Cuban American band directors; Mambos (Music); Rumbas; Nightclubs -- New York (State) -- New York;	Photographs; Reproductions;		1944	1940-1950	New York (New York);	1 b&w photograph; 10.2 x 15.3 cm	spa		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 2; Folder Title: Photographs and music CD, circa 1940s-1980s			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000127						chc52990001270001001		27642456 Bytes	3693	2493	1951863418	RGB	8	600	chc52990001270001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/15	15	87.jp2	/chc5299/image/87.jp2
José Curbelo (at piano) during his stint with the Riverside Orchestra, 1939		Donnadieu Estudio			Written on front: "Para el Sr. Alcade de La Habana, Dr. Beruff Mendieta, como recuerdo de nuestro regreso de Venezuela. Sinceramente, Orq. Riverside Hab. [?]/8/39".	Curbelo, José, 1917-2012; Cuban American band directors; Dance orchestra music -- Cuba;	Advertisements; Photographic postcards;		1939-08	1930-1940	Havana (Cuba);	1 postcard; 9 x 14 cm	spa		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000100						chc52990001000001001		22021504 Bytes	3373	2174	1643730930	RGB	8	600	chc52990001000001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/16	16	107.jp2	/chc5299/image/107.jp2
José Curbelo and his band play the China Doll nightclub in New York City					Photographic reproduction of a newspaper clipping.	Curbelo, José, 1917-2012; Cuban American band directors; Latin jazz; Mambos (Music); Rumbas; Nightclubs -- New York (State) -- New York;	Clippings; Reproductions;	New York world-telegram	1948-09-13	1940-1950	New York (New York)	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000046						chc52990000460001001		27582092 Bytes	3680	2496	1310860156	RGB	8	600	chc52990000460001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/17	17	17.jp2	/chc5299/image/17.jp2
Director de orquesta					José Curbelo and his band play the Carnaval Latino in Tampa. Photographic reproduction of a newspaper clipping.	Curbelo, José, 1917-2012; Cuban American band directors; Latin jazz; Mambos (Music); Rumbas; Festivals -- Florida -- Tampa;	Clippings; Reproductions;		1946-02-23	1940-1950	Tampa (Florida)	1 clipping	spa		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000051						chc52990000510001001		27826544 Bytes	2524	3672	3033391807	RGB	8	600	chc52990000510001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/18	18	8.jp2	/chc5299/image/8.jp2
All clubs & ballrooms closed this weekend! No bands available		Ruiz, Manuel			Photographic reproduction of a magazine clipping.	Curbelo, José, 1917-2012; Concert agents; Latin jazz;	Clippings; Reproductions;		1968	1960-1970	New York (New York)	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000006						chc52990000060001001		28068116 Bytes	2519	3711	1452052649	RGB	8	600	chc52990000060001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/19	19	24.jp2	/chc5299/image/24.jp2
Nuestros artistas					José Curbelo and his vocalists featured in América en marcha. Photographic reproduction of a clipping.	Curbelo, José, 1917-2012; Cuban American band directors; Escoto, Bobby; Mejías, Mechita;	Clippings; Reproductions;	America en marcha	1948-04-01	1940-1950	New York (New York);	1 clipping	spa		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000070						chc52990000700001001		27629996 Bytes	2508	3669	1725835321	RGB	8	600	chc52990000700001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/20	20	50.jp2	/chc5299/image/50.jp2
Jose's last day at China Doll					Photographic reproduction of a magazine clipping.	Curbelo, José, 1917-2012; Cuban American band directors; Latin jazz; Mambos (Music); Rumbas;	Clippings; Reproductions;	Down beat	1949-07-29	1940-1950	Chicago (Illinois)	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000058						chc52990000580001001		27064672 Bytes	3673	2454	2372314592	RGB	8	600	chc52990000580001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/21	21	6.jp2	/chc5299/image/6.jp2
Jose Curbelo: salsa roots into gold		Sanabria, Izzy			Photographic reproduction of a magazine clipping.	Curbelo, José, 1917-2012; Concert agents; Latin jazz;	Clippings; Reproductions;	Latin NY	1978-09	1970-1980	New York (New York)	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000005						chc52990000050001001		28203856 Bytes	2514	3736	2111735662	RGB	8	600	chc52990000050001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/22	22	116.jp2	/chc5299/image/116.jp2
Show by José Curbelo and his orchestra at the Bachelor House nightclub in New York City					Photographic reproduction of an advertisement.	Curbelo, José, 1917-2012; Cuban American band directors; Latin jazz; Mambos (Music); Rumbas; Nightclubs -- New York (State) -- New York;	Advertisements; Clippings; Reproductions;	Daily mirror	1953-02-19	1950-1960	New York (New York)	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000036						chc52990000360001001		27468124 Bytes	2471	3702	2593513704	RGB	8	600	chc52990000360001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/23	23	94.jp2	/chc5299/image/94.jp2
José Curbelo (at piano) with his orchestra					Reproduction of a photograph.	Curbelo, José, 1917-2012; Cuban American band directors; Dance orchestra music -- Cuba; Dance orchestra music -- United States;	Photographs; Reproductions;		1951	1950-1960		1 b&w photograph; 10.3 x 15.5 cm			University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 2; Folder Title: Photographs and music CD, circa 1940s-1980s			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000125						chc52990001250001001		27874908 Bytes	3715	2499	2447825444	RGB	8	600	chc52990001250001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/24	24	13.jp2	/chc5299/image/13.jp2
El disco RCA Victor de la semana					Photographic reproduction of an RCA Victor advertisement for a record by José Curbelo y su Orquesta.	Curbelo, José, 1917-2012; Cuban American band directors; Latin jazz; Mambos (Music); Rumbas;	Advertisements; Reproductions;				Havana (Cuba)	1 advertisement	spa		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000052						chc52990000520001001		27082316 Bytes	2461	3665	1226062333	RGB	8	600	chc52990000520001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/25	25	48.jp2	/chc5299/image/48.jp2
Record review best sellers		Watt, Douglas, 1914-2009			José Curbelo's track "Managua, Nicaragua" included on Douglas Watt's best-seller list. Photographic reproduction of a newspaper clipping.	Curbelo, José, 1917-2012; Cuban American band directors; Latin jazz; Mambos (Music); Rumbas;	Clippings; Reproductions;		1947-04-06	1940-1950		1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000059						chc52990000590001001		27415796 Bytes	3645	2505	2992351723	RGB	8	600	chc52990000590001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/26	26	56.jp2	/chc5299/image/56.jp2
José Curbelo, Tito Puente, and Xavier Cugat		Miguel Luis Studio Photographic				Curbelo, José, 1917-2012; Cuban American band directors; Puente, Tito, 1923-2000; Cugat, Xavier, 1900-1990;	Photographs;		1967	1960-1970	New York (New York);	1 b&w photograph; 25.5 x 20.6 cm			University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 2; Folder Title: Photographs and music CD, circa 1940s-1980s			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000116						chc52990001160001001		91811420 Bytes	4992	6129	2510243020	RGB	8	600	chc52990001160001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/27	27	42.jp2	/chc5299/image/42.jp2
These world renowned stars plus.......		Alpha Artists of America	Curbelo, José, 1917-2012		Photographic reproduction of an advertisement.	Curbelo, José, 1917-2012; Concert agents; Latin jazz	Advertisements; Fliers (Printed matter); Reproductions;		1960	1960-1970	New York (New York)	1 advertisement	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000011						chc52990000110001001		27946180 Bytes	3729	2496	5723133	RGB	8	600	chc52990000110001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/28	28	40.jp2	/chc5299/image/40.jp2
José Curbelo (at center) with a group of artists at the Palladium in New York City					Also seen in photograph: Arsenio Rodríguez (standing with sunglasses to the left), Kid Gavilán (Gerardo González) (standing to the right of Curbelo), and Tito Puente (center right, standing behind Kid Gavilán). Reproduction of a photograph.	Curbelo, José, 1917-2012; Cuban American band directors; Dance orchestra music -- Cuba; Dance orchestra music -- United States; Puente, Tito, 1923-2000; Rodríguez, Arsenio; Gavilán, Kid, 1926-2003; Nightclubs -- New York (State) -- New York;	Photographs; Reproductions;				New York (New York);	1 b&w photograph; 21.8 x 28 cm			University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 2; Folder Title: Photographs and music CD, circa 1940s-1980s			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000107						chc52990001070001001		105669024 Bytes	6714	5245	3551220198	RGB	8	600	chc52990001070001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/29	29	112.jp2	/chc5299/image/112.jp2
The honoring of José Curbelo by a representative of the Cuban Embassy at the Bachelor House nightclub in New York City					Photographic reproduction of an advertisement.	Curbelo, José, 1917-2012; Cuban American band directors; Latin jazz; Mambos (Music); Rumbas; Nightclubs -- New York (State) -- New York;	Advertisements; Clippings; Reproductions;	Daily mirror	1953-03-13	1950-1960	Nightclubs -- New York (State) -- New York	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000029						chc52990000290001001		27194764 Bytes	2459	3683	3650958836	RGB	8	600	chc52990000290001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/30	30	66.jp2	/chc5299/image/66.jp2
Exotic novelty					José Curbelo plays the Havana-Madrid nightclub in New York City. Photographic reproduction of a newspaper clipping.	Curbelo, José, 1917-2012; Cuban American band directors; Latin jazz; Mambos (Music); Rumbas; Nightclubs -- New York (State) -- New York;	Clippings; Reproductions;	New York journal-American	1948-09-18	1940-1950	New York (New York);	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000089						chc52990000890001001		27359132 Bytes	2466	3695	738790622	RGB	8	600	chc52990000890001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/31	31	60.jp2	/chc5299/image/60.jp2
José Curbelo show at the Ritz Tavern in Atlantic City, New Jersey					Photographic reproduction of an advertisement.	Curbelo, José, 1917-2012; Latin jazz; Rumbas; Mambos (Music); Latin jazz; Cuban American band directors; Nightclubs -- New Jersey -- Atlantic City;	Advertisements; Reproductions;				Atlantic City (New Jersey)	1 advertisement	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000024						chc52990000240001001		27122048 Bytes	3645	2478	2003617435	RGB	8	600	chc52990000240001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/32	32	33.jp2	/chc5299/image/33.jp2
José Curbelo (at left) during a visit to San Juan, Puerto Rico, June 1963					Photographic reproduction of a clipping.	Curbelo, José, 1917-2012; Concert agents; Alpha Artists of America;	Clippings; Reproductions;		1963-06	1960-1970	San Juan (Puerto Rico)	1 clipping	eng		University of Miami Libraries. Cuban Heritage Collection	José Curbelo Papers	CHC5299		Box No. 1; Folder No. 1; Folder Title: José Curbelo band advertisements and materials, 1946-1975			axr		http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5299000061						chc52990000610001001		27563040 Bytes	3672	2500	3923511732	RGB	8	600	chc52990000610001001.tif		2013-02-05	2013-05-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5299/id/33	33	99.jp2	/chc5299/image/99.jp2
