Title	Translated Title	Play Title	Original Title	Production Title	Festival Title	CTDA Link	Creator	Author	Translator	Director	Producer	Photographer	Videographer	Theater Company	Theater Venue	Cast	Costume Designer	Set Designer	Poster Designer	Summary	Note	Subject	Genre	Publisher	Date Published	Date Created	Time Period	Geographic Subject	Geo Point	Geo Box	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Finding Aid	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Availability	Tape No.	Object ID	Digital ID	Upload ID	Full Text	Type	Format	Original Format	Tape Format	Date Digital	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Program for the production "El robo del cochino" (The pig theft)							Villa, José M.															Theater -- Cuba; Plays	Theater programs			1966-02-17	1960-1970	Havana (Cuba);			1 program, 6 pages	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 7;  Folder No. 11;  Folder Title: El robo del cochino (Cuba): programs, 1961, 1966, 1975					DPR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5141000005				Text	image/tiff																2013-04-09	2013-04-09	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/94	94	95.cpd	/theater/image/95.cpd
page 1																																																	chc5141000010	chc51410000010001001				Image							105445252 Bytes	5131	6848	1342323281	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000010001001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/100	100	101.jp2	/theater/image/101.jp2
page 2																																																	chc5141000010	chc51410000010001011				Image							105427592 Bytes	5131	6848	3643899300	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000010001011.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/101	101	102.jp2	/theater/image/102.jp2
Program for the production "El robo del cochino" (The Pig Theft)							Betancourt, Guido															Theater -- Cuba; Plays	Theater programs			1975-02-28	1970-1980	New York (New York)			1 program, 2 pages	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dum Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 7;  Folder No. 11; Folder Title: El robo del cochino (Cuba): programs, 1961, 1966, 1975					DPR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5141000001				Text	image/tiff																2013-04-09	2013-04-09	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/102	102	103.cpd	/theater/image/103.cpd
page 1																																																	chc5141000006	chc51410000060001001				Image							80294500 Bytes	4490	5959	80647921	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000060001001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/103	103	104.jp2	/theater/image/104.jp2
page 2																																																	chc5141000006	chc51410000060002001				Image							80639712 Bytes	4510	5959	3976654133	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000060002001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/104	104	105.jp2	/theater/image/105.jp2
page 3																																																	chc5141000006	chc51410000060003001				Image							81289252 Bytes	4531	5979	1868026422	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000060003001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/105	105	106.jp2	/theater/image/106.jp2
page 4																																																	chc5141000006	chc51410000060004001				Image							80280136 Bytes	4490	5959	3458585714	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000060004001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/106	106	107.jp2	/theater/image/107.jp2
Program for the production "El robo del cochino" (The Pig Theft)							Martínez, Raúl															Theater -- Cuba; Plays	Theater programs			1961-07-21	1960-1970	Havana, Cuba			1 program, 4 pages	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dume Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 7;  Folder No. 11;  Folder Title: El robo del cochino (Cuba): programs, 1961, 1966, 1975					DPR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5141000006				Text	image/tiff																2013-04-09	2013-04-09	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/107	107	108.cpd	/theater/image/108.cpd
page 1																																																	chc5141000025	chc51410000250001001				Image							10725240 Bytes	1100	1625	4060481531	RGB	8 Bits Per Sample	200 Pixels Per Inch	chc51410000250001001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/121	121	122.jp2	/theater/image/122.jp2
page 2																																																	chc5141000025	chc51410000250002001				Image							10659240 Bytes	1100	1615	3000824817	RGB	8 Bits Per Sample	200 Pixels Per Inch	chc51410000250002001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/122	122	123.jp2	/theater/image/123.jp2
page 3																																																	chc5141000025	chc51410000250003001				Image							10659240 Bytes	1100	1615	2180988570	RGB	8 Bits Per Sample	200 Pixels Per Inch	chc51410000250003001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/123	123	124.jp2	/theater/image/124.jp2
page 4																																																	chc5141000025	chc51410000250004001				Image							10096590 Bytes	1055	1595	2027981180	RGB	8 Bits Per Sample	200 Pixels Per Inch	chc51410000250004001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/124	124	125.jp2	/theater/image/125.jp2
page 5																																																	chc5141000025	chc51410000250005001				Image							10643640 Bytes	1095	1620	1890302140	RGB	8 Bits Per Sample	200 Pixels Per Inch	chc51410000250005001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/125	125	126.jp2	/theater/image/126.jp2
page 6																																																	chc5141000025	chc51410000250006001				Image							10807140 Bytes	1105	1630	434255304	RGB	8 Bits Per Sample	200 Pixels Per Inch	chc51410000250006001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/126	126	127.jp2	/theater/image/127.jp2
page 7																																																	chc5141000025	chc51410000250007001				Image							10707690 Bytes	1105	1615	2385272986	RGB	8 Bits Per Sample	200 Pixels Per Inch	chc51410000250007001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/127	127	128.jp2	/theater/image/128.jp2
page 8																																																	chc5141000025	chc51410000250008001				Image							10674540 Bytes	1105	1610	502282418	RGB	8 Bits Per Sample	200 Pixels Per Inch	chc51410000250008001.tif		2010-12-07	2010-12-07	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/128	128	129.jp2	/theater/image/129.jp2
Program for the production "La casa vieja" (The Old House)																						Theater -- Cuba; Plays	Theater programs			1973-01-12	1970-1980	New York, New York			1 program, 8 pages	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dume Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 1; Folder No. 24; Folder Title: La casa vieja: programs, 1973					DPR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc5141000025				Text	image/tiff																2013-04-09	2013-04-09	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/129	129	130.cpd	/theater/image/130.cpd
List of names of characters from the play																																																	chc51410000	chc51410000210001001				Image							101195920 Bytes	5110	6600	3632458600	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000210001001.tif		2010-07-19	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/130	130	131.jp2	/theater/image/131.jp2
Script of act one from play																																																	chc51410000	chc51410000210002001				Image							101196792 Bytes	5110	6600	2370821072	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc51410000210002001.tif		2010-07-19	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/131	131	132.jp2	/theater/image/132.jp2
Pages displaying names of characters and a scene from the play, "La casa vieja" (The Old House)																						Theater -- Cuba; Plays				1973	1970-1980	Matanzas, Cuba			2 typewritten pages	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 1;  Folder No. 22;  Folder Title: La casa vieja (Estorino, Abelardo): Script (Dum Director), 1963					DPR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000210001001			Text	image/tiff																2010-07-19	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/132	132	133.cpd	/theater/image/133.cpd
Scene from the play, "La casa vieja" (The Old House)																				Armantina Rodríguez as Onelia		Theater -- Cuba; Plays	Photographs			1973-01-12	1970-1980	New York, New York			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 11; Folder No. 12; Folder Title: La casa vieja: photographs, 1973					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000170001001			Image	image/tiff							90174860 Bytes	6103	4924	426692328	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000170001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/133	133	134.jp2	/theater/image/134.jp2
Scene from the play, "La casa vieja" (The Old House)												Edy Photo N. Y.									Written on verso: "Edy Photo N. Y."	Theater -- Cuba; Plays	Photographs			1973-01-12	1970-1980	New York, New York			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 11; Folder No. 13; Folder Title: La casa vieja: photographs, 1973					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000160001001			Image	image/tiff							91254872 Bytes	6124	4966	1106677895	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000160001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/134	134	135.jp2	/theater/image/135.jp2
Scene from the play, "El robo del cochino" (The Pig Theft)												Martínez, Raúl								Pedro Rentería plays role of Juanelo and seen in foreground. Pilín Vallejo plays the role of Rosa.	Written on verso: "Dirección: Dumé. Foto: Raúl Martínez"	Theater -- Cuba; Plays	Photographs			1961-07-21	1960-1970	Havana, Cuba			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 15; Folder No. 5; Folder Title: El robo del cochino: photographs (Cuba), 1961					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000030001001			Image	image/tiff							88957484 Bytes	6124	4841	477417709	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000030001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/135	135	136.jp2	/theater/image/136.jp2
Herberto Dumé																						Theater -- Cuba; Plays; Theatrical producers and directors -- United States	Portraits								1 b&w photograph			University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series 1: Works, n.d., 1953- 1998	Box No. 12; Folder No. 7; Folder Title: Herberto Dumé: Photographs, n.d.					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000230001001			Image	image/tiff							100070912 Bytes	5304	6288	2867016116	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000230001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/136	136	137.jp2	/theater/image/137.jp2
Scene from the play, "El robo del cochino" (The Pig Theft)																				Pedro Rentería plays role of Juanelo and is seen reading a book at center	Written on verso: "El robo del cochino; Grupo Guernica & Teatro Nacional de Cuba"	Theater -- Cuba; Plays	Photographs			1961-07-21	1960-1970	Havana, Cuba			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 15; Folder No. 5;  Folder Title: El robo del cochino: photographs (Cuba), 1961					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000080001001			Image	image/tiff							87669236 Bytes	5959	4903	2313310092	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000080001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/137	137	138.jp2	/theater/image/138.jp2
Scene from the play, "El robo del cochino" (The Pig Theft)												Llerena, Rafael								Actress Isabel Segovia seen doing embroidery work	Written on verso: "Dumé Spanish; Llerena Studio"	Theater -- Cuba; Plays	Photographs			1975-02-28	1970-1980	New York, New York			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 15; Folder No. 6; Folder Title: El robo del cochino. (N. York), 1975					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000110001001			Image	image/tiff							89873840 Bytes	6083	4924	370525736	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000110001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/138	138	139.jp2	/theater/image/139.jp2
Scene from the play, "Las impuras" (The impure ones)																					Written on verso: "Dumé"	Theater -- Cuba; Plays	Photographs			1962-04-12	1960-1970	Havana, Cuba			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 13; Folder No. 15; Folder Title: Las impuras: photographs (Cuba), 1962					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000330001001			Image	image/tiff							41688618 Bytes	4281	3246	223336666	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000330001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/139	139	140.jp2	/theater/image/140.jp2
Scene from the play, "La casa vieja" (The Old House)												Edy Photo N. Y.								Armantina Rodríguez (sitting on a chair) as Onelia, José Corrales as Esteban, and Clara Hernández as Dalia	Written on verso: "La casa vieja de A. Estorino; Dirección: Dumé"	Theater -- Cuba; Plays	Photographs			1973-01-12	1970-1980	New York, New York			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 11; Folder No. 12; Folder Title: La casa vieja: photographs, 1973					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000180001001			Image	image/tiff							89789516 Bytes	4903	6103	3033990531	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000180001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/140	140	141.jp2	/theater/image/141.jp2
Scene from the play, "Las impuras" (The impure ones)																						Theater -- Cuba; Plays	Photographs			1962-04-12	1960-1970	Havana, Cuba			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 13; Folder No. 15; Folder Title: Las impuras: photographs (Cuba), 1962					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000290001001			Image	image/tiff							42953568 Bytes	4716	3036	3119735459	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000290001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/141	141	142.jp2	/theater/image/142.jp2
Scenery from the play, "Las impuras" (The impure ones)																						Theater -- Cuba; Plays	Photographs			1962-04-12	1960-1970	Havana, Cuba			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 13; Folder No. 15; Folder Title: Las impuras: photographs (Cuba), 1962					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000280001001			Image	image/tiff							66854544 Bytes	6204	3592	2485798282	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000280001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/142	142	143.jp2	/theater/image/143.jp2
Scene from the play, "El robo del cochino" (The Pig Theft)																				Pilín Vallejo as Rosa seen sitting on a chair.	El robo del cochino. Grupo Dramático del TNC. Director Dumé. Stamp Grupo Guernica (verso)	Theater -- Cuba; Plays	Photographs			1961-07-21	1960-1970	Havana, Cuba			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 15; Folder No. 5; Folder Title: El robo del cochino: photographs (Cuba), 1961					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000070001001			Image	image/tiff							77794120 Bytes	6083	4262	443879064	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000070001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/143	143	144.jp2	/theater/image/144.jp2
Scene from the play, "Las vacas gordas" (The fat cows)												Martínez, Raúl									Written on verso: "Foto: Raúl Martínez"	Theater -- Cuba; Plays	Photographs			1962	1960-1970	Havana, Cuba			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 16; Folder No. 4; Folder Title: Las vacas gordas: photographs , 1962					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000350001001			Image	image/tiff							41384868 Bytes	4371	3156	4104620967	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000350001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/144	144	145.jp2	/theater/image/145.jp2
Scene from the play, "Las impuras" (The impure ones)																					Written on verso: "Consejo Nacional de Cultura"	Theater -- Cuba; Plays	Photographs			1962-04-12	1960-1970	Havana, Cuba			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 13; Folder No. 15; Folder Title: Las impuras: photographs (Cuba), 1962					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000300001001			Image	image/tiff							50583381 Bytes	4987	3381	3227438816	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000300001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/145	145	146.jp2	/theater/image/146.jp2
Scene from the play, "El robo del cochino" (The Pig Theft)																					Written on verso: "Dumé Spanish Theatre"	Theater -- Cuba; Plays	Photographs			1975-02-28	1970-1980	New York, New York			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 15; Folder No. 6; Folder Title: El robo del cochino. (N. York), 1975					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000140001001			Image	image/tiff							90944336 Bytes	6103	4966	2795609502	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000140001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/146	146	147.jp2	/theater/image/147.jp2
Scene from the play, "Las impuras" (The impure ones)												Martínez, Raúl									Written on verso: "Las impuras (La Habana) Dumé; Foto Raúl Martínez"	Theater -- Cuba; Plays	Photographs			1962-04-12	1960-1970	Havana, Cuba			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 13; Folder No. 15; Folder Title: Las impuras: photographs (Cuba), 1962					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000310001001			Image	image/tiff							23081433 Bytes	2133	3607	644074135	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000310001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/147	147	148.jp2	/theater/image/148.jp2
Scene from the play, "La casa vieja" (The Old House)																				Herberto Dumé as Higinio and Armantina Rodríguez (sitting on a chair) as Onelia	Written on verso: "Edy Photo N. Y." (stamp)	Theater -- Cuba; Plays	Photographs			1973-01-12	1970-1980	New York, New York			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 11; Folder No. 12; Folder Title: La casa vieja: photographs, 1973					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000040001001			Image	image/tiff							173462888 Bytes	8545	6766	1001399164	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000040001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/148	148	149.jp2	/theater/image/149.jp2
Scene from the play, "El robo del cochino" (The Pig Theft)																				Actresses Mercedes Enriquez (left) and Isabel Segovia	Written on verso: "Dumé Spanish Theatre"	Theater -- Cuba; Plays	Photographs			1975-02-28	1970-1980	New York, New York			1 b&w photograph	spa		University of Miami Libraries. Cuban Heritage Collection	Herberto Dumé Papers	CHC5141	Series I: Works, n.d., 1953-1998	Box No. 15; Folder No. 6; Folder Title: El robo del cochino. (N. York), 1975					DPR; SR; AXR			http://merrick.library.miami.edu/digitalprojects/copyright.html				chc51410000100001001			Image	image/tiff							89128688 Bytes	4883	6083	140459065	RGB	8 Bits Per Sample	3 Samples Per Pixel	chc51410000100001001.tif		2010-03-04	2010-07-19	http://merrick.library.miami.edu:80/cdm/ref/collection/theater/id/149	149	150.jp2	/theater/image/150.jp2
