Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage - Temporal	Coverage - Spatial	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 15																											chc0184000330						chc01840003300015001		58536240 Bytes	5200	3751	1120747707	RGB	8	600	chc01840003300015001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/20	20	21.jp2	/chc0184/image/21.jp2
Page 16																											chc0184000330						chc01840003300016001		64737764 Bytes	5273	4091	1415617982	RGB	8	600	chc01840003300016001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/21	21	22.jp2	/chc0184/image/22.jp2
Page 17																											chc0184000330						chc01840003300017001		65315872 Bytes	4119	5284	123306097	RGB	8	600	chc01840003300017001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/22	22	23.jp2	/chc0184/image/23.jp2
Page 18																											chc0184000330						chc01840003300018001		51698988 Bytes	5198	3314	1460774290	RGB	8	600	chc01840003300018001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/23	23	24.jp2	/chc0184/image/24.jp2
Page 19																											chc0184000330						chc01840003300019001		53328164 Bytes	3384	5251	3670108910	RGB	8	600	chc01840003300019001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/24	24	25.jp2	/chc0184/image/25.jp2
Page 20																											chc0184000330						chc01840003300020001		52002264 Bytes	5219	3320	3609292434	RGB	8	600	chc01840003300020001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/25	25	26.jp2	/chc0184/image/26.jp2
Page 21																											chc0184000330						chc01840003300021001		52646516 Bytes	3335	5260	1141368816	RGB	8	600	chc01840003300021001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/26	26	27.jp2	/chc0184/image/27.jp2
Page 22																											chc0184000330						chc01840003300022001		89226620 Bytes	4936	6024	2515634170	RGB	8	600	chc01840003300022001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/27	27	28.jp2	/chc0184/image/28.jp2
Page 23																											chc0184000330						chc01840003300023001		88813764 Bytes	6028	4910	1898644760	RGB	8	600	chc01840003300023001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/28	28	29.jp2	/chc0184/image/29.jp2
Page 24																											chc0184000330						chc01840003300024001		96292172 Bytes	5264	6096	815220552	RGB	8	600	chc01840003300024001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/29	29	30.jp2	/chc0184/image/30.jp2
Page 25																											chc0184000330						chc01840003300025001		96681148 Bytes	5287	6094	2204707931	RGB	8	600	chc01840003300025001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/30	30	31.jp2	/chc0184/image/31.jp2
Page 26																											chc0184000330						chc01840003300026001		95747568 Bytes	5248	6080	3899759548	RGB	8	600	chc01840003300026001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/31	31	32.jp2	/chc0184/image/32.jp2
Page 27																											chc0184000330						chc01840003300027001		112333580 Bytes	7788	4807	109082881	RGB	8	600	chc01840003300027001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/32	32	33.jp2	/chc0184/image/33.jp2
Page 28																											chc0184000330						chc01840003300028001		112434444 Bytes	7795	4807	2295797074	RGB	8	600	chc01840003300028001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/33	33	34.jp2	/chc0184/image/34.jp2
Page 29																											chc0184000330						chc01840003300029001		114722760 Bytes	7806	4898	697844298	RGB	8	600	chc01840003300029001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/34	34	35.jp2	/chc0184/image/35.jp2
Page 30																											chc0184000330						chc01840003300030001		90053400 Bytes	4940	6075	3464077966	RGB	8	600	chc01840003300030001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/35	35	36.jp2	/chc0184/image/36.jp2
Page 31																											chc0184000330						chc01840003300031001		90129476 Bytes	4972	6041	1512945991	RGB	8	600	chc01840003300031001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/36	36	37.jp2	/chc0184/image/37.jp2
Page 32																											chc0184000330						chc01840003300032001		88477692 Bytes	6072	4856	3621323015	RGB	8	600	chc01840003300032001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/37	37	38.jp2	/chc0184/image/38.jp2
Page 33																											chc0184000330						chc01840003300033001		89797632 Bytes	4909	6096	4177206350	RGB	8	600	chc01840003300033001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/38	38	39.jp2	/chc0184/image/39.jp2
Page 34																											chc0184000330						chc01840003300034001		89925188 Bytes	6106	4908	2611185509	RGB	8	600	chc01840003300034001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/39	39	40.jp2	/chc0184/image/40.jp2
Page 35																											chc0184000330						chc01840003300035001		44582388 Bytes	4878	3045	1199876220	RGB	8	600	chc01840003300035001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/40	40	41.jp2	/chc0184/image/41.jp2
Page 36																											chc0184000330						chc01840003300036001		44540700 Bytes	4896	3031	80213823	RGB	8	600	chc01840003300036001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/41	41	42.jp2	/chc0184/image/42.jp2
Page 37																											chc0184000330						chc01840003300037001		90083616 Bytes	6033	4976	2235977862	RGB	8	600	chc01840003300037001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/42	42	43.jp2	/chc0184/image/43.jp2
Page 38																											chc0184000330						chc01840003300038001		88506720 Bytes	5984	4929	3219019872	RGB	8	600	chc01840003300038001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/43	43	44.jp2	/chc0184/image/44.jp2
Page 39																											chc0184000330						chc01840003300039001		86110760 Bytes	5929	4840	3064863174	RGB	8	600	chc01840003300039001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/44	44	45.jp2	/chc0184/image/45.jp2
Page 40																											chc0184000330						chc01840003300040001		85989820 Bytes	5933	4830	1010747171	RGB	8	600	chc01840003300040001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/45	45	46.jp2	/chc0184/image/46.jp2
Page 41																											chc0184000330						chc01840003300041001		54770052 Bytes	3655	4993	186736161	RGB	8	600	chc01840003300041001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/46	46	47.jp2	/chc0184/image/47.jp2
Page 42																											chc0184000330						chc01840003300042001		54503876 Bytes	3632	5000	3842359667	RGB	8	600	chc01840003300042001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/47	47	48.jp2	/chc0184/image/48.jp2
Page 43																											chc0184000330						chc01840003300043001		43446704 Bytes	4825	3000	4243825174	RGB	8	600	chc01840003300043001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/48	48	49.jp2	/chc0184/image/49.jp2
Page 44																											chc0184000330						chc01840003300044001		45191940 Bytes	3095	4865	2123457049	RGB	8	600	chc01840003300044001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/49	49	50.jp2	/chc0184/image/50.jp2
Page 45																											chc0184000330						chc01840003300045001		111722916 Bytes	7591	4905	1313405181	RGB	8	600	chc01840003300045001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/50	50	51.jp2	/chc0184/image/51.jp2
Page 46																											chc0184000330						chc01840003300046001		111831704 Bytes	7614	4895	3636193702	RGB	8	600	chc01840003300046001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/51	51	52.jp2	/chc0184/image/52.jp2
Page 47																											chc0184000330						chc01840003300047001		111767672 Bytes	7622	4887	2875973359	RGB	8	600	chc01840003300047001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/52	52	53.jp2	/chc0184/image/53.jp2
Page 48																											chc0184000330						chc01840003300048001		110786284 Bytes	7566	4880	591776341	RGB	8	600	chc01840003300048001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/53	53	54.jp2	/chc0184/image/54.jp2
Page 49																											chc0184000330						chc01840003300049001		112812320 Bytes	7603	4945	2844805522	RGB	8	600	chc01840003300049001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/54	54	55.jp2	/chc0184/image/55.jp2
Page 50																											chc0184000330						chc01840003300050001		112269360 Bytes	7588	4931	3709924911	RGB	8	600	chc01840003300050001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/55	55	56.jp2	/chc0184/image/56.jp2
Page 51																											chc0184000330						chc01840003300051001		112458712 Bytes	7641	4905	1456022102	RGB	8	600	chc01840003300051001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/56	56	57.jp2	/chc0184/image/57.jp2
Page 52																											chc0184000330						chc01840003300052001		112157648 Bytes	7644	4890	2455806475	RGB	8	600	chc01840003300052001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/57	57	58.jp2	/chc0184/image/58.jp2
Page 53																											chc0184000330						chc01840003300053001		112581664 Bytes	7640	4911	3109496587	RGB	8	600	chc01840003300053001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/58	58	59.jp2	/chc0184/image/59.jp2
Page 54																											chc0184000330						chc01840003300054001		112663272 Bytes	7627	4923	2772699651	RGB	8	600	chc01840003300054001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/59	59	60.jp2	/chc0184/image/60.jp2
Page 55																											chc0184000330						chc01840003300055001		112492932 Bytes	7634	4911	771909200	RGB	8	600	chc01840003300055001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/60	60	61.jp2	/chc0184/image/61.jp2
Page 56																											chc0184000330						chc01840003300056001		111546316 Bytes	7607	4887	1903955371	RGB	8	600	chc01840003300056001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/61	61	62.jp2	/chc0184/image/62.jp2
Page 57																											chc0184000330						chc01840003300057001		86435276 Bytes	4846	5944	945399555	RGB	8	600	chc01840003300057001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/62	62	63.jp2	/chc0184/image/63.jp2
Page 58																											chc0184000330						chc01840003300058001		86557332 Bytes	5966	4835	1641555184	RGB	8	600	chc01840003300058001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/63	63	64.jp2	/chc0184/image/64.jp2
Page 59																											chc0184000330						chc01840003300059001		111402072 Bytes	7580	4898	2274937800	RGB	8	600	chc01840003300059001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/64	64	65.jp2	/chc0184/image/65.jp2
Page 60																											chc0184000330						chc01840003300060001		111842380 Bytes	7576	4920	1326298193	RGB	8	600	chc01840003300060001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/65	65	66.jp2	/chc0184/image/66.jp2
Page 61																											chc0184000330						chc01840003300061001		42640896 Bytes	5223	2720	595485201	RGB	8	600	chc01840003300061001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/66	66	67.jp2	/chc0184/image/67.jp2
Page 62																											chc0184000330						chc01840003300062001		43332564 Bytes	2761	5229	3312243666	RGB	8	600	chc01840003300062001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/67	67	68.jp2	/chc0184/image/68.jp2
Page 63																											chc0184000330						chc01840003300063001		118191876 Bytes	7483	5264	3156155708	RGB	8	600	chc01840003300063001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/68	68	69.jp2	/chc0184/image/69.jp2
Page 64																											chc0184000330						chc01840003300064001		119432952 Bytes	7523	5291	1595913481	RGB	8	600	chc01840003300064001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/69	69	70.jp2	/chc0184/image/70.jp2
Page 65																											chc0184000330						chc01840003300065001		86679216 Bytes	4881	5918	1732108684	RGB	8	600	chc01840003300065001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/70	70	71.jp2	/chc0184/image/71.jp2
Page 66																											chc0184000330						chc01840003300066001		87315588 Bytes	5976	4869	244037146	RGB	8	600	chc01840003300066001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/71	71	72.jp2	/chc0184/image/72.jp2
Page 67																											chc0184000330						chc01840003300067001		87543864 Bytes	5983	4876	967928098	RGB	8	600	chc01840003300067001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/72	72	73.jp2	/chc0184/image/73.jp2
Page 68																											chc0184000330						chc01840003300068001		87459316 Bytes	5991	4865	3501638936	RGB	8	600	chc01840003300068001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/73	73	74.jp2	/chc0184/image/74.jp2
Page 69																											chc0184000330						chc01840003300069001		71837268 Bytes	5238	4570	3974902171	RGB	8	600	chc01840003300069001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/74	74	75.jp2	/chc0184/image/75.jp2
Page 70																											chc0184000330						chc01840003300070001		72106932 Bytes	5219	4604	961903071	RGB	8	600	chc01840003300070001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/75	75	76.jp2	/chc0184/image/76.jp2
Page 71																											chc0184000330						chc01840003300071001		36960584 Bytes	4334	2841	404232810	RGB	8	600	chc01840003300071001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/76	76	77.jp2	/chc0184/image/77.jp2
Page 72																											chc0184000330						chc01840003300072001		37578144 Bytes	2874	4356	2583103673	RGB	8	600	chc01840003300072001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/77	77	78.jp2	/chc0184/image/78.jp2
Page 73																											chc0184000330						chc01840003300073001		88014312 Bytes	4899	5987	4268617862	RGB	8	600	chc01840003300073001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/78	78	79.jp2	/chc0184/image/79.jp2
Page 74																											chc0184000330						chc01840003300074001		87374068 Bytes	4883	5963	710043244	RGB	8	600	chc01840003300074001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/79	79	80.jp2	/chc0184/image/80.jp2
Page 75																											chc0184000330						chc01840003300075001		117777316 Bytes	7478	5249	1576589444	RGB	8	600	chc01840003300075001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/80	80	81.jp2	/chc0184/image/81.jp2
Page 76																											chc0184000330						chc01840003300076001		117480240 Bytes	7472	5240	2789742821	RGB	8	600	chc01840003300076001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/81	81	82.jp2	/chc0184/image/82.jp2
Page 77																											chc0184000330						chc01840003300077001		46567640 Bytes	4882	3178	1339555327	RGB	8	600	chc01840003300077001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/82	82	83.jp2	/chc0184/image/83.jp2
Page 78																											chc0184000330						chc01840003300078001		47657896 Bytes	3249	4887	860333443	RGB	8	600	chc01840003300078001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/83	83	84.jp2	/chc0184/image/84.jp2
Page 79																											chc0184000330						chc01840003300079001		57288548 Bytes	4819	3961	4178187871	RGB	8	600	chc01840003300079001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/84	84	85.jp2	/chc0184/image/85.jp2
Page 80																											chc0184000330						chc01840003300080001		58292556 Bytes	3995	4862	978949045	RGB	8	600	chc01840003300080001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/85	85	86.jp2	/chc0184/image/86.jp2
Page 81																											chc0184000330						chc01840003300081001		91960648 Bytes	6180	4959	2757196422	RGB	8	600	chc01840003300081001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/86	86	87.jp2	/chc0184/image/87.jp2
Page 82																											chc0184000330						chc01840003300082001		88532228 Bytes	4900	6021	3461636035	RGB	8	600	chc01840003300082001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/87	87	88.jp2	/chc0184/image/88.jp2
Page 83																											chc0184000330						chc01840003300083001		88822768 Bytes	4916	6021	4023660036	RGB	8	600	chc01840003300083001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/88	88	89.jp2	/chc0184/image/89.jp2
Page 84																											chc0184000330						chc01840003300084001		87312716 Bytes	6038	4819	3208713555	RGB	8	600	chc01840003300084001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/89	89	90.jp2	/chc0184/image/90.jp2
Page 85																											chc0184000330						chc01840003300085001		116514028 Bytes	7469	5199	2795592748	RGB	8	600	chc01840003300085001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/90	90	91.jp2	/chc0184/image/91.jp2
Page 86																											chc0184000330						chc01840003300086001		116373372 Bytes	7460	5199	2760029372	RGB	8	600	chc01840003300086001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/91	91	92.jp2	/chc0184/image/92.jp2
Page 87																											chc0184000330						chc01840003300087001		81795224 Bytes	5719	4766	264469292	RGB	8	600	chc01840003300087001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/92	92	93.jp2	/chc0184/image/93.jp2
Page 88																											chc0184000330						chc01840003300088001		80968564 Bytes	5671	4758	1633328838	RGB	8	600	chc01840003300088001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/93	93	94.jp2	/chc0184/image/94.jp2
Page 89																											chc0184000330						chc01840003300089001		85878776 Bytes	5935	4822	3017248446	RGB	8	600	chc01840003300089001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/94	94	95.jp2	/chc0184/image/95.jp2
Page 90																											chc0184000330						chc01840003300090001		85884856 Bytes	5911	4842	4221969003	RGB	8	600	chc01840003300090001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/95	95	96.jp2	/chc0184/image/96.jp2
Page 91																											chc0184000330						chc01840003300091001		85102360 Bytes	5927	4785	90187285	RGB	8	600	chc01840003300091001.tif		2012-02-14	2012-02-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0184/id/96	96	97.jp2	/chc0184/image/97.jp2
