Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Povenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Letter to Andrés Rivero Agüero: Madrid, [Spain], November 3, 1971: Díaz-Balart, Rafael: Correspondence to Fulgencio Batista		Díaz-Balart, Rafael L					Correspondence		1971-11-03						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: A. Correspondents A-D.	Box No.: 1, Folder Title: Díaz-Balart, Rafael: Correspondence to Fulgencio Batista.									Text					chc51550002140001001		35968.03 KB	5352	7056	0x2686AFB2	RGB	24 Bit-depth	600 dpi	chc51550002140001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/10	10	94.jp2	/chc5155/image/94.jp2
Letter: New York, New york, June 21, 1963: Berenson, Lawrence: Correspondence to Fulgencio Batista					This document references:  chc51550001430001001		Correspondence		1963-06-21				English		University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: A. Correspondents A-D.	Box No.: 1, Folder Title: Berenson, Lawrence: Correspondence to Fulgencio Batista.									Text					chc51550001420001001		31501.706 KB	5392	6816	0x6A0DD3C0	RGB	24 Bit-depth	600 dpi	chc51550001420001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/11	11	70.jp2	/chc5155/image/70.jp2
Letter: Estoril, [Portugal], March 12, 1963: Cobas Reyes, Mario: Correspondence from Fulgencio Batista		Batista y Zaldívar, Fulgencio, 1901-1973					Correspondence		1963-03-12						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: A. Correspondents A-D.	Box No.: 1, Folder Title: Cobas Reyes, Mario: Correspondence from Fulgencio Batista.									Text					chc51550001900001001		33170.399 KB	5280	7256	0x1D703EC3	RGB	24 Bit-depth	600 dpi	chc51550001900001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/12	12	87.jp2	/chc5155/image/87.jp2
Estado Mayor de la Marina de Guerra						Cuba. Marina de Guerra. Estado Mayor	Photographs		1957-02			1 b&w photograph<br>Photo affixed to matte			University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: I. Other Photographs. Sub-sub-series: 2. Batista Government Public Works.	Box No.: 5, Folder Title: Buildings.									Image					chc51550010250001001		45295.709 KB	7120	6048	0x5F19B73B	RGB	24 Bit-depth	600 dpi	chc51550010250001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/13	13	480.jp2	/chc5155/image/480.jp2
Fulgencio Batista and Elisa Godínez						Batista y Zaldívar, Fulgencio, 1901-1973<br>Godínez, Elisa	Group portraits		ca. 1938			1 b&w photograph			University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: H. Photographs - The Batista Family. Sub-sub-series: 4. Military Officials.	Box No.: 5, Folder Title: Godínez, Elisa: Official Events and Visits.									Image					chc51550009990001001		22985.682 KB	4296	5192	0x4AB62450	RGB	24 Bit-depth	600 dpi	chc51550009990001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/14	14	455.jp2	/chc5155/image/455.jp2
Letter: Miami, Florida, June 7, 1972: Cobas Reyes, Mario: Correspondence to Fulgencio Batista							Correspondence		1972-06-07						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: A. Correspondents A-D.	Box No.: 1, Folder Title: Cobas Reyes, Mario: Correspondence to Fulgencio Batista.									Text					chc51550001960001001		33263.761 KB	5440	6896	0x2C88F60	RGB	24 Bit-depth	600 dpi	chc51550001960001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/15	15	89.jp2	/chc5155/image/89.jp2
Copia de transcripción del Acta de la renuncia del Presidente Batista, levantada el 1o. de Enero de 1959, publicada en Carteles el 4 de Enero de ese año en La Habana			Batista y Zaldivar, Fulgencio, 1901-1973				Proclamations		ca. 1959						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: D. Correspondents R-Z.	Box No.: 3, Folder Title: Saif, Jacobo: Correspondence by others, Documents.									Text					chc51550007480001001		37010.468 KB	5192	7248	0xD0C07DD5	RGB	24 Bit-depth	600 dpi	chc51550007480001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/16	16	315.jp2	/chc5155/image/315.jp2
Letter: Estoril, [Portugal], December 13, 1965: Salcedo Ledesma, Enrique: Correspondence from Fulgencio Batista		Batista y Zaldívar, Fulgencio, 1901-1973					Correspondence		1965-12-13						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: E. Other Correspondents. Sub-sub-series: 3. Journalists and Writers.	Box No.: 4, Folder Title: Salcedo Ledesma, Enrique: Correspondence from Fulgencio Batista.									Text					chc51550008500001001		36582.945 KB	5296	7392	0x80397D22	RGB	24 Bit-depth	600 dpi	chc51550008500001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/17	17	365.jp2	/chc5155/image/365.jp2
Letter to Emilio Fernández Camus, May 6, 1961		Batista, Rubén			This document references:  chc51550002610001001		Correspondence		1961-05-06						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: B. Correspondents E-L.	Box No.: 2, Folder Title: Fernández Camus, Emilio: Correspondence by others, Documents.									Text					chc51550002600001001		36782.964 KB	5424	6848	0x33A013FD	RGB	24 Bit-depth	600 dpi	chc51550002600001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/18	18	117.jp2	/chc5155/image/117.jp2
Letter: Estoril, [Portugal], October 20, 1964: Godoy, Gastón: Correspondence from Fulgencio Batista		Batista y Zaldívar, Fulgencio, 1901-1973					Correspondence		1964-10-20						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: B. Correspondents E-L.	Box No.: 2, Folder Title: Godoy, Gastón: Correspondence from Fulgencio Batista.									Text					chc51550003350001001		37578.215 KB	5304	7400	0xB7E52104	RGB	24 Bit-depth	600 dpi	chc51550003350001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/19	19	162.jp2	/chc5155/image/162.jp2
Letter: Funchal, [Portugal], October 12, 1959: Godoy, Gastón: Correspondence from Fulgencio Batista		Batista y Zaldívar, Fulgencio, 1901-1973					Correspondence		1959-10-12						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: B. Correspondents E-L.	Box No.: 2, Folder Title: Godoy, Gastón: Correspondence from Fulgencio Batista.									Text					chc51550003320001001		35763.664 KB	5352	6840	0x74F43A56	RGB	24 Bit-depth	600 dpi	chc51550003320001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/20	20	160.jp2	/chc5155/image/160.jp2
Letter: November 17, 1967: Guás Inclán, Rafael: Correspondence from Fulgencio Batista		Batista y Zaldívar, Fulgencio, 1901-1973					Correspondence		1967-11-17						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: B. Correspondents E-L.	Box No.: 2, Folder Title: Guás Inclán, Rafael: Correspondence from Fulgencio Batista.									Text					chc51550003910001001		36942.922 KB	5200	7224	0xA934B074	RGB	24 Bit-depth	600 dpi	chc51550003910001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/21	21	181.jp2	/chc5155/image/181.jp2
A propósito del Diez de Marzo...		González Puente, José			Reference: Diario Las Américas (March 11, 1962)		Newspaper articles		ca. 1962-03-11						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: B. Correspondents E-L.	Box No.: 2, Folder Title: González Puente, José: Clippings, Correspondence by others.									Text					chc51550003840001001		46565.988 KB	4616	9048	0xE9B91ED6	RGB	24 Bit-depth	600 dpi	chc51550003840001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/22	22	179.jp2	/chc5155/image/179.jp2
A los batistianos en particular y a los exiliados en general: Mendigutía, José A.: Correspondence to Fulgencio Batista		Unión Cívica Batistiana					Fliers (Printed matter)<br>Announcements		ca. 1970-08						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: C. Correspondents M-Q.	Box No.: 3, Folder Title: Mendigutía, José A.: Correspondence to Fulgencio Batista.									Text					chc51550005220001001		37041.331 KB	5488	6904	0x3E528C73	RGB	24 Bit-depth	600 dpi	chc51550005220001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/23	23	232.jp2	/chc5155/image/232.jp2
Letter: October 7, 1970: Alonso Pujol, Guillermo: Correspondence from Fulgencio Batista		Batista y Zaldívar, Fulgencio, 1901-1973					Correspondence		1970-10-07						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: A. Correspondents A-D.	Box No.: 1, Folder Title: Alonso Pujol, Guillermo: Correspondence from Fulgencio Batista.									Text					chc51550000100001001		33256.518 KB	5280	7232	0x21749BD2	RGB	24 Bit-depth	600 dpi	chc51550000100001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/24	24	4.jp2	/chc5155/image/4.jp2
In pleasant exile: Batista urges no Cuba attack ban			Batista y Zaldivar, Fulgencio, 1901-1973		Reference: The Houston Post (September 29, 1968)		Newspaper articles		1968-09-29				English		University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: D. Correspondents R-Z.	Box No.: 3, Folder Title: Rocafort, Blas M.: Clipings, Correspondence by others, Documents.									Text					chc51550007290001001		20290.69 KB	3496	5720	0xA1C0FB50	RGB	24 Bit-depth	600 dpi	chc51550007290001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/25	25	305.jp2	/chc5155/image/305.jp2
Letter: November 8, 1971: Rivero Agüero, Andrés: Correspondence from Fulgencio Batista		Batista y Zaldívar, Fulgencio, 1901-1973					Correspondence		1971-11-08						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: D. Correspondents R-Z.	Box No.: 3, Folder Title: Rivero Agüero, Andrés: Correspondence from Fulgencio Batista.									Text					chc51550006780001001		40485.778 KB	5416	7720	0xF0D57B41	RGB	24 Bit-depth	600 dpi	chc51550006780001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/26	26	284.jp2	/chc5155/image/284.jp2
Letter: July 3, 1973: Alonso Pujol, Guillermo: Correspondence from Fulgencio Batista		Batista y Zaldívar, Fulgencio, 1901-1973					Correspondence<br>Manuscripts		1973-07-03-1973-07-03						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: A. Correspondents A-D.	Box No.: 1, Folder Title: Alonso Pujol, Guillermo: Correspondence from Fulgencio Batista.									Text					chc51550000190001001		11697.437 KB	4056	2832	0x4B2836E2	RGB	24 Bit-depth	600 dpi	chc51550000190001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/27	27	7.jp2	/chc5155/image/7.jp2
Hospital Municipal Mercedes del Puerto						Hospital Municipal Mercedes del Puerto (Havana, Cuba)	Photographs		1957-06			1 b&w photograph<br>Photo affixed to matte			University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: I. Other Photographs. Sub-sub-series: 2. Batista Government Public Works.	Box No.: 5, Folder Title: Buildings.									Image					chc51550010220001001		46458.698 KB	7304	6016	0x77DD69B6	RGB	24 Bit-depth	600 dpi	chc51550010220001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/28	28	477.jp2	/chc5155/image/477.jp2
Batista, colleagues, and wives arriving in the United States						Batista y Zaldívar, Fulgencio, 1901-1973<br>Godínez, Elisa<br>Palmero de Tabernilla, Esther<br>Tabernilla Dolz, Francisco	Group portraits		ca. 1938			1 b&w photograph			University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: H. Photographs - The Batista Family. Sub-sub-series: 4. Military Officials.	Box No.: 5, Folder Title: Godínez, Elisa: Groups.									Image					chc51550009970001001		2402.497 KB	4628	3326	0x5C5E9BC0	RGB	24 Bit-depth	600 dpi	chc51550009970001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/29	29	454.jp2	/chc5155/image/454.jp2
Letter: December 29, 1971: Cabinet Officials, Cuban: Armenteros, Carlos: Correspondence from Fulgencio Batista							Correspondence		1971-12-29						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: E. Other Correspondents. Sub-sub-series: 2. Government Officials.	Box No.: 4, Folder Title: Cabinet Officials, Cuban: Armenteros, Carlos: Correspondence from Fulgencio Batista.									Text					chc51550007850001001		34158.232 KB	5464	6872	0x23E1D070	RGB	24 Bit-depth	600 dpi	chc51550007850001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/30	30	332.jp2	/chc5155/image/332.jp2
Letter: Madrid, [Spain], April 20, 1971: Gómez Carbonell, María: Correspondence from Fulgencio Batista		Batista y Zaldívar, Fulgencio, 1901-1973					Correspondence		1971-04-20						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: B. Correspondents E-L.	Box No.: 2, Folder Title: Gómez Carbonell, María: Correspondence from Fulgencio Batista.									Text					chc51550003500001001		36493.844 KB	5320	6848	0xE825F5F	RGB	24 Bit-depth	600 dpi	chc51550003500001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/31	31	166.jp2	/chc5155/image/166.jp2
Exhortan a los ex Presidentes a unirse por el bien de Cuba: piden que se abracen Prio y Batista					Reference: El Tiempo (New York) (October 7, 1969)		Newspaper articles		1969-10-07						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: C. Correspondents M-Q.	Box No.: 3, Folder Title: Pizzi de Porras, Enrique: Clippings, Correspondence by others, Documents.									Text					chc51550006270001001		57099.047 KB	6280	8800	0x9D26960B	RGB	24 Bit-depth	600 dpi	chc51550006270001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/32	32	266.jp2	/chc5155/image/266.jp2
Letter: Estoril, [Portugal], February 15, 1965: Díaz-Balart, Rafael: Correspondence from Fulgencio Batista		Batista y Zaldívar, Fulgencio, 1901-1973					Correspondence		1965-02-15						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: A. Correspondents A-D.	Box No.: 1, Folder Title: Díaz-Balart, Rafael: Correspondence from Fulgencio Batista.									Text					chc51550002080001001		38309.551 KB	5352	7144	0x3F16714A	RGB	24 Bit-depth	600 dpi	chc51550002080001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/33	33	90.jp2	/chc5155/image/90.jp2
Certify, March 16, 1970			Unites States. Embassy (Spain)				Certificates		1970-03-16				English		University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: D. Correspondents R-Z.	Box No.: 3, Folder Title: Rocafort, Blas M.: Clipings, Correspondence by others, Documents.									Text					chc51550007330001001		30198.262 KB	5040	6504	0x28BF50E4	RGB	24 Bit-depth	600 dpi	chc51550007330001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/34	34	307.jp2	/chc5155/image/307.jp2
Letter to Martha de Batista, Madrid, [Spain], March 22, 1965		Martín Artajo, Javier					Correspondence		1965-03-22						University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: E. Other Correspondents. Sub-sub-series: 3. Journalists and Writers.	Box No.: 4, Folder Title: Martín Artajo, Javier: Correspondence by others.									Text					chc51550008130001001		31891.872 KB	5240	6696	0x8EBF8617	RGB	24 Bit-depth	600 dpi	chc51550008130001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/35	35	345.jp2	/chc5155/image/345.jp2
Fulgencio Batista and his wife Martha pose with flight crew in front of Cubana Airlines plane						Batista y Zaldivar, Fulgencio, 1901-1973<br>Batista, Martha Fernández de	Group portraits		ca. 1945			1 b&w photograph			University of Miami Libraries, Cuban Heritage Collection	Fulgencio Batista Zaldivar Collection	5155	Series: I Core Selections from Correspondence and Correspondent Files and Photographs Sub-series: F. Photographs - Batista Zaldívar, Fulgencio. Sub-sub-series: 4. Military Officials.	Box No.: 5, Folder Title: Batista Y Zaldívar, Fulgencio: Groups.									Image					chc51550009510001001		23781.407 KB	4272	5416	0xDDA43464	RGB	24 Bit-depth	600 dpi	chc51550009510001001.tif		2008-11-11	2008-11-11	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5155/id/36	36	424.jp2	/chc5155/image/424.jp2
