Title	Translated Title	Photographer	Contributor	Summary	Note	Subject	Theme	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Castillo de San Salvador de la Punta, Havana					Stamp on verso: "Munson Steamship Line" with notation: "Used Sept 1926."	Fortification -- Cuba -- Havana; Castillo de San Salvador de la Punta (Havana, Cuba); Castles; Havana (Cuba)		Photographs		1926-09	1920-1930	Havana (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 1; Folder No.; 32 Folder Title: Forts and Fortifications: Castillo de la Punta, n.d., 1920s	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170001990001001	Image	image/tiff	Epson	Photoshop		278.764 KB	954	768	0xA9FE3397		24 bit	600 dpi	50170001990001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1280	1280	1462.jpg	chc50178\50170001990001001.tif	/chc5017/image/1462.jpg
Puerto Príncipe Plaza, Camagüey, Cuba					Written on verso: "#97"	Plazas -- Cuba; Camagüey (Cuba)		Photographs				Camagüey (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 2; Folder No. 21; Folder Title: Camagüey,n.d., 1910s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170003890001001	Image	image/tiff	Epson	Photoshop		362.846 KB	1022	736	0xA6851E61		24 bit	600 dpi	50170003890001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1281	1281	1650.jpg	chc50179\50170003890001001.tif	/chc5017/image/1650.jpg
Seawall destroyed after the 1919 storm, Havana					Written on front: "Ciclon Sept 9-1919- Valbanera." Written on verso: "Section of the new seawall several hundred feet in length which was washed out during the storm on Sept. 9, 1919, in front of Santa Clara battery on the road leading from Havana to Vedado. Photo by American Photo Co., Neptune 43, Havana, Cuba."	Storms; Hurricanes -- Cuba; Valbanera (Steamship); Cyclone damage; Sea-walls; Havana (Cuba)		Photographs		1919-09-09	1910-1920	Havana (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 1; Folder No.: 27; Folder Title: Disasters, 1919	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170001640001001	Image	image/tiff	Epson	Photoshop		244.685 KB	958	768	0x5F501C13		24 bit	600 dpi	50170001640001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1282	1282	1428.jpg	chc50178\50170001640001001.tif	/chc5017/image/1428.jpg
Buena Vista Fruit Company's nursery					No. 3	Citrus fruit industry -- Cuba; Agriculture -- Cuba		Photographs			1900-1930	Cuba	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 4; Folder Title: Citrus Fruit Industry,  n.d., 1919.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000100001001	Image	image/tiff	Epson	Photoshop		458.095 KB	1020	768	0xE2DA00A8		24 bit	600 dpi	50170000100001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1283	1283	1280.jpg	chc50178\50170000100001001.tif	/chc5017/image/1280.jpg
Ponderosa lemon tree, Cuba					Written on verso: "3 year Ponderosa lemon from cutting 50 fruits all ages."	Citrus fruit industry -- Cuba; Trees -- Cuba; Lemon; Cuba		Photographs				Cuba	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 4; Folder Title: Citrus Fruit Industry, n.d., 1919.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000080001001	Image	image/tiff	Epson	Photoshop		168.788 KB	498	768	0xFC7D1789		24 bit	600 dpi	50170000080001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1284	1284	1278.jpg	chc50178\50170000080001001.tif	/chc5017/image/1278.jpg
Meadows in Pinar del Río					Written on front: "3020", "Meadows Pinar del Río", "HB Co."	Meadows; Palms -- Cuba; Pinar del Río (Cuba : Province);		Photographs				Pinar del Río (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series IV: Provinces, n.d., 1906-1920s.	Box No. 3; Folder No. 19; Folder Title: Pinar del Río (Province), n.d., 1910s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170006100001001	Image	image/tiff	Epson	Photoshop		237.081 KB	971	768	0x996FBC29		24 bit	600 dpi	50170006100001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1285	1285	1870.jpg	chc501710\50170006100001001.tif	/chc5017/image/1870.jpg
Scene on Calzada Real, outside of Havana Province, Cuba					Written on front: "3034."	Roads -- Cuba; Havana (Cuba : Province)		Landscape photographs				Havana (Cuba : Province)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series IV: Provinces, n.d., 1906-1920s.	Box No. 3; Folder No. 12; Folder Title: Havana (Province), n.d., 1910s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170005700001001	Image	image/tiff	Epson	Photoshop		390.71 KB	966	768	0x340C4680		24 bit	600 dpi	50170005700001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1286	1286	1830.jpg	chc501710\50170005700001001.tif	/chc5017/image/1830.jpg
Bridge over river, Camagüey					Written on verso: "Puente en Camagüey", "Used 1918." Probably used by the Munson Steamship Line in their publication, The Cuba Review.	Bridges -- Cuba; Rivers -- Cuba; Streets -- Cuba; Railroad tracks; Street railroads -- Cuba; Street railroad tracks; Camagüey (Cuba)		Photographs		1918	1910-1920	Camagüey (Cuba)	1 b&w photograph	spa; eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 2; Folder No. 21; Folder Title: Camagüey, 1900s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170004000001001	Image	image/tiff	Epson	Photoshop		271.754 KB	950	768	0xC2A4156A		24 bit	600 dpi	50170004000001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1287	1287	1661.jpg	chc50179\50170004000001001.tif	/chc5017/image/1661.jpg
Wreck of the Battleship Maine, Havana Harbor						Maine (Battleship); Shipwrecks; Disasters; Harbors -- Cuba -- Havana; Havana (Cuba)		Photographs			1910-1930	Havana (Cuba)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 1; Folder No. 36; Folder Title: Havana Harbor, n.d., 1900s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170002220001001	Image	image/tiff	Epson	Photoshop		192.3 KB	616	768	0xCC9A9630		24 bit	600 dpi	50170002220001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1288	1288	1485.jpg	chc50178\50170002220001001.tif	/chc5017/image/1485.jpg
Soldiers at fort, Cuba						Fortification -- Cuba; Soldiers -- Cuba; Portraits -- Cuban;		Photographs				Cuba	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 7; Folder Title: Forts & Fortifications.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000520001001	Image	image/tiff	Epson	Photoshop		259.167 KB	1022	623	0x9B44A78D		24 bit	600 dpi	50170000520001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1289	1289	1320.jpg	chc50178\50170000520001001.tif	/chc5017/image/1320.jpg
Fuente de la India, Havana					Written on verso: "Statue of Havana fountain, an Indian maiden, Colon Park."	Fuente de la India (Havana, Cuba); Fountains; Marble; Statues; Parks -- Cuba; Havana (Cuba)		Photographs			1910-1930	Havana (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	II. Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No. 2; Folder No. 3; Folder Title: Parks, n.d., 1929-1931.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170002820001001	Image	image/tiff	Epson	Photoshop		148.186 KB	612	768	0x86D385B4		24 bit	600 dpi	50170002820001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1290	1290	1545.jpg	chc50179\50170002820001001.tif	/chc5017/image/1545.jpg
Private residence in Vedado, Havana, Cuba					Embossed stamp on front: "Library of Manuel R. Bustamante' (donor). Notation by Manuel R. Bustamante (donor) affixed on verso: "Residencia de la familia De La Campa, en 11 y A en el Vedado, La Habana." Also on verso: "Jan Cover 1916." Probably used by the Munson Steamship Line in their publication, The Cuba Review.	Dwellings -- Cuba; Automobiles; Havana (Cuba);  Neighborhoods; Vedado (Havana, Cuba)		Photographs		1916	1910-1920	Havana (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series II: Havana, n.d., 1900s-1999 (bulk dates 1910s-1930s).	Box No.; 1 Folder No. 43; Folder Title: Neighborhoods: Vedado: Dwellings, n.d., 1901-1920s 1999.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170002640001001	Image	image/tiff	Epson	Photoshop		340.196 KB	984	768	0x5019616D		24 bit	600 dpi	50170002640001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1291	1291	1527.jpg	chc50179\50170002640001001.tif	/chc5017/image/1527.jpg
Cave in Guantánamo						Caves -- Cuba; Guantánamo (Cuba)		Photographs			1900-1920	Guantánamo (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 2; Folder No. 38; Folder Title: Guantánamo.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170004550001001	Image	image/tiff	Epson	Photoshop		336.088 KB	1022	646	0x58F2744D		24 bit	600 dpi	50170004550001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1292	1292	1716.jpg	chc501710\50170004550001001.tif	/chc5017/image/1716.jpg
Group of people standing in yard, Cuba						Backyard gardens; Country Life -- Cuba		Photographs			1900-1930	Cuba	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 5; Folder Title: Country Life.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000290001001	Image	image/tiff	Epson	Photoshop		317.371 KB	1023	605	0x5F1A8004		24 bit	600 dpi	50170000290001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1293	1293	1298.jpg	chc50178\50170000290001001.tif	/chc5017/image/1298.jpg
Street in Nuevitas, Camagüey						Streets -- Cuba; Nuevitas (Cuba) -- Buildings, structures, etc.; Nuevitas (Cuba); Camagüey (Cuba); 		Photographs			1900-1920	Camagüey (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 2; Folder No. 51; Folder Title: Nuevitas.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170005000001001	Image	image/tiff	Epson	Photoshop		268.028 KB	996	768	0x327B1E6F		24 bit	600 dpi	50170005000001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1294	1294	1761.jpg	chc501710\50170005000001001.tif	/chc5017/image/1761.jpg
Man on horseback in front of bohío, Cuba					This image appeared in Munson Steamship Line's "The Cuba Review and Bulletin" on the cover in July 1905 with the following caption: "Cover illustration: A turn in the road that winds down the Yumuri Valley, Matanzas. A fountain, centuries old, near by yields the traveler refreshing drink."	Country life -- Cuba; Huts; Dwellings -- Cuba; Matanzas (Cuba : Province)		Photographs		1905-07	1900-1910	Matanzas (Cuba)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series I: Subject Files, n.d., 1890s-1990s (bulk dates 1900s-1930s).	Box No. 1; Folder No. 5; Folder Title: Country Life.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170000260001001	Image	image/tiff	Epson	Photoshop		370.915 KB	1023	734	0x25294207		24 bit	600 dpi	50170000260001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1295	1295	1295.jpg	chc50178\50170000260001001.tif	/chc5017/image/1295.jpg
Sunset, Rural Havana					Written on recto: "3012. Sunset. Rural. Havana."	Sun -- Rising and setting; Roads -- Cuba; Havana (Cuba : Province)		Landscape photographs			1910-1920	Havana (Cuba : Province)	1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series IV: Provinces, n.d., 1906-1920s.	Box No. 3, Folder No. 12, Folder Title: Havana (Province), n.d., 1910s-1920s.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170005730001001	Image	image/tiff	Epson	Photoshop		222.987 KB	988	768	0x288F8A55		24 bit	600 dpi	50170005730001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1296	1296	1833.jpg	chc501710\50170005730001001.tif	/chc5017/image/1833.jpg
Fortaleza San Pedro de la Roca, Santiago de Cuba					Notation by Manuel R. Bustamante (donor) affixed on verso: "Fortaleza del Morro de Santiago de Cuba."	Fortaleza San Pedro de la Roca (Santiago de Cuba, Cuba); Fortification -- Cuba; Waterfronts -- Cuba; Castles; Santiago de Cuba (Cuba)		Photographs			1900-1920	Santiago de Cuba (Cuba)	1 b&w photograph	eng; spa		University of Miami Libraries. Cuban Heritage Collection.	Manuel R. Bustamante Photograph Collection.	CHC5017	Series III: Cities and Towns, n.d., 1900s-1990 (bulk dates 1900s-1920s).	Box No. 3; Folder No.: 7 Folder Title: Santiago de Cuba: Castillo del Morro. Folder Date: n.d.	Bustamante, Manuel R.			jrn; cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	chc50170005410001001	Image	image/tiff	Epson	Photoshop		224.188 KB	1023	617	0xB8FCE47D		24 bit	600 dpi	50170005410001001.tif		2006-12-05	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5017/id/1297	1297	1801.jpg	chc501710\50170005410001001.tif	/chc5017/image/1801.jpg
