Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Digital ID	Date Digital	Hardware	Software	Directory	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Calle Real, Matanzas	Real street, Matanzas				Written on front: "Isla de Cuba; Matanzas Pintoresca; Calle Real"																						chc5252000045		chc52520000450011001					image/tiff	148373572 Bytes	8088	6114	2398436527	RGB	8	600	chc52520000450011001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1051	1051	1052.jp2	/chc5252/image/1052.jp2
Fuente de la India, Habana	Indian Fountain, Havana																										chc5252000045		chc52520000450012001					image/tiff	147712500 Bytes	8052	6114	2741856929	RGB	8	600	chc52520000450012001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1052	1052	1053.jp2	/chc5252/image/1053.jp2
Palacio de Gobierno, Habana	Government Palace, Havana																										chc5252000045		chc52520000450013001					image/tiff	149417508 Bytes	8129	6126	230352940	RGB	8	600	chc52520000450013001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1053	1053	1054.jp2	/chc5252/image/1054.jp2
Catedral y pescadería, Habana	Cathedral and fish market, Havana																										chc5252000045		chc52520000450014001					image/tiff	149104296 Bytes	8112	6126	2047678792	RGB	8	600	chc52520000450014001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1054	1054	1055.jp2	/chc5252/image/1055.jp2
Parroquia del Cristo, Habana	Parish of Christ, Havana																										chc5252000045		chc52520000450015001					image/tiff	148044344 Bytes	8057	6124	908366121	RGB	8	600	chc52520000450015001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1055	1055	1056.jp2	/chc5252/image/1056.jp2
Entrance to Quinta de los Molinos, Havana					Written on front: "Entrada a la Quinta de los Molinos desde el Paseo de Tacón, Habana"																						chc5252000045		chc52520000450016001					image/tiff	149032132 Bytes	8124	6114	1710487669	RGB	8	600	chc52520000450016001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1056	1056	1057.jp2	/chc5252/image/1057.jp2
Quinta de los Molinos residence, Havana					Written on front: "Quinta de los Molinos, residencia de verano de los capitanes generales de la Habana, Cuba"																						chc5252000045		chc52520000450017001					image/tiff	148440600 Bytes	8097	6110	2103108836	RGB	8	600	chc52520000450017001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1057	1057	1058.jp2	/chc5252/image/1058.jp2
Faro Los Pinzones, 1857	Los Pinzones Lighthouse				Written on front: "Situado en Cayo Piedra, frente a la entrada; Longitud 0 de Cadiz; Latitud N ____"																						chc5252000045		chc52520000450018001					image/tiff	148541292 Bytes	8059	6143	4239441905	RGB	8	600	chc52520000450018001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1058	1058	1059.jp2	/chc5252/image/1059.jp2
Faro Los Pinzones	Los Pinzones lighthouse																										chc5252000045		chc52520000450019001					image/tiff	147868492 Bytes	8083	6097	1519073394	RGB	8	600	chc52520000450019001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1059	1059	1060.jp2	/chc5252/image/1060.jp2
Balandro Hernán Cortés y Patrón Lorenzo	Hernán Cortés yatch and Master Lorenzo				Written on verso: "Balandro Hernán Cortés y Patrón Lorenzo; En la ________ de 1 ½ tonelada para el servicio de vapores, faros, en la cual el _____de este album con la lancha Mala Noche hizo la travesia distante, la dirección de los faros cuya _____ dirigía con [ingenio] ______ la más larga en Noviembre 1859 que dura 11 días desde Cay barien al Cayo Paredon Grande"																						chc5252000045		chc52520000450020001					image/tiff	148176872 Bytes	8088	6106	1975112569	RGB	8	600	chc52520000450020001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1060	1060	1061.jp2	/chc5252/image/1061.jp2
Luz de puerto en Cayo Diana, en la entrada de la Bahía de Cardenas	Harbor Light in Cayo Diana, at the entrance of the Bahía de Cardenas																										chc5252000045		chc52520000450021001					image/tiff	148846432 Bytes	8098	6126	1025105694	RGB	8	600	chc52520000450021001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1061	1061	1062.jp2	/chc5252/image/1062.jp2
Luz de puerto en Cayo Diana	Harbor Light in Cayo Diana																										chc5252000045		chc52520000450022001					image/tiff	147881080 Bytes	8121	6069	1396413443	RGB	8	600	chc52520000450022001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1062	1062	1063.jp2	/chc5252/image/1063.jp2
Monumento de Cristobal Colón en Villa de Cárdenas	Christopher Columbus monument in Villa de Cárdenas				Written on front: "Estatua erigida en la Villa de Cárdenas al _____ de _____ memoria que descubrió las Américas Cristobal Colón _____ monumento"																						chc5252000045		chc52520000450023001					image/tiff	146912692 Bytes	6090	8040	2603904083	RGB	8	600	chc52520000450023001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1063	1063	1064.jp2	/chc5252/image/1064.jp2
Christopher Columbus monument in Villa de Cárdenas																											chc5252000045		chc52520000450024001					image/tiff	146597672 Bytes	6086	8028	2277024354	RGB	8	600	chc52520000450024001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1064	1064	1065.jp2	/chc5252/image/1065.jp2
Sugar mill																											chc5252000045		chc52520000450025001					image/tiff	148611460 Bytes	8113	6105	2011968326	RGB	8	600	chc52520000450025001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1065	1065	1066.jp2	/chc5252/image/1066.jp2
Man on horse crossing a bridge																											chc5252000045		chc52520000450026001					image/tiff	148181132 Bytes	8112	6088	3974539880	RGB	8	600	chc52520000450026001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1066	1066	1067.jp2	/chc5252/image/1067.jp2
Cayo Cruz del Padre lighthouse																											chc5252000045		chc52520000450027001					image/tiff	148187176 Bytes	6120	8070	2299108420	RGB	8	600	chc52520000450027001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1067	1067	1068.jp2	/chc5252/image/1068.jp2
Hernán Cortés lighthouse at Bahía de Cadiz																											chc5252000045		chc52520000450028001					image/tiff	147615972 Bytes	8035	6123	3292603371	RGB	8	600	chc52520000450028001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1068	1068	1069.jp2	/chc5252/image/1069.jp2
Hernán Cortés lighthouse at Bahía de Cadiz																											chc5252000045		chc52520000450029001					image/tiff	147243448 Bytes	6072	8082	3768714048	RGB	8	600	chc52520000450029001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1069	1069	1070.jp2	/chc5252/image/1070.jp2
Hernán Cortés lighthouse at Bahía de Cadiz																											chc5252000045		chc52520000450030001					image/tiff	147966692 Bytes	6120	8058	1972041036	RGB	8	600	chc52520000450030001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1070	1070	1071.jp2	/chc5252/image/1071.jp2
Hernán Cortés lighthouse at Bahía de Cadiz																											chc5252000045		chc52520000450031001					image/tiff	148478008 Bytes	8119	6095	182228949	RGB	8	600	chc52520000450031001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1071	1071	1072.jp2	/chc5252/image/1072.jp2
Shoreline near Hernán Cortés lighthouse																											chc5252000045		chc52520000450032001					image/tiff	148207048 Bytes	8079	6114	915386508	RGB	8	600	chc52520000450032001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1072	1072	1073.jp2	/chc5252/image/1073.jp2
Shoreline near Hernán Cortés lighthouse																											chc5252000045		chc52520000450033001					image/tiff	148547192 Bytes	8058	6144	1029301909	RGB	8	600	chc52520000450033001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1073	1073	1074.jp2	/chc5252/image/1074.jp2
Hunters in a mangrove																											chc5252000045		chc52520000450034001					image/tiff	153646876 Bytes	8286	6180	1998295448	RGB	8	600	chc52520000450034001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1074	1074	1075.jp2	/chc5252/image/1075.jp2
Virgin forest																											chc5252000045		chc52520000450035001					image/tiff	148455304 Bytes	8070	6131	949275095	RGB	8	600	chc52520000450035001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1075	1075	1076.jp2	/chc5252/image/1076.jp2
Iglesia de la Villa de Caybarién	Church of the City of Caybarién																										chc5252000045		chc52520000450036001					image/tiff	149860496 Bytes	8120	6151	2913847996	RGB	8	600	chc52520000450036001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1076	1076	1077.jp2	/chc5252/image/1077.jp2
Mala Noche, a sailboat																											chc5252000045		chc52520000450037001					image/tiff	149841428 Bytes	8119	6151	326325463	RGB	8	600	chc52520000450037001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1077	1077	1078.jp2	/chc5252/image/1078.jp2
Paredón Grande lighthouse at Cayo Coco																											chc5252000045		chc52520000450038001					image/tiff	147676604 Bytes	8058	6108	2278680371	RGB	8	600	chc52520000450038001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1078	1078	1079.jp2	/chc5252/image/1079.jp2
Century plant																											chc5252000045		chc52520000450039001					image/tiff	144973608 Bytes	6096	7926	336773616	RGB	8	600	chc52520000450039001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1079	1079	1080.jp2	/chc5252/image/1080.jp2
Cueva de Punta Caguanes	Punta Caguanes cave				Written on front: "Cueva de Punta Caguanes"																						chc5252000045		chc52520000450040001					image/tiff	149280500 Bytes	8082	6156	3948334654	RGB	8	600	chc52520000450040001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1080	1080	1081.jp2	/chc5252/image/1081.jp2
Punta Caguanes cave																											chc5252000045		chc52520000450041001					image/tiff	149127904 Bytes	8058	6168	1702623557	RGB	8	600	chc52520000450041001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1081	1081	1082.jp2	/chc5252/image/1082.jp2
Punta Caguanes cave																											chc5252000045		chc52520000450042001					image/tiff	150023016 Bytes	8154	6132	4214349397	RGB	8	600	chc52520000450042001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1082	1082	1083.jp2	/chc5252/image/1083.jp2
Cuevas Punta Caguanes	Punta Caguanes cave				Written on front: "Cuevas Punta Caguanes"																						chc5252000045		chc52520000450043001					image/tiff	149417724 Bytes	8058	6180	3175531507	RGB	8	600	chc52520000450043001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1083	1083	1084.jp2	/chc5252/image/1084.jp2
Maternillos lighthouse																											chc5252000045		chc52520000450044001					image/tiff	149157560 Bytes	6132	8107	3035440410	RGB	8	600	chc52520000450044001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1084	1084	1085.jp2	/chc5252/image/1085.jp2
Maternillos lighthouse																											chc5252000045		chc52520000450045001					image/tiff	149550096 Bytes	8094	6158	63177854	RGB	8	600	chc52520000450045001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1085	1085	1086.jp2	/chc5252/image/1086.jp2
Maternillos lighthouse																											chc5252000045		chc52520000450046001					image/tiff	149862228 Bytes	8082	6180	3922105671	RGB	8	600	chc52520000450046001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1086	1086	1087.jp2	/chc5252/image/1087.jp2
Maternillos lighthouse																											chc5252000045		chc52520000450047001					image/tiff	148988488 Bytes	6144	8082	3677367545	RGB	8	600	chc52520000450047001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1087	1087	1088.jp2	/chc5252/image/1088.jp2
Maternillos lighthouse																											chc5252000045		chc52520000450048001					image/tiff	146586672 Bytes	6072	8046	2501975012	RGB	8	600	chc52520000450048001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1088	1088	1089.jp2	/chc5252/image/1089.jp2
Stairs to Maternillos lighthouse																											chc5252000045		chc52520000450049001					image/tiff	148556392 Bytes	6108	8106	1894370813	RGB	8	600	chc52520000450049001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1089	1089	1090.jp2	/chc5252/image/1090.jp2
View of stairs to Maternillos lighthouse																											chc5252000045		chc52520000450050001					image/tiff	149723380 Bytes	8147	6125	2768304212	RGB	8	600	chc52520000450050001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1090	1090	1091.jp2	/chc5252/image/1091.jp2
Punta de los Prácticos, Camaguey					Written on front: Punta de los Prácticos																						chc5252000045		chc52520000450051001					image/tiff	148316752 Bytes	8077	6120	443962143	RGB	8	600	chc52520000450051001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1091	1091	1092.jp2	/chc5252/image/1092.jp2
Punta de Prácticos, Camaguey					Written on front: "Punta de Prácticos"																						chc5252000045		chc52520000450052001					image/tiff	148826732 Bytes	8089	6132	969044656	RGB	8	600	chc52520000450052001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1092	1092	1093.jp2	/chc5252/image/1093.jp2
Bahía de Nuevitas																											chc5252000045		chc52520000450053001					image/tiff	150073868 Bytes	8125	6156	4081080603	RGB	8	600	chc52520000450053001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1093	1093	1094.jp2	/chc5252/image/1094.jp2
Punta de Prácticos, Camaguey																											chc5252000045		chc52520000450054001					image/tiff	149047616 Bytes	8101	6132	1401541847	RGB	8	600	chc52520000450054001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1094	1094	1095.jp2	/chc5252/image/1095.jp2
Bromeliads																											chc5252000045		chc52520000450055001					image/tiff	146569148 Bytes	6084	8029	2450829592	RGB	8	600	chc52520000450055001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1095	1095	1096.jp2	/chc5252/image/1096.jp2
Two men sitting near a bohio (hut)																											chc5252000045		chc52520000450056001					image/tiff	149547288 Bytes	8065	6180	3404209848	RGB	8	600	chc52520000450056001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1096	1096	1097.jp2	/chc5252/image/1097.jp2
Bahía de Nuevitas																											chc5252000045		chc52520000450057001					image/tiff	150417488 Bytes	8137	6161	3522097471	RGB	8	600	chc52520000450057001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1097	1097	1098.jp2	/chc5252/image/1098.jp2
Sea turtle shells near a group of bohios (huts)																											chc5252000045		chc52520000450058001					image/tiff	149547836 Bytes	8065	6180	1494542597	RGB	8	600	chc52520000450058001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1098	1098	1099.jp2	/chc5252/image/1099.jp2
View of Santiago de Cuba Bay					Written on front, around picture: "Boca del puerto; El Cobre; Castillo viejo; Santiago de Cuba"																						chc5252000045		chc52520000450059001					image/tiff	151089500 Bytes	8101	6216	3463221117	RGB	8	600	chc52520000450059001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1099	1099	1100.jp2	/chc5252/image/1100.jp2
Lighthouse at Santiago de Cuba					Written on front: "Santiago de Cuba"																						chc5252000045		chc52520000450060001					image/tiff	149034940 Bytes	8053	6168	2609916793	RGB	8	600	chc52520000450060001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1100	1100	1101.jp2	/chc5252/image/1101.jp2
Lighthouse at Santiago de Cuba					Written on front: "Santiago de Cuba"																						chc5252000045		chc52520000450061001					image/tiff	148914944 Bytes	8111	6119	4146857173	RGB	8	600	chc52520000450061001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1101	1101	1102.jp2	/chc5252/image/1102.jp2
Faro de Villanueva en la Punta de los Colorados, at Bahía de Cienfuegos	Villanueva lighthouse in Punta de los Colorados				The square structure was destroyed during the Spanish-American War and was later rebuilt with a cylindrical shape.																						chc5252000045		chc52520000450062001					image/tiff	149036328 Bytes	6133	8099	2090163157	RGB	8	600	chc52520000450062001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1102	1102	1103.jp2	/chc5252/image/1103.jp2
Faro de Villanueva en la Punta de los Colorados, at Bahía de Cienfuegos	Villanueva lighthouse in Punta de los Colorados																										chc5252000045		chc52520000450063001					image/tiff	148173264 Bytes	8101	6096	2356485299	RGB	8	600	chc52520000450063001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1103	1103	1104.jp2	/chc5252/image/1104.jp2
Surgidero de Batabanó lighthouse																											chc5252000045		chc52520000450064001					image/tiff	148613232 Bytes	6096	8125	285459862	RGB	8	600	chc52520000450064001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1104	1104	1105.jp2	/chc5252/image/1105.jp2
Roncali lighthouse, Pinar del Río																											chc5252000045		chc52520000450065001					image/tiff	148114160 Bytes	6117	8070	2491869356	RGB	8	600	chc52520000450065001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1105	1105	1106.jp2	/chc5252/image/1106.jp2
Roncali lighthouse, Pinar del Río																											chc5252000045		chc52520000450066001					image/tiff	148012268 Bytes	6144	8029	3032433937	RGB	8	600	chc52520000450066001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1106	1106	1107.jp2	/chc5252/image/1107.jp2
Bailén					Written on front: Bailen; Bailén is located in the province of Pinar del Río																						chc5252000045		chc52520000450067001					image/tiff	149479172 Bytes	8077	6168	918910441	RGB	8	600	chc52520000450067001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1107	1107	1108.jp2	/chc5252/image/1108.jp2
Bailén					Written on front: "Bailen; Bailén is located in the province of Pinar del Río"																						chc5252000045		chc52520000450068001					image/tiff	147348124 Bytes	7993	6144	3258517791	RGB	8	600	chc52520000450068001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1108	1108	1109.jp2	/chc5252/image/1109.jp2
Plano de la Isla de Cuba	Map of the Island of Cuba				Written on front: "Plano de la Isla de Cuba"																						chc5252000045		chc52520000450069001					image/tiff	147351656 Bytes	7993	6144	619767102	RGB	8	600	chc52520000450069001.tif		2011-04-20	2011-04-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1109	1109	1110.jp2	/chc5252/image/1110.jp2
Photo album of lighthouses and views of Cuba		Charles D. Fredricks & Co.				Boats and boating -- Cuba; Lighthouses; Sailboats; Caves; Plants; Santiago de Cuba (Cuba); Maps -- 1850-1860;	Albumen prints; Photographs			1850-1870	Cuba	1 album; 33 b&w photographs	spa		University of Miami Libraries. Cuban Heritage Collection.	Tom Pohrt Photograph Collection	CHC5252		Box No. 2			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			Image		9/10/2010				image/tiff										2011-04-20	2011-04-22	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1110	1110	1111.cpd	/chc5252/image/1111.cpd
Page 1																											chc5252000047		chc52520000470001001					image/tiff	107209524 Bytes	6808	5248	2233262035	RGB	8	600	chc52520000470001001.tif		2011-04-21	2011-04-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1145	1145	1146.jp2	/chc5252/image/1146.jp2
Page 2					Written on loose endpaper: "Propiedad de Teresa de la Torre Alvarez, Calle 128, #6315 - Mariel; Data del año 1867"																						chc5252000047		chc52520000470002001					image/tiff	106523364 Bytes	6931	5122	3134330940	RGB	8	600	chc52520000470002001.tif		2011-04-21	2011-04-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1146	1146	1147.jp2	/chc5252/image/1147.jp2
Nicolasa Plasencia de Villa																											chc5252000047		chc52520000470003001					image/tiff	100400832 Bytes	5033	6648	1192458964	RGB	8	600	chc52520000470003001.tif		2011-04-21	2011-04-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1147	1147	1148.jp2	/chc5252/image/1148.jp2
Casa de Villa, Habana	Villa house, Havana				Written on front: "Casa de Villa, Habana; Calle de Cuba"																						chc5252000047		chc52520000470004001					image/tiff	102049736 Bytes	5002	6799	764609572	RGB	8	600	chc52520000470004001.tif		2011-04-21	2011-04-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1148	1148	1149.jp2	/chc5252/image/1149.jp2
Casa de Villa, Habana	Villa house, Havana				Written on front: "Casa de Villa, Habana"																						chc5252000047		chc52520000470005001					image/tiff	102638376 Bytes	6807	5025	2056987055	RGB	8	600	chc52520000470005001.tif		2011-04-21	2011-04-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1149	1149	1150.jp2	/chc5252/image/1150.jp2
Casa de Villa, Habana					Written on front: "Habana, Casa Villa"; A sign on a building (right) reads "Gimnasio" (Gym)																						chc5252000047		chc52520000470006001					image/tiff	100492660 Bytes	6752	4960	725214631	RGB	8	600	chc52520000470006001.tif		2011-04-21	2011-04-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1150	1150	1151.jp2	/chc5252/image/1151.jp2
Casa Villa, Habana					Written on front: "Casa Villa, Habana"																						chc5252000047		chc52520000470007001					image/tiff	102173084 Bytes	5128	6640	2901125207	RGB	8	600	chc52520000470007001.tif		2011-04-21	2011-04-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1151	1151	1152.jp2	/chc5252/image/1152.jp2
Casa del Fuerte, Mariel					Written on front: "Casa del Fuerte, Mariel Torreon"																						chc5252000047		chc52520000470008001					image/tiff	99633516 Bytes	6650	4993	3641612302	RGB	8	600	chc52520000470008001.tif		2011-04-21	2011-04-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5252/id/1152	1152	1153.jp2	/chc5252/image/1153.jp2
