Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	Full resolution	CONTENTdm file path
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000003						asm00370000030002001	image/tiff	391.314 KB	1023	622	0xF0F9368A	RGB	24 bit depth	600 dpi	asm00370000030002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/10	10	14.jpg	Volume4\asm00370000030002001.tif	/asm0037/image/14.jpg
Coral Gables yesterday, today and tomorrow			Spain, Thomas A.; Spain, Jane St. Clair	Promotional material for the city of Coral Gables.		Tourist attractions; Tourism	Advertising fliers				Florida; Miami-Dade County (Florida); Coral Gables (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 1; Folder Title: Coral Gables						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000003	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/11	11	15.cpd		/asm0037/image/15.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000012						asm00370000120001001	image/tiff	319.484 KB	679	768	0x59C9CA91	RGB	24 bit depth	600 dpi	asm00370000120001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/12	12	16.jpg	Volume4\asm00370000120001001.tif	/asm0037/image/16.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000012						asm00370000120002001	image/tiff	501.773 KB	859	768	0x9AF8E8E1	RGB	24 bit depth	600 dpi	asm00370000120002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/13	13	17.jpg	Volume4\asm00370000120002001.tif	/asm0037/image/17.jpg
Miami winter season 1939-1940		Greater Miami Apartment House Association / Florida Apartment House Association		Advertising flyer for the Greater Miami Apartment House Association and Florida Apartment House Association for lodging available during the 1939-1940 winter season.		Apartment houses; Resorts -- Rates	Advertising fliers		1939-1940	1930-1940	Florida; Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000012	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/14	14	18.cpd		/asm0037/image/18.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000017						asm00370000170001001	image/tiff	347.388 KB	794	768	0xB7CFF2D9	RGB	24 bit depth	600 dpi	asm00370000170001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/15	15	19.jpg	Volume4\asm00370000170001001.tif	/asm0037/image/19.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000017						asm00370000170002001	image/tiff	371.537 KB	804	768	0x5D6914BA	RGB	24 bit depth	600 dpi	asm00370000170002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/16	16	20.jpg	Volume4\asm00370000170002001.tif	/asm0037/image/20.jpg
Directional map for reaching Pan American airports at Miami				Directional map for reaching Pan American airports at Miami's Dinner Key.		Pan American World Airways, Inc.; Airports	Maps	Pan American World Airways, Inc.			Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000017	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/17	17	21.cpd		/asm0037/image/21.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000038						asm00370000380001001	image/tiff	353.494 KB	677	768	0xA62CD696	RGB	24 bit depth	600 dpi	asm00370000380001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/18	18	22.jpg	Volume4\asm00370000380001001.tif	/asm0037/image/22.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000038						asm00370000380002001	image/tiff	364.007 KB	677	768	0x2FDD72D5	RGB	24 bit depth	600 dpi	asm00370000380002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/19	19	23.jpg	Volume4\asm00370000380002001.tif	/asm0037/image/23.jpg
Miami Serpentarium			Thornton	Promotional flier advertising the Miami Serpentarium, a tourist attraction featuring snakes and other reptiles; it closed in 1984. The verso features pictures of Serpentarium director William Haast, who was famous for injecting himself with cobra venom to discover its properties and effects on humans.		Miami Serpentarium; Tourist attractions; Wildlife-related recreation	Advertising fliers	Mercury Litho Co.			Florida; Miami-Dade County (Florida); Pinecrest (Florida	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000038	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/20	20	24.cpd		/asm0037/image/24.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000001						asm00370000010001001	image/tiff	428.497 KB	987	768	0xF916C95	RGB	24 bit depth	600 dpi	asm00370000010001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/21	21	25.jpg	Volume4\asm00370000010001001.tif	/asm0037/image/25.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000001						asm00370000010002001	image/tiff	616.971 KB	990	768	0x8212535C	RGB	24 bit depth	600 dpi	asm00370000010002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/22	22	26.jpg	Volume4\asm00370000010002001.tif	/asm0037/image/26.jpg
The Coral Gables House				Promotional flier for the Coral Gables House, George Merrick's house, later renamed the Merrick Manor.		Merrick Manor (Coral Gables, Florida); Merrick, George E. -- Homes and haunts	Advertising fliers	Coral Gables Historic Preservation Board			Florida; Miami-Dade County (Florida); Coral Gables (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 1; Folder Title: Coral Gables						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000001	Text						image/tiff										2012-05-31	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/23	23	27.cpd		/asm0037/image/27.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000008						asm00370000080001001	image/tiff	504.679 KB	672	768	0x6EA7CED1	RGB	24 bit depth	600 dpi	asm00370000080001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/24	24	28.jpg	Volume4\asm00370000080001001.tif	/asm0037/image/28.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000008						asm00370000080002001	image/tiff	491.294 KB	672	768	0x5476BE14	RGB	24 bit depth	600 dpi	asm00370000080002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/25	25	29.jpg	Volume4\asm00370000080002001.tif	/asm0037/image/29.jpg
Musa Isle, home of the Seminoles		Musa Isle Indian Village		Promotional flyer for Musa Isle Indian Village, which was once a tourist attraction in Miami.		Musa Isle Indian Village; Seminole Indians; Tourist attractions	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000008	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/26	26	30.cpd		/asm0037/image/30.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000023						asm00370000230001001	image/tiff	599.409 KB	1002	768	0xEA01B453	RGB	24 bit depth	600 dpi	asm00370000230001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/27	27	31.jpg	Volume4\asm00370000230001001.tif	/asm0037/image/31.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000023						asm00370000230002001	image/tiff	621.396 KB	999	768	0x92A5B460	RGB	24 bit depth	600 dpi	asm00370000230002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/28	28	32.jpg	Volume4\asm00370000230002001.tif	/asm0037/image/32.jpg
Scenic Ingraham Highway				Map showing Ingraham Highway, which runs through the heart of Coconut Grove, and the nearby tourist attractions.		Ingraham Highway (Miami, Florida); Streets; Tourist attractions	Advertising fliers; Maps				Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000023	Text						image/tiff										2012-05-31	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/29	29	33.cpd		/asm0037/image/33.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000022						asm00370000220001001	image/tiff	665.263 KB	994	768	0xD5353ECA	RGB	24 bit depth	600 dpi	asm00370000220001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/30	30	34.jpg	Volume4\asm00370000220001001.tif	/asm0037/image/34.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000022						asm00370000220002001	image/tiff	650.782 KB	991	768	0x7D0929C6	RGB	24 bit depth	600 dpi	asm00370000220002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/31	31	35.jpg	Volume4\asm00370000220002001.tif	/asm0037/image/35.jpg
Parrot Jungle				Promotional flier advertising the Parrot Jungle and Gardens in Miami.		Parrot Jungle and Gardens (Miami, Florida); Flamingos; Macaws; Tourist attractions; Wildlife-related recreation	Advertising fliers	Parrot Jungle and Gardens (Miami, Florida)			Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000022	Text						image/tiff										2012-05-31	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/32	32	36.cpd		/asm0037/image/36.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000005						asm00370000050001001	image/tiff	515.518 KB	1014	768	0x95BB1AD1	RGB	24 bit depth	600 dpi	asm00370000050001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/33	33	37.jpg	Volume4\asm00370000050001001.tif	/asm0037/image/37.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000005						asm00370000050002001	image/tiff	537.775 KB	1014	768	0xB44FF0DB	RGB	24 bit depth	600 dpi	asm00370000050002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/34	34	38.jpg	Volume4\asm00370000050002001.tif	/asm0037/image/38.jpg
Tropical Hobbyland			Tropical Hobbyland	Promotional flyer for Tropical Hobbyland, which was a Seminole Indian village in Miami.		Botanical gardens; Tourist attractions; Tropical Hobbyland Indian Village (Miami, Florida)	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000005	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/35	35	39.cpd		/asm0037/image/39.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000009						asm00370000090001001	image/tiff	469.236 KB	674	768	0x6B15912C	RGB	24 bit depth	600 dpi	asm00370000090001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/36	36	40.jpg	Volume4\asm00370000090001001.tif	/asm0037/image/40.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000009						asm00370000090002001	image/tiff	415.881 KB	674	768	0xB203E49A	RGB	24 bit depth	600 dpi	asm00370000090002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/37	37	41.jpg	Volume4\asm00370000090002001.tif	/asm0037/image/41.jpg
Musa Isle, home of the Seminole Indians		Musa Isle Indian Village		Promotional flyer for Musa Isle Indian Village, which was once a tourist attraction.		Musa Isle Indian Village; Seminole Indians; Tourist attractions	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000009	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/38	38	42.cpd		/asm0037/image/42.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000040						asm00370000400001001	image/tiff	186.414 KB	296	768	0xBC97BEF1	RGB	24 bit depth	600 dpi	asm00370000400001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/39	39	43.jpg	Volume4\asm00370000400001001.tif	/asm0037/image/43.jpg
Monkey Jungle				Promotional flier advertising the Monkey Jungle.		Monkey Jungle (Miami, Florida); Tourist attractions; Wildlife-related recreation	Advertising fliers	Monkey Jungle (Miami, Florida)			Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000040	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/40	40	44.cpd		/asm0037/image/44.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000036						asm00370000360001001	image/tiff	515.191 KB	1022	576	0x70011462	RGB	24 bit depth	600 dpi	asm00370000360001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/41	41	45.jpg	Volume4\asm00370000360001001.tif	/asm0037/image/45.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000036						asm00370000360002001	image/tiff	546.38 KB	1023	579	0x4F83FB1E	RGB	24 bit depth	600 dpi	asm00370000360002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/42	42	46.jpg	Volume4\asm00370000360002001.tif	/asm0037/image/46.jpg
Miami's fabulous Seaquarium				Promotional flier advertising the Miami Seaquarium.		Miami Seaquarium; Tourist attractions; Wildlife-related recreation	Advertising fliers				Florida; Miami-Dade County (Florida); Virginia Key (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami Beach						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000036	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/43	43	47.cpd		/asm0037/image/47.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000013						asm00370000130001001	image/tiff	458.272 KB	682	768	0xA224734A	RGB	24 bit depth	600 dpi	asm00370000130001001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/44	44	48.jpg	Volume4\asm00370000130001001.tif	/asm0037/image/48.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000013						asm00370000130002001	image/tiff	498.141 KB	682	768	0x1EEB9590	RGB	24 bit depth	600 dpi	asm00370000130002001.tif		2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/45	45	49.jpg	Volume4\asm00370000130002001.tif	/asm0037/image/49.jpg
Glass bottom boat Mermaid to the Marine Gardens and Florida Keys				Advertising flyer for the glass bottom boat the "Mermaid."		Glass bottom boats; Boats and boating; Sightseeing business	Advertising fliers				Florida; Monroe County (Florida); Florida Keys (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000013	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/46	46	50.cpd		/asm0037/image/50.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000024						asm00370000240001001	image/tiff	340.702 KB	677	768	0x8E0FE5EB	RGB	24 bit depth	600 dpi	asm00370000240001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/47	47	51.jpg	Volume4\asm00370000240001001.tif	/asm0037/image/51.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000024						asm00370000240002001	image/tiff	336.358 KB	677	768	0x1F6252BD	RGB	24 bit depth	600 dpi	asm00370000240002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/48	48	52.jpg	Volume4\asm00370000240002001.tif	/asm0037/image/52.jpg
Miami, Florida winter season 1937-1938 apartment rates				Advertising flier for the Greater Miami Apartment House Association and Florida Apartment House Association for lodging available during the 1937-1938 winter season.		Resorts -- Rates; Apartment houses	Advertising fliers; Maps	Greater Miami Apartment House Association / Florida Apartment House Association	1937-1938	1930-1940	Florida; Miami (Florida)		eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000024	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/49	49	53.cpd		/asm0037/image/53.cpd
Page 1																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000004						asm00370000040001001	image/tiff	470.495 KB	671	768	0xD4AF5D51	RGB	24 bit depth	600 dpi	asm00370000040001001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/50	50	54.jpg	Volume4\asm00370000040001001.tif	/asm0037/image/54.jpg
Page 2																									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000004						asm00370000040002001	image/tiff	514.538 KB	671	768	0x8AB71E5	RGB	24 bit depth	600 dpi	asm00370000040002001.tif		2008-06-03	2008-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/51	51	55.jpg	Volume4\asm00370000040002001.tif	/asm0037/image/55.jpg
Tropical Hobbyland		Tropical Hobbyland		Promotional flyer for Tropical Hobbyland, which was a Seminole Indian village in Miami.		Tourist attractions; Alligators; Place marketing; Seminole Indians; Tropical Hobbyland Indian Village (Miami, Florida)	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)	1 folded leaf	eng		University of Miami Libraries. Special Collections	Mark F. Boyd Collection	ASM0037	Series: VI Florida Promotional Materials	Box No. 6; Folder Title: Miami						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0037000004	Text						image/tiff										2012-05-31	2012-05-31	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0037/id/52	52	56.cpd		/asm0037/image/56.cpd
