Title	Watch Video	Speaker	Host	Summary	Subjects	Publisher	Date	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Program	Rights	Copyright	Digital ID	Format	Type	Source	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Joan Kurzban reads a poem (1991)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1991/1991_P18_03_kurzban.rm	Kurzban, Joan		Miami poet Joan Kurzban reads a poem about her father.	Caribbean literature; Literature video; Fathers -- Poetry	University of Miami English Department	1991	2 min 37 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 18. Caribbean writers and their art, 1991		http://merrick.library.miami.edu/digitalprojects/copyright.html	1991_P18_03_kurzban.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1127	1127	1148.jpg	/cwsi/image/1148.jpg
Guichard Cadet reads his poetry (1995)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1995/1995_P11_04_cadet.rm	Cadet, Guichard	Solomon, Mervyn	Mervyn Solomon (occasionally drowned out by laughter) introduces Haitian/New York poet Guichard Cadet, who reads his poems "Holidays," "Poetic Intrusion," "Seamen of the Unholy," and "A Mother's Pain." The reading is at Tap Tap Haitian Restaurant in South Miami Beach, Florida.	Caribbean literature; Literature video; Haitian poetry; Hip-hop; Poets -- Poetry; Man-woman relationships -- Poetry; Authors, Haitian	University of Miami English Department	1995	12 min 19 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 11. Fiction and poetry readings, 1995		http://merrick.library.miami.edu/digitalprojects/copyright.html	1995_P11_04_cadet.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1128	1128	1320.jpg	/cwsi/image/1320.jpg
Earl Lovelace interviewed by George Lamming (1992)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1992/1992_P01_entire.rm	Lovelace, Earl, 1935-	Lamming, George, 1927-	Lamming introduces Trinidadian novelist Earl Lovelace and interviews him, asking such questions as how Trinidadians view the United States, what influence Lovelace hopes his books will have on high school and college students who study them, and his use of the themes of self-affirmation, rebellion, religion, carnival, and African-ness. Lovelace reads a passage from his novel The Dragon Can’t Dance.	Lovelace, Earl, 1935-; Caribbean literature; Literature video; Religion in literature; Carnival in literature; Authors, Trinidadian	University of Miami English Department	1992	27 min 39 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 1. Caribbean writers and their art, 1992		http://merrick.library.miami.edu/digitalprojects/copyright.html	1992_P01_entire.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1129	1129	1157.jpg	/cwsi/image/1157.jpg
Olive Senior introduced by Mervyn Morris (1993)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1993/1993_R03_01_introduction.rm	Morris, Mervyn		Jamaican poet Mervyn Morris introduces award-winning Jamaican journalist/short story writer/poet Olive Senior. He describes her career as editor of Jamaica Journal and her later literary career.	Senior, Olive; Caribbean literature; Literature video; Jamaican literature	University of Miami English Department	1993	6 min 02 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 3. Fiction and poetry readings, 1993		http://merrick.library.miami.edu/digitalprojects/copyright.html	1993_R03_01_introduction.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1130	1130	1210.jpg	/cwsi/image/1210.jpg
Kendel Hippolyte reads his poetry (1993)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1993/1993_P01_02_hypplite1.rm	Hippolyte, Kendel	Solomon, Mervyn	Mervyn Solomon explains how the CWSI workshop works and introduces Kendel Hippolyte of Saint Lucia, who reads his poems: "Poem in a Manger," a poem about poetry and war, and "Your Main Street Ends in Soweto," about South Africa.	Hippolyte, Kendel; Caribbean literature; Literature video;War poetry	University of Miami English Department	1993	6 min 17 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 5. Fiction and poetry readings, 1993		http://merrick.library.miami.edu/digitalprojects/copyright.html	1993_P01_02_hypplite1.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1131	1131	1182.jpg	/cwsi/image/1182.jpg
Olive Senior reads poems from Gardening in the Tropics (1993)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1993/1993_R03_02_gardening1.rm	Senior, Olive		Jamaican writer Olive Senior reads poems from her book, Gardening in the Tropics: the autobiographical "Bamboo,” "Madam Fate,” "Gourd” (a concrete poem), and "Caribbean Basin Initiative,” about the Haitian boat people trying to reach the United States.	Caribbean literature; Literature video; Jamaican poetry; Plants -- Poetry; Refugees -- Poetry; Haitians -- Poetry	University of Miami English Department	1993	12 min 17 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 3. Fiction and poetry readings, 1993		http://merrick.library.miami.edu/digitalprojects/copyright.html	1993_R03_02_gardening1.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1132	1132	1211.jpg	/cwsi/image/1211.jpg
Mervyn Morris reads from On Holy Week (1995)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1995/1995_P06_02_onholyweek.rm	Morris, Mervyn		Jamaican poet Mervyn Morris reads from On Holy Week: "Prologue by the Maker," "Jesus in Gethsemane," "A Priest," "Judas," "Pilate's Wife," "Pilate," "Peter," "Soldiers," "Simon of Cyrene," "A Woman Named Mary," "Jesus on the Road," "Malefactor (Left)," "Malefactor (Right)," "Centurion," "Mary (Mother)," "John," "Joseph of Arimathaea," "Mary Magdalene," and "Thomas."	Jesus Christ -- Poetry; Judas Iscariot -- Poetry; Pilate, Pontius, 1st cent. -- Poetry; Mary Magdalene, Saint -- Poetry; Joseph, of Arimathea, Saint -- Poetry; Caribbean literature; Literature video; Jamaican poetry; Christian poetry, Jamaican; Religious poetry	University of Miami English Department	1995	12 min 13 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 6. Poetry readings, 1995		http://merrick.library.miami.edu/digitalprojects/copyright.html	1995_P06_02_onholyweek.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1133	1133	1298.jpg	/cwsi/image/1298.jpg
Edward Baugh reads poetry (1995)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1995/1995_P05_05_poemset4.rm	Baugh, Edward		Trinidadian author Edward Baugh reads poetry: "An Open Letter to Feelings of Insecurity," "Instamatic," "Time Frame," "Ingrid Bergman's Hat-Brim at the End of Casablanca," "Visiting Professor," "Lunchtime with Linda," and "Country Dance."	Bergman, Ingrid, 1915- -- Poetry; Caribbean literature; Literature video; Trinidadian and Tobagonian poetry (English); Humorous poetry; Jealousy -- Poetry; Infants -- Poetry; Fathers and daughters -- Poetry; Casablanca (Motion picture) -- Poetry; Travel -- Poetry; Country-dances -- Poetry	University of Miami English Department	1995	13 min 06 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 5. Poetry readings, 1995		http://merrick.library.miami.edu/digitalprojects/copyright.html	1995_P05_05_poemset4.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1134	1134	1295.jpg	/cwsi/image/1295.jpg
Juanita Harmon reads work in progress (1991)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1991/1991_P15_03_harmon.rm	Harmon, Juanita		Writer/screenwriter Juanita Harmon reads from her work in progress.	Caribbean literature; Literature video; Girls -- Fiction; Jamaican fiction; Family -- Fiction	University of Miami English Department	1991	8 min 36 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 15. Caribbean writers and their art, 1991		http://merrick.library.miami.edu/digitalprojects/copyright.html	1991_P15_03_harmon.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1135	1135	1138.jpg	/cwsi/image/1138.jpg
Sasenarine Persaud reads "Euro Yogini 1" (1995)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1995/1995_P04_04_yogini1.rm	Persaud, Sasenarine		Guyana-born Canadian poet Sasenarine Persaud reads poems from his novel in progress and his collection "Under the Golden Apple Tree.” The section, "Euro Yogini 1," is about a former Ukrainian woman now living in Toronto and her relationship with a man; both are manipulating each other.	Caribbean literature; Literature video; Guyanese poetry; Erotic poetry; Man-woman relationships -- Poetry	University of Miami English Department	1995	3 min 09 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 4. Fiction and poetry readings, 1995		http://merrick.library.miami.edu/digitalprojects/copyright.html	1995_P04_04_yogini1.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1136	1136	1282.jpg	/cwsi/image/1282.jpg
Helen Klonaris reads her poetry (1996)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1996/1996_P08_03_klonaris.rm	Klonaris, Helen		Helen Klonaris, writer, singer-songwriter, and social activist from Nassau, Bahamas, reads a poem beginning "This Night I Call Four Walls Together" (and reads it a second time upon request by the audience), another unnamed poem, followed by "Redemption," "A Love Poem," "Low Tide," and "Don’t."	Caribbean literature; Literature video; Love poetry; Bahamian literature; Women -- Poetry; Memory -- Poetry	University of Miami English Department	1996	9 min 51 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 8. Fiction and poetry readings, 1996		http://merrick.library.miami.edu/digitalprojects/copyright.html	1996_P08_03_klonaris.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1137	1137	1364.jpg	/cwsi/image/1364.jpg
Margaret Watts reads her poetry (1996)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1996/1996_P11_03_watts.rm	Watts, Margaret		Trinidadian poet Margaret Watts of the University of the West Indies in Trinidad reads her poetry: "Dwennimmen: Ram’s Horns," which is based on the adinkra symbol of an Ashanti proverb, "Hibiscusandpigeonpeas" [Hibiscus and Pigeon Peas], "For Cecil Herbert," and "A House Called Hope: Discovery, Quinam Bay, Rise to Write New Songs."	Herbert, Cecil -- Poetry; Caribbean literature; Literature video; Trinidadian and Tobagonian poetry; Proverbs, Ashanti; Marriage -- Poetry; Flowers -- Poetry; Poets -- Poetry	University of Miami English Department	1996	11 min 10 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 11. Fiction and poetry readings, 1996		http://merrick.library.miami.edu/digitalprojects/copyright.html	1996_P11_03_watts.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1138	1138	1387.jpg	/cwsi/image/1387.jpg
Obediah Smith reads poems and fiction (1996)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1996/1996_P10_06_smith.rm	Smith, Obediah Michael		Haitian poet Obediah Smith reads his poetry: "Common Laborer's Dilemma," "Fruits Weigh the Rain," "Frisbee’s for Little Dogs, Not for Me." He then reads his short story "Someone's Sleeping in My Bed."	Fornication -- Fiction; Working class -- Poetry; Caribbean literature; Literature video; Haitian poetry; Haitian fiction; Love poetry; Fruit -- Poetry	University of Miami English Department	1996	12 min 44 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 10. Fiction and poetry readings, 1996		http://merrick.library.miami.edu/digitalprojects/copyright.html	1996_P10_06_smith.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1139	1139	1383.jpg	/cwsi/image/1383.jpg
Celia Alvarez reads "How to Survive Your First Year at UM" (1996)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1996/1996_P08_09_alvarez.rm	Alvarez, Celia		Celia Alvarez, a University of Miami teaching assistant, reads a short story entitled "How To Survive Your First Year at UM."	Caribbean literature; Literature video; Autobiographical fiction; College students -- Fiction; Poor women -- Fiction; Poor single mothers -- Fiction; Strangers -- Fiction; Cuban American women -- Fiction; Humorous fiction	University of Miami English Department	1996	13 min 31 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 8. Fiction and poetry readings, 1996		http://merrick.library.miami.edu/digitalprojects/copyright.html	1996_P08_09_alvarez.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1140	1140	1369.jpg	/cwsi/image/1369.jpg
Zee Edgell introduced by Michael Anthony (1992)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1992/1992_R01_01_introduction.rm	Edgell, Zee	Anthony, Michael, 1930-	Trinidadian novelist Michael Anthony introduces internationally famous Belizean novelist, Zee Edgell. She says a few words of thanks.	Edgell, Zee; Caribbean literature; Literature video; Caribbean literature; Women authors, Caribbean	University of Miami English Department	1992	2 min 55 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 1. Readings in Caribbean literature, 1992		http://merrick.library.miami.edu/digitalprojects/copyright.html	1992_R01_01_introduction.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1141	1141	1162.jpg	/cwsi/image/1162.jpg
Robert Antoni introduced by Sandra Paquet (1996)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1996/1996_P03_01_introduction.rm	Antoni, Robert, 1958-	Paquet, Sandra Pouchet	Dr. Sandra Paquet of the University of Miami English Dept., a Caribbean scholar, gives announcements about upcoming readings, then introduces University of Miami professor of Caribbean studies and award-winning novelist Robert Antoni and translator and poet Adrian Castro. Robert Antoni, who was born in Detroit of Trinidadian parents and raised in the Bahamas, explains a little about his novel Blessed is the Fruit, in which two young West Indian women, one black and one white, live together and become friends.	Antoni, Robert, 1958-; Castro, Adrian, 1967-; Caribbean literature; Literature video; Caribbean fiction	University of Miami English Department	1996	5 min 17 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 3. Poetry and fiction readings, 1996		http://merrick.library.miami.edu/digitalprojects/copyright.html	1996_P03_01_introduction.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1142	1142	1349.jpg	/cwsi/image/1349.jpg
Clyde Durm-I Brooks reads his poetry (1993)	http://streaming.miami.edu:8080/ramgen/artscience/cariblitstudies/1993/1993_P01_08_brooks1.rm	Brooks, Clyde Durm-I		Clyde "Durm-I" Brooks (a.k.a Klyde Broox), Jamaican-Canadian dub-poet and performer, reads his poetry: "TV" and "Misery Rhyme."	Caribbean literature; Literature video; Jamaican poetry; Dialect poetry; Humorous poetry, Jamaican; Television -- Poetry	University of Miami English Department	1993	5 min 04 sec, sound, color	English	http://merrick.library.miami.edu/digitalInitiatives/cwsi/		Caribbean Writers Summer Institute Archival Video Collection	1	Program 5. Fiction and poetry readings, 1993		http://merrick.library.miami.edu/digitalprojects/copyright.html	1993_P01_08_brooks1.rm	application/vnd-rn-realmedia	MovingImage	VHS		2007-11-09	2010-09-10	http://merrick.library.miami.edu:80/cdm/ref/collection/cwsi/id/1143	1143	1188.jpg	/cwsi/image/1188.jpg
