Title	Translated Title	Variant Title	Uniform Title	Creator	Contributor	Summary	Note	Subject	Genre	Publisher	Date	Time Period	Geographic Subject	Geo Point	Geo Box	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	IBISWEB Link	Call No.	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Upload ID	Full Text	Type	Format	Date Digital	Original Source	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 2																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000039	asm02500000390002001		   "Welcome to, The Cloisters of the Monastery of St. Bernard  The Monastery of St. Bernard de Clairvaux  was originally built in Sacramenia, in the  Province of Segovia, Spain, during the  period 1133-1141.  Construction began during the reign of  Alphonso VII, King of Leon and Castile. The  Monastery and its Cloisters were originally  dedicated in honor of the Blessed Mother, and  were named the "Monastery of Our Lady",  Queen of Angels."  Upon the canonization of the famous Cistercian Monk, Bernard of Clairvaux - a leading  influence in the Church during that period - the  Monastery was renamed in his honor.  Cistercian Monks occupied the Monastery  for nearly 700 years. Then, during a social  revolution in that area in the mid-1830's, the  buildings and grounds were seized and sold,  and the Cloisters were converted into a granary  and stable.  In 1925, the grand collector, William  Randolph Hearst purchased the Cloisters and  the Monastery's outbuildings for $500,000.  Hearst planned to reconstruct them on his  San Simeon Estate in California, where, it was  rumored, he intended to use the Cloisters to  surround a swimming pool. Stone by stone the  structures were dismantled, bound with protective hay, packed in some 11,000 wooden  crates, numbered for identification, and  shipped to the United States.  Fate intervened, however. Hoof and mouth  disease had broken out in Segovia, and the U.S.  Department of Agriculture, fearing possible  contagion, quarantined the shipment upon its  arrival. The crates were broken open and the  protective hay, a possible carrier of the disease,  was burned. Unfortunately, the workmen failed  to replace the stones in the same numbered  boxes before moving them to a warehouse -  and, so began The Sage of "The World's  Largest and Most Expensive Jigsaw Puzzle."  Shortly after the shipment arrived, Hearst  began having financial problems, and much of  his collection was sold at auction. The stones  remained in a warehouse in Brooklyn, New  York for 26 years. Then, in 1952, one year after  Hearst's death they were purchased by Messrs  W. Edgemon and R. Moss for use as a tourist  attraction and were brought to this site. It took  19 months and around one-and-a-half million  dollars to put the puzzle together. Some of the  unmatched stones still remain in the back lot,  others were used in the construction of the  present Church's Parish Hall.  The Cloisters are an example of early Gothic  architecture. Although an attempt was made to  present the buildings exactly as they were in  Spain, several things are different. For example,  the floors of the Cloisters in Segovia were  covered with small rocks. In reconstruction,  Cuban tile replaced the stones. Nor are the  Corbels that hang in the Cloisters from the  original building. A part of the Hearst Art  Collection, the Corbels were placed here because they represent the same Noble houses that  supported the Church and the King in that  Province during the same period the Monastery  was built.  In 1964 the Cloisters were purchased from  North Miami Beach by the Episcopal Diocese  of South Florida. During the Bishopric of The  Rt. Rev. James Duncan, the first Bishop of the  Episcopal Diocese of Southeast Florida, Col.  Robert Pentland, a benefactor of many Episcopal Churches, purchased the Cloisters and  presented them to the young parish, St. Bernard  de Clairvaux. A Parish Hall, named after  Bishop Henry Louttit, was also built at  that time.  V  Notes On  Artifacts & Structures  Sixteenth Century Cabinet  From the Ortega Family of Barcelona, this  cabinet is said to have been painted by a student of Rafael. The oil-on-copper paintings  have never been retouched. The cabinet stored  religious articles.  Chasuble  This Chasuble, the outer garment worn by a Priest  during the Celebration of the Mass, is more than 150  years old. It was made by the women of the  Cathedral in Barcelona.  Book  The book displayed on the showcase is the record of the  Court Trial of the De Soto Family. The trial was held to  prove that the De Sotos were of Royal Blood, therefore,  were exempt from paying taxes.  Hymnarium  This book was hand-painted on lambskin parchment;  juices of berries were used as ink.  Pope's Cabinet  This hand-carved, walnut cabinet was used by Pope Urban  VII (1623-1644) to store his vestments. It is decorated with  the Papal Seal and Bees - a family crest.  Exit to the Patio  This is the original iron gate that was set in front of the  walls leading into the Monastery. It is hand-wrought and  weighs over 200 pounds.  The Garden Walk  I      This site was nursery before the Monastery was recon-  1      structed here, and nearly 1,000 plants and trees of various  types still remain. The statues here were donated to the  I      Church in the 1970's,  •    Abbot's Chair  |      Located across the driveway, at the far left end of the  j     formal gardens, as you approach the entrance of the  Cloisters.  Enter the Cloisters   Turning left, note..,  The Corbels  Ten Corbels hang along two halls of the Cloisters. They  represent the shields of the Noble and Royal families who  supported the Church and King during the time the  Monastery was constructed.  The Spanish Monastery Cloisters are officially listed in the  U. S. Register of Historical Sites. 		image/tiff						144087942 Bytes	9658	4973	3491364923	RGB	8	600	asm02500000390002001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/62	62	63.jp2	/pamphlets/image/63.jp2
Ancient Spanish Monastery Cloisters of the Church of St. Bernard de Clairvaux						Promotional flier for the The Ancient Spanish Monastery Cloisters of the Church of St. Bernard de Clairvaux. It has been said that the Church and chapel were originally part of a Spanish monastery built during 1133-1141. The buildings were dismantled in the 1920s and shipped overseas for reconstruction in the United States. It became an Episcopal chuch at Dixie Highway (US 1) and 167th Street, North Miami Beach.		Ancient Spanish Monastery (North Miami Beach, Florida); Church buildings; Architecture -- Spanish influences	Advertising fliers				Florida; Miami-Dade County (Florida); Miami Beach (Florida)			1 folded leaf			University of Miami Libraries. Special Collections.	Florida Promotional Materials	ASM0250	Series:  I Unassigned	Box No. 7; Folder Title: Miami (10).									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000039		asm0250_2		Text	image/tiff															2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/63	63	64.cpd	/pamphlets/supp/63/index.pdf
Page 1																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000033	asm02500000330001001		A  N  E  a?  Q  tii  0.  u $  Bn]E  5 = 1  TRINITY TODAY  The Cathedral today continues its historic ministry  with worship, fellowship, education and outreach to  the community at its heart.  Sunday worship is at 8, 9 and 11 a.m. with education  classes for persons of all ages following the 9 o'clock  service. Child care is also offered at this service.  Services are held on weekdays at Noon from  September through May.  The Cathedral Book Store and Gift Shop is located in  the Cathedral Hall. Staffed by volunteers, the store is  open weekdays from 10 until 4, and on Sundays after  services.  Our Thrift Shop is located at 8363 N.E. 2nd Avenue.  Your contributions of clothing, kitchenware, jewelry,  and bric-a-brac are tax deductible. Used toys also find a  ready outlet in a neighborhood where residents  appreciate items that are clean and in good repair at  low cost.  The Thrift Shop is open Tuesdays, Thursdays and  Saturdays from 9 until 3 p.m.  LOCATION  The Cathedral stands in the center of The Omni, Plaza  Venetia and the Marriott on Biscayne Bay at North  Bayshore Drive at Sixteenth Street.  If you are driving, exit 1-95 at N.E. 2nd Avenue and  1 lth Street at the Howard Johnson motor inn, turn  North on Biscayne Boulevard (US 1) to 15th Street,  turn right and the Cathedral parking area entrance is  immediately before the Plaza Venetia building. Should  that be full, please park in The Omni garage.  U  PASTORAL SERVICES  The Cathedral clergy are available for counseling and  pastoral administrations during regular office hours and  at night for emergencies.  Baptism: A person becomes a Christian at Baptism.  This ancient practice commanded by Christ as  necessary for salvation brings us into the full  fellowship of his Body, the Church. At the Cathedral,  Holy Baptism is administered on the First Sunday  after the Epiphany, Easter Day, the Day of Pentecost,  and on All Saints' Sunday. Baptisms are celebrated at  regularly scheduled services on Sundays when the  congregation can witness and welcome the  candidates.  Confirmation: The canon law of the Episcopal  Church expects its members to confirm their  Baptismal vows after receiving appropriate instruction  in theology, history and Holy Scriptures. Our sixth  grade Sunday School class gives this instruction to  young people. Adults are invited to attend the Dean's  classes on the six Saturday mornings of the Lenten  season.  The Holy Eucharist: All Baptized persons are  welcome to receive the Sacramanet of Holy  Communion in the Episcopal Church. It is our  privilege to bring the Sacrament to sick and shut-ins  at their request.  Marriage: We consider Holy Matrimony a solemn  and public covenant between man and wife in the  presence of God. In this rite, the man and woman are  the Sacrament (the outward and visible forms). The  Church witnesses and blesses the marriage. Because  of the large number of persons who would use the  Cathedral for their marriage without concern for its  life of worship and fellowship, we limit marriage  services to members of the Cathedral in Good  Standing.  Reconciliation of a Penitent: Private Confession is  offered to penitents whose consciences suffer from  the gravity of sin and who need the counsel as well  as the absolution of God given by a priest usually at  the altar rail and always in absolute confidence.  Burial of the Dead: The liturgy for the dead is an  Easter liturgy. It finds its meaning in the Resurrection  from the death of Jesus Christ. Christian burial  takes place in the church unless otherwise  determined by the officiant and the family.  Welcome  to Trinity  Episcopal  Cathedral  -c^r^^z^*-  -C^V£5n$^»- 		image/tiff						149929734 Bytes	9197	5434	1108764991	RGB	8	600	asm02500000330001001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/64	64	65.jp2	/pamphlets/image/65.jp2
Page 2																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000033	asm02500000330002001		WELCOME TO TRINITY CATHEDRAL!  When the present • and third • Trinity Church,  designed by Harold Hastings Mundy, was built in 1925,  its seventy-foot nave surmounted by the cross,  dominated the skyline of Miami's Miramar section.  Today, at first glance, the Cathedral may seem  dwarfed by the highrise buildings that surround it. Yet,  the building remains its own witness to spiritual  values in the heart of a new hotel and shopping area - a  place for contemplation, worship and community  service.  Cathedrals have been called "God's Working-  spaces," not only for the yearly round Christian  celebrations, but for national and local events that  affect persons of all faiths. One may find a Kirkin'  O' The Tartan ceremony for the Scot's community or  the observance of Jamaican Independence Day  incorporated into the Cathedral's life.  They also serve their historic function of "sanctuary,"  which in today's world often means an open forum  where controversial issues can be explored. They are  centers for education and the Cathedral Book Store  augments the instruction offered in classes on  Sunday mornings. Another historic roll of cathedrals  is to be patrons of the arts and here at Trinity, exhibits,  recitals, concerts, drama and dance are presented  regularly without charge.  Trinity Cathedral, Miami, serves as the Mother Church  for 38,000 Episcopalians from Jensen Beach to  Key West and from Martin County to the Atlantic Ocean.  Diocesan services for ordinations, youth events,  conventions; meeting rooms for various boards and  committees of Diocesan life, are all part of the  cathedral's function.  You may find the Cathedral Hall being used as a  precinct poll for the neighborhood or a stack of  "twice-around" clothing piled in a corner waiting to be  taken to our Thrift Shop, or a line of destitute persons  asking for food and assistance. Each of these programs  is important in itsef and together they make-up the  myriad activities which find their origin and support  from the worship offered by its members and friends.  HISTORY  It is a celebrated fact that Miami's future was secured  when Julia Tuttle invited Henry Flagler to extend his  railroad from Palm Beach to Miami. The future of the  Episcopal Church in Miami was also determined when  Mrs. Tuttle invited the Bishop of the Missionary  Jurisdiction of Southern Florida to come to Miami as her  guest.  Bishop William Crane Gray celebrated the Holy  Eucharist in Mrs. Tuttle's home on the Miami River  in 1893. Three years later the congregation was  organized and Mrs. Tuttle gave the land for the first  church building, a simple, frame structure, with  cheesecloth that could be hastily placed over the  windows when the wind from the Everglades brought  the mosquitos.  The first church was replaced with a monstrous  concrete structure in 1911 on the same site which is now  know as Northeast Second Avenue at Second Street.  The congregation's increasing impatience with noise  and congestion combined with the Florida Land Boom.  Money seemed plentiful and endless and caught-up in  that expansive spirit the congregation constructed  the present church with cathedral-like  proportions to serve tourists from the North and  a resident Episcopalian population of some  three hundred.  The Great Depression, a catastrophic hurricane  and the loss of tourists from the North left the local  congregation with an enormous indebtedness which  was not satisfied until June of 1946. A new education  building was constructed in 1957, and in the Sixties  there were funds for much-needed repairs and the  decoration of the interior.  On Easter Day 1970, the Bishop of the newly-created  Diocese of Southeast Florida proclaimed Trinity  Church, Miami, the Cathedral and the destiny of this  large and beautiful edifice was assured.  Listed on the National Register of Historic Places  October 10, 1980.  ARCHITECTURE AND DECORATION  Three classic styles of art and architecture combine  to give this Cathedral its unique beauty. The over-all plan  is Romanesque Revival as seen in the width of the  spacious nave, the rounded arches and large window  openings. French Gothic stained glass and the mosaic  encrustments reminiscent of Byzantine churches create  a harmonious spirit of reverence as one enters the nave.  The glass on the southside with its foliated borders  tells the story of Christ's life beginning with the  Annunciation at the East end and concluding with the  Ascension and Kingship of Christ at the West. On the  Northside the glass commemorates the saints,  monarchs and scholars of the Church in England,  Ireland, Scotland and Wales. Above in the clerestory,  the stanzas of an ancient hymn from the Old Testament  occupy the center lancets and the miracles and  parables of Jesus are set forth on either side.  The spandrel mosaics bridging the fourteen arches  picture the Way of the Cross from the time Pilate  washes his hands of responsibility until the Body of  Jesus is entombed in the garden. The encrustments on  the triumphal arch over the altar remind us of the six  days of Creation in the oblong panels and the  biblical symbols of the Four Evangelists in the circles.  The most striking mosaic is in the apse with a sunburst  of light and the angels and archangels on either side  suggesting "The heavens and all the powers therein."  The pipe organ built by Ernest M. Skinner Company  was installed when the church was completed in 1925.  Since then its original 35 ranks of pipes have been  expanded to insure tones suitable for playing organ  music from all periods of history, the Baroque as well  as the Romantic.  There is much to see and much to learn as one  explores the symbolism in glass, stone castings and  mosaics. Decoration even extends to the wooden screen  covering the organ chambers with its fishtail design  recalling the earliest symbol of Christian life, the  Greek word for fish IXTHCJS an acronym for "Jesus -  Christ - Son of God."  CATHEDRAL ORGANIZATIONS  Opportunities for Eveiyone to Help  Altar Guild - Mrs. Foster Hunter 758-0045  Sunday School Teachers - Dr. Van Dam 432-0864  Cathedral Choir - Mr. David Thurman 374-3372  Canterbury Choir - Mr. David Thurman 374-3372  Lay Readers - the Rev. Mr. Creamer 374-3372  Cathedral Book Store - Mrs. Harry Watson 443-8915  Trinity Thrift Shop - Mrs. A.D. Irby 758-5641  Episcopal Churchwomen - Mrs. Charles Cassini  756-8866  Episcopal Young Churchmen - The Rev. Mr. Creamer  374-3372  Committee on Future Needs - Mr. Walter Marsden  Committee on Music and Worship - Mr. David Thurman  374-3372  Committee on Education and Youth - Dr. Van Dam  432-0864  Committee on Budget and Finance - Mr. Albert C. Little  754-2394  Committee on Policy and Parish Growth -  Mr. J. Harry Watson 443-8915  Committee on Cathedral Life - Mr. Richard Todd  651-8758  Ushers - Mr. William T. Muir 667-9625  □  □  I would like to become involved in one  of the above organizations/committees  I would like to become a member  of Trinity Cathedral.  Name   Address _  City—_  Zip   State.  . Telephone.  -/  TRINITY EPISCOPAL  CATHEDRAL  North Bay shore Drive at 16th Street  Mail: 464 N.E. 16th Street  Miami, Fl. 33132  374-3372   374-0659  The Very Rev. George McCormick, Dean  The Rev. Frank C. Creamer, Assistant  The Rev. Winnie M. Bolle, Assistant 		image/tiff						149929734 Bytes	9197	5434	5285474	RGB	8	600	asm02500000330002001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/65	65	66.jp2	/pamphlets/image/66.jp2
Welcome to Trinity Episcopal Cathedral						Promotional flier describing the Trinity Episcopal Cathedral of Miami.		Trinity Episcopal Cathedral (Miami, Florida); Church buildings	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)			1 folded leaf			University of Miami Libraries. Special Collections.	Florida Promotional Materials	ASM0250	Series:  I Unassigned	Box No. 7; Folder Title: Miami (9).									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000033		asm0250_1		Text	image/tiff															2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/66	66	67.cpd	/pamphlets/supp/66/index.pdf
Page 1																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000015	asm02500000150001001				image/tiff						39516288 Bytes	2424	5434	2875178382	RGB	8	600	asm02500000150001001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/67	67	68.jp2	/pamphlets/image/68.jp2
Page 2																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000015	asm02500000150002001		ML  4400 Rickenbacker Causeway, Miami, FL. 33149  ,n  Explore the Lost  Island's Jungle! Feed a  sea lion!  See manatees,  morays and sea turtles.  Watch divers feed  sharks and reef fishes.  View acres of  beautiful tropical  landscaping on an  island paradise.  Food, film and  souvenir shops located  throughout the park.  Watch the oceans  come alive with a  spectacular display of  shows, tropical  aquariums and  fascinating exhibits!  Enjoy performances  by a 10,000 pound killer  whale, TV super star  Flipper, thrilling dolphin  acrobatics and one of  the funniest sea lion  shows you will see  anywhere!  Six different shows presented continuously. Allow a minimum  four hours to see shows and exhibits. Open daily 9:30 A.M. to  6:30 P.M.  Box office closes 5:00 P.M.  Telephone (305) 361-5703  Located just ten  minutes from downtown  Miami.  By car: Take I-95  south to Key Biscayne  exit, then take  Rickenbacker Causeway  to Seaquarium.  By bus: Take bus to  downtown Miami,  transfer to 'B' bus to  Key Biscayne.  1    1® 1  39 		image/tiff						39516288 Bytes	2424	5434	1420307861	RGB	8	600	asm02500000150002001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/68	68	69.jp2	/pamphlets/image/69.jp2
Miami Seaquarium						Promotional material for the Miami Seaquarium.		Miami Seaquarium; Tourist attractions; Wildlife-related recreation; Family recreation	Advertising fliers	Miami Seaquarium			Florida; Miami-Dade County (Florida); Miami (Florida)			1 folded leaf			University of Miami Libraries. Special Collections.	Florida Promotional Materials	ASM0250	Series:  I Unassigned	Box No. 6; Folder Title: Miami (1).									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000015		asm0250_1		Text	image/tiff															2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/69	69	70.cpd	/pamphlets/supp/69/index.pdf
Page 1																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000036	asm02500000360001001		VIZCAYA  DADE COUNTY ART MUSEUM  OPEN DAILY-EXCEPT MONDAYS  HOURS-10 A.M. to 5 P.M.  ADMISSION  Adults     Children Under 12  House, Gardens & Grounds   $2.23 $1.12  Formal Gardens & Grounds   $1.00 $ .50  Accredited student tours at special rates. Arrangements must  be made in advance at the business office. Phone 2-5432.  HOME OF THE LATE JAMES DEERING  3251 South Miami Avenue   •   Miami, Florida  HOW TO GET THERE:  O I   V^AIY—From Downtown Miami: South Miami Avenue to S.W.32nd Rd.  From Northeast Section and Miami Beach: U.S. No. 1 to traffic light at  intersection at South Miami Avenue, south on South Miami Avenue to S.W.  32nd Road.  From Northwest Section: Take N.W. 17th, 22nd or 27th Avenues south  of South Bayshore Drive, left to S.W. 32nd Road.  From Coral Gables and South: U.S. No. 1 or Coral Way to S.W. 32nd  Road, then turn right.  Parking lot on West side of South Miami Avenue.  RY RTTS  ■*-' *   -DUO    Miami Transit Company, Bus No. 1, from S.E. First Street side  of Urmey Hotel. Buses leave on the hour and half hour.  Plan to spend at least two hours for a real visit to the  House, Garden and Grounds.  Ticket window closes at 4 P.M.  Operated by the  Dade County Park Department  The Formal Gardens Looking Toward the Casino  South Facade of the House and a Corner of the Formal Gardens  VIZCAYA  DADE COUNTY ART MUSEUM  Vizcaya is a magnificent Italian palace in  a superb tropical setting. It leads us into an  enchanted world through its sumptuously  furnished rooms, the splendid vistas of its  formal gardens and the music of its splashing  fountains. It is not only a great treasure-  house of the decorative arts of Europe—a  collection of furniture, carpets, panelled  and painted rooms of the 16th, the 17th  and the 18th centuries that can be equalled  few places in the world—but an imaginative  recreation of a period which casts a spell  over the visitor who will spend an hour or  two lingering in its rooms or wandering  along its paths. To visit Vizcaya is to know  the magic of Europe.  HOME OF THE LATE JAMES DEERING  3251 SOUTH MIAMI AVENUE  MIAMI, FLORIDA 		image/tiff						77744478 Bytes	4769	5434	923144897	RGB	8	600	asm02500000360001001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/70	70	71.jp2	/pamphlets/image/71.jp2
Page 2																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000036	asm02500000360002001		VIZCAYA  DADE COUNTY ART MUSEUM  THE HOUSE—Its architecture recreates the classical  spirit of the Renaissance as if it had been built by one of the  Medici to meet the needs of tropical living and using the  materials available in Florida. The vast building is severe and  almost fortress-like in its exterior but built around an open  central court planted with exotic palms and rare tropical  plants. The great rooms on the main floor include a noble Renaissance Hall and a Dining Hall which reflect the spirit and  style of the 16th century. Along with these are sumptuous,  but gay and lovely rooms entirely built and furnished in the  spirit of the Roccoco. Doors, mantelpieces, panelled rooms  and chandeliers from great French and Italian palaces form  a background for the superb collection of furniture, decorations and carpets which can be equalled no place in America  and few places in Europe. The house is a great museum of the  decorative arts of Europe and provides a unique opportunity  to know and to study the various styles of the 16th, 17th and  18th centuries as they can be seen only in the great private  houses of France and Italy.  THE GARDENS—The great formal gardens are unique on  this continent as a large scale creation in the Italian spirit.  They are conceived  as architecture,  a vast outdoor living-  room enclosed by hedges and walls, combining the green of  trees and clipped shrubs with statues, stately urns and shady  grottos. As in Italy fountains and pools play an essential part  in the garden design and one is never far from the sound of  splashing water  or the sight of reflections on a quiet pool.  The main vista from the house looks toward a graceful and  airy casino built as the crowning feature of the mound  which is reached along a water stairs. On this eminence cool  shade is provided by huge live oaks. From there one is led  down  again  to  the Fountain  Garden,  a large  circular area  crossed by canals fed by jets of water and having as its central  feature  an   impressive  Baroque  fountain  brought  from   an  /   "X    Italian town near Rome. Other features of the gardens are a tiny  I        \ verdure theater, a tropical grotto and the impressive seawall  J 5   1 which reaches out to a latticed pavillion on one hand and a  I u«   I yacht landing on the other. The harbor is protected by a break-  V   J   water in the form of a great stone barge. The approach to the  House and Gardens is through a rich tropical woods, the finest  Florida hammock still preserved within the City of Miami.  gP    . *j „c-%     Aerial View of VIZCAYA Taken From Over Biscayne Bay  18th Century Wall Paintings and Furniture in the Tea Room  Above is a glimpse of the stately Tea  Room with wall paintings made in Naples  in the 18th century telling the story of the  sack of Troy. This is only one of the sumptuous rooms of the House which show European furniture and decoration as it can be  seen no other place in America. 		image/tiff						77744478 Bytes	4769	5434	1678446136	RGB	8	600	asm02500000360002001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/71	71	72.jp2	/pamphlets/image/72.jp2
Vizcaya: Dade County Art Museum						Promotional flier for Vizcaya.		Vizcaya Museum and Gardens (Miami, Florida); Deering, James, d. 1925 -- Homes and haunts; Tourist attractions; Gardens	Advertising fliers				Florida; Miami-Dade County (Florida); Miami (Florida)			1 folded leaf			University of Miami Libraries. Special Collections.	Florida Promotional Materials	ASM0250	Series:  I Unassigned	Box No. 7; Folder Title: Miami (10).									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000036		asm0250_1		Text	image/tiff															2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/72	72	73.cpd	/pamphlets/supp/72/index.pdf
Page 1																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000054	asm02500000540001001		)0% AIR CONDITIONED  AND HEATED  Directly on the Ocean  16051 COLLINS AVE., MIAMI BEACH  FLORIDA 33160  )hone (305) 947-5674  IT'S EASY TO  BY TRAIN — Florida East Coast: Detrain at I.Miami  or  Hollywood.    Seaboard:   Detrain   at   Hollywood.  Taxi cabs available at reasonable rates at both  stations.  BY PLANE — All airlines to Miami International  Airort — limousine service to The Windward. Rental  cars will meet your flight or train at no extra cost.  BY CAR — from midwest: U.S. #27 to #84 Fort  Lauderdale, East to #441, South to #826, East to  A1A   (Ocean),  South 3 blocks to Windward.  From East: US-1, #441 or Florida Turnpike to #826,  East to A1A  (Ocean), South 3 blocks to Windward.  •  Hilton, Carte Blanche, Diners Club, American Express  Member Chamber of Commerce  dfc mmA   * ^   -"i    A  * 		image/tiff						118580988 Bytes	7274	5434	3408309090	RGB	8	600	asm02500000540001001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/73	73	74.jp2	/pamphlets/image/74.jp2
Page 2																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000054	asm02500000540002001		2£"  c3  c&  ^  Mu  ^  o  8  ^  :«*•  y  it  &lt;  P  ft  £            1^  CD  3  3  CD  r  P  2.  ^                m~  51  b  5*  B  h   r  5!  1  05  ^   p  ST  3  *    1  o  Ha  CD  ^    1  0  J3'  s  H         I  Si  H  s*  5"  cd  3  CD  p  »*•  Wft  o&gt;  3  3.  *■«•  ^  p  CfQ  CD*  B  'G  cd  ©  i  B  **•  ft  &lt;&lt;  o  a?  CD  CD  p  CD  p  3  g.  3  00  CD  o  CD  o  02  o  CD  P  B  tr  CD  »1  •  CD  B  4  05                   1  cd          m  ^          I  ff  3         Ik  CTQ            IV  ssssHaso-sag  ©2 as- st ss s°  2 5  Hfe   ©  a B S $ fc* w  hi   t/2  N  fij B   Ms jr^ o  • : sf  2  S hj  5  0&gt;  •a « h  {3j   p  S  H  8  O  ©  H  »   p  l^  ^      fr  S3- P  CD   ES  g-  3 H  O   P  ?- 5 £ 3 ssa*  2 ss ^  2- I3-  sr- &lt;  &gt;r«    B*    i     S3  CD    CD  2   ft  =. B   ft- 2-  S 8* 5T ff  or*  p- ?  QTC  £ o &gt; ;2&S£h  E 3 h  2.5*  t" 2 a 3 E w  H  w  M  £5    ST   *  5B  S'cl  CD  or* g  2   CD  B   P  QFQ   ft  I '1  p hi  02    P  ^    «  O   CD  h!   B*  H  p5 ,-  50 3 3 S  &gt;.%f *%% ?ss  ?  E- b: b  PBS  X   ? B  g.s§s  Qd et*  P   P   CD*  13  WCD   ft*  #■« g * &lt; p pis^ »  P ^  o  ^   ^  CD  O s   hj  3 w o 3 g  •   H   O   h S*  CD  P  ^y  02   CD   & 3-  3 p  ^  9  CD  ^   CD  £ P CD  S » 2  »- Se £  P P a-  H   ^   g  g   [h   ^  O H  2§ g I*?  a d  *  b: " #^i  QTQ  W 3  i.'S-  F8  Si*  ^  5'S^  a S* £- ^  OB       B»uffg.Saa     "S  o cd     p  p a  o   o   S-  S3   w»  H* ^OJ   b: CD   CD   CD  CD   B  02  H  ^  W  H  H  B   p  ' QTQ  O   O  3 &&1  B   ft  r- mA  os.sr^sJ  o ^  02   £u P  W  CD    B ^^, q*  K h, &gt;^ S « 2, a 2.13  ^ &3  a.  3 E  w  2 © ^  ^ p  QW  S  CD  30^5  ««- ® CD    ©  SI* CD    ^  02 .. &lt;»  hi © ^  02 •— S.  © 2  02 sJ:  V|  »  B  »  3W  B   CD  P  ^  bl3  SS  a &  =! b *S  5  Sf  a « sf  v  /i  J \  j&gt;#^  -2 !  /  I WlrnM 		image/tiff						225955383 Bytes	10319	7299	1876405059	RGB	8	600	asm02500000540002001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/74	74	75.jp2	/pamphlets/image/75.jp2
Windward Resort Motel						Promotional flier for the Windward Motel in Miami Beach.		Windward Motel (Miami Beach, Florida); Hotels	Advertising fliers				Florida; Miami-Dade County (Florida); Miami Beach (Florida)			1 folded leaf			University of Miami Libraries. Special Collections.	Florida Promotional Materials	ASM0250	Series:  I Unassigned	Box No. 7; Folder Title: Miami Beach (2).									http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000054		asm0250_1		Text	image/tiff															2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/75	75	76.cpd	/pamphlets/supp/75/index.pdf
Page 1																																http://merrick.library.miami.edu/digitalprojects/copyright.html	asm0250000028	asm02500000280001001		eel the action...  Miami Museum of Science  &l Space Transit Planetarium 		image/tiff						39007248 Bytes	2384	5454	3005575869	RGB	8	600	asm02500000280001001.tif		2013-08-08	2013-08-08	http://merrick.library.miami.edu:80/cdm/ref/collection/pamphlets/id/76	76	77.jp2	/pamphlets/image/77.jp2
