Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spaital	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Crowd gathered in front of a dwelling				Photographic postcard of a crowd gathered in front of a dwelling, in the town of Nuevitas in the province of Camagüey, Cuba	Notation on verso: "European red [?] style"<br>On recto: "Nuevitas"	Dwellings; Nuevitas (Cuba); Camagüey (Cuba : Province); Cuba	Photographs; Group photographs; Photographic postcards;			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000060001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000060001001	image/tiff	292.562 KB	1022	657	0xFAC350AE	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/55	55	51.jpg	/chc5209/image/51.jpg
Office of La Gloria Company in the province of Camagüey, Cuba				Photographic postcard of the office of La Gloria Company in the province of Camagüey, Cuba. There are three men and a horse in front of the office	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "La Gloria Company office, 1917"<br>On recto: "La Gloria Company's office 1917"	La Gloria Co.; Colonists; La Gloria (Camagüey, Cuba); Cuba	Photographic postcards; Group photographs		1917	1917		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000020001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000020001001	image/tiff	368.926 KB	1023	651	0xF6C59244	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/56	56	47.jpg	/chc5209/image/47.jpg
Man with two girls				A man wearing a suit and a straw boater hat with two girls in the American colony of La Gloria in the province of Camagüey, Cuba	Notation on verso: "Nill and the kids ... [illegible] good of him. Delight and slice. Ft Piero buried. Jean / ... [illegible] of family. Remington ... [illegible] new Canaa"	Colonists; Families; La Gloria (Camagüey, Cuba); Cuba	Group photographs			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000390001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000390001001	image/tiff	229.276 KB	748	768	0xC2D5E07A	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/57	57	84.jpg	/chc5209/image/84.jpg
Central Avenue in the American colony of La Gloria				Photographic postcard of Central Avenue in the American colony of La Gloria in the province of Camagüey, Cuba	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "Central Avenue, La Gloria, 1914"<br>On recto: "La Gloria, Cuba 1914"	La Gloria Co.; Streets; Colonists; Central Avenue (La Gloria, Cuba); La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards		1914	1914		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000200001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000200001001	image/tiff	283.872 KB	1023	659	0xDADFD40C	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/58	58	65.jpg	/chc5209/image/65.jpg
Bee Ranch at La Gloria				View of the Bee Ranch at La Gloria in the province of Camagüey, Cuba. There is a man standing next to a group of beehives	Notation on verso: "A.C's 1st settlement Bee Ranch"	Bee Ranch (Cuba); Colonists; Beehives; La Gloria (Camagüey, Cuba); Cuba	Photographs			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000430001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000430001001	image/tiff	279.348 KB	771	768	0xCBDBE6E9	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/59	59	88.jpg	/chc5209/image/88.jpg
Man butchering an animal				Photographic postcard of a man butchering an animal in the American colony of La Gloria in the province of Camagüey, Cuba	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "Cuban Land ...[illegible] circa 1905 ....[illegible]. Cattleman Nevada Mr. Maccabee grandfather WPB. Missouri, Mrs. Maccabe ... [illegible""	La Gloria Co.; Colonists; Butchers; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards;		1905	1905		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000220001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000220001001	image/tiff	188.964 KB	490	768	0x1C3936C3	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/60	60	67.jpg	/chc5209/image/67.jpg
Beulah and Augustus C. Mayhew with their son Frank  in Havana				Photographic postcard of Beulah McAbee Mayhew, left, Frank Mayhew, center, and Augustus C. Mayhew  in Havana. The Morro Castle can be seen in the background	Printed on verso: "Post card ... [etc.]"<br>Notation on verso: "Beulah, Frank, A.C. Sr. Beulah McAbee Mayhew, Frank Mayhew, and Augustus C. Mayhew, Havana, 1945"	Mayhew, Augustus C., b. 1879; Mayhew, Beulah McAbee; Mayhew, Frank; Colonists; Castillo del Morro (Havana, Cuba); Havana (Cuba); Cuba	Photographs; Photographic postcards		1945	1945		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000300001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000300001001	image/tiff	280.601 KB	1022	655	0x23ABE506	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/61	61	75.jpg	/chc5209/image/75.jpg
Men with rifles behind a trench				Photographic postcard of men with rifles behind a trench, conducting a mock battle in La Gloria settlement in the province of Camagüey, Cuba	Printed on verso: "Post Card ... [etc.]"<br>On recto: "In the Chambelona 1917"	La Gloria Co.; Colonists; La Gloria (Camagüey, Cuba); Cuba	Group photographs; Photographic postcards;		1917	1917		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000110001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000110001001	image/tiff	324.005 KB	1023	649	0xC7B01981	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/62	62	56.jpg	/chc5209/image/56.jpg
Man wearing a hat and suit holding a small snake				Photographic postcard of a man wearing a hat and suit holding a small snake in the American colony of La Gloria in the province of Camagüey, Cuba	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "Settler holding a snake, La Gloria"	La Gloria Co.; Colonists; Snakes; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards;			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000170001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000170001001	image/tiff	297.285 KB	1022	654	0x643588E1	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/63	63	62.jpg	/chc5209/image/62.jpg
Couple standing in front of an American flag				A man wearing a dark suit and hat, with a woman wearing a light dress and hat, standing in front of an American flag		Colonists; Flags; United States; Cuba	Photographs			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000310001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000310001001	image/tiff	222.361 KB	766	768	0x23DFF779	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/64	64	76.jpg	/chc5209/image/76.jpg
Tent serving as post office in the American colony of La Gloria				Photographic postcard of a tent serving as post office in the American colony of La Gloria in the province of Camagüey, Cuba. There is a man with a hat and suit in front of the tent	Printed on verso: "Post Card ... [etc.]"<br>Notation on verso: "First post office. Early tent, La Gloria, c. 1901-1902"	La Gloria Co.; Colonists; Tents; Post offices; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards;			1901-1902		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000120001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000120001001	image/tiff	262.024 KB	1023	647	0x75BE0DF9	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/65	65	57.jpg	/chc5209/image/57.jpg
Man with his horse and hunting dogs				Photographic postcard of a man with his horse and hunting dogs, holding a rifle in the American colony of La Gloria in the province of Camagüey, Cuba. There are two dead deer on top of his horse	Printed on verso: "Post Card ... [etc.]"<br>On recto: "La Gloria Cuba - The return from a hunt - Dec 13"	La Gloria Co.; Colonists; Hunting dogs; Horses; Rifles; La Gloria (Camagüey, Cuba); Cuba	Photographs; Photographic postcards;			1901-1952		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000230001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000230001001	image/tiff	382.841 KB	1022	664	0xD771AED7	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/66	66	68.jpg	/chc5209/image/68.jpg
Mayhew family				Beulah and Augustus C. Mayhew with their children in front of their home in the American colony of La Gloria in the province of Camagüey, Cuba	Notation on verso: "Mayhew and ... [illegible]. Gus and Beulah, Billy,Jack. Fred Griffith ome. 44. [1928]"<br>On recto: "Mayhew home"	Mayhew, Augustus, b. 1879; Mayhew, Beulah McAbee; La Gloria Co.; Colonists; Houses; La Gloria (Camagüey, Cuba); Cuba	Photographs; Group photographs		1928	1928		1 b&w photograph	eng		University of Miami Libraries. Cuban Heritage Collection.	Augustus C. Mayhew, Jr. Photograph Collection	5209		Folder 1, Augustus C. Mayhew Photograph Collection	Mayhew, Augustus C., Jr.	Mayhew, Augustus C., Jr.	daf/oxe		© University of Miami Libraries. All Rights Reserved. Permission to publish materials must be obtained from the Director of the Cuban Heritage Collection.	http://merrick.library.miami.edu/digitalprojects/copyright.html	chc52090000400001001		Image		Suprascan 10000 RGB i2s Digibook Scanner	Digibook Version 5.4.8.20		chc52090000400001001	image/tiff	196.229 KB	1023	622	0xD10FAE7D	RGB	24-bit depth	600 dpi			2008-01-24	2008-07-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5209/id/67	67	85.jpg	/chc5209/image/85.jpg
