Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Donor	Container	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Munroe family tree, 1752-1855				A typewritten page (extract from "Middleton Bible" by Mr. Stitt) charting the family tree of Ralph Munroe from 1752 to 1855.		Munroe, Ralph, 1851-1933	Family trees					1 typed page			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: II Diaries		Box No.: 4, Folder Title: Miscellaneous.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm04090000110001001	image/tiff	40951.283 KB	5009	6598	0xD8DBDBF8	RGB	24 bit depth	600 dpi	asm04090000110001001.tif		2008-06-01	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/10	10	5.jp2	/asm0409/image/5.jp2
The Barnacle				Photograph of the Barnacle, the home of Admiral Ralph Munroe; pictured are his wife Jessie on the porch, his daughter Patty on the steps and his son Wirth on the footpath.		Barnacle (Miami, Fla.); Munroe, Ralph, 1851-1933 -- Homes and haunts;Munroe, Jessie Wirth; Catlow, Patty Wirth Munroe, 1900-1991; Munroe, Wirth	Photographs				Florida. Miami-Dade county. Miami. Coconut Grove.	1 b&w photograph			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: III Albums, Photographs and Miscellanea		Box No.: 9, Folder Title: Barnacle.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm04090000150001001	image/tiff	3341.771 KB	2725	1925	0x5163313A	RGB	24 bit depth	600 dpi	asm04090000150001001.tif		2008-06-01	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/11	11	6.jp2	/asm0409/image/6.jp2
Boathouse of the Barnacle, Admiral Ralph Munroe's home				Waterfront, boathouse and docks of the Barnacle, Admiral Ralph Munroe's Coconut Grove home.		Barnacle (Miami, Fla.)	Photographs				Florida. Miami-Dade county. Miami. Coconut Grove.	1 b&w photograph			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series:  III Albums, Photographs and Miscellanea		Box No.: 9, Folder Title: Barnacle.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm04090000230001001	image/tiff	6172.653 KB	3025	2105	0x13342A97	RGB	24 bit depth	600 dpi	asm04090000230001001.tif		2008-06-01	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/12	12	13.jp2	/asm0409/image/13.jp2
Patty Munroe's birth certificate		Florida. Bureau of Vital Statistics		The birth certificate of Ralph Munroe's daughter, Patty, here spelled Patti.		Catlow, Patty Wirth Munroe, 1900-1991	Birth certificates		1900		Florida. Miami-Dade county. Miami.	1 birth certificate			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: I Correspondence		Box No.: 2, Folder Title: 1932 Jan - Apr.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Text					asm04090000080001001	image/tiff	21045.914 KB	4749	3710	0x1D678CF7	RGB	24 bit depth	600 dpi	asm04090000080001001.tif		2008-06-01	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/13	13	2.jp2	/asm0409/image/2.jp2
Coconut Grove waterfront				This view of the Coconut Grove waterfront (perhaps taken in the 1920s) shows the south slip at "Camp Biscayne" and Biscayne Bay Yacht Club; Dinner Key is at the right. The clubhouse on the pilings over the water was removed to Hardie Road.		Dinner Key (Miami, Fla.); Marinas	Photographs				Florida. Miami-Dade county. Miami. Coconut Grove.	1 b&w photograph			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: III Albums, Photographs and Miscellanea		Box No.: 9, Folder Title: Boats.					http://merrick.library.miami.edu/digitalprojects/copyright.html			Image					asm04090000220001001	image/tiff	18230.63 KB	7434	2567	0x4C3AEF55	RGB	24 bit depth	600 dpi	asm04090000220001001.tif		2008-06-01	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/14	14	12.jp2	/asm0409/image/12.jp2
Page 1																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000007						asm04090000070001001	image/tiff	23028.807 KB	5069	4111	0x68387F5E	RGB	24 bit depth	600 dpi	asm04090000070001001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/15	15	16.jp2	/asm0409/image/16.jp2
Page 2																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000007						asm04090000070002001	image/tiff	24905.056 KB	5109	4351	0x28685CD9	RGB	24 bit depth	600 dpi	asm04090000070002001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/16	16	17.jp2	/asm0409/image/17.jp2
Adirondack-Florida School Association letter		Florida Adirondack School (Miami, Fla.)		Letter to the alumni and friends of the Adirondack-Florida School Association, January 26, 1931, describing the retirement of Mr. Levings Hooker Somers and the hiring of Mr. Kenneth Orr Wilson as the new Headmaster. The Adirondack Florida School was a boys' boarding school; in 1949 it was renamed Ransom Everglades.		Wilson, Kenneth Orr, 1897-; Florida Adirondack School (Miami, Fla.)	Correspondence		1931		Florida. Miami-Dade county. Miami.	1 typed letter (upper half)			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: I Correspondence		Box No.: 2, Folder Title: 1931 Jan - May.					http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000007	Text					asm0409000007	image/tiff										2008-06-02	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/17	17	18.cpd	/asm0409/image/18.cpd
Page 1																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000006						asm04090000060001001	image/tiff	32199.923 KB	5109	6618	0x75C4880F	RGB	24 bit depth	600 dpi	asm04090000060001001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/18	18	19.jp2	/asm0409/image/19.jp2
Page 2																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000006						asm04090000060002001	image/tiff	31399.955 KB	5109	6618	0x47C4F7BA	RGB	24 bit depth	600 dpi	asm04090000060002001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/19	19	20.jp2	/asm0409/image/20.jp2
Letter from Ralph Munroe to Vincent Gilpin, June 5, 1930		Munroe, Ralph, 1851-1933		The letter includes commentary on the Pancoast family, who were South Florida entrepreneurs. "Yesterday was called upon by Clayton Sedgwick Cooper, writer & lecturer well known here for several years past. His wife, not with him at the time and whom our people know, is also a writer of moment, one of her recent productions is "My Lady of the Chinese Court-yard" is having a big sale. A Mrs. Pancoast who brought Cooper here is a daughter of Collins who was associated with Field & [?] in the coconut-planting along the coast in the eighties. When this project slumped Collins to [i.e., took] a large portion of the land, built the big bridge & started Miami Beach. His daughter who married Pancoast is a very charming old lady, all of old Quaker stock from Moorstown, NJ. It seems that Miami Beach aside from the fast set really has very many nice people living there who apparently are in some control and anxious to do things as near right as possible and among these things is a combined Directory & History of the Beach and have gotten this Mr. Cooper interested in its make up and the first thing confronting him was that Com. Munroe was about publishing a story of Biscayne Bay that practically and probably would absorb most of his thunder, hence his call on me. I briefly outlined the plan of our book, which somewhat relieved him as he now thinks it quite possible to so compile his work that there will be no interference and on the contrary some mutual benefit [?] I think him very much of a gentleman therefore threw no cold water and suggested that he call on you which he enthusiastically agreed to. His long experience may be of value if nothing else. Wrote you a few days ago about the title telling you to use your own good judgment as usual. Fine weather again but I've got a very leaky roof over the Herreshoff cottage on my hands..."		Cooper, Clayton Sedgwick, 1869-1936	Correspondence		1930-06-05-1930-06-05		Florida. Miami-Dade county. Miami.	1 handwritten letter			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: I Correspondence		Box No.: 2, Folder Title: 1930 Jun - Dec.					http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000006	Text					asm0409000006											2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/20	20	21.cpd	/asm0409/image/21.cpd
Page 1																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000004						asm04090000040001001	image/tiff	29629.092 KB	4368	6237	0x34A72A09	RGB	24 bit depth	600 dpi	asm04090000040001001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/21	21	22.jp2	/asm0409/image/22.jp2
Page 2																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000004						asm04090000040002001	image/tiff	29020.69 KB	4328	6237	0x52B94E89	RGB	24 bit depth	600 dpi	asm04090000040002001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/22	22	23.jp2	/asm0409/image/23.jp2
Letter from Patty Munroe to Vincent Gilpin, Sept. 28, 1926		Catlow, Patty Wirth Munroe, 1900-1991		The letter describes the destruction wreaked by the 1926 hurricane.		Hurricanes; Buildings -- Natural disaster effects	Correspondence		1926-09-28-1926-09-28	1926		1 typed letter			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: I Correspondence		Box No.: 1, Folder Title: 1926 Jan - Sep.					http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000004	Text					asm0409000004											2008-06-02	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/23	23	24.cpd	/asm0409/image/24.cpd
Page 1																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000028						asm04090000280001001	image/tiff	30348.604 KB	6492	4953	0x5E5ACBE2	RGB	24 bit depth	600 dpi	asm04090000280001001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/24	24	25.jp2	/asm0409/image/25.jp2
Page 2																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000028						asm04090000280002001	image/tiff	50489.43 KB	6532	4853	0xA697BB9C	RGB	24 bit depth	600 dpi	asm04090000280002001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/25	25	26.jp2	/asm0409/image/26.jp2
Bill Catlow's grade school				William Catlow as a schoolboy with his fellow grade school students. At least three of the children are barefoot. His position is noted in the handwritten caption on the verso.		Catlow, William, d. 1984	Photographs; Portrait photographs				Florida. Miami-Dade county. Miami. Coconut Grove.	1 b&w photograph			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: III Albums, Photographs and Miscellanea		Box No.: 9, Folder Title: William Catlow.					http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000028	Image					asm0409000028	image/tiff										2008-06-02	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/26	26	27.cpd	/asm0409/image/27.cpd
Page 1																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000014						asm04090000140001001	image/tiff	31355.44 KB	5122	6643	0xED440F05	RGB	24 bit depth	600 dpi	asm04090000140001001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/27	27	28.jp2	/asm0409/image/28.jp2
Page 2																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000014						asm04090000140002001	image/tiff	27770.256 KB	5122	6643	0x2B3A2DF7	RGB	24 bit depth	600 dpi	asm04090000140002001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/28	28	29.jp2	/asm0409/image/29.jp2
Letter to Patty Munroe						Catlow, Patty Wirth Munroe, 1900-1991	Correspondence								University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: III Albums, Photographs and Miscellanea		Box No.: 7, Folder Title: Typescript.					http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000014	Text					asm0409000014											2008-06-02	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/29	29	30.cpd	/asm0409/image/30.cpd
Page 1																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000013						asm04090000130001001	image/tiff	28191.804 KB	5122	6643	0xD8717E9E	RGB	24 bit depth	600 dpi	asm04090000130001001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/30	30	31.jp2	/asm0409/image/31.jp2
Page 2																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000013						asm04090000130002001	image/tiff	27455.484 KB	5122	6643	0x488226CF	RGB	24 bit depth	600 dpi	asm04090000130002001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/31	31	32.jp2	/asm0409/image/32.jp2
Letter from Wirth Munroe to Patty Munroe Catlow			Munroe, Wirth, d. 1968	Wirth Munroe's letter to his sister Patty describes the proposed building of a new causeway across Biscayne Bay and a boat he designed, the Pirouette. In part, he writes, "There is not much to say that Mary hasn't already put on paper - what with politics and traffic problems there is never any letup to the constant fight to preserve some resemblance of sanity to the area. The enclosed clippings are just a small portion of what I keep getting myself into - Another thing is the mid Bay Causeway which the county wants to build from Ojus or head of the bay, to McArthur (old county) causeway. This has been on the fire for many years after being started by old R.C. Gardner. It would split the north bay in two parts, the [?] part the smaller Fla. Dade County Marine Council, a division of the Dade County Chamber of Commerce, is very much against the causeway. It all looks like a long fight. I have been put on that committee by this Marine Council. My trip to Martinique was interesting but worrisome because there was so much here at home to do. Not everyone can get such a trip and get paid for it besides. Came back from San Juan in 2 hr 10 min on a PAA jet at 25,000 ft. Saw some of the Bahamas but the clouds were thick from Acklins Is. to the time we came down below [?] over the streams."		Causeways; Munroe, Wirth, d. 1968	Correspondence				Florida. Miami-Dade county. Miami.	1 handwritten letter			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: III Albums, Photographs and Miscellanea		Box No.: 7, Folder Title: Typescript.					http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000013	Text					asm0409000013											2008-06-02	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/32	32	33.cpd	/asm0409/image/33.cpd
Page 1																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000027						asm04090000270001001	image/tiff	14368.491 KB	4168	3088	0x3EF83F2A	RGB	24 bit depth	600 dpi	asm04090000270001001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/33	33	34.jp2	/asm0409/image/34.jp2
Page 2																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000027						asm04090000270002001	image/tiff	44661.863 KB	6011	4853	0x15D13CDF	RGB	24 bit depth	600 dpi	asm04090000270002001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/34	34	35.jp2	/asm0409/image/35.jp2
Bill Catlow's grade school				Photograph of Bill Catlow (third left from end of row at the back) with his fellow grade school students, probably in Coconut Grove.		Catlow, William, d. 1984	Photographs; Portrait photographs		ca. 1911		Florida. Miami-Dade county. Miami.	1 b&w photograph			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: III Albums, Photographs and Miscellanea		Box No.: 9, Folder Title: William Catlow.					http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000027	Image					asm0409000027	image/tiff										2008-06-02	2009-09-12	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/35	35	36.cpd	/asm0409/image/36.cpd
Page 1																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000002						asm04090000020001001	image/tiff	35424.511 KB	5069	6598	0xD1A366B8	RGB	24 bit depth	600 dpi	asm04090000020001001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/36	36	37.jp2	/asm0409/image/37.jp2
Page 2																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000002						asm04090000020002001	image/tiff	36027.681 KB	5069	6598	0xDB2B4123	RGB	24 bit depth	600 dpi	asm04090000020002001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/37	37	38.jp2	/asm0409/image/38.jp2
Page 3																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000002						asm04090000020003001	image/tiff	35819.584 KB	5029	6598	0x7282AABB	RGB	24 bit depth	600 dpi	asm04090000020003001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/38	38	39.jp2	/asm0409/image/39.jp2
Page 4																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000002						asm04090000020004001	image/tiff	36096.049 KB	5029	6598	0x56728E82	RGB	24 bit depth	600 dpi	asm04090000020004001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/39	39	40.jp2	/asm0409/image/40.jp2
Letter from Ralph Munroe to Vincent Gilpin, July 3, 1926		Munroe, Ralph, 1851-1933		Letter from Ralph Munroe to Vincent Gilpin, July 3, 1926. Munroe describes land speculation activities (of which he is critical) and purchases of land around Coconut Grove for development. On page 2 he describes these as "a first class 17th century bit of piracy on the Spanish Main." Munroe talks about sailing, which both correspondents enjoyed. From page 3: "I mentioned Coral Gables in connection with our water front troubles. The first two years of their work at the back of us [i.e., behind Munroe's estate] certainly did not appeal to me. The Spanish architecture buildings and various other features rubbed me against the grain. The Cocoplum development, now well underway shows a great change for the better. I am pleased so far and tho the whole movement has been a nightmare to me I am becoming reconciled and can visualize something very beautiful to come from it and possibly unequaled by anything other similar movement in the world." On page 4, Munroe describes a meeting with Leo Baekeland, who invented Bakelite plastic.	Vincent Gilpin co-authored with Ralph Middleton Munroe the book "The Commodore's Story," an autobiography of boatmaker, photographer and Coconut Grove pioneer Ralph Munroe.	Munroe, Ralph, 1851-1933	Correspondence		1926-07-03	1926	Coral Gables.	1 handwritten letter			University of Miami Libraries, Special Collections	Munroe Family Papers	0409	Series: I Correspondence		Box No.: 1, Folder Title: 1926 Jan - Sep.					http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000002	Text					asm0409000002											2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/40	40	41.cpd	/asm0409/image/41.cpd
Page 1																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000001						asm04090000010001001	image/tiff	35195.532 KB	5089	6638	0xD4091AE	RGB	24 bit depth	600 dpi	asm04090000010001001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/41	41	42.jp2	/asm0409/image/42.jp2
Page 2																Munroe Family Papers									http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0409000001						asm04090000010002001	image/tiff	36175.013 KB	5089	6638	0x114A8C09	RGB	24 bit depth	600 dpi	asm04090000010002001.tif		2008-06-02	2008-06-02	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0409/id/42	42	43.jp2	/asm0409/image/43.jp2
