Título	Translated Title	Creator	Director	Producer	Photographer	Contributors	Videographer	Cast	Resumen	Summary	Note	Tema	Subject	Género	Genre	Publisher	Date Published	Date Created	Time Period	Geographic Subject	Geo Point	Geo Box	Descripción Física	Physical Description	Language	Website	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Availability	Tape No.	Object ID	Digital ID	Upload ID	Original Format	Tape Format	Format	Type	Date Digital	Hardware	Software	Directory	File Size	Width	Height	Checksum	Bit Depth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
El Centro en el Midway Mall	The Centro at Midway Mall	Midway Mall							Anuncio de las tiendas de El Centro en el Midway Mall.	Commercial for the Centro at Midway Mall showcasing various shops.	El Centro en el Midway Mall address: Flagler and 77th Ave., Miami, Florida.	Centros comerciales -- Florida -- Miami; Tiendas al por menor -- Florida -- Miami; Midway Mall (Miami, Florida)	Shopping centers -- Florida -- Miami; Stores, Retail -- Florida -- Miami; Midway Mall (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1980-1990	Miami (Florida)	east=-80.320053; north=25.76977; name=http://www.geonames.org/4164138			1 streaming video (0:00:59 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210004001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/11	11	31.m4v	/chc5061/image/31.m4v
Ayestaran Party Salon		Ayestaran Party Salon							Anuncio del local Ayestaran Party Salon. Escenas del video muestran: cocinero preparando un sandwich, un sacerdote bendiciendo el local, gente disfrutando de la fiesta y la comida en el local.	Commercial of the opening of Ayestaran Party Salon. Seen in the video: cook making a sandwich, priest blessing the building, people enjoying the party space and food.	Ayestaran Party Salon address: 706 SW 27th Ave., Miami, Florida.	Restaurantes -- Florida -- Miami; Salones para recepciones -- Florida -- Miami; Cocina cubana; Ayestaran Party Salon (Miami, Florida)	Restaurants -- Florida -- Miami; Reception rooms -- Florida -- Miami; Cooking, Cuban; Ayestaran Party Salon (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising		1978		1970-1980	Miami (Florida)	east=-80.238983; north=25.765764; name=http://www.geonames.org/4164138			1 streaming video (0:00:46 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210001001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/12	12	34.m4v	/chc5061/image/34.m4v
Andrés "Andy" Mejides, candidato a la alcaldía de Hialeah, 1981	Andrés "Andy" Mejides, mayoral candidate for Hialeah, 1981	Mejides, Andrés					Sánchez, Osvaldo		Anuncio de la campaña política de Andrés "Andy" Mejides para la alcaldía de Hialeah.	Commercial for Andrés "Andy" Mejides, Hialeah mayoral candidate.		Campañas electorales -- Florida; Alcaldes -- Elección -- Florida -- Hialeah; Mejides, Andrés	Political campaigns -- Florida; Mayors -- Election -- Florida -- Hialeah; Mejides, Andrés	registros videos; publicidad por difusión	video recordings; broadcast advertising		1981		1980-1990	Hialeah (Florida)	east=25.8576; north=-80.27811; name=http://www.geonames.org/4158476			1 streaming video (0:01:03 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210027001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/13	13	17.m4v	/chc5061/image/17.m4v
Andy's Assurance Agency		Andy's Assurance Agency							Anuncio de Andy's Assurance Agency con escenas de la construcción del edificio y de los empleados.	Commercial for Andy's (Andy Rodríguez) Assurance Agency with shots of building construction and operations.	Andy's Assurance Agency address: 1411 West Flagler St., Miami, Florida; 4775 Palm Ave., Hialeah, Florida.	Agentes de seguros -- Florida -- Hialeah; Andy's Assurance Agency	Insurance agents -- Florida -- Hialeah; Andy's Assurance Agency	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Hialeah (Florida)	east=-80.282974; north=25.865728; name=http://www.geonames.org/4158476			1 streaming video (0:00:58 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.020		chc50610000200018001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/14	14	24.m4v	/chc5061/image/24.m4v
Inauguración de Liceo Club	Liceo Club grand opening	Liceo Club							Inauguración de Liceo Club, un club social privado. El presidente Félix Albisa y su esposa Gladys entran al local junto con los invitados. Un sacerdote bendice el establecimiento. El club albergaba obras de arte de Teok Carrasco.	Grand opening of Liceo Club, a member's only social club. President Félix Albisa enters with his wife and guests. A priest blesses the establishment. The club housed Teok Carrasco art works.	Liceo Club address: 2499 SW 8th St., Miami, Florida.	Clubes privados -- Florida -- Miami; Liceo Club (Miami, Florida)	Private clubs -- Florida -- Miami; Liceo Club (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.236259; north=25.765734; name=http://www.geonames.org/4164138			1 streaming video (0:01:13 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.020		chc50610000200019001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/15	15	13.m4v	/chc5061/image/13.m4v
Inauguración de Pestonit Westchester Florist en Coral Way	Pestonit Westchester Florist grand opening on Coral Way	Pestonit Florist							Anuncio de la inauguración de la floristeria Pestonit Westchester Florist. Empleados les dan claveles a los clientes.	Commercial of Pestonit Westchester Florist grand opening. Employee hand out carnations to customers.	Pestonit Westchester Florist address: Coral Way and 87th Ave., Miami, Florida.	Floristerías -- Florida -- Miami; Pestonit Florist (Miami, Florida)	Florists -- Florida -- Miami; Pestonit Florist (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.335602; north=25.747583; name=http://www.geonames.org/4164138			1 streaming video (0:01:09 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.020		chc50610000200016001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/16	16	33.m4v	/chc5061/image/33.m4v
WRHC, "Donde está la noticia, está WRHC"	WRHC, "Where the news is"	WRHC 1550 Radio Station						Pérez Roura, Armando, 1928-; Jorge, Ricardo; Viera, Mario; Valdez Fernández, Osvaldo; Amador Rodríguez, Juan; Béjar, Hada; Nodal, Angel; Ochoa, Elsa; Lew, Salvador	Anuncio de la estación de radio en español WRHC 1550. En el anuncio se observa escenas tras bastidores del personal que labora en la estación durante la grabación de various programas radiales. Los periodistas son Armando Pérez Roura, Ricardo Jorge, Mario Viera, Osvaldo Valdez Fernández y Juan Amador Rodríguez. Algunos actores son Hada Béjar, Angel Nodal y Elsa Ochoa. Salvador Lew era el director de noticias.	Commercial for the Spanish-language radio station WRHC 1550. Clip shows a behind-the-scenes look at the staff during various tapings. Journalists include Armando Pérez Roura, Ricardo Jorge, Mario Viera, Osvaldo Valdez Fernández, and Juan Amador Rodríguez. Actors seen are Hada Béjar, Angel Nodal, and Elsa Ochoa. Salvador Lew was the news director.		Estaciones de radio de noticias -- Florida -- Miami; Periodistas de radio -- Florida -- Miami; Pérez Roura, Armando, 1928-	News radio stations -- Florida -- Miami; Radio journalists -- Florida -- Miami; Pérez Roura, Armando, 1928-	registros videos; publicidad por difusión	video recordings; broadcast advertising				1980-1990	Miami (Florida)	east=-80.239128; north=25.769054; name=http://www.geonames.org/4164138			1 streaming video (0:00:54 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Osvaldo Sánchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.020		chc50610000200017001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/17	17	30.m4v	/chc5061/image/30.m4v
Rivas Realty, "La empresa latina de real estate mayor de los Estados Unidos"	Rivas Realty, "The largest Latin real estate firm in the United States"	Rivas Realty							El presidente de la firma, Anthony Rivas, es visto mostrando las urbanizaciones contruidas por la compañía y recibiendo un premio por ventas de $25 millones de propiedades.	Commercial for Rivas Realty. Anthony Rivas, the firm's president, is seen showing communities built by the company and receiving and award for selling properties worth $25 million.	Rivas Realty address: 2341 NW 7th St., Miami, Florida.	Agentes de bienes raíces -- Florida -- Miami; Construcción de viviendas -- Florida -- Miami; Rivas Realty (Miami, Florida)	Real estate agents -- Florida -- Miami; House construction -- Florida -- Miami; Rivas Realty (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.233589; north=25.779663; name=http://www.geonames.org/4164138			1 streaming video (0:02:18 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210009001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/18	18	15.m4v	/chc5061/image/15.m4v
Rejas Navarro, "Ni King Kong puede con ellas"	Navarro Iron Works, "Not even King Kong can break them"	Rejas Navarro							Un gorila trata de entrar en una casa pero es detenido por los portones hechos por Rejas Navarro.	A gorilla tries to break into a house but is blocked by the gates made by Rejas Navarro.	Rejas Navarro address: 2435 NW Ali Baba Ave., Opa-Locka, Florida.	Herrerías; Portones (Arquitectura)  -- Diseño y construcción; Rejas Navarro (Opa-Locka, Florida)	Iron-works; Gates -- Design and construction; Rejas Navarro (Opa-Locka, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Opa-Locka (Florida)	east=-80.240730; north=25.906721; name=http://www.geonames.org/4167003			1 streaming video (0:00:59 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210022001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/19	19	28.m4v	/chc5061/image/28.m4v
Los Latinos of Miami Department Store en la Pequeña Habana	Los Latinos of Miami Department Store in Little Havana	Los Latinos of Miami Department Store					Sánchez, Osvaldo	Barral, Rolando, 1939-2002	Anuncio de la inauguración de la tercera tienda de Los Latinos of Miami Department Store en la Pequeña Habana.	Commercial for Los Latinos of Miami Department Store third store opening in Little Havana.	Los Latinos of Miami Department Store address: Flagler and 11th Ave. in Little Havana, Miami, Florida.	Tiendas al por menor -- Florida -- Miami; Vendedores -- Florida -- Miami; Tiendas por departamento -- Florida -- Miami; Los Latinos of Miami Department Store (Miami, Florida)	Stores, Retail -- Florida -- Miami; Sales personnel -- Florida - Miami; Department stores -- Florida -- Miami; Los Latinos of Miami Department Store (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising		1980		1980-1990	Miami (Florida)	east=-80.212936; north=25.773577; name=http://www.geonames.org/4164138			1 streaming video (0:01:00 min.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210018001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/20	20	11.m4v	/chc5061/image/11.m4v
Happy Garden by Antonio Poupariña		Happy Garden					Sánchez, Osvaldo		Anuncio de la inauguración de la floristeria Happy Garden de Antonio Poupariña.	Commercial of the grand opening of Antonio Poupariña's Happy Garden flower shop.	Happy Garden address: 2727 W Flagler St.. Miami, Florida.	Floristerías -- Florida -- Miami; Happy Garden by Antonio Poupariña (Miami, Florida)	Florists -- Florida -- Miami; Happy Garden by Antonio Poupariña (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1980-1990	Miami (Florida)	east=-80.239685; north=25.772322; name=http://www.geonames.org/4164138			1 streaming video (0:00:59 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Oswaldo Sanchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210005001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/21	21	35.m4v	/chc5061/image/35.m4v
Inauguración de la mueblería Selecciones Muebles	Selecciones Muebles grand opening	Selecciones Muebles							Anuncio de la inauguración de la muebleria Selecciones Muebles.	Commercial for the grand opening of Selecciones Muebles.	Selecciones Muebles address: 2173 SW 8th St.. Miami, Florida.	Salones de exhibición de muebles -- Florida -- Miami; Tiendas al por menor -- Florida -- Miami; Selecciones Muebles (Miami, Florida)	Furniture showrooms -- Florida -- Miami; Stores, Retail -- Florida -- Miami; Selecciones Muebles (Miami, Florida)	registros videos; publicidad por difusión	video recordings; broadcast advertising				1970-1980	Miami (Florida)	east=-80.230377; north=25.765442; name=http://www.geonames.org/4164138			1 streaming video (0:00:47 sec.)	spa		University of Miami Libraries. Cuban Heritage Collection	Osvaldo Sánchez Film Collection	CHC5061						axr			http://merrick.library.miami.edu/digitalprojects/copyright.html		CHC5061.021		chc50610000210015001			DV Tape	video/mp4	MovingImage													2013-06-17	2013-07-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc5061/id/22	22	22.m4v	/chc5061/image/22.m4v
