Title	Translated Title	Creator	Contributor	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Full Text	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 2																											asm0656000010						asm06560000100002001	image/tiff	37007328 Bytes	3010	4096	1782384673	RGB	8	600	asm06560000100002001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/12	12	13.jp2	/asm0656/image/13.jp2
Page 3																											asm0656000010						asm06560000100003001	image/tiff	41432876 Bytes	3370	4096	3602376675	RGB	8	600	asm06560000100003001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/13	13	14.jp2	/asm0656/image/14.jp2
Page 4																											asm0656000010						asm06560000100004001	image/tiff	43457920 Bytes	3461	4183	4058384557	RGB	8	600	asm06560000100004001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/14	14	15.jp2	/asm0656/image/15.jp2
Tribute Dinner of Rabbi Joseph R. Narot					Congregation of Temple Israel of Greater Miami in Deauville Hotel, Napoleon Room	American Jewish Committee; American Jewish Committee. Miami Chapter; Civil rights -- United States -- History -- 20th century; Metropolitan Dade County (Florida). Community Relations Board; Miami (Florida) -- Race relations; Samet, Seymour, 1912-; United States -- Community Relations Service; Intergroup relations; Social action -- United States; Narot, Joseph R.; Temple Israel of Greater Miami	Programs		1970-05-16	1970-1980	Miami Beach (Florida)	1 program; 4 pages	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 2; Folder Title: Personal Papers: Brochures; Folder Date: n.d., 1952-1992						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0656000010	Text	2012-08-08					image/tiff										2012-10-29	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/15	15	16.cpd	/asm0656/image/16.cpd
Page 1																											asm0656000069						asm06560000690001001	image/tiff	100980258 Bytes	5100	6600	3354719947	RGB	8	600	asm06560000690001001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/16	16	17.jp2	/asm0656/image/17.jp2
Page 2																											asm0656000069						asm06560000690002001	image/tiff	100980258 Bytes	5100	6600	1371515731	RGB	8	600	asm06560000690002001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/17	17	18.jp2	/asm0656/image/18.jp2
Page 3																											asm0656000069						asm06560000690003001	image/tiff	100980258 Bytes	5100	6600	3449722168	RGB	8	600	asm06560000690003001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/18	18	19.jp2	/asm0656/image/19.jp2
Page 4																											asm0656000069						asm06560000690004001	image/tiff	100980258 Bytes	5100	6600	3696491169	RGB	8	600	asm06560000690004001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/19	19	20.jp2	/asm0656/image/20.jp2
Page 5																											asm0656000069						asm06560000690005001	image/tiff	100980258 Bytes	5100	6600	3849938620	RGB	8	600	asm06560000690005001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/20	20	21.jp2	/asm0656/image/21.jp2
Page 6																											asm0656000069						asm06560000690006001	image/tiff	100980258 Bytes	5100	6600	1787504379	RGB	8	600	asm06560000690006001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/21	21	22.jp2	/asm0656/image/22.jp2
Page 7																											asm0656000069						asm06560000690007001	image/tiff	100980258 Bytes	5100	6600	894605546	RGB	8	600	asm06560000690007001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/22	22	23.jp2	/asm0656/image/23.jp2
Page 8																											asm0656000069						asm06560000690008001	image/tiff	100980258 Bytes	5100	6600	3727424721	RGB	8	600	asm06560000690008001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/23	23	24.jp2	/asm0656/image/24.jp2
Page 9																											asm0656000069						asm06560000690009001	image/tiff	100980258 Bytes	5100	6600	3726755513	RGB	8	600	asm06560000690009001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/24	24	25.jp2	/asm0656/image/25.jp2
Page 10																											asm0656000069						asm06560000690010001	image/tiff	100980258 Bytes	5100	6600	1519867021	RGB	8	600	asm06560000690010001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/25	25	26.jp2	/asm0656/image/26.jp2
Page 11																											asm0656000069						asm06560000690011001	image/tiff	100980258 Bytes	5100	6600	2885661954	RGB	8	600	asm06560000690011001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/26	26	27.jp2	/asm0656/image/27.jp2
Page 12																											asm0656000069						asm06560000690012001	image/tiff	100980258 Bytes	5100	6600	2132660844	RGB	8	600	asm06560000690012001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/27	27	28.jp2	/asm0656/image/28.jp2
Page 13																											asm0656000069						asm06560000690013001	image/tiff	100980258 Bytes	5100	6600	2334859839	RGB	8	600	asm06560000690013001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/28	28	29.jp2	/asm0656/image/29.jp2
Page 14																											asm0656000069						asm06560000690014001	image/tiff	100980258 Bytes	5100	6600	1267981443	RGB	8	600	asm06560000690014001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/29	29	30.jp2	/asm0656/image/30.jp2
Page 15																											asm0656000069						asm06560000690015001	image/tiff	100980258 Bytes	5100	6600	903529867	RGB	8	600	asm06560000690015001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/30	30	31.jp2	/asm0656/image/31.jp2
Page 16																											asm0656000069						asm06560000690016001	image/tiff	100980258 Bytes	5100	6600	1849322690	RGB	8	600	asm06560000690016001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/31	31	32.jp2	/asm0656/image/32.jp2
Page 17																											asm0656000069						asm06560000690017001	image/tiff	100980258 Bytes	5100	6600	3559964799	RGB	8	600	asm06560000690017001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/32	32	33.jp2	/asm0656/image/33.jp2
Page 18																											asm0656000069						asm06560000690018001	image/tiff	100980258 Bytes	5100	6600	2840344173	RGB	8	600	asm06560000690018001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/33	33	34.jp2	/asm0656/image/34.jp2
Community relations papers			Toubin, Isaac; Berlatsky, Emanuel; Samet, Seymour, 1912- ; Fineberg, Solomon Andhil		Paper contents listed on Association of Jewish Community Relations Workers letterhead: The Jewish Component of Jewish Community Relations by Isaac Toubin; Professional Status and Job Security by Emanuel Berlatsky; Desegregation-the Road Ahead by Seymour Samet; Brief Summary of Address to Association of Reform Rabbis of New York City by Rabbi S. Andhil Fineberg	Samet, Seymour, 1912-; Community relations; Toubin, Isaac; Berlatsky, Emanuel; Fineberg, Solomon Andhil, 1896-1990	Documents		1957-11-18	1950-1960	New York (New York)	1 document; 18 pages	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 8; Folder Title: Personal Papers: Speeches/Writings; Folder Date: n.d, 1954-1957, 1959, 1962, 1964, 1965, 1967, 1968, 1979, 1982, 1983, 1984, 1987, 1990, 1995						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0656000069	Text	2012-08-08					image/tiff										2012-10-29	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/34	34	35.cpd	/asm0656/image/35.cpd
Page 1																											asm0656000026						asm06560000260001001	image/tiff	42366632 Bytes	2552	5531	634204326	RGB	8	600	asm06560000260001001.tif		2012-08-29	2012-08-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/35	35	36.jp2	/asm0656/image/36.jp2
Page 2																											asm0656000026						asm06560000260002001	image/tiff	42900184 Bytes	2567	5568	1101551736	RGB	8	600	asm06560000260002001.tif		2012-08-29	2012-08-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/36	36	37.jp2	/asm0656/image/37.jp2
Page 3																											asm0656000026						asm06560000260003001	image/tiff	42845544 Bytes	2572	5550	2027531843	RGB	8	600	asm06560000260003001.tif		2012-08-29	2012-08-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/37	37	38.jp2	/asm0656/image/38.jp2
Page 4																											asm0656000026						asm06560000260004001	image/tiff	42111588 Bytes	2527	5552	3690496147	RGB	8	600	asm06560000260004001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/38	38	39.jp2	/asm0656/image/39.jp2
Page 5																											asm0656000026						asm06560000260005001	image/tiff	42830076 Bytes	2566	5561	1529626148	RGB	8	600	asm06560000260005001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/39	39	40.jp2	/asm0656/image/40.jp2
Page 6																											asm0656000026						asm06560000260006001	image/tiff	42569392 Bytes	2560	5540	3954975049	RGB	8	600	asm06560000260006001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/40	40	41.jp2	/asm0656/image/41.jp2
Page 7																											asm0656000026						asm06560000260007001	image/tiff	44025102 Bytes	2556	5739	4129495221	RGB	8	600	asm06560000260007001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/41	41	42.jp2	/asm0656/image/42.jp2
Page 8																											asm0656000026						asm06560000260008001	image/tiff	36167460 Bytes	2279	5287	1060863519	RGB	8	600	asm06560000260008001.tif		2012-08-29	2012-08-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/42	42	43.jp2	/asm0656/image/43.jp2
Fighting Poverty: The Challenge to the American Jewish Community					A strategy conference for Jewish lay and professional leaders	American Jewish Committee; Civil rights -- United States -- History -- 20th century; Samet, Seymour, 1912-; Intergroup relations; Social action -- United States; Human rights; Jews -- United States -- History; United States -- Community Relations Service; United Jewish Appeal -- Federation of Jewish Philanthropies of New York	Pamphlets; Programs					1 booklet; 8 pages	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 2; Folder Title: Personal Papers: Brochures; Folder Date: n.d., 1952-1992						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0656000026	Text	2012-08-08					image/tiff										2012-10-29	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/43	43	44.cpd	/asm0656/image/44.cpd
Page 1																											asm0656000020						asm06560000200001001	image/tiff	62612908 Bytes	3764	5543	1624114295	RGB	8	600	asm06560000200001001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/44	44	45.jp2	/asm0656/image/45.jp2
Page 2																											asm0656000020						asm06560000200002001	image/tiff	62847364 Bytes	3772	5552	819655615	RGB	8	600	asm06560000200002001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/45	45	46.jp2	/asm0656/image/46.jp2
Page 3																											asm0656000020						asm06560000200003001	image/tiff	63584928 Bytes	3789	5592	4208778885	RGB	8	600	asm06560000200003001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/46	46	47.jp2	/asm0656/image/47.jp2
Page 4																											asm0656000020						asm06560000200004001	image/tiff	63422432 Bytes	3812	5544	1755732001	RGB	8	600	asm06560000200004001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/47	47	48.jp2	/asm0656/image/48.jp2
Unite with Humphrey Conference					United Democrats for Humphrey	Samet, Seymour, 1912-; Shoreham Hotel (Washington, D.C.); Humphrey, Hubert H., (Hubert Horatio), 1911-1978; Democratic Party (U.S.)	Programs		1968-04-27	1960-1970	Washington (D.C.)	1 program; 4 pages	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 2; Folder Title: Personal Papers: Brochures; Folder Date: n.d., 1952-1992						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0656000020	Text	2012-08-08					image/tiff										2012-10-29	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/48	48	49.cpd	/asm0656/image/49.cpd
Page 1																											asm0656000012						asm06560000120001001	image/tiff	42280508 Bytes	3195	4409	2508611558	RGB	8	600	asm06560000120001001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/49	49	50.jp2	/asm0656/image/50.jp2
Page 2																											asm0656000012						asm06560000120002001	image/tiff	43737524 Bytes	3252	4481	1610889293	RGB	8	600	asm06560000120002001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/50	50	51.jp2	/asm0656/image/51.jp2
Honoring Rabbi Joseph R. Narot					For distinguished service in "Advancing the Cause of Human Relations".	American Jewish Committee; American Jewish Committee. Miami Chapter; Civil rights -- United States -- History -- 20th century; Metropolitan Dade County (Florida). Community Relations Board; Miami (Florida) -- Race relations; Samet, Seymour, 1912-; United States -- Community Relations Service; Intergroup relations; Social action -- United States; Narot, Joseph, R.; Temple Israel of Greater Miami; American Jewish Committee -- Greater Miami Chapter; Dupont Plaza Hotel (Miami Beach, Florida)	Invitations		1965-11-28	1960-1970	Miami Beach (Florida)	1 invitation; 2 pages	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 2; Folder Title: Personal Papers: Brochures; Folder Date: n.d., 1952-1992						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0656000012	Text	2012-08-08					image/tiff										2012-10-29	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/51	51	52.cpd	/asm0656/image/52.cpd
Page 1																											asm0656000071						asm06560000710001001	image/tiff	100980258 Bytes	5100	6600	3799433772	RGB	8	600	asm06560000710001001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/52	52	53.jp2	/asm0656/image/53.jp2
Page 2																											asm0656000071						asm06560000710002001	image/tiff	97957732 Bytes	4938	6611	2243531511	RGB	8	600	asm06560000710002001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/53	53	54.jp2	/asm0656/image/54.jp2
Page 3																											asm0656000071						asm06560000710003001	image/tiff	101365516 Bytes	5045	6696	3791113165	RGB	8	600	asm06560000710003001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/54	54	55.jp2	/asm0656/image/55.jp2
Page 4																											asm0656000071						asm06560000710004001	image/tiff	100980258 Bytes	5100	6600	3290137095	RGB	8	600	asm06560000710004001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/55	55	56.jp2	/asm0656/image/56.jp2
Page 5																											asm0656000071						asm06560000710005001	image/tiff	99958092 Bytes	5061	6582	298271745	RGB	8	600	asm06560000710005001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/56	56	57.jp2	/asm0656/image/57.jp2
Page 6																											asm0656000071						asm06560000710006001	image/tiff	100980258 Bytes	5100	6600	396679868	RGB	8	600	asm06560000710006001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/57	57	58.jp2	/asm0656/image/58.jp2
Page 7																											asm0656000071						asm06560000710007001	image/tiff	100980258 Bytes	5100	6600	1632040407	RGB	8	600	asm06560000710007001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/58	58	59.jp2	/asm0656/image/59.jp2
Page 8																											asm0656000071						asm06560000710008001	image/tiff	100980258 Bytes	5100	6600	3471763364	RGB	8	600	asm06560000710008001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/59	59	60.jp2	/asm0656/image/60.jp2
Seymour Samet remarks at Greater Miami Chapter American Jewish Committee Annual Cocktail Party		Samet, Seymour, 1912-				Samet, Seymour, 1912-; Speeches, addresses, etc.; American Jewish Committee; American Jewish Committee. Miami Chapter	Documents		1962-04-15	1960-1970	Miami (Florida)	1 document; 8 pages	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 8; Folder Title: Personal Papers: Speeches/Writings; Folder Date: n.d, 1954-1957, 1959, 1962, 1964, 1965, 1967, 1968, 1979, 1982, 1983, 1984, 1987, 1990, 1995						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0656000071	Text	2012-08-08					image/tiff										2012-10-29	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/60	60	61.cpd	/asm0656/image/61.cpd
Page 1																											asm0656000077						asm06560000770001001	image/tiff	100980258 Bytes	5100	6600	3976011639	RGB	8	600	asm06560000770001001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/61	61	62.jp2	/asm0656/image/62.jp2
Page 2																											asm0656000077						asm06560000770002001	image/tiff	100980258 Bytes	5100	6600	2256870355	RGB	8	600	asm06560000770002001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/62	62	63.jp2	/asm0656/image/63.jp2
Page 3																											asm0656000077						asm06560000770003001	image/tiff	100980258 Bytes	5100	6600	3702642761	RGB	8	600	asm06560000770003001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/63	63	64.jp2	/asm0656/image/64.jp2
Page 4																											asm0656000077						asm06560000770004001	image/tiff	100980258 Bytes	5100	6600	620256899	RGB	8	600	asm06560000770004001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/64	64	65.jp2	/asm0656/image/65.jp2
Page 5																											asm0656000077						asm06560000770005001	image/tiff	100980258 Bytes	5100	6600	946888801	RGB	8	600	asm06560000770005001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/65	65	66.jp2	/asm0656/image/66.jp2
Page 6																											asm0656000077						asm06560000770006001	image/tiff	100980258 Bytes	5100	6600	544424038	RGB	8	600	asm06560000770006001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/66	66	67.jp2	/asm0656/image/67.jp2
Page 7																											asm0656000077						asm06560000770007001	image/tiff	100980258 Bytes	5100	6600	2965270725	RGB	8	600	asm06560000770007001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/67	67	68.jp2	/asm0656/image/68.jp2
Page 8																											asm0656000077						asm06560000770008001	image/tiff	100980258 Bytes	5100	6600	2255794207	RGB	8	600	asm06560000770008001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/68	68	69.jp2	/asm0656/image/69.jp2
Page 9																											asm0656000077						asm06560000770009001	image/tiff	100980258 Bytes	5100	6600	3990882861	RGB	8	600	asm06560000770009001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/69	69	70.jp2	/asm0656/image/70.jp2
Page 10																											asm0656000077						asm06560000770010001	image/tiff	100980258 Bytes	5100	6600	3122638745	RGB	8	600	asm06560000770010001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/70	70	71.jp2	/asm0656/image/71.jp2
Seymour Samet "Reflections: 1952-1987" address at 35th Annual Meeting, Dade County Chapter, American Jewish Committee					At Intercontinental Hotel	Samet, Seymour, 1912-; American Jewish Committee; American Jewish Committee. Dade County Chapter	Documents		1987-12-17	1980-1990	Miami (Florida)	1 document; 10 pages	eng		University of Miami Libraries. Special Collections.	Seymour Samet Papers	ASM0656	Series: I. Personal Papers	Box No. 1; Folder No. 8; Folder Title: Personal Papers: Speeches/Writings; Folder Date: n.d, 1954-1957, 1959, 1962, 1964, 1965, 1967, 1968, 1979, 1982, 1983, 1984, 1987, 1990, 1995						http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0656000077	Text	2012-08-08					image/tiff										2012-10-29	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/71	71	72.cpd	/asm0656/image/72.cpd
Page 1																											asm0656000001						asm06560000010001001	image/tiff	210781494 Bytes	5233	6712	3878020321	RGB	8	600	asm06560000010001001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/72	72	73.jp2	/asm0656/image/73.jp2
Page 2																											asm0656000001						asm06560000010002001	image/tiff	107643682 Bytes	5288	6784	1199529223	RGB	8	600	asm06560000010002001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/73	73	74.jp2	/asm0656/image/74.jp2
Page 3																											asm0656000001						asm06560000010003001	image/tiff	107424010 Bytes	5300	6755	4293482513	RGB	8	600	asm06560000010003001.tif		2012-08-14	2012-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0656/id/74	74	75.jp2	/asm0656/image/75.jp2
