Title	Translated title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 4																											asm0567000085						asm05670000850004001		19171448 Bytes	3351	1905	845110552	RGB	8	600	asm05670000850004001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2528	2528	2627.jp2	/asm0567/image/2627.jp2
F. Ramsden letter to Robert Ramsden, May 19, 1865		Ramsden, F.				Florida -- History; American letters -- 19th century; Warships -- Visits to foreign ports; Havana Bay (Cuba); Harbors -- Cuba -- Havana; Ramsden, F.; Ramsden, Robert;	Correspondence		1865-05-19	1860-1870	Havana (Cuba)	1 letter (2 pages); 1 envelope	eng		University of Miami Libraries. Special Collections.	Florida Documents Collection	ASM0567		Box No. 3; Folder No. 14; Folder Title: Ramsden, F.: Letter to Robert Ramsden, 1865			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0567000085	Text						image/tiff										2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2529	2529	2628.cpd	/asm0567/supp/2529/index.pdf
Page 1																											asm0567000022						asm05670000220001001		90644596 Bytes	4891	6176	2916229770	RGB	8	600	asm05670000220001001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2530	2530	2629.jp2	/asm0567/image/2629.jp2
Page 2																											asm0567000022						asm05670000220002001		91234320 Bytes	4942	6152	3402414262	RGB	8	600	asm05670000220002001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2531	2531	2630.jp2	/asm0567/image/2630.jp2
Richard Call letter about Seminole War to C. C. Clay, May 22, 1836		Call, Richard Keith, 1791-1862				Florida -- History; Seminole Indians -- Florida; Seminole Indians -- Wars; Call, R. K. (Richard Keith), 1791-1862; Florida. Governor (1836-1839 : Call); Clay, C. C.(Clement Claiborne), 1816-1882; American letters -- 19th century	Correspondence		1836-05-22	1830-1840	Tallahassee (Florida)	1 letter; 2 pages	eng		University of Miami Libraries. Special Collections.	Florida Documents Collection	ASM0567		Box No. 1; Folder No. 14; Folder Title: Call, Richard K.: Letter to C. C. Clay, 1836			jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0567000022	Text						image/tiff										2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2532	2532	2631.cpd	/asm0567/supp/2532/index.pdf
Page 1																											asm0567000141						asm05670001410001001		138576904 Bytes	8000	5773	3592365308	RGB	8	600	asm05670001410001001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2533	2533	2632.jp2	/asm0567/image/2632.jp2
Page 2																											asm0567000141						asm05670001410002001		139898768 Bytes	5828	8000	3146155639	RGB	8	600	asm05670001410002001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2534	2534	2633.jp2	/asm0567/image/2633.jp2
Page 3																											asm0567000141						asm05670001410003001		140954120 Bytes	5872	8000	3563102629	RGB	8	600	asm05670001410003001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2535	2535	2634.jp2	/asm0567/image/2634.jp2
Page 4																											asm0567000141						asm05670001410004001		139562300 Bytes	5814	8000	3228343972	RGB	8	600	asm05670001410004001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2536	2536	2635.jp2	/asm0567/image/2635.jp2
Page 5																											asm0567000141						asm05670001410005001		139731440 Bytes	5821	8000	1933603305	RGB	8	600	asm05670001410005001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2537	2537	2636.jp2	/asm0567/image/2636.jp2
Page 6																											asm0567000141						asm05670001410006001		140185360 Bytes	5840	8000	1987540613	RGB	8	600	asm05670001410006001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2538	2538	2637.jp2	/asm0567/image/2637.jp2
Page 7																											asm0567000141						asm05670001410007001		139008620 Bytes	5791	8000	2749064439	RGB	8	600	asm05670001410007001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2539	2539	2638.jp2	/asm0567/image/2638.jp2
Deed for land in the colony of West Florida, Pensacola				Deed reflects 28 soldiers selling their land in West Florida to Alexander Macullagh and Elihu Hall Bay. Signed by each soldier, Alexander Macullagh, Elihu Hall Bay, as well as the witnesses, William Marshall and H. Beaumont, and certified by Philip Livingston, Jr.	Deed signed and dated November 18, 1775.	Florida -- History; West Florida; Pensacola (Florida); Deeds -- West Florida; Real property -- West Florida; Macullagh, Alexander; Bay, Elihu Hall, 1754-1838	Deeds; Manuscripts; Documents		1775	1770-1780	West Florida; Pensacola (Florida)	1 original signed deed; 7 pages	eng		University of Miami Libraries. Special Collections.	Florida Documents Collection	ASM0567		Box No. 5; Folder No. 3; Folder Title: Deed for Land in the Colony of West Florida, Pensacola, 1775			lci			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0567000141	Text						image/tiff										2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2540	2540	2639.cpd	/asm0567/supp/2540/index.pdf
Page 1																											asm0567000050						asm05670000500001001		89264916 Bytes	4992	5959	1766052644	RGB	8	600	asm05670000500001001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2541	2541	2640.jp2	/asm0567/image/2640.jp2
Page 2																											asm0567000050						asm05670000500002001		90377768 Bytes	5039	5977	4010173943	RGB	8	600	asm05670000500002001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2542	2542	2641.jp2	/asm0567/image/2641.jp2
Page 3																											asm0567000050						asm05670000500003001		89834184 Bytes	4987	6003	2446234081	RGB	8	600	asm05670000500003001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2543	2543	2642.jp2	/asm0567/image/2642.jp2
Page 4																											asm0567000050						asm05670000500004001		89860320 Bytes	5001	5988	1767573028	RGB	8	600	asm05670000500004001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2544	2544	2643.jp2	/asm0567/image/2643.jp2
Washington Hood letter about journey from Pensacola to Tampa Bay to his sister, Mary E. Hood		Hood, Washington				Florida -- History; Florida -- Description and travel; Hood, Washington; Hood, Mary, E.; Philadelphia (Pennsylvania); Tampa Bay (Florida); Fort Saint Marks (Florida); American letters -- 19th century	Correspondence		1831-02-24	1830-1840	Saint Marks (Florida)	1 letter; 4 pages	eng		University of Miami Libraries. Special Collections.	Florida Documents Collection	ASM0567		Box No. 2; Folder No. 14; Folder Title: Hood, Wash.: Letter to Mary E. Wood (sister), 1831			jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0567000050	Text						image/tiff										2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2545	2545	2644.cpd	/asm0567/supp/2545/index.pdf
Page 1																											asm0567000100						asm05670001000001001		94587080 Bytes	5036	6259	2370703146	RGB	8	600	asm05670001000001001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2546	2546	2645.jp2	/asm0567/image/2645.jp2
Page 2																											asm0567000100						asm05670001000002001		93172156 Bytes	5004	6205	3056442194	RGB	8	600	asm05670001000002001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2547	2547	2646.jp2	/asm0567/image/2646.jp2
Nourse, Taylor & Brooks letter to Sullivan & Barbour, April 6, 1835		Nourse, Taylor & Brooks				Florida -- History; American letters -- 19th century; Sullivan & Barbour (Boston, Massachusetts); Nourse, Taylor & Brooks; Sullivan, John W.; Barbour, John N.;	Correspondence		1835-04-06	1830-1840	Apalachicola (Florida)	1 letter; 2 pages	eng		University of Miami Libraries. Special Collections.	Florida Documents Collection	ASM0567		Box No. 3; Folder No. 27; Folder Title: Taylor and Brooks: Letter to Sullivan and Barbour, Apalachicola, Florida, 1835			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0567000100	Text						image/tiff										2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2548	2548	2647.cpd	/asm0567/supp/2548/index.pdf
Page 1																											asm0567000026						asm05670000260001001		94031500 Bytes	4984	6287	3150699153	RGB	8	600	asm05670000260001001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2549	2549	2648.jp2	/asm0567/image/2648.jp2
Page 2																											asm0567000026						asm05670000260002001		93489624 Bytes	6312	4936	2320687705	RGB	8	600	asm05670000260002001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2550	2550	2649.jp2	/asm0567/image/2649.jp2
Benjamin Chaires letter to Sullivan and Barbour requesting a statement of monies due, December 2, 1835		Chaires, Benjamin				Florida -- History; Cotton; Chaires, Benjamin; Sullivan & Barbour (Boston, Massachusetts); American letters -- 19th century	Correspondence		1835-12-02	1830-1840	Tallahassee (Florida)	1 letter; 2 pages	eng		University of Miami Libraries. Special Collections.	Florida Documents Collection	ASM0567		Box No. 1; Folder No. 18; Folder Title: Chaires, Benjamin: Letter to Sullivan and Barbour , 1835			jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0567000026	Text						image/tiff										2012-05-13	2012-05-17	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2551	2551	2650.cpd	/asm0567/supp/2551/index.pdf
Page 1																											asm0567000020						asm05670000200001001		93714886 Bytes	5134	6083	3770749681	RGB	8	600	asm05670000200001001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2552	2552	2651.jp2	/asm0567/image/2651.jp2
Page 2																											asm0567000020						asm05670000200002001		95581986 Bytes	5197	6129	816998777	RGB	8	600	asm05670000200002001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2553	2553	2652.jp2	/asm0567/image/2652.jp2
Thomas Brown letter of acts of violence directed against Spanish subjects residing in Key West, December 13, 1851		Brown, Thomas				Florida -- History; Florida -- Race relations; Brown, Thomas; American letters -- 19th century; Key West (Florida)	Correspondence		1851-12-13	1850-1860	Tallahassee (Florida)	1 letter; 2 pages	eng		University of Miami Libraries. Special Collections.	Florida Documents Collection	ASM0567		Box No. 1; Folder No. 12; Folder Title: Brown, Thomas: "Acts of Violence at Key West Directed against Spanish Subjects", 1849-1853			jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0567000020	Text						image/tiff										2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2554	2554	2653.cpd	/asm0567/supp/2554/index.pdf
Page 1																											asm0567000047						asm05670000470001001		88503280 Bytes	4904	6014	868374299	RGB	8	600	asm05670000470001001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2555	2555	2654.jp2	/asm0567/image/2654.jp2
Page 2																											asm0567000047						asm05670000470002001		91033284 Bytes	4957	6120	834216085	RGB	8	600	asm05670000470002001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2556	2556	2655.jp2	/asm0567/image/2655.jp2
Page 3																											asm0567000047						asm05670000470003001		91158476 Bytes	5004	6071	1827164610	RGB	8	600	asm05670000470003001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2557	2557	2656.jp2	/asm0567/image/2656.jp2
B. H. Hill letter to Colonel Munroe		Hill, B. H.			Seminole Wars	Florida -- History; Hill, B. H.; Munroe, John, d. 1861; Tampa Bay (Florida); Seminole Indians -- Florida; Seminole Indians -- Wars; American letters -- 19th century	Correspondence		1855-12-25	1850-1860	Fort Dallas (Miami, Florida)	1 letter; 3 pages	eng		University of Miami Libraries. Special Collections.	Florida Documents Collection	ASM0567		Box No. 2; Folder No. 10; Folder Title: Hill, B. H.: Letter to Colonel Munroe, 1855			jrn			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0567000047	Text						image/tiff										2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2558	2558	2657.cpd	/asm0567/supp/2558/index.pdf
Page 1																											asm0567000071						asm05670000710001001		92648672 Bytes	4936	6255	136792794	RGB	8	600	asm05670000710001001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2559	2559	2658.jp2	/asm0567/image/2658.jp2
Page 2																											asm0567000071						asm05670000710002001		94367628 Bytes	4971	6326	3108252252	RGB	8	600	asm05670000710002001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2560	2560	2659.jp2	/asm0567/image/2659.jp2
Page 3																											asm0567000071						asm05670000710003001		95295276 Bytes	5048	6291	3187187020	RGB	8	600	asm05670000710003001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2561	2561	2660.jp2	/asm0567/image/2660.jp2
Page 4																											asm0567000071						asm05670000710004001		93459740 Bytes	4981	6253	1497690647	RGB	8	600	asm05670000710004001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2562	2562	2661.jp2	/asm0567/image/2661.jp2
Letter sent to Edwin A. Morgan, December 29, 1838						Florida -- History; Disentery; Ocklawaha River (Florida); Alabama; Calhoun (Tennessee); Morgan, Edwin A.; Seminole War, 2nd, 1835-1842;	Correspondence		1838	1830-1840	Florida	1 letter; 4 pages	eng		University of Miami Libraries. Special Collections.	Florida Documents Collection	ASM0567		Box No. 3; Folder No. 3; Folder Title: Morgan, Lieutenant Edwin A. (addressee): Letter, Garey's Ferry, East Florida, 1838			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0567000071	Text						image/tiff										2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2563	2563	2662.cpd	/asm0567/supp/2563/index.pdf
Page 1																											asm0567000012						asm05670000120001001		24399540 Bytes	2202	3690	1825987665	RGB	8	600	asm05670000120001001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2564	2564	2663.jp2	/asm0567/image/2663.jp2
Page 2																											asm0567000012						asm05670000120002001		21816956 Bytes	1956	3714	2887832210	RGB	8	600	asm05670000120002001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2565	2565	2664.jp2	/asm0567/image/2664.jp2
Page 3																											asm0567000012						asm05670000120003001		20549548 Bytes	1879	3641	1855012784	RGB	8	600	asm05670000120003001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2566	2566	2665.jp2	/asm0567/image/2665.jp2
Page 4																											asm0567000012						asm05670000120004001		21075112 Bytes	1908	3678	184850361	RGB	8	600	asm05670000120004001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2567	2567	2666.jp2	/asm0567/image/2666.jp2
Page 5																											asm0567000012						asm05670000120005001		21882496 Bytes	1992	3658	487398298	RGB	8	600	asm05670000120005001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2568	2568	2667.jp2	/asm0567/image/2667.jp2
Page 6																											asm0567000012						asm05670000120006001		21311400 Bytes	1920	3696	2526470748	RGB	8	600	asm05670000120006001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2569	2569	2668.jp2	/asm0567/image/2668.jp2
Page 7																											asm0567000012						asm05670000120007001		21337360 Bytes	1942	3658	2596905565	RGB	8	600	asm05670000120007001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2570	2570	2669.jp2	/asm0567/image/2669.jp2
Page 8																											asm0567000012						asm05670000120008001		20990064 Bytes	1889	3700	1964724044	RGB	8	600	asm05670000120008001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2571	2571	2670.jp2	/asm0567/image/2670.jp2
Page 9																											asm0567000012						asm05670000120009001		21671028 Bytes	1962	3678	1301101391	RGB	8	600	asm05670000120009001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2572	2572	2671.jp2	/asm0567/image/2671.jp2
Page 10																											asm0567000012						asm05670000120010001		21786736 Bytes	1930	3759	3422094872	RGB	8	600	asm05670000120010001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2573	2573	2672.jp2	/asm0567/image/2672.jp2
Page 11																											asm0567000012						asm05670000120011001		21841336 Bytes	1953	3724	38470637	RGB	8	600	asm05670000120011001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2574	2574	2673.jp2	/asm0567/image/2673.jp2
Page 12																											asm0567000012						asm05670000120012001		21042416 Bytes	1917	3655	3795601588	RGB	8	600	asm05670000120012001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2575	2575	2674.jp2	/asm0567/image/2674.jp2
Page 13																											asm0567000012						asm05670000120013001		21208692 Bytes	1918	3682	2673077772	RGB	8	600	asm05670000120013001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2576	2576	2675.jp2	/asm0567/image/2675.jp2
Page 14																											asm0567000012						asm05670000120014001		21458384 Bytes	1944	3675	2342179810	RGB	8	600	asm05670000120014001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2577	2577	2676.jp2	/asm0567/image/2676.jp2
Page 15																											asm0567000012						asm05670000120015001		22442688 Bytes	2019	3701	2258287619	RGB	8	600	asm05670000120015001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2578	2578	2677.jp2	/asm0567/image/2677.jp2
Page 16																											asm0567000012						asm05670000120016001		21536872 Bytes	1944	3689	1290385314	RGB	8	600	asm05670000120016001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2579	2579	2678.jp2	/asm0567/image/2678.jp2
Page 17																											asm0567000012						asm05670000120017001		21828784 Bytes	1986	3660	2371221617	RGB	8	600	asm05670000120017001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2580	2580	2679.jp2	/asm0567/image/2679.jp2
Page 18																											asm0567000012						asm05670000120018001		22665892 Bytes	2016	3744	874772467	RGB	8	600	asm05670000120018001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2581	2581	2680.jp2	/asm0567/image/2680.jp2
Page 19																											asm0567000012						asm05670000120019001		21545752 Bytes	1938	3702	2170862357	RGB	8	600	asm05670000120019001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2582	2582	2681.jp2	/asm0567/image/2681.jp2
Page 20																											asm0567000012						asm05670000120020001		22891316 Bytes	2070	3682	940809155	RGB	8	600	asm05670000120020001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2583	2583	2682.jp2	/asm0567/image/2682.jp2
Page 21																											asm0567000012						asm05670000120021001		20968844 Bytes	1920	3636	4220631728	RGB	8	600	asm05670000120021001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2584	2584	2683.jp2	/asm0567/image/2683.jp2
Page 22																											asm0567000012						asm05670000120022001		21510344 Bytes	1944	3684	296694105	RGB	8	600	asm05670000120022001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2585	2585	2684.jp2	/asm0567/image/2684.jp2
Page 23																											asm0567000012						asm05670000120023001		21155028 Bytes	1931	3648	3802347955	RGB	8	600	asm05670000120023001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2586	2586	2685.jp2	/asm0567/image/2685.jp2
Page 24																											asm0567000012						asm05670000120024001		21654648 Bytes	1951	3696	55646028	RGB	8	600	asm05670000120024001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2587	2587	2686.jp2	/asm0567/image/2686.jp2
Page 25																											asm0567000012						asm05670000120025001		21040556 Bytes	1914	3660	257471754	RGB	8	600	asm05670000120025001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2588	2588	2687.jp2	/asm0567/image/2687.jp2
Page 26																											asm0567000012						asm05670000120026001		22236536 Bytes	1997	3708	3360985468	RGB	8	600	asm05670000120026001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2589	2589	2688.jp2	/asm0567/image/2688.jp2
Page 27																											asm0567000012						asm05670000120027001		21841260 Bytes	1974	3684	3698979497	RGB	8	600	asm05670000120027001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2590	2590	2689.jp2	/asm0567/image/2689.jp2
Page 28																											asm0567000012						asm05670000120028001		22380260 Bytes	2016	3697	284868493	RGB	8	600	asm05670000120028001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2591	2591	2690.jp2	/asm0567/image/2690.jp2
Page 29																											asm0567000012						asm05670000120029001		22114092 Bytes	1986	3708	2912782786	RGB	8	600	asm05670000120029001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2592	2592	2691.jp2	/asm0567/image/2691.jp2
Page 30																											asm0567000012						asm05670000120030001		23012080 Bytes	2042	3753	4003634458	RGB	8	600	asm05670000120030001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2593	2593	2692.jp2	/asm0567/image/2692.jp2
Page 31																											asm0567000012						asm05670000120031001		21126104 Bytes	1925	3654	3535809379	RGB	8	600	asm05670000120031001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2594	2594	2693.jp2	/asm0567/image/2693.jp2
Page 32																											asm0567000012						asm05670000120032001		22777700 Bytes	2087	3634	2164830404	RGB	8	600	asm05670000120032001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2595	2595	2694.jp2	/asm0567/image/2694.jp2
Page 33																											asm0567000012						asm05670000120033001		22314052 Bytes	2004	3708	2594229354	RGB	8	600	asm05670000120033001.tif		2012-05-13	2012-05-13	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0567/id/2596	2596	2695.jp2	/asm0567/image/2695.jp2
