Title	Photographer	Summary	Note	Subject	Genre	Publisher	Date	Coverage	State	County	City	Place	Physical Description	Repository	Collection Title	Collection No.	Series	Container	Copyright	Digital ID	Type	Format	Width	Height	Checksum	BitDepth	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Lincoln Road Mall, Miami Beach, Florida	Rubel, B. Amadeus	"Night scene of the Fabulous new Lincoln Road Mall, built at a cost of $600,000.00, Miami Beach, Florida." --Caption on verso.	Inscription on verso. Postmark: Jun 20, 1964. 694.	Lincoln Road (Miami Beach, Fla.); Streets; Shopping centers; Central business districts	Postcards;Aerial views;Night photographs	Pan American Pub. Corp.		1960s	Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002640001001	Still Image	image/tiff	1023	665	0xE7902E0D	24bit color	asm02990002640001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/603	603	853.jpg	/asm0299/image/853.jpg
Coral Gables City Hall, Florida		Coral Gables City Hall as viewed from the east.	Coral Gables City Hall was designed in 1927 in the Mediterranean Revival style by local architect Phineas Paist and artistic advisor Denman Fink. The building is constructed largely of coral rock and features three stories made from limestone quarried from Venetian Pool, a classic tile roof, and three stage clock tower. It is listed on the National Register of Historic Places. On verso: Tichnor quality views. 494.	City Hall (Coral Gables, Fla.)	Postcards	Miami Post Card Co.; Tichnor Bros., Inc.			Florida	Miami-Dade county	Coral Gables		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 1, Folder Title: Coral Gables.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002800001001	Still Image	image/tiff	1023	658	0xCAB4A119	24bit color	asm02990002800001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/604	604	867.jpg	/asm0299/image/867.jpg
Mediterranean type residence in Miami Beach, Florida		View of Mediterranean Revival type architecture with red roofs, palm trees, and foliage.		Architecture, Domestic; Flowers	Postcards	Thomas R. West; Curt Teich and Co.			Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002590001001	Still Image	image/tiff	1023	665	0xE4C05064	24bit color	asm02990002590001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/605	605	848.jpg	/asm0299/image/848.jpg
Miami, Florida: palm lined Biscayne Boulevard, looking north, with Biscayne Bay and the docks in the distance		Aerial view of Biscayne Boulevard with traffic, docks, and a distant causeway. The name of the Everglades Hotel is prominent.	Inscription on verso dated Feb 1961. P34472.	Streets; Everglades Hotel (Miami, Fla.); Hotels; Central business districts; City traffic; Biscayne Boulevard (Miami, Fla.); Causeways	Postcards;Aerial views	Colourpicture Publishers, Inc.; Plastichrome of Florida, Inc.		1960s	Florida	Miami-Dade county	Miami	Biscayne Bay	1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000020001001	Still Image	image/tiff	1023	689	0x10F00A11	24bit color	asm02990000020001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/606	606	595.jpg	/asm0299/image/595.jpg
Shore Park Hotel, Miami Beach, Florida, overlooking Lummus Park and Ocean		"Shore Park Hotel, 820 Ocean Drive, Miami Beach, Florida. Ideal location ... Beach 250 feet from our door ... Surf bathing from your room ... Fifty rooms with combination tub and shower baths ... Comfortable and homelike." --Caption on verso.	Inscription on verso. Postmark: Oct 1939. "C.T. Photo-Colorit." 5A-H1713.	Shore Park Hotel (Miami Beach, Fla.); Hotels; Seaside resorts; Art Deco Historic District (Miami Beach, Fla.); Color in architecture; Ocean Drive (Miami Beach, Fla.)	Postcards	Curt Teich and Co.		1930s	Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001480001001	Still Image	image/tiff	1023	687	0x50078C77	24bit color	asm02990001480001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/607	607	740.jpg	/asm0299/image/740.jpg
The new Shore Club Hotel - Pool - Cabana Club		"Shore Club Hotel. Private beach, pool and cabana colony on the Ocean at 19th Street, Miami Beach 39, Florida. 226 air conditioned rooms. Open year round." --Caption on verso.	Re-designed by minimalist British architect David Chipperfield, from the original 1949 Shore Club and the 1939 Sharalton hotels on Collins Avenue, it opened in summer 2001 as an Art Deco restoration with classic modern interiors.	Shore Club Hotel (Miami Beach, Fla.); Hotels; Seaside resorts; Seaside architecture; Swimming pools; Suntan; Bathing suits	Postcards	A. D. Weiss Lithograph Co.			Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001440001001	Still Image	image/tiff	495	768	0x95E27807	24bit color	asm02990001440001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/608	608	736.jpg	/asm0299/image/736.jpg
Bayfront Park, Miami, Florida		Bayfront Park in downtown Miami. The Freedom Tower is in the distance to the right.	Hand-colored post card. 1313M.	Bayfront Park (Miami, Fla.); Parks; Freedom Tower (Miami, Fla.)	Postcards	Sunny Scenes, Inc.			Florida	Miami-Dade county	Miami		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002650001001	Still Image	image/tiff	1023	650	0xB2F24D60	24bit color	asm02990002650001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/609	609	854.jpg	/asm0299/image/854.jpg
Doral Hotel, aerial view		"The most prestigious hotel on Miami Beach ... Doral On-the-Ocean." --Caption on verso.	Later known as the Doral Ocean Beach Resort, at 4833 Collins Avenue, the Doral featured a marina, heliport, and Aqua Sports Center with its other luxuries. The Doral was sold in 1996 and thereafter renovated, briefly as the Westin Resort, and then as the Wyndham Miami Beach Resort.	Doral On-The-Ocean (Miami Beach, Fla.); Hotels; Seaside resorts; Seaside architecture	Postcards;Aerial views				Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000690001001	Still Image	image/tiff	1023	696	0x1373E19E	24bit color	asm02990000690001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/610	610	662.jpg	/asm0299/image/662.jpg
The Casino, Sunday morning, Miami Beach, Florida		"This scene is at one of the beautiful casinos that are found on the ocean at Miami. Thousands enjoy the surf-bathing here throughout the winter, as there is never a day in the entire year that surf-bathing cannot be enjoyed. The winter temperature of the water is 74º, its even temperature being caused by the nearness to the Gulf Stream." --Caption on verso.	Inscription on verso. Postmark: 1925. 29054N-15.	Seaside resorts; Casinos; Seaside architecture; Roman Pools (Miami Beach, Fla.)	Postcards	E. C. Kropp Co.		1920s	Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002520001001	Still Image	image/tiff	1022	659	0x40AF70FA	24bit color	asm02990002520001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/611	611	841.jpg	/asm0299/image/841.jpg
Flagler Street looking west, Miami, Florida		View of Flagler with the Olympia Theater and Office Building, Fairfax, Halcyon, and Ponce de Leon Hotels, the First Presbyterian Church (built in 1900 by Henry M. Flagler), the Paramount (a single-screen cinema house at 257 East Flagler Street), and the Holsum.	The Biscayne Building, at 19 West Flagler Street was built in 1925. The Miami-Dade County Courthouse was built in 1928 by architects A. Ten Eyck Brown and August Geiger; it was listed on the National Register of Historic Places in 1989. The Mediterranean Revival-style Olympia Theater and Office Building, at 174 East Flagler Street, was built in 1925 by the John Eberson/George A. Fuller Co. The Olympia Theater later became the Gusman Center for the Performing Arts; it was listed in the National Register of Historic Places in 1984. M-256. Inscription on verso. Postmark: Feb 1939.	Flagler Street (Miami, Fla.); Streets; City traffic; Central business districts; Color in architecture	Postcards	Thomas R. West; Curt Teich and Co.		1930s	Florida	Miami-Dade county	Miami		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001900001001	Still Image	image/tiff	1023	675	0x7A709033	24bit color	asm02990001900001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/612	612	782.jpg	/asm0299/image/782.jpg
Americana, the hotel of the Americas, Bal Harbour, Miami Beach		"Americana, Oceanfront at 97th Street, Bal Harbour, Miami Beach. One of the world's most famous resort hotels ... the magnificent Americana features the award-winning cuisine of the Gaucho Steak House, Dominion Coffee House, Bal Masque Supper Club and Carioca Lounge. An outdoor pool and all-weather enclosed pool are part of the delightful cabana and garden area." --Caption on verso.	Postmark: 1968. Curteichcolor 3-D natural color reproduction.	Americana Hotel (Miami Beach, Fla.); Hotels; Seaside resorts	Postcards;Aerial views	Curt Teich and Co.		1960s	Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000350001001	Still Image	image/tiff	1023	681	0xB6458847	24bit color	asm02990000350001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/613	613	628.jpg	/asm0299/image/628.jpg
One of the wading pools, Rare Bird Farm, Miami, Fl.		"Coral colored flamingos, white and black swans, currasow, green and blue peacocks all share one of the beautifully landscaped wading pools at Miami's Rare Bird Farm, ten miles south on U. S. No. 1." --Caption on verso.	The Miami Rare Bird Farm, a working breeding farm as well as tourist attraction, was located south of Miami on US 1 at Kendall Drive (88th Street). D. C. 3. Inscription on verso, dated Feb. 10, 1953.	Rare Bird Farm (Miami, Fla.); Flamingos; Swans; Curassows; Peacocks; Wildlife-related recreation; Tourist attractions	Postcards	Gulf Stream Card and Distributing Co.; Curt Teich and Co.		1950s	Florida	Miami-Dade county	South Miami		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000160001001	Still Image	image/tiff	1023	685	0x10AA6E1E	24bit color	asm02990000160001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/614	614	609.jpg	/asm0299/image/609.jpg
Bit of old Spain in Miami, Florida	Romer, Gleason Waite, 1887-1971	Photo of a Spanish-style house, with a Florida pine in the courtyard and two white goats on the roof. The windows appear to be barred with wooden hurricane shutters.	"Typical of many a quaint spot in Miami is this bit of Old Spain. Here are scenes of warmth and beauty, a land of balmy sunshine under the solemnly towering pines." -- Caption on verso.  Inscription on verso: Made by Tichnor at Boston, Mass., U.S.A. 6O675.	Architecture, Domestic -- Spanish influences	Postcards	Standard Drug and Sundry Co.; Tichnor Bros., Inc.			Florida	Miami-Dade county	Miami		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000080001001	Still Image	image/tiff	508	768	0x380FEC5F	24bit color	asm02990000080001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/615	615	601.jpg	/asm0299/image/601.jpg
Fleetwood and Floridian Hotels from Star Island, Miami Beach, Florida		"Miami's Hotels are world famed. Their breath taking beauty not only rivals - but because of Florida's glamorous setting - by far out does the best Europe has to offer." --Caption on verso.	The Floridian Hotel (built 1925), later the Biscaya Hotel, at 650 West Avenue, was demolished in 1987 and replaced with a high-rise condominium. Inscription on verso. Postmark: Aug 1940.  12. 65125.	Fleetwood Hotel (Miami Beach, Fla.); Floridian Hotel (Miami Beach, Fla.); Hotels; Art deco (Architecture); Mediterranean Revival	Postcards	Tichnor Bros., Inc.		1940s	Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000810001001	Still Image	image/tiff	1023	691	0x42A9CC74	24bit color	asm02990000810001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/616	616	674.jpg	/asm0299/image/674.jpg
Clyde Court Apartment Hotel		"Clyde Court Apt.-Hotel, cor. S.E. 1st Ave. and 2nd St., Miami, Florida. Located in the Exclusive Apartment House Section in Downtown Miami." --Caption on verso.	The postmark reads: "Buy war savings bonds and stamps. Oct 19, 1943."	Clyde Court Apartment Hotel (Miami, Fla.); Hotels; Apartment houses	Postcards		ca. 1943	1940s					1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 3, Folder Title: Miami.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000090001001	Still Image	image/tiff	1023	683	0x204997E5	24bit color	asm02990000090001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/617	617	602.jpg	/asm0299/image/602.jpg
Le Jeune Road at Coral Gables, Miami, Florida		Early view of a single automobile driving along Le Jeune Road, which is a major north-south street (SW 42nd Ave.) in Coral Gables.		Le Jeune Road (Coral Gables, Fla.); Streets	Postcards				Florida	Miami-Dade county	Coral Gables		1 postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  II Florida, A-Z (except Miami Beach)	Box No.: 1, Folder Title: Coral Gables.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002360001001	Still Image	image/tiff	479	768	0x2FBD205B	24bit color	asm02990002360001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/618	618	825.jpg	/asm0299/image/825.jpg
The Sands Hotel and Apts.		"On the oceanfront at Lincoln Road. 152 luxurious rooms, efficiencies and apts. - 300 ft. of white-sand private beach - Olympic size fresh water pool - Solaria - Nightly entertainment in the intimate Jamboree Lounge - Open year 'round - Radio in every room." --Caption on verso.	The Sands Hotel, built by architect Roy France in 1939, was demolished in 1992. Inscription on verso. Postmark: Apr 1962.	Sands Hotel (Miami Beach, Fla.); Hotels; Apartment houses; Swimming pools; Suntan; Art Deco Historic District (Miami Beach, Fla.)	Postcards			1960s	Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990001400001001	Still Image	image/tiff	491	768	0x11780C35	24bit color	asm02990001400001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/619	619	732.jpg	/asm0299/image/732.jpg
The Crown Hotel		"A full oceanfront block 40-41st Sts., Miami Beach, Fla. In the fashionable 40s. Completely air conditioned and heated - Olympic size Swimming Pool - Dining Room - Solaria - Steam Bath - Night Club." --Caption on verso.	Originally known as the Lord Tarleton Hotel, the 14-floor building was completed in 1940 by architect V. H. Nellenbogen. Later the property became the kosher hotel Ramada Resort Miami Beach, and ca. 2005 was purchased to be refurbished into luxury rental apartments.	Crown Hotel (Miami Beach, Fla.); Hotels; Art deco (Architecture); Seaside resorts	Postcards	National Color Card Corp.			Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach -- Hotels.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990000640001001	Still Image	image/tiff	504	768	0xE57C77C0	24bit color	asm02990000640001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/620	620	657.jpg	/asm0299/image/657.jpg
Mt. Sinai Hospital, Miami Beach, Florida		Aerial view of Mount Sinai Hospital and grounds at Miami Beach.	Inscription on verso: "Tichnor quality views."	Mount Sinai Hospital (Miami Beach, Fla.); Hospital architecture	Postcards;Aerial views	Miami Post Card Co.; Tichnor Bros., Inc.			Florida	Miami-Dade county	Miami Beach		1 color postcard	University of Miami.  Special Collections Division.	Florida Postcard Collection	ASM0299	Series:  III Miami Beach	Box No.: 9, Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html	asm02990002610001001	Still Image	image/tiff	1023	655	0x3A0EF1DA	24bit color	asm02990002610001001.tif		2006-11-10	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0299/id/621	621	850.jpg	/asm0299/image/850.jpg
