Title	Creator	Contibutors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Rights	Copyright	Editor	Attention	Object No.	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
La industria cubana de impregnación y preservación de maderas de presión : breve estudio económico de carácter preliminar	Arredondo Gutiérrez, Alberto		Typescript report on the development of the wood preservation industry in Cuba	On cover: "Beneficios que a la economía cubana y a cualquier hombre o empresa -- le habría de reportar PONER EN MARCHA LOS EQUIPOS ACABADOS DE INSTALAR POR -- MADERAS IMPREGNADAS, S.A." Handwritten: "Forestal" and "1a minuta"	Maderas Impregnadas S.A.; Wood -- Preservation -- Cuba; Lumber -- Preservation -- Cuba	Typescripts		1958-08-25	1950-1960	Havana (Cuba)	1 typewritten document	spa	University of Miami Libraries. Cuban Heritage Collection	Alberto Arrendondo Papers.	CHC0015	Series II.  Works by Alberto Arredondo, n.d., 1957-1965. Sub-series B. Published Works.	Box No. 2;  Folder No. 3;  Folder Title: La Industria Cubana de Impregnación y Preservación de Maderas de Presión: Breve estudio económico de carácter preliminar;  Folder Date: 1958					http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000009		Text	image/tiff			000009									2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/130	130	131.cpd	/chc0015/image/131.cpd
Cover												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060001001	Text	image/tiff					3296	4222	0xDF945212			00150000060001001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/210	210	211.jp2	/chc0015/image/211.jp2
Title page												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060002001	Text	image/tiff					3296	4207	0xC1491903			00150000060002001.tif		2006-12-10	2008-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/211	211	212.jp2	/chc0015/image/212.jp2
Page 1												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060003001	Text	image/tiff					3269	4195	0xC6F95511			00150000060003001.tif		2006-12-10	2008-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/212	212	213.jp2	/chc0015/image/213.jp2
Page 2												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060004001	Text	image/tiff					3281	4207	0xF5A404CF			00150000060004001.tif		2006-12-10	2008-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/213	213	214.jp2	/chc0015/image/214.jp2
Page 3												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060005001	Text	image/tiff					3281	4222	0x358B10CC			00150000060005001.tif		2006-12-10	2008-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/214	214	215.jp2	/chc0015/image/215.jp2
Page 4												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060006001	Text	image/tiff					3296	4207	0xBD77D5C1			00150000060006001.tif		2006-12-10	2008-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/215	215	216.jp2	/chc0015/image/216.jp2
Page 5												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060007001	Text	image/tiff					3269	4222	0x6C563811			00150000060007001.tif		2006-12-10	2008-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/216	216	217.jp2	/chc0015/image/217.jp2
Page 6												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060008001	Text	image/tiff					3307	4195	0xDE68409E			00150000060008001.tif		2006-12-10	2008-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/217	217	218.jp2	/chc0015/image/218.jp2
Page 7												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060009001	Text	image/tiff					3269	4207	0xD631364			00150000060009001.tif		2006-12-10	2008-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/218	218	219.jp2	/chc0015/image/219.jp2
Page 8												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060010001	Text	image/tiff					3322	4180	0xC9E09EC4			00150000060010001.tif		2006-12-10	2008-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/219	219	220.jp2	/chc0015/image/220.jp2
Page 9												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060011001	Text	image/tiff					3307	4222	0x33E5E8AF			00150000060011001.tif		2006-12-10	2008-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/220	220	221.jp2	/chc0015/image/221.jp2
Page 10												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060012001	Text	image/tiff					3307	4222	0xDAFDE489			00150000060012001.tif		2006-12-10	2008-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/221	221	222.jp2	/chc0015/image/222.jp2
Page 11												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060013001	Text	image/tiff					3307	4222	0xEB435483			00150000060013001.tif		2006-12-10	2008-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/222	222	223.jp2	/chc0015/image/223.jp2
Page 12												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060014001	Text	image/tiff					3281	4180	0x90DDC0DF			00150000060014001.tif		2006-12-10	2008-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/223	223	224.jp2	/chc0015/image/224.jp2
Page 13												spa									http://merrick.library.miami.edu/digitalprojects/copyright.html		jmc		0015000006	00150000060015001.tif	Text	image/tiff					3269	4195	0x30742C11			00150000060015001.tif		2006-12-10	2008-02-08	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/224	224	225.jp2	/chc0015/image/225.jp2
El Negro cubano socio-económicamente considerado	Arredondo Gutiérrez, Alberto	Fernández, Huver	Typescript report on the social and economic conditions of Blacks in Cuba, prepared for the 1. Symposium Nacional de Recursos Naturales de Cuba, held Feb. 3-14, 1958	On cover: SRNC/XI/TA, enero 1958. Recursos socioeconómicos. Cualidades psicofíscas del potencial humano por razones étnicas y evolutivo-históricas. Colaboración en estadísticas de Huver Fernández.  Stamp (mark) on cover:  Alberto Arredondo	Blacks -- Cuba -- Social conditions; Blacks -- Cuba -- Economic conditions	Typescripts		1958-02	1950-1960	Havana (Cuba)	1 document	spa	University of Miami Libraries. Cuban Heritage Collection	Alberto Arrendondo Papers.	CHC0015	Series II. Works by Alberto Arredondo, n.d., 1957-1965. Sub-series B.  Published Works. Sub-sub-series 1. I Symposium Nacional de Recursos Naturales de Cuba.	Box No. 2; Folder No. 5; Folder Title: El Negro Cubano Socio-Económicamente Considerado; Folder Date: 1958					http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000006		Text	image/tiff			000006									2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/225	225	226.cpd	/chc0015/image/226.cpd
Cover												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030001001	Text	image/tiff					3229	4224	0xC4218409			00150000030001001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/226	226	227.jp2	/chc0015/image/227.jp2
Title page												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030002001	Text	image/tiff					3258	4195	0xD1BBE817			00150000030002001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/227	227	228.jp2	/chc0015/image/228.jp2
Page Blank												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030003001	Text	image/tiff					3243	4180	0xA123A1DB			00150000030003001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/228	228	229.jp2	/chc0015/image/229.jp2
Page 1												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030004001	Text	image/tiff					3283	4247	0xCCE47A5A			00150000030004001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/229	229	230.jp2	/chc0015/image/230.jp2
Page 2												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030005001	Text	image/tiff					3258	4207	0x6701ED0B			00150000030005001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/230	230	231.jp2	/chc0015/image/231.jp2
Page 3												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030006001	Text	image/tiff					3258	4195	0xD84671EA			00150000030006001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/231	231	232.jp2	/chc0015/image/232.jp2
Page 4												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030007001	Text	image/tiff					3267	4273	0x8F9D398E			00150000030007001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/232	232	233.jp2	/chc0015/image/233.jp2
Page 5												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030008001	Text	image/tiff					3258	4180	0x82B103C5			00150000030008001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/233	233	234.jp2	/chc0015/image/234.jp2
Page 6												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030009001	Text	image/tiff					3256	4262	0x2BF39739			00150000030009001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/234	234	235.jp2	/chc0015/image/235.jp2
Page 7												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030010001	Text	image/tiff					3243	4195	0x329CB28C			00150000030010001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/235	235	236.jp2	/chc0015/image/236.jp2
Page 8												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030011001	Text	image/tiff					3243	4180	0x4B095D89			00150000030011001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/236	236	237.jp2	/chc0015/image/237.jp2
Page 9												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030012001	Text	image/tiff					3283	4247	0xEC39BB6C			00150000030012001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/237	237	238.jp2	/chc0015/image/238.jp2
Page 10												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030013001	Text	image/tiff					3269	4195	0xBFAAF7F1			00150000030013001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/238	238	239.jp2	/chc0015/image/239.jp2
Page 11												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030014001	Text	image/tiff					3283	4247	0xE2BAD7E6			00150000030014001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/239	239	240.jp2	/chc0015/image/240.jp2
Page 12												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030015001	Text	image/tiff					3243	4180	0xA2E9F338			00150000030015001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/240	240	241.jp2	/chc0015/image/241.jp2
Page 13												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030016001	Text	image/tiff					3258	4180	0xCA2EB9E3			00150000030016001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/241	241	242.jp2	/chc0015/image/242.jp2
Page 14												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030017001	Text	image/tiff					3258	4195	0x89F1C20C			00150000030017001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/242	242	243.jp2	/chc0015/image/243.jp2
Page 15												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030018001	Text	image/tiff					3258	4180	0x3334A328			00150000030018001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/243	243	244.jp2	/chc0015/image/244.jp2
Page 16												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030019001	Text	image/tiff					3243	4195	0xFA7BB8BF			00150000030019001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/244	244	245.jp2	/chc0015/image/245.jp2
Page 17												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030020001	Text	image/tiff					3243	4195	0xC00532D0			00150000030020001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/245	245	246.jp2	/chc0015/image/246.jp2
Page 18												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030021001	Text	image/tiff					3258	4180	0xFECFEC52			00150000030021001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/246	246	247.jp2	/chc0015/image/247.jp2
Page 19												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030022001	Text	image/tiff					3258	4195	0x48A86B87			00150000030022001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/247	247	248.jp2	/chc0015/image/248.jp2
Page 20												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030023001	Text	image/tiff					3269	4180	0x8021DC64			00150000030023001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/248	248	249.jp2	/chc0015/image/249.jp2
Page 21												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030024001	Text	image/tiff					3243	4195	0x5458684B			00150000030024001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/249	249	250.jp2	/chc0015/image/250.jp2
Page 22												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030025001	Text	image/tiff					3258	4195	0x66523915			00150000030025001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/250	250	251.jp2	/chc0015/image/251.jp2
Page 23												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030026001	Text	image/tiff					3310	4235	0x45C4EC59			00150000030026001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/251	251	252.jp2	/chc0015/image/252.jp2
Page 24												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030027001	Text	image/tiff					3258	4180	0x385A0972			00150000030027001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/252	252	253.jp2	/chc0015/image/253.jp2
Page 25												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030028001	Text	image/tiff					3258	4180	0x61941794			00150000030028001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/253	253	254.jp2	/chc0015/image/254.jp2
Page 26												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030029001	Text	image/tiff					3267	4247	0x868A2F88			00150000030029001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/254	254	255.jp2	/chc0015/image/255.jp2
Page 27												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030030001	Text	image/tiff					3269	4180	0x1B8415AE			00150000030030001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/255	255	256.jp2	/chc0015/image/256.jp2
Page 28												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030031001	Text	image/tiff					3283	4262	0xF2486A9F			00150000030031001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/256	256	257.jp2	/chc0015/image/257.jp2
Page 29												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030032001	Text	image/tiff					3269	4207	0x4C1BBBC7			00150000030032001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/257	257	258.jp2	/chc0015/image/258.jp2
Page 30												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030033001	Text	image/tiff					3258	4207	0xC3D69339			00150000030033001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/258	258	259.jp2	/chc0015/image/259.jp2
Page 31												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030034001	Text	image/tiff					3258	4207	0xF49312			00150000030034001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/259	259	260.jp2	/chc0015/image/260.jp2
Page 32												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030035001	Text	image/tiff					3243	4222	0xF67F5063			00150000030035001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/260	260	261.jp2	/chc0015/image/261.jp2
Page 33												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030036001	Text	image/tiff					3243	4195	0x44BB670F			00150000030036001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/261	261	262.jp2	/chc0015/image/262.jp2
Page 34												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030037001	Text	image/tiff					3258	4207	0xCF4914BE			00150000030037001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/262	262	263.jp2	/chc0015/image/263.jp2
Page 35												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030038001	Text	image/tiff					3258	4207	0xCCC73C42			00150000030038001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/263	263	264.jp2	/chc0015/image/264.jp2
Page 36												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030039001	Text	image/tiff					3258	4180	0xF7C0858B			00150000030039001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/264	264	265.jp2	/chc0015/image/265.jp2
Page 37												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003	00150000030040001	Text	image/tiff					3243	4195	0x2E60A5E0			00150000030040001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/265	265	266.jp2	/chc0015/image/266.jp2
El cigarrillo cubano en Centro América, Panamá, Colombia y Venezuela : breve bosquejo económico-informativo	Arredondo Gutiérrez, Alberto		Typescript report about exporting Cuban cigarettes to Latin America, specifically  Regalías El Cuño cigarettes	Label on cover: "El cigarillo cubano  en el exterior: bosquejo económico, Exclusivo 'Regalías El Cuño'"	Cigarette industry -- Cuba; Cigarette industry -- Latin America; Exports -- Cuba	Typescripts		1959-09	1950-1960	Havana (Cuba)	1 document	spa	University of Miami Libraries. Cuban Heritage Collection	Alberto Arrendondo Papers.	CHC0015	Series II. Works by Alberto Arredondo, n.d., 1957-1965.  Sub-series B. Published Works.	Box No. 2;  Folder No. 1;  Folder Title: El cigarrillo cubano en Centro América, Panamá, Colombia y Venezuela;  Folder Date: 1959					http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000003		Text	image/tiff			000003									2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/266	266	267.cpd	/chc0015/image/267.cpd
Cover												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040001001	Text	image/tiff					3240	4208	0xD3ED2CE2			00150000040001001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/312	312	313.jp2	/chc0015/image/313.jp2
Verso of cover												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040002001	Text	image/tiff					3256	4193	0x8C36E94B			00150000040002001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/313	313	314.jp2	/chc0015/image/314.jp2
Title page												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040003001	Text	image/tiff					3240	4220	0xA3974258			00150000040003001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/314	314	315.jp2	/chc0015/image/315.jp2
Verso of title page												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040004001	Text	image/tiff					3240	4193	0x907B1C41			00150000040004001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/315	315	316.jp2	/chc0015/image/316.jp2
Page [3]												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040005001	Text	image/tiff					3229	4208	0x10B8C117			00150000040005001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/316	316	317.jp2	/chc0015/image/317.jp2
Page [4]												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040006001	Text	image/tiff					3268	4286	0xE6D6DB00			00150000040006001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/317	317	318.jp2	/chc0015/image/318.jp2
Page 5												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040007001	Text	image/tiff					3279	4286	0x3AC54638			00150000040007001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/318	318	319.jp2	/chc0015/image/319.jp2
Page 6												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040008001	Text	image/tiff					3268	4286	0x31BC2B4D			00150000040008001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/319	319	320.jp2	/chc0015/image/320.jp2
Page 7												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040009001	Text	image/tiff					3240	4262	0xF2E6020B			00150000040009001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/320	320	321.jp2	/chc0015/image/321.jp2
Page 8												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040010001	Text	image/tiff					3268	4286	0x2D3B569B			00150000040010001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/321	321	322.jp2	/chc0015/image/322.jp2
Page 9												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040011001	Text	image/tiff					3229	4235	0xC8E5DD99			00150000040011001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/322	322	323.jp2	/chc0015/image/323.jp2
Page 10												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040012001	Text	image/tiff					3240	4247	0xF67898D8			00150000040012001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/323	323	324.jp2	/chc0015/image/324.jp2
Page 11												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040013001	Text	image/tiff					3256	4220	0xF8F1577C			00150000040013001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/324	324	325.jp2	/chc0015/image/325.jp2
Page 12												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040014001	Text	image/tiff					3267	4220	0xAE60A999			00150000040014001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/325	325	326.jp2	/chc0015/image/326.jp2
Page 13												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040015001	Text	image/tiff					3240	4235	0xE15E36D			00150000040015001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/326	326	327.jp2	/chc0015/image/327.jp2
Page 14												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040016001	Text	image/tiff					3256	4247	0xF04D947A			00150000040016001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/327	327	328.jp2	/chc0015/image/328.jp2
Page 15												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040017001	Text	image/tiff					3252	4301	0xD6A8A842			00150000040017001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/328	328	329.jp2	/chc0015/image/329.jp2
Page 16												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040018001	Text	image/tiff					3256	4235	0x98E6626E			00150000040018001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/329	329	330.jp2	/chc0015/image/330.jp2
Page 17												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040019001	Text	image/tiff					3240	4235	0xC4D81160			00150000040019001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/330	330	331.jp2	/chc0015/image/331.jp2
Page 18												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040020001	Text	image/tiff					3240	4235	0x4E3EBBCB			00150000040020001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/331	331	332.jp2	/chc0015/image/332.jp2
Page 19												spa										http://merrick.library.miami.edu/digitalprojects/copyright.html	jmc; cme		0015000004	00150000040021001	Text	image/tiff					3229	4247	0xA40C5F92			00150000040021001.tif		2012-08-02	2012-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0015/id/332	332	333.jp2	/chc0015/image/333.jp2
