Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
View of Port Amapala, Honduras					Item No. 89	Amapala (Honduras); Harbors; Boats	Photographs				Amapala (Honduras)	1 b&w photograph; 6.7 x 11.2 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 6; Folder Title: Honduras by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000710001001	Image	2010-11-10	image/tiff				13725168 Bytes	2760	1655	1229304655	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000710001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/10	10	43.jp2	/chc0126/image/43.jp2
View of Seine Bight Beach in Belize					Item No. 121	Children; Beaches; Placencia (Belize)	Photographs				Placencia (Belize)	1 b&w photograph; 8.1 x 12.3 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Belize (formerly British Honduras) by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001010001001	Image	2010-11-10	image/tiff				17884716 Bytes	2983	1996	897264623	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001010001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/11	11	125.jp2	/chc0126/image/125.jp2
Construction of drainage system in Belize					Item No. 71	Drainage; Construction workers; Hose; Belize; Construction projects;	Photographs				Belize	1 b&w photograph; 8 x 12 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Belize (formerly British Honduras) by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000570001001	Image	2010-11-10	image/tiff				17338040 Bytes	2930	1970	985140131	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000570001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/12	12	86.jp2	/chc0126/image/86.jp2
View of a railroad over water in Central America					Item No. 213	Scenic railways; Central America	Photographs				Central America	1 b&w photograph; 6.3 x 9 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Central America by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001390001001	Image	2010-11-10	image/tiff				10030000 Bytes	2158	1546	1932445904	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001390001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/13	13	23.jp2	/chc0126/image/23.jp2
Construction of buildings in Rio de Janeiro seen from Guanabara Bay					Item No. 48	Rio de Janeiro (Brazil); Guanabara Bay (Brazil); Construction projects; Buildings; Boats	Photographs				Rio de Janeiro (Brazil)	1 b&w photograph; 6.5 x 10.7 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Brazil by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000440001001	Image	2010-11-10	image/tiff				12119200 Bytes	2580	1563	2810870567	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000440001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/14	14	27.jp2	/chc0126/image/27.jp2
Locomotive passing by Serra, Brazil					Item No. 52; Serra is the name of a municipality and its capital in the state of Espírito Santo, Brazil	Steam locomotives; Espírito Santo (Brazil : State); Railways;	Photographs				Espírito Santo (Brazil : State)	1 b&w photograph; 7 x 11.5 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Brazil by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000450001001	Image	2010-11-10	image/tiff				14713280 Bytes	2773	1766	2550361669	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000450001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/15	15	36.jp2	/chc0126/image/36.jp2
Oxen ploughing the land					Item No. 143	Country life; Central America; Oxen; Plows; Construction projects	Photographs				Central America	1 b&w photograph; 4.7 x 7 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Central America by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001190001001	Image	2010-11-10	image/tiff				6113996 Bytes	1731	1173	2351616190	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001190001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/16	16	131.jp2	/chc0126/image/131.jp2
Construction of drainage system near Rio de Janeiro, Brazil					Item No. 8	Drainage -- Brazil; Rio de Janeiro (Brazil); Waterworks; Mountains; Public health -- Brazil; Sanitary engineering -- Brazil;	Photographs				Rio de Janeiro (Brazil)	1 b&w photograph; 7.3 x 11.5 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Brazil by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000150001001	Image	2010-11-10	image/tiff				15125716 Bytes	2819	1786	3887929343	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000150001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/17	17	78.jp2	/chc0126/image/78.jp2
View of a church building in Belize					Item No. 65	Church buildings; Brick churches; Belize	Photographs				Belize	1 b&w photograph; 7.5 x 12.1 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Belize (formerly British Honduras) by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000510001001	Image	2010-11-10	image/tiff				16576076 Bytes	2918	1891	4008121075	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000510001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/18	18	105.jp2	/chc0126/image/105.jp2
Pier at a lake					Item No. 210	Central America; Docks; Boats	Photographs				Central America	1 b&w photograph; 6.4 x 8.8 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Central America by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001360001001	Image	2010-11-10	image/tiff				10158100 Bytes	2155	1568	3814921825	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001360001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/19	19	85.jp2	/chc0126/image/85.jp2
Construction of aerator water works in Amapala, Honduras					Item No. 88	Plumbing fixtures; Waterworks; Construction projects; Amapala (Honduras)	Photographs				Amapala (Honduras)	1 b&w photograph; 8.3 x 12.4 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 6; Folder Title: Honduras by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000700001001	Image	2010-11-10	image/tiff				18082052 Bytes	2983	2018	1553035105	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000700001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/20	20	116.jp2	/chc0126/image/116.jp2
Imhoff tank					Item No. 124; "Hospital, Imhoff Tank, Tegucigalpa"; The Imhoff tank is a chamber suitable for the reception and processing of sewage.	Sewage tanks; Waterworks; Tegucigalpa (Honduras); Sanitary engineering -- Honduras; Public health -- Honduras;	Photographs				Tegucigalpa (Honduras)	1 b&w photograph; 6.3 x 8.9 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 6; Folder Title: Honduras by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001040001001	Image	2010-11-10	image/tiff				9954776 Bytes	2143	1545	787278200	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001040001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/21	21	16.jp2	/chc0126/image/16.jp2
Construction of drainage system in Belize					Item No. 69	Drainage; Construction workers; Hose; Belize; Construction projects;	Photographs				Belize	1 b&w photograph; 7.5 x 12.2 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Belize (formerly British Honduras) by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000550001001	Image	2010-11-10	image/tiff				16815548 Bytes	2976	1881	700178163	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000550001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/22	22	14.jp2	/chc0126/image/14.jp2
View of a dam in Central America					Item No. 129	Central America; Dams; Waterworks	Photographs				Central America	1 b&w photograph; 4.5 x 6.6 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Central America by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001090001001	Image	2010-11-10	image/tiff				5179592 Bytes	1598	1076	453864560	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001090001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/23	23	132.jp2	/chc0126/image/132.jp2
View of Barrio Bajada de Carranza (Bajada de Carranza neighborhood)					Item No. 132; Written on front: "Once the "barrio" Bajada de Carranza"	Central America; Trees; Neighborhoods	Photographs				Central America	1 b&w photograph; 9.1 x 14 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Central America - by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001110001001	Image	2010-11-10	image/tiff				22281140 Bytes	3377	2197	3753815828	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001110001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/24	24	81.jp2	/chc0126/image/81.jp2
View of a pipe factory					Item No. 212	Water-pipes; Central America; Factories; Cement pipe and tile	Photographs				Central America	1 b&w photograph; 6.4 x 9 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Central America by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001380001001	Image	2010-11-10	image/tiff				9933076 Bytes	2141	1543	518907160	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001380001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/25	25	34.jp2	/chc0126/image/34.jp2
View of a rural house					Item No. 15	Dwellings; Tiles, Roofing; Country homes; Brazil	Photographs				Brazil	1 b&w photograph; 6.8 x 11.4 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Brazil by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000210001001	Image	2010-11-10	image/tiff				13799696 Bytes	2727	1684	871728933	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000210001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/26	26	38.jp2	/chc0126/image/38.jp2
View of a water tank in a residential area in Belize					Item No. 84	Water tanks; Dwellings; Belize	Photographs				Belize	1 b&w photograph; 11.5 x 7 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Belize (formerly British Honduras) by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000670001001	Image	2010-11-10	image/tiff				14163244 Bytes	1695	2781	4048521411	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000670001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/27	27	58.jp2	/chc0126/image/58.jp2
View of a country shack					Item No. 146	Country life; Country homes; Central America; Automobiles;	Photographs				Central America	1 b&w photograph; 4.3 x 6.1 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Central America by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001220001001	Image	2010-11-10	image/tiff				4611152 Bytes	1475	1037	909310676	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001220001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/28	28	95.jp2	/chc0126/image/95.jp2
View of the river side and port in Belize					Item No. 75	Rivers; Docks; Boats; Dwellings; Belize; Harbors	Photographs				Belize	1 b&w photograph; 7.6 x 12.3 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Belize (formerly British Honduras) by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000610001001	Image	2010-11-10	image/tiff				17231360 Bytes	2991	1918	1196055655	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000610001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/29	29	120.jp2	/chc0126/image/120.jp2
Suction dredge in Puerto Cortés, Honduras					Item No. 113; Written on verso: "Print No. 1. 6" Suction dedge at Puerto Cortes, Honduras"	Puerto Cortés (Honduras); Dredges	Photographs				Puerto Cortés (Honduras)	1 b&w photograph; 6.6 x 10.7 cm.	eng		University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 6; Folder Title: Honduras by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000930001001	Image	2010-11-10	image/tiff				12898364 Bytes	2589	1658	2904715874	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000930001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/30	30	80.jp2	/chc0126/image/80.jp2
Farm scene in Central America					Item No. 152	Livestock farms; Central America; Horses; Pigs	Photographs				Central America	1 b&w photograph; 4.2 x 6 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Central America by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001280001001	Image	2010-11-10	image/tiff				4570856 Bytes	1485	1021	1624578893	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001280001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/31	31	25.jp2	/chc0126/image/25.jp2
Street forming one boundary of the filled area in Puerto Cortés, Honduras					Item No. 115; Written on verso: "Print No.2. Street forming one boundary of the filled area at Puerto Cortez"	Dredges; Construction; Ditches; Dwellings; Palms; Puerto Cortés (Honduras)	Photographs				Puerto Cortés (Honduras)	1 b&w photograph; 6.7 x 10.7 cm.	eng		University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 6; Folder Title: Honduras by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000950001001	Image	2010-11-10	image/tiff				12817336 Bytes	2585	1650	2225512395	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000950001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/32	32	110.jp2	/chc0126/image/110.jp2
View of El Tigre Island in Amapala, Honduras					Item No. 91; El Tigre Island is a conical basaltic stratovolcano and the southernmost volcano in Honduras. It belongs to Valle department. Amapala is an archipelago of islands. The main islands are El Tigre and Zacate Grande. Amapala is located in El Tigre island	Mountains; Valle (Honduras : Dept.); Volcanoes; Amapala (Honduras)	Photographs				Amapala (Honduras)	1 b&w photograph; 6.4 x 9 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 6; Folder Title: Honduras by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000730001001	Image	2010-11-10	image/tiff				10234500 Bytes	2174	1566	1427385831	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000730001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/33	33	92.jp2	/chc0126/image/92.jp2
Loading bananas on S.S. Lempira in Puerto Castilla, Honduras					Item No. 111; Written on verso: "Loading bananas in Tela, Honduras"	Bananas; Cargo ships; Docks; Puerto Castilla (Honduras)	Photographs		1931-04-07	1930-1940	Puerto Castilla (Honduras)	1 b&w photograph; 7.2 x 11.8 cm.	eng		University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 6; Folder Title: Honduras by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000910001001	Image	2010-11-10	image/tiff				15004512 Bytes	2844	1756	2712865275	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000910001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/34	34	55.jp2	/chc0126/image/55.jp2
Logs partitioning a river in Belize					Item No. 103	Logs; Rivers; Buildings; Belize City (Belize)	Photographs				Belize City (Belize)	1 b&w photograph; 7.3 x 12.2 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Belize (formerly British Honduras) by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000830001001	Image	2010-11-10	image/tiff				16063076 Bytes	2969	1801	2320724817	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000830001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/35	35	100.jp2	/chc0126/image/100.jp2
Storage tanks					Item No. 223	Storage tanks; Central America	Photographs				Central America	1 b&w photograph; 5.3 x 7.3 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Central America by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001410001001	Image	2010-11-10	image/tiff				6899004 Bytes	1762	1301	2519742146	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001410001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/36	36	26.jp2	/chc0126/image/26.jp2
Children from Seine Bight Village near a beach shore					Item No. 120; Seine Bight is a village on the peninsula of Placencia in Belize.	Children; Beaches; Placencia (Belize)	Photographs				Placencia (Belize)	1 b&w photograph; 6.2 x 10.8 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Belize (formerly British Honduras) by place			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260001000001001	Image	2010-11-10	image/tiff				11972848 Bytes	2619	1521	4250863457	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260001000001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/37	37	32.jp2	/chc0126/image/32.jp2
View of ox carts					Item No. 14	Oxen; Carts & wagons; Agriculture -- Brazil;	Photographs				Brazil	1 b&w photograph; 4.4 x 6.4 cm.			University of Miami Libraries. Cuban Heritage Collection	Estus H. Magoon Collection	CHC0126		Box No. 5; Folder Title: Brazil by subject			axr			http://merrick.library.miami.edu/digitalprojects/copyright.html			chc01260000200001001	Image	2010-11-10	image/tiff				4913112 Bytes	1535	1062	1281217212	RGB	8 Bits Per Sample	600 Pixels Per Inch	chc01260000200001001.tif		2010-12-03	2011-10-26	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0126/id/38	38	6.jp2	/chc0126/image/6.jp2
