Title	Translated title	Creator	Sender	Contributors	Recipient	Summary	Note	Subject	Genre	Publisher	Date	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Upload ID	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 2																													asm0566000098						asm05660000980002001		23222904 Bytes	1953	3960	2911560555	RGB	8	600	asm05660000980002001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/192	192	213.jp2	/asm0566/image/213.jp2
Thomas W. Waldron letter, December 3, 1770		Waldron, Thomas W.						Waldron, Thomas W.; Letters	Correspondence		1770-12-03	1770-1780		1 letter; 2 pages	eng		University of Miami Libraries. Special Collections.	Historical Documents Collection	ASM0566	Series II: Business	Box No. 3; Folder No. 34; Folder Title: Folder Title: Waldron, Thomas W. : Letter, 1770			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box3	asm0566000098	Text						image/tiff										2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/193	193	214.cpd	/asm0566/supp/193/index.pdf
Page 1																													asm0566000058						asm05660000580001001		21687740 Bytes	3392	2129	3517370936	RGB	8	600	asm05660000580001001.tif		2012-12-05	2012-12-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/194	194	215.jp2	/asm0566/image/215.jp2
Page 2																													asm0566000058						asm05660000580002001		22206644 Bytes	3417	2164	3417751167	RGB	8	600	asm05660000580002001.tif		2012-12-05	2012-12-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/195	195	216.jp2	/asm0566/image/216.jp2
Postcard addressed to Mrs. Henry King		Rideing, William H. (William Henry), 1853-1918						Rideing, William H. (William Henry), 1853-1918; Cats -- Pictorial works; Parental behavior in animals -- Pictorial works	Postcards		05-09-1912	1910-1920	London (England)	1 postcard	eng		University of Miami Libraries. Special Collections	Historical Documents Collection	ASM0566	Series I: Art, Literature, Music, and Science	Box No. 2; Folder No. 36; Folder Title: Folder Title: Rideing, William Henry: Postcard to Mrs. Henry King, 1912			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box2	asm0566000058	Image						image/tiff										2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/196	196	217.cpd	/asm0566/supp/196/index.pdf
Page 1																													asm0566000052						asm05660000520001001		108266672 Bytes	5339	6758	3656455479	RGB	8	600	asm05660000520001001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/197	197	218.jp2	/asm0566/image/218.jp2
Page 2																													asm0566000052						asm05660000520002001		108172036 Bytes	5299	6803	3877926326	RGB	8	600	asm05660000520002001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/198	198	219.jp2	/asm0566/image/219.jp2
John Muir letter to Samuel Thomas Pickard, July 17, 1913		Muir, John, 1838-1914						Muir, John, 1838-1914 -- Correspondence; Pickard, Samuel T. (Samuel Thomas), 1828-1915; Letters -- United States -- 20th century	Correspondence		1913-07-17	1910-1920	Martinez (California)	1 letter; 2 pages	eng		University of Miami Libraries. Special Collections	Historical Documents Collection	ASM0566	Series I: Art, Literature, Music, and Science	Box No. 2; Folder No. 22; Folder Title: Folder Title: Muir, John: Letter to Samuel Thomas Pickard, 1913			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box2	asm0566000052	Text						image/tiff										2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/199	199	220.cpd	/asm0566/supp/199/index.pdf
Page 1																													asm0566000017						asm05660000170001001		45890152 Bytes	3105	4924	2917788605	RGB	8	600	asm05660000170001001.tif		2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/200	200	221.jp2	/asm0566/image/221.jp2
Page 2																													asm0566000017						asm05660000170002001		47367216 Bytes	3192	4944	1753004319	RGB	8	600	asm05660000170002001.tif		2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/201	201	222.jp2	/asm0566/image/222.jp2
Page 3																													asm0566000017						asm05660000170003001		44973376 Bytes	4868	3078	206714817	RGB	8	600	asm05660000170003001.tif		2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/202	202	223.jp2	/asm0566/image/223.jp2
John White Chadwick letter to Edwin C. Bolles, February 15, 1894			Chadwick, John White, 1840-1904		Bolles, Edwin C. (Edwin Cortland), 1836-1920			Chadwick, John White, 1840-1904 -- Correspondence; Chadwick, John White, 1840-1904 -- Autographs	Documents; Manuscripts; Correspondence		1894-02-15	1890-1900	Brooklyn (New York, New York)	[3] pages on 2 leaves	eng		University of Miami Libraries. Special Collections	Historical Documents Collection	ASM0566	Series I: Art, Literature, Music, and Science	Box No. 1; Folder No. 19; Folder Title: Chadwick, John White: Letter to Edwin C. Bolles, 1894			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box1	asm0566000017	Text						image/tiff										2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/203	203	224.cpd	/asm0566/supp/203/index.pdf
Page 1																													asm0566000093						asm05660000930001001		96549340 Bytes	4462	7211	2509339797	RGB	8	600	asm05660000930001001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/204	204	225.jp2	/asm0566/image/225.jp2
Page 2																													asm0566000093						asm05660000930002001		97958008 Bytes	4502	7251	2077157614	RGB	8	600	asm05660000930002001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/205	205	226.jp2	/asm0566/image/226.jp2
Page 3																													asm0566000093						asm05660000930003001		97513488 Bytes	4456	7293	957017992	RGB	8	600	asm05660000930003001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/206	206	227.jp2	/asm0566/image/227.jp2
Deed to Shadrach Hodgson, 1772		Pinkham, Jonathan						Deeds; Pinkham, Jonathan; Hodgson, Shadrach; Wentworth, John, 1737-1820; Wigglesworth, Sam	Documents		1772-04-24	1770-1780	Rockingham County (New Hampshire)	1 document	eng		University of Miami Libraries. Special Collections.	Historical Documents Collection	ASM0566	Series II: Business	Box No. 3; Folder No. 28; Folder Title: Folder Title: Pinkham, Jonathon: Signed- Deed to Shadrach Hodgson, 1772			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box3	asm0566000093	Text						image/tiff										2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/207	207	228.cpd	/asm0566/supp/207/index.pdf
Page 1																													asm0566000063						asm05660000630001001		74202540 Bytes	3653	6769	2586547859	RGB	8	600	asm05660000630001001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/208	208	229.jp2	/asm0566/image/229.jp2
Page 2																													asm0566000063						asm05660000630002001		73035356 Bytes	3611	6740	1721993173	RGB	8	600	asm05660000630002001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/209	209	230.jp2	/asm0566/image/230.jp2
Page 3																													asm0566000063						asm05660000630003001		73107748 Bytes	3606	6756	3164756207	RGB	8	600	asm05660000630003001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/210	210	231.jp2	/asm0566/image/231.jp2
Page 4																													asm0566000063						asm05660000630004001		73677920 Bytes	3639	6747	913962906	RGB	8	600	asm05660000630004001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/211	211	232.jp2	/asm0566/image/232.jp2
"Curfew must not ring to-night"		Thorpe, Rose Hartwick, 1850-1939						American poetry -- 19th century	Poetry		1880-11-10	1880-1890	Grand Rapids (Michigan)	1 poem	eng		University of Miami Libraries. Special Collections	Historical Documents Collection	ASM0566	Series I: Art, Literature, Music, and Science	Box No. 2; Folder No. 49; Folder Title: Folder Title: Thorpe, Rose Hartwick: Manuscript- Curfew Must Not Ring To-Night, 1880			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box2	asm0566000063	Text						image/tiff										2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/212	212	233.cpd	/asm0566/supp/212/index.pdf
Page 1																													asm0566000028						asm05660000280001001		22727092 Bytes	4293	1763	3248661868	RGB	8	600	asm05660000280001001.tif		2013-05-01	2013-05-01	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/213	213	234.jp2	/asm0566/image/234.jp2
Page 2																													asm0566000028						asm05660000280002001		23329636 Bytes	1809	4295	980390732	RGB	8	600	asm05660000280002001.tif		2012-12-05	2012-12-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/214	214	235.jp2	/asm0566/image/235.jp2
Ticknor and Fields royalty check paid to and endorsed by Ralph Waldo Emerson			Ticknor and Fields		Emerson, Ralph Waldo, 1803-1882;			Ticknor and Fields -- Records and correspondence; Emerson, Ralph Waldo, 1803-1882 -- Autographs; Second National Bank of Boston (Boston, Massachusetts);	Documents; Manuscripts; checks (bank checks);		1866-08-25	1860-1870	Boston (Massachusetts)	[2] pages on 1 leaf	eng		University of Miami Libraries. Special Collections	Historical Documents Collection	ASM0566	Series I: Art, Literature, Music, and Science	Box No. 1; Folder No. 34; Folder Title: Emerson, Ralph Waldo: Royalty Check, 1866			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box1	asm0566000028	Text						image/tiff										2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/215	215	236.cpd	/asm0566/supp/215/index.pdf
Page 1																													asm0566000030						asm05660000300001001		52172940 Bytes	3552	4894	4163079252	RGB	8	600	asm05660000300001001.tif		2012-12-05	2012-12-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/216	216	237.jp2	/asm0566/image/237.jp2
Page 2																													asm0566000030						asm05660000300002001		53045680 Bytes	3583	4933	504462176	RGB	8	600	asm05660000300002001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/217	217	238.jp2	/asm0566/image/238.jp2
Ralph Waldo Emerson and E. F. Whitney letter to Edward Jarvis, June 3, 1879			Emerson, Ralph Waldo, 1803-1882; Whitney, Ellen Frances, 1843-1933		Jarvis, Edward, 1803-1884			Emerson, Ralph Waldo, 1803-1882 -- Corrrespondence; Emerson, Ralph Waldo, 1803-1882 -- Autographs; Whitney, Ellen Frances, 1843-1933 -- Correspondence; Concord Free Public Library (Concord, Massachusetts)	Documents; Manuscripts; Correspondence		1879-06-03	1870-1880	Concord (Massachusetts)	[2] pages on 1 leaf	eng		University of Miami Libraries. Special Collections	Historical Documents Collection	ASM0566	Series I: Art, Literature, Music, and Science	Box No. 1; Folder No. 36; Folder Title: Emerson, Ralph Waldo and E. F. Whitney: Letter to Edward Jarvis, 1879			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box1	asm0566000030	Text						image/tiff										2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/218	218	239.cpd	/asm0566/supp/218/index.pdf
Page 1																													asm0566000076						asm05660000760001001		34740820 Bytes	4477	2585	606399129	RGB	8	600	asm05660000760001001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/219	219	240.jp2	/asm0566/image/240.jp2
Page 2																													asm0566000076						asm05660000760002001		34924692 Bytes	2593	4487	1237689226	RGB	8	600	asm05660000760002001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/220	220	241.jp2	/asm0566/image/241.jp2
Receipt signed by Payne Downs		Downs, Payne						Receipts (Acknowledgments); Debtor and creditor; Fodgdon, Samuel; Downs, Payne	Documents		1778-12-04	1770-1780		1 handwritten document	eng		University of Miami Libraries. Special Collections.	Historical Documents Collection	ASM0566	Series II: Business	Box No. 3; Folder No. 10; Folder Title: Folder Title: Downs, Payne: Receipt, 1778			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box3	asm0566000076	Text						image/tiff										2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/221	221	242.cpd	/asm0566/supp/221/index.pdf
Page 1																													asm0566000005						asm05660000050001001		19612940 Bytes	2134	3060	43124145	RGB	8	600	asm05660000050001001.tif		2012-12-20	2012-12-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/222	222	243.jp2	/asm0566/image/243.jp2
Page 2																													asm0566000005						asm05660000050002001		19879416 Bytes	2142	3090	2607780384	RGB	8	600	asm05660000050002001.tif		2012-12-20	2012-12-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/223	223	244.jp2	/asm0566/image/244.jp2
Page 3																													asm0566000005						asm05660000050003001		19839848 Bytes	2118	3119	849599436	RGB	8	600	asm05660000050003001.tif		2012-12-20	2012-12-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/224	224	245.jp2	/asm0566/image/245.jp2
Page 4																													asm0566000005						asm05660000050004001		19461780 Bytes	3105	2087	2378151404	RGB	8	600	asm05660000050004001.tif		2012-12-20	2012-12-20	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/225	225	246.jp2	/asm0566/image/246.jp2
Elizabeth Barrett Browning letter to Henry Crabb Robinson, ca. February 19, 1846			Browning, Elizabeth Barrett, 1806-1861		Robinson, Henry Crabb, 1775-1867			Browning, Elizabeth Barrett, 1806-1861 -- Correspondence; Browning, Elizabeth Barrett, 1806-1861 -- Autographs;	Documents; Manuscripts; Correspondence		ca. 1846-02-19	1840-1850	London (England)	[4] pages on 1 leaf (folded)	eng		University of Miami Libraries. Special Collections	Historical Documents Collection	ASM0566	Series I: Art, Literature, Music, and Science	Box No. 1; Folder No. 10; Folder Title: Browning, Elizabeth Barrett: Letter, 1846			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box1	asm0566000005	Text						image/tiff										2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/226	226	247.cpd	/asm0566/supp/226/index.pdf
Page 1																													asm0566000079						asm05660000790001001		47632676 Bytes	3248	4886	2252171159	RGB	8	600	asm05660000790001001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/227	227	248.jp2	/asm0566/image/248.jp2
Page 2																													asm0566000079						asm05660000790002001		48312592 Bytes	3288	4895	1764810202	RGB	8	600	asm05660000790002001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/228	228	249.jp2	/asm0566/image/249.jp2
Page 3																													asm0566000079						asm05660000790003001		48631164 Bytes	3271	4953	446890911	RGB	8	600	asm05660000790003001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/229	229	250.jp2	/asm0566/image/250.jp2
Page 4																													asm0566000079						asm05660000790004001		47761488 Bytes	3271	4865	3966264572	RGB	8	600	asm05660000790004001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/230	230	251.jp2	/asm0566/image/251.jp2
B. F. Stevens Brown letter to Charles Eliot Goodspeed, December 10, 1908		Brown, B. F. Stevens						Goodspeed, Charles E. (Charles Eliot), 1867-1950 -- Correspondence; Letters; Brown, B. F. Stevens	Correspondence		1908-12-10	1900-1910	London (England)	1 letter; 4 pages	eng		University of Miami Libraries. Special Collections.	Historical Documents Collection	ASM0566	Series II: Business	Box No. 3; Folder No. 14; Folder Title: Folder Title: Goodspeed, Charles Elliot: Letter to Julius L. Brown, 1908			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box3	asm0566000079	Text						image/tiff										2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/231	231	252.cpd	/asm0566/supp/231/index.pdf
Page 1																													asm0566000100						asm05660001000001001		38522820 Bytes	5179	2478	1141979328	RGB	8	600	asm05660001000001001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/232	232	253.jp2	/asm0566/image/253.jp2
Page 2																													asm0566000100						asm05660001000002001		38817080 Bytes	5179	2497	1551522282	RGB	8	600	asm05660001000002001.tif		2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/233	233	254.jp2	/asm0566/image/254.jp2
Receipt from Samuel Miller, 1789		Wigtons, Mahar						Wigtons, Mahar; Miller, Samuel; Receipts (Acknowledgments)	Receipts		1789-05-08	1780-1790		1 receipt	eng		University of Miami Libraries. Special Collections.	Historical Documents Collection	ASM0566	Series II: Business	Box No. 3; Folder No. 36; Folder Title: Folder Title: Wigtons, Mahar: Receipt from Samuel Miller, 1789			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box3	asm0566000100	Text						image/tiff										2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/234	234	255.cpd	/asm0566/supp/234/index.pdf
Page 1																													asm0566000027						asm05660000270001001		23832240 Bytes	2461	3225	2569428810	RGB	8	600	asm05660000270001001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/235	235	256.jp2	/asm0566/image/256.jp2
Page 2																													asm0566000027						asm05660000270002001		23895696 Bytes	2466	3227	497141741	RGB	8	600	asm05660000270002001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/236	236	257.jp2	/asm0566/image/257.jp2
Page 3																													asm0566000027						asm05660000270003001		23885640 Bytes	2446	3252	1855005733	RGB	8	600	asm05660000270003001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/237	237	258.jp2	/asm0566/image/258.jp2
Page 4																													asm0566000027						asm05660000270004001		23501400 Bytes	2430	3221	3359457245	RGB	8	600	asm05660000270004001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/238	238	259.jp2	/asm0566/image/259.jp2
Ellen Russell Emerson letter to Mary Hosmer Brown, June 21, 1898		Emerson, Ellen Russell, 1837-1907						Emerson, Ellen Russell, 1837-1907 -- Correspondence; Brown, Mary Hosmer;	Correspondence		1898-06-21	1890-1900	Concord (Massachusetts)	1 letter; 4 pages	eng		University of Miami Libraries. Special Collections	Historical Documents Collection	ASM0566	Series I: Art, Literature, Music, and Science	Box No. 1; Folder No. 33; Folder Title: Emerson, Ellen Russell: Letter to Mary Hosmer Brown, 1898			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box1	asm0566000027	Text						image/tiff										2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/239	239	260.cpd	/asm0566/supp/239/index.pdf
Page 1																													asm0566000088						asm05660000880001001		72045088 Bytes	4771	5032	153899863	RGB	8	600	asm05660000880001001.tif		2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/240	240	261.jp2	/asm0566/image/261.jp2
Page 2																													asm0566000088						asm05660000880002001		71575016 Bytes	4800	4969	429406670	RGB	8	600	asm05660000880002001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/241	241	262.jp2	/asm0566/image/262.jp2
Receipt for sale of slave, 1803		Belknap, Isaac, 1761-1845						Belknap, Isaac, 1761-1845; Receipts; Slaves; Women slaves; Slavery;	Receipts		1803-02-04	1800-1810	Newburgh (New York)	1 receipt	eng		University of Miami Libraries. Special Collections.	Historical Documents Collection	ASM0566	Series II: Business	Box No. 3; Folder No. 22; Folder Title: Folder Title: Miller, James: Receipt for Sale of Slave Dinah, from Isaac Belknap, 1803			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box3	asm0566000088	Text						image/tiff										2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/242	242	263.cpd	/asm0566/supp/242/index.pdf
Page 1																													asm0566000070						asm05660000700001001		107383848 Bytes	5509	6496	3868184655	RGB	8	600	asm05660000700001001.tif		2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/243	243	264.jp2	/asm0566/image/264.jp2
Page 2																													asm0566000070						asm05660000700002001		106933884 Bytes	5513	6464	3101693552	RGB	8	600	asm05660000700002001.tif		2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/244	244	265.jp2	/asm0566/image/265.jp2
Page 3																													asm0566000070						asm05660000700003001		106867056 Bytes	6492	5486	1637910641	RGB	8	600	asm05660000700003001.tif		2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/245	245	266.jp2	/asm0566/image/266.jp2
T. R. Betton letter to Drury Fairbanks, January 21, 1837		Betton, T. R.						Betton, T. R. -- Correspondence; Fairbanks, Drury; Letters; Debtor and creditor; Sullivan & Barbour (Boston, Massachusetts); Financial statements	Correspondence; Documents		1837-01-21	1830-1840	Tallahassee (Florida)	1 letter; 3 pages	eng		University of Miami Libraries. Special Collections.	Historical Documents Collection	ASM0566	Series II: Business	Box No. 3; Folder No. 3; Folder Title: Folder Title: Betton, T. R. : Letter to Drury Fairbanks, 1837			cme			http://merrick.library.miami.edu/digitalprojects/copyright.html	Box3	asm0566000070	Text						image/tiff										2013-04-05	2013-04-05	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/246	246	267.cpd	/asm0566/supp/246/index.pdf
Page 1																													asm0566000040						asm05660000400001001		96853788 Bytes	4974	6489	1669434551	RGB	8	600	asm05660000400001001.tif		2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/247	247	268.jp2	/asm0566/image/268.jp2
Page 2																													asm0566000040						asm05660000400002001		96711780 Bytes	4979	6473	53528223	RGB	8	600	asm05660000400002001.tif		2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/248	248	269.jp2	/asm0566/image/269.jp2
Page 3																													asm0566000040						asm05660000400003001		97987720 Bytes	5027	6496	3086691428	RGB	8	600	asm05660000400003001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/249	249	270.jp2	/asm0566/image/270.jp2
Page 4																													asm0566000040						asm05660000400004001		98031552 Bytes	5037	6486	877548188	RGB	8	600	asm05660000400004001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/250	250	271.jp2	/asm0566/image/271.jp2
Page 5																													asm0566000040						asm05660000400005001		97698308 Bytes	4996	6517	3453155262	RGB	8	600	asm05660000400005001.tif		2012-10-24	2012-10-24	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/251	251	272.jp2	/asm0566/image/272.jp2
Page 6																													asm0566000040						asm05660000400006001		98091208 Bytes	5020	6512	1356220658	RGB	8	600	asm05660000400006001.tif		2013-06-03	2013-06-03	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0566/id/252	252	273.jp2	/asm0566/image/273.jp2
