Title	Translated Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage-Temporal	Coverage-Spatial	Physical Description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Provenance	Editor	Attention	Rights	Copyright	Full Text	Object ID	Type	Date Digital	Hardware	Software	Directory	Digital ID	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Page 17																										16 JOUR AL OF THE ARNOLD ARBORETUM [ VOL. XXI  Wenzelia brevipes Merrill var. alabatensis, var. nov.  A typo differt foliis angustioribus glandulis oleiferis paucioribus et  inconspicuis instructis.  , Leaves long and narrow, 22- 28.5 em. long and 5'--- 6.6 em. wide, nar­rowed  toward the base, then bluntly rounded. Oil- glands smaller,  slightly less numerous and decidedly less conspicuous, especially on the  under surface of the leaf.  TYPE: Philippines, Alabat Island ( lat. 14 0 10' N., 121 0 55' E.),  M. Ramos and G. Edano, Bureau of Science 48054, Sept. Oct. 1926,  fruiting twig ( Herb. Univ. California, sheet 322,000; photographs and  a leaf in Herb. National Arboretum).  This variety is known only from the type collection. It is possible  that this extremely narrow- leaved form may be found to intergrade  with the species but as yet such intergradations are not in evidence.  It is the most northern form known.  TWO SUBGE ERA IN WENZELIA  The seven species of Wenzelia that are well known, fall into two  groups having very different seeds.  1. EUWENZELIA, subgen. nov.  Seminibus crassis, plus minusve applanatis, numquam tenuiter  marginatis.  Wenzelia brevipes Merrill ( type of subgenus)  W. tenuifolia Swingle  W. kambarae Swingle  2. PAPUALIMO, subgen. nov.  Seminibus tenuibus applanatis, plus minusve tenuiter laciniato­marginatis.  Wenzelia platysperma Swingle ( type of subgenus)  W. paludosa ( Lauterbach) Tanaka  W. melanesica Swingle  W. Archboldiana Swingle  It is possible that intergrading forms between these two subgenera  may be found when the seeds of the two older species from New  Guinea are known.  Doubtless the three species, Wenzelia brevipes, W. tenuifolia and  W. kambarae, that constitute the subgenus Euwenzelia are relics of the  remote ancestral type of Wenzelia. Two of these species are the most  widely separated in space of any, W. brevipes in the Southern Philippines 	asm0188000005																	2009-05-19	2009-05-19	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/56	56	57.pdfpage	/wtswingle/image/57.pdfpage
Page 18																										1940] SWINGLE, RUTACEAE - AURANTIOIDEAE 17  and W. kambarae in the easternmost Lau Islands of the Fiji Archipelago,  about 12,500 kilometers distant!  These three species probably represent ancient ancestral types of  the genus Wenzelia, while the fiat- seeded species found in New Guinea'  and the Solomon Islands doubtless rapidly evolved there into the  subgenus Papualimo.  A NEW SPECIES OF PARAMIGNYA  Paramignya is the second largest genus of the tribe CITREAE and the  largest in the subtribe TRIPHASIINAE. It is closely allied to Luvunga,  another large genus with 12 species. Both of these genera include woody  lianas that climb to the tops of tall forest trees, hanging on to them by  means of their stout retrorse and often recurved spines that are borne  singly in the axils of the leaves. Paramignya has I- foliolate leaves with  pulvinate petioles that enable them to turn to face the light. Luvunga  has 3- foliolate leaves borne on long straight petioles pulvinate at the  base. Both genera are native to southeastern Asia and the East Indian  Archipelago from Sumatra and the Philippines to New Guinea.  The 12 typical species of Paramignya constitute a remarkably uni­form  group and are evidently closely related to each other. Among the  many very interesting plants collected in the island of Hainan by Ameri­can  and Chinese botanists and collectors is a species of Paramignya of  which abundant herbarium specimens are available for study. This  species proves to be a new one.  Paramignya confertifolia, sp. nov. PLATE 4, FIGURES 1, 2.  Paramignyae Surasianae Craib et Paramignyae rectispinosae Craib  affinis sed differt ( 1) internodiis brevioribus saepe brevissimis, ( 2) spinis  brevioribus vel deficientibus, ( 3) petiolis saepe brevioribus. A Para­mignya  longipedunculata Merr. differt pistillis multo brevioribus et ab  aliis speciebus typicis Asiaticis Paramignyae ovariis brevissimis ( 1.2­2.3  mm.), quam stylo circiter quater brevioribus.  Frutex scandens; internodiis ramulorum juniorum robustiorum 2- 3  em. longis, sed eis ramulorum fructiferorum multo brevioribus ( plerisque  8- 10 mm. longis); spinis brevibus, 3- 10 mm. ( plerisque 3- 6 mm.) longis,  recurvatis; foliis ovatis vel oblongis vel oblongo- ellipticis, basi plerum­que  rotundatis ( in foliis longis aliquando cuneatis), apice acuminatis  rotundatis, costa media et 8- 12 nervorum paribus utrinque conspicuis  sed subtus distinctioribus; margine integris vel irregulariter et tenuiter  crenulatis; petiolis 4- 12 X 1- 1.5 mm., supra planis plus minusve pube­scentibus,  in sicco rugosis, parte pulvinoidea cum lamina non articulata; 	asm0188000005																	2009-05-19	2009-05-19	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/57	57	58.pdfpage	/wtswingle/image/58.pdfpage
Page 19																										18 JOURNAL OF THE ARNOLD ARBORETUM [ VOL. XXI  floribus axillaribus, singulis vel pluribus, parvis, aliquando in racemis  valde reductis; alabastris cylindricis, 8- 10 X 2.5- 3.5 mm.; pedicellis  brunneo- fuscis gracilibus, 4- 5 X 0.5- 0.7 mm., glabris, bracteis minutis  sparse hirsutis suffultis; pedunculis hirsutis; calycibus parvis, 2 X 1- 5  mm., brunneo- fuscis, lobis 5 triangularibus, apice ciliatis; petalis 5  glabris, in vivo albis, brunneo- flavis in sicco, 7- 9 vel 10 X 3- 4 mm.;  staminibus 10, filamentis applanatis, 5- 6 mm. longis, antheris linearibus  1.8- 2 mm., disco cylindrico non latiore quam basi ovarii; ovario ovoideo,  1.1- 1.3 X 1 mm., valde hirsuto ( pilis flavo- brunneis), 4- 5 loculare,  loculis uni- ovulatis apice abrupte contracte in stylum sparse hirsutum  vel glabrum, 5- 6 X 0.3- 0.4 mm., ad basim paulo latiorem et supra  graciliorem, post anthesin cito caducum; stigmate depresso- globoso,  0.5 mm. X 1- 1.5 mm., ( Plate 4, figure 2); fructu 1.5- 2 cm. diam.,  subgloboso, primo glabro, maturo rugosissimo, pericarpio sulcis irregu­laribus  instructo et fere lobato, glandulis oleiferis magnis impressis  instructo; seminibus parvis, ovoideis, embryone unico.  A climbing shrub, 3- 5 meters high, clambering over shrubs; young  twigs with internodes 2- 3 cm. long on vigorous shoots, but on fruiting  branches much shorter, often only 8- 10 mm. long, spines short, 3- 10  mm. long ( usually 3- 6 mm.), recurved; leaves oval or oblong to long­elliptical,  usually broadly rounded at the base ( sometimes cuneate on  longer leaves), acuminate at the tip, the very tip of the acumen bluntly  rounded; midrib, and the 8- 12 or more pairs of lateral veins visible on  both surfaces but more distinct below; margins entire or irregularly and  shallowly crenulate; petioles 4- 12 X 1- 1.5 mm., flattened above, more  or less pubescent, wrinkled in dried specimens, pulvinoid portion not  articulated; flowers axillary, arising singly or in small clusters, sometimes  in greatly reduced racemes; flower- buds cylindrical, 8- 10 X 2.5­3.5  mm.; pedicels slender, 4- 5 mm. long, 0.5- 0.7 mm. wide, glabrous,  subtended by minute sparsely hirsute bracts where the pedicels join the  hirsute peduncles; calyx small, 2 mm. wide, 1- 5 mm. high, brownish buff  colored as is the pedicel; calyx- lobes 5, triangular, with ciliate tips;  petals 5, glabrous, white when fresh, yellowish brown when dry, 7- 9 or  10 X 3- 4 mm.; stamens 10, filaments flattened, 5- 6 mm. long, anthers  linear, 1.8- 2 mm. long; disk cylindrical not broader than the base of  the ovary; ovary ovoid, 1.1- 1.3 X 1 mm., strongly hirsute with yellow­ish  buff hairs, with 4 or 5 I- ovulate locules, narrowed abruptly into the  sparsely hirsute or glabrous style, 5- 6 mm. long, 0.3- 0.4 mm. wide,  slightly broader at base and more slender above, deciduous shortly after  the flowers open; stigma depressed- globose, 0.5 mm. high and 1- 1.5 mm.  wide; fruits at first subglobose, glabrous, but when full sized becoming 	asm0188000005																	2009-05-19	2009-05-19	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/58	58	59.pdfpage	/wtswingle/image/59.pdfpage
Page 20																										1940] SWINGLE, RUTACEAE- AURANTIOIDEAE 19  very rough, sometimes almost lobed with irregularly rugose folds of the  pericarp that shows numerous large sunken oil glands, 1.5- 2 em. diam.;  seeds small, ovoid, mono- embryonic.  TYPE: China, Hainan Island, Naam Shan leng, Lau no. 339, July  30, 1932, flowering branch ( Herb. National Arboretum, also serial  microtome sections, S. and T. no. 290 A, slides 1- 8 [ 440 transverse  sections of 1 flower]).  COTYPE 1: China, Hainan, San Tsuen Mountain, Tsang Wai Tak,  C. C. C. no. 15523, July 15, 1927, flowering branch ( Herb. Univ. Calif.,  Berkeley, sheet 315941; photographs and serial microtome sections  S. and T., 92 A, slides 1- 7; 92 B, 1- 10; 199 A, 1- 9; 199 B, 1- 8 [ 2003  transverse sections of flower bud]; 92 C, 1- 4; 199 C, 1- 2; 199 D, 1,2  [ 204 longitudinal sections of 1 flower bud and of 1 pistil] in Herb.  National Arboretum) .  COTYPE 2: China, Hainan Island, Nodoa, Woon Young Chun, fruit­ing  branch ( Herb. Univ. Calif., sheet 236165; photographs and serial  microtome sections, S. and T., 495, slides 1- 4 [ 6 transverse sections of  1 nearly mature fruit] in Herb. National Arboretum).  This interesting species is found abundantly in the Island of Hainan  clambering over shrubs and small trees. It has been identified wrongly  with P. scandens Craib but in reality is much more nearly related to  two new species recently described from Siam by Craib: P. Surasiana  and P. rectispinosa. Both of these last named species and P. conferti­folia  from Hainan agree in having a very short ovary scarcely more than  1 mm. long with a style 4- 5 times as long. The other species of Para­mignya  native in southeastern Asia have much larger ovaries, usually  several mm. tall and the style is only 3 or 4 times as long as the ovary.  The Philippine species, P. longipedunculata Merr., also has a very  short ovary ( about 1.5 mm.) with a very long style ( about 15 mm.)  which is nearly as wide as the ovary and not clearly delimited from it.  However, this Philippine species differs widely in many other characters  from P. confertifolia and is not closely related to it.  The fruits of this species are very peculiar; as they ripen they become  exceedingly irregular in shape, rough and wrinkled. Upon sectioning,  the pericarp is found to be of unusual thickness and to be filled with a  multitude of large and small oil glands. No other species of the Orange  subfamily yet discovered has so striking a development of oil glands in  a soft and spongy pericarp.  A NEW SPECIES OF ATALANTIA  Professor E. D. Merrill kindly sent me for examination a new species 	asm0188000005																	2009-05-19	2009-05-19	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/59	59	60.pdfpage	/wtswingle/image/60.pdfpage
Page 21																										20 JOURNAL OF THE ARNOLD ARBORETUM [ VOL. XXI  of Atalantia named by him and Professor Chun. By his permission I  am including it here; it is a very curious species as will appear later.  Atalantia hainanensis Merrill et Chun in herb., sp. nov.  PLATE 4, FIGURES 3- 7.  Atalantiae ceylanicae remote affinis sed differt ( 1) fructu ellipsoideo  nee sphaerico cum stylo plus minusve persistente, vesiculis pulpiferis  paucissimis vel deficientibus, ( 2) foliis magnitudine variabilissimis,  apicibus acutis vel paulo acuminatis, ( 3) disco cupulari, ( 4) ovario  2- loculari.  Frutex parvus, 2 m. altus; ramulis junioribus leviter angulosis, demum  teretibus; foliis simplicibus, crassis, coriaceis, ellipticis vel late ellipticis,  apice paulo acuminatis vel obtusis, saepe emarginatis, basi cuneatis,  sensim in petiolum attenuatis, magnitudine variabilissimis, plerumque  6- 16 em. X 2.5- 6 em. petiolo incluso, sed aliquando 19.5 X 7.5 em.,  aliquando 2.5 X 0.8 em., margine integerrimis vel leviter crenulatis;  petiolis 5- 10 em. longis, plus minusve pulvinoideis nee cum lamina  articulatis; inflorescentiis axillaribus brevibus, 1- 1.5 em. longis, in  racemis pauciflori; alabastris parvis; 3- 3.5 mm. longis, 2- 2.5 mm. latis;  sepalis 5, triangularibus, crassis, tota superficie, margine tenui ciliata  excepta, glandulis oleiferis asperata; petalis 5, albis; staminibus 10,  filamentis crassis, basi connatis, supra liberis, antheris glandula oleifera  singula in connectivo instructis; ovario parvo, 1.5 X 1 mm., ovoideo,  2- loculari, ovulis 2 collateralibus in quoque loculo, supra utrumque locu­lum  una glandula oleifera magna instructo; stylo gracili, 1.5 X 0.3- 0.4  mm., stigmate fere quam stylo isodiametrico, duobus paribus glandu­larum  oleiferum instructo; disco cupulari, circa 0.35 mm. alto, glabro,  2/ 5 ovarii inferioris cingente; fructibus ( novellis) ellipsoideis, 8- 10 X  4- 5 mm., pericarpio viridi, numerosis glandulis et stylo parvo persistente  1 X 0.6 mm. instructo; semine singulo, 8 X 4.5 X 3.5 mm., in quoque  fructu ( vel pluria?); embryone unico; cotyledonibus glandulis oleiferis  numerosis instructis.  A small spineless shrub, 1- 2 m. high; young twigs slightly angled but  soon becoming cylindrical; leaves simple, persistent, thick and coria­ceous,  elliptical or broadly elliptical, slightly acuminate or bluntly  pointed at the tip, often emarginate, cuneate at the base, narrowing  gradually into the petiole very variable in size, usually 6- 15 X 2.5- 6  em., sof! 1etimes as large as 19.5 X 7.5 em. and sometimes as small as  2.5 X 0.8 em. inclusive of the petiole, margins entire or faintly undulate;  petiole not articulated with the leaf blade, 5- 10 mm. long, more or less  pulvinoid; inflorescences axillary, short ( 1- 1.5 em. long), racemose, 	asm0188000005																	2009-05-19	2009-05-19	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/60	60	61.pdfpage	/wtswingle/image/61.pdfpage
Page 22																										1940] SWINGLE, RUTACEAE - AURANTIOIDEAE 21  few- flowered; pedicels slender, 2- 3 X 1 mm.; flowers small, 3- 3.5 mm.  long, 2- 2.5 mm. wide; calyx with 5 triangular thickened lobes, rough­ened  with oil- glands except at the thin and ciliate margins; petals 5,  white; stamens 10, filaments flattened, connate at the base, free above,  anthers with 1 large oil- gland in the connective; ovary small, 1.5 X  1 mm., ovoid, with 2 locules, each with 2 collateral ovules, top of ovary  with 1 large oil- gland above each locule; style slender, 1.25 X 0.3­0.4  mm., stigma nearly isodiametric with the style, with 2 pairs of large  oil- glands; disk cupulate, about 0.35 mm. deep, glabrous, completely  surrounding the basal 2/ 5 of the ovary; fruits ( young) ellipsoid, 8- 10 X  4- 5 mm.; pericarp green, with numerous oil- glands, surmounted by the  small persistent style, 1 X 0.6- 0.7 mm.; seeds 1 ( or more?) to a fruit,  large, ellipsoid, about 10 X 7 X 5 mm., mono- embryonic, cotyledons  with numerous oil- glands.  TYPE: China, Hainan Island, Po Ting, F. C. How no. 72807, in  forest, near stream, alt. 300 meters, June 12, 1935, flowering branch  ( Herb. Arnold Arboretum; photographs and serial microtome sections  S. and T. no. 261 A, slides 1- 6; 261 B, 1- 4 [ 534 tran" sverse sections  of 2 flower buds], 261 C, slides 1- 2 [ 48 longitudinal sections of a flower  bud] also 1 leaf and 1 fruit in Herb. National Arboretum).  COTYPE 1: Type locality; F. C. How no. 73976, fruiting branch, ov.  3, 1935 ( Herb. Arnold Arboretum; photographs and serial microtome  sections, S. and T. no. 263 A, slides 1- 3, and 263 B, 1- 3 [ 186 transverse  sections of 2 fruits] also 1 leaf and 1 fruit in Herb. National Arboretum).  COTYPE 2: Type locality; F. C. How no. 73068, flowering branch,  July 4, 1935 ( Herb. Arnold Arboretum; photographs and serial micro­tome  sections, S. and T. no. 262 A, 1 slide [ 39 longitudinal sections of  a young flower bud] also 1 leaf in Herb. National Arboretum).  OTHER MATERIAL: Type locality, F. C. How no. 73718, fruiting  branch, Sept. 25, 1935; Type locality, F. C. How no. 72461, small­leaved  branch with very young fruits; Type locality, F. C. How no.  73207, very large- leaved flowering branch, July 17, 1935; China, Hainan  Island, Yaichow, alt. 100 meters; N. K. Chun and C. L. Tso, no. 44603,  fruiting branch (?), Dec. 1932 ( Herb. Arnold Arboretum).  This curious plant, clearly a very distinct new species, is hard to  place in the absence of mature fruits. It has leaves varying greatly in  size ( 2.5- 19.5 X 0.8- 7.5 em.) having much the general aspect as those  of Severinia buxifolia Ten. which species it also resembles in having a  cupular disk and a 2- loculate ovary. However, the serial microtome  sections made of the immature fruits of the cotype ( How 73976) do not 	asm0188000005																	2009-05-19	2009-05-19	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/61	61	62.pdfpage	/wtswingle/image/62.pdfpage
Page 23																										22 JOURNAL OF THE ARNOLD ARBORETUM [ VOL. XXI  show a clear- cut inner layer of stalkless subglobose pulp- vesicles lining  the walls of the locule but rather large and variable- sized oil- glands (?)  that are not in a definite layer lining the walls but scattered between  the much smaller oil- glands of the pericarp and the inner wall of the  locule. Study of the fruits of this species at all stages of development  may show that these structures have a merely superficial resemblance  and no true homology with the primitive pulp- vesicles of Severinia  buxifolia and other typical species of Severinia. The typical species  of Atalantia have sessile, broad- based, conical pulp- vesicles growing out  from the dorsal locule walls and, with the seeds, filling the locules com­pletely.  However, Atalantia ceylanica ( Am.) Oliver, the type- species  of the subgenus Rissoa, shows in the mature fruit very few pulp- vesicles,  perhaps because the very large seeds almost completely fill the locules.  This species like Atalantia hainanensis, has a cup- shaped disk fitting  closely around the base of the ovary. Atalantia Guillaumini Swingle,  an anomalous species of which only the very large subglobose, fully  mature fruits are known, does not seem tb have any pulp- vesicles among  the very large seeds.  Study of more complete material of A. Guillaumini and A. hainanensis  may show them both to be aberrant species of Severinia rather than of  Atalantia.  EXPLANATION OF PLATES  PLATE 1  Limnocitrus littoralis ( Miquel) Swingle. Figure 4, type specimen in  Rijks Herb. Leiden. Figures 1, 2, 3, 6, Clemens no. 3263, Tourane,  Annam, in Herb. Arnold Arboretum. Figure 5, Chevalier no. 30526,  Nha- trang, Annam, in Herb. National Arboretum.  Figure 1.  Figure 2.  Figure 3.  Figure 4.  Figure 5.  Figure 6.  Flowering twigs. Nat. size.  Serial microtome sections of pedicels, calyx, disk and pistil.  X 4.  Cross section of flower bud. X 8.  Cross section of immature fruit from type specimen. X 4.  Cross section of nearly ripe fruit. X 6.  Flower buds, and flower after fall of petals. X 4.  PLATE 2  Wenzelia Archboldiana  Figure 1. Leaf and fruits showing fusiform cracks in outer peel. ColI.  Brass no. 8038, Lower Fly River, New Guinea. 0 nat. size. 	asm0188000005																	2009-05-19	2009-05-19	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/62	62	63.pdfpage	/wtswingle/image/63.pdfpage
Page 24																										Fruit seen from side. Brass no. 8038. Nat. size.  Fruit in cross section showing an empty locule and 5 of the  8 seeds it contained. Brass no. 8038. y;; nat. size.  Longitudinal section of a flower ready to open. ( CoIl. Clemens  no. 6673, Sattelberg, Morobe Distr., New Guinea). X 3.  More highly magnified view of same flower bud showing disk  separated from base of ovary by a slanting constriction. X 11.  1940]  Figure 2.  Figure 3.  Figure 4.  Figure S.  SWINGLE, RUTACEAE - AURANTIOIDEAE 23  Wenzelia melanesica  Figure 6.  Figure 7.  Figure 8.  Twig with leaf and young fruit. ( Coli. Kajewski no. 1907a,  Buin, Bougainville Island, Solomons). Y;; nat. size.  Dry fruit from Kajewski no. 1907u• Nat. size.  Cross section of a S- Iocular dry fruit, and flattened seeds.  ( Kajewski no. 1907a ). Y;; nat. size.  PLATE 3  Wenzelia melanesica  Figure 1. Cross section of young flower bud. ( CoIl. Kajewski no.- 1907b .  Buin, Bougainville lsI., Solomons). X 10.  Figure 2. Longitudinal section of young flower bud. ( Kajewski no.  1907b ). X 10.  Figure 3. Two young flower buds in axil of a leaf. ( Kajewski no.  1907b ). X 2Y;;.  Wenzelia platysperma  Figure 4. Leaf attached to a fruiting branch. ( CoIl. Brass no. 7111,  Fly River Valley, New Guinea, type). Y;; nat. size.  Figure S. Flattened seeds. ( Brass no. 7111). Y;; nat. size.  Wenzelia kambarae  Figure 6. Young flower buds and small leaves. ( CoIl. Zimmerman,  Naiau Island, Fij i Archipelago). Nat. size.  Figure 7. Fruiting twig with large leaves; and fruit with a plump white  seed. ( CoIl. Smith, Kambara lsI., type). Y;; nat. size.  Figure 8. Longitudinal section of flower bud. ( CoIl. Zimmerman, Naiau  Island). X 10.  PLATE 4  Paramignya confertifolia  Figures 1 and 2. Type specimen, Hainan Island ( Lau 339).  Figure 1.  Figure 2.  Crowded leaves and flowers. Y;; nat. size.  Longitudinal microtome section of pistil. X 11. 	asm0188000005																	2009-05-19	2009-05-19	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/63	63	64.pdfpage	/wtswingle/image/64.pdfpage
Page 25																										24 JOURNAL OF THE ARNOLD ARBORETUM  Atalantia hainanensis  [ VOL. XXI  Figures 3- 6. Type specimen, Hainan Island ( F. C. How 72807).  Figure 3.  Figure 4.  Figure 5.  Figure 6.  Figure 7.  Longitudinal section of flower bud showing cupulate disk,  oil- gland in anther, etc. XlO.  Cross section of flower bud showing disk surrounding the  2- locular ovary, etc. X 10.  Cross section of flower bud showing tip of ovary with 2 large  oil- glands. X 10.  Leaves and flower buds. 0 nat. size.  Cotype specimen ( F. C. How 73976). Leaves and young  fruits. 0 nat. size.  DIVISION OF PLANT EXPLORATION AND INTRODUCTION,  BUREAU OF PLANT INDUSTRY, U. S. DEPARTMENT OF AGRICULTGil. E,  WASHINGTON, D. C. 	asm0188000005																	2009-05-19	2009-05-19	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/64	64	65.pdfpage	/wtswingle/image/65.pdfpage
Page 26																										JOUR. AR:\ OLD ARB. VOL. XXI PLATE 1  I  I  I 2  4  6  LIMNOCITRUS L1TTORALIS (:\ Iiq.) Swingle  FULL- TONE - MERIDEN 	asm0188000005																	2009-05-19	2009-05-19	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/65	65	66.pdfpage	/wtswingle/image/66.pdfpage
Page 27																										JOUR. ARNOLD ARll. VOL. XXI  2  6  8  PLATE 2  4  7  \ VENZELIA ARCHBOLDIAl\ A S\\' ingle and W. MELA!\' ESICA Swingle  FULL · TONE- ME'RIDEN 	asm0188000005																	2009-05-19	2009-05-19	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/66	66	67.pdfpage	/wtswingle/image/67.pdfpage
Page 28																										JOUR. ARNOLD ARB. VOL. XXI PLATE 3  WENZELIA MELANESICA Swingle, W. PLATYSPERMA Swingle and W. KAMBARAE  Swingle  FULL- TONE - MERIDEN 	asm0188000005																	2009-05-19	2009-05-19	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/67	67	68.pdfpage	/wtswingle/image/68.pdfpage
Page 29																										JOUR. ARNOLD ARB. VOL. XXI  3  4  PLATE 4  PARAMIGNYA CONFERTIFOLIA Swingle and ATALANTIA HAINANENSIS Merrill &  Chun ex Swingle  FULL · TONE- MERIDEN 	asm0188000005																	2009-05-19	2009-05-19	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/68	68	69.pdfpage	/wtswingle/image/69.pdfpage
Page 30																											asm0188000005																	2009-05-19	2009-05-19	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/69	69	70.pdfpage	/wtswingle/image/70.pdfpage
Limnocitrus, a new genus, also new species of Wenzelia, Paramignya and Atalantia (Rutaceae-Aurantioideae)		Swingle, Walter T. (Walter Tennyson), 1871-1952;		The article adds one new genus and several new species to the Orange subfamily Aurantioideae. Swingle proposes Limnocitrus as a new genus, then describes five new species and one new variety of the genus Wenzelia, a new species of the genus Paramignya, and a new species of the genus Atalantia. Limnocitrus is described as a connecting link between the "Primitive Citrus Fruit Trees" and the "True Citrus Fruit Trees."	Reprint: Walter T. Swingle. 1940. Limnocitrus, a new genus, also new species of Wenzelia, Paramignya and Atalantia (Rutaceae-Aurantioideae). Journal of the Arnold Arboretum  XXI(1): 1-24. Plates.	Oranges; Southeast Asia			1940	1940-1950		30 pages	eng		University of Miami Libraries. Special Collections.	Walter Tennyson Swingle Collection	ASM0188					LMC; AL	physical description, genre, series/container?		http://merrick.library.miami.edu/digitalprojects/copyright.html		asm0188000005	Text						application/pdf										2010-02-22	2010-02-22	http://merrick.library.miami.edu:80/cdm/ref/collection/wtswingle/id/70	70	71.cpd	/wtswingle/supp/70/index.pdf
