Title	Translated Title	Variation of Title	Uniform Title	Creator	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Edition	ISSN	ISBN	Call Number	OCLC No.	Physical Description	Language	Editor	Attention	References	Donor	Provenance	Copyright	Repository	Collection Title	Collection No.	Container	Series	Object ID	Upload ID	Full text	Digital ID	Directory	Original Source	Type	Format	IBISWEB Catalog Link	Date Digital	Hardware	Software	BitDepth	Resolution	File Size	Width	Height	Checksum	Color Space	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Plate VI, Band round panels in windows, Hall of the Two Sisters. Panelling in windows, Hall of the Ambassadors, vol. 2	Bande entourant des panneaux, dans une embrasure de fenêtre, Salle des Deux Sœurs. Panneau dans une embrasure de fenêtre, Salle des Ambassadeurs					Plate VI offers two illustrations. Top: Band round panels in windows, Hall of the Two Sisters; bottom: Paneling in windows, Hall of the Ambassadors		Alhambra (Granada, Spain) -- Hall of the Two Sisters; Alhambra (Granada, Spain) -- Hall of the Ambassadors; Decorations; Paneling; Windows	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580011001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	1883.238 KB	2350	3600	0xFB11D445	RGB	asc99990000580011001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/10	10	11.jp2	/scbooks/image/11.jp2
Plate VII, Ornament in panels, Court of the Mosque, vol. 2	Ornement dans des panneaux, Cour de la Mosquée					Plate VII offers one illustration of decorations in panels in the Court of the Mosque		Alhambra (Granada, Spain) -- Court of the Mosque; Paneling; Decorations; Paneling	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580012001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	1437.115 KB	2350	3600	0x5CFDF80F	RGB	asc99990000580012001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/11	11	12.jp2	/scbooks/image/12.jp2
Plate VIII, Ornaments at the junctions of inscriptions, Court of the Lions and Court of the Fish Pond, vol. 2	Ornement à la jonction des inscriptions, Cour des Lions et Cour de l'Etang					Plate VIII offers five illustrations of decorations in the Court of the Lions and Court of the Fish Pond		Alhambra (Granada, Spain) -- Court of the Fish Pond; Alhambra (Granada, Spain) -- Court of the Lions; Decorations	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580013001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	1346.366 KB	2350	3600	0x6815B1BE	RGB	asc99990000580013001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/12	12	13.jp2	/scbooks/image/13.jp2
Plate IX, Sunk lines on the walls, Hall of Justice and Court of Lions, vol. 2	Dessins gravés sur les murs, Salle de Justice et Cour des Lions					Plate IX offers two illustrations of decorations on the walls in the Hall of Justice and Court of of Lions		Alhambra (Granada, Spain) -- Court of the Lions; Alhambra (Granada, Spain) -- Hall of Justice; Decorations; Walls	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580014001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	1398.761 KB	2350	3600	0x9CF5BBAA	RGB	asc99990000580014001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/13	13	14.jp2	/scbooks/image/14.jp2
Plate X, Sunk lines on the walls, House of the Commandant, vol. 2	Dessins gravés sur les murs, Maison du Commandant					Plate X offers three illustrations of wall decorations in the House of the Commandant		Alhambra (Granada, Spain) -- House of the Commandant; Decorations; Walls	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580015001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	1258.741 KB	2350	3600	0x16196CC4	RGB	asc99990000580015001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/14	14	15.jp2	/scbooks/image/15.jp2
Plate XI, Soffit of an arch, Court of the Fishpond, vol. 2	Intrados d'un arc, Cour de l'Etang					Plate XI offers one color illustration of the soffit of an arch in the Court of the Fish Pond		Alhambra (Granada, Spain) -- Court of the Fish Pond; Arches; Decorations	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580016001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	1744.814 KB	2350	3600	0x7EB8F80E	RGB	asc99990000580016001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/15	15	16.jp2	/scbooks/image/16.jp2
Plate XII, Ornament over doorway at the entrance, Court of the Lions.  vol. 2	Ornement au-dessus des arcs, à l'entrée de la Cour des Lions					Plate XII offers one color illustration of the decorations over the doorway at the entrance of the Court of the Lions. See also Plate 28, vol. 1, for more details		Alhambra (Granada, Spain) -- Court of the Lions; Decorations; Arches; Doors	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580017001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	1420.471 KB	2350	3600	0xB26E40C4	RGB	asc99990000580017001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/16	16	17.jp2	/scbooks/image/17.jp2
Plate XIII, Ornament in doorway at the entrance to the Ventana, Hall of the Two Sisters, vol. 2	Ornement sur un jambae d'are à l'entrée de la Ventana, Salle des Deux Sœurs					Plate XIII offers a color illustration of the decorations in the doorway at the entrance of one of the areas of the Hall of the Two Sisters		Alhambra (Granada, Spain) -- Hall of the Two Sisters; Decorations; Doors	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580018001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	2152.359 KB	2350	3600	0x6C1C6F95	RGB	asc99990000580018001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/17	17	18.jp2	/scbooks/image/18.jp2
Plate XIV, Ornament on the side window, upper story, Hall of the Two Sisters, vol. 2	Ornement aux côtés des fenêtres, étage supérieur de la Salle des Deux Sœurs					Plate XIV offers a color illustration of the decorations on the second story side window in the Hall of the Two Sisters. See also Plate 20, vol. 1, for more details		Alhambra (Granada, Spain) -- Hall of the Two Sisters; Decorations; Windows	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580019001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	2312.795 KB	2350	3600	0x2DE086E4	RGB	asc99990000580019001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/18	18	19.jp2	/scbooks/image/19.jp2
Plate XV, Ornaments in spandrils of arches, Hall of the Two Sisters. Ornaments in spandrils of arches, Hall of the Abencerrages, vol. 2	Ornements dans des tympans d'arc, Salle des Deux Sœurs. Ornements dans des tympans d'arc, Salle des Abencerrages					Plate XV offers two color illustrations. Left: Ornaments in spandrils of arches in the Hall of the Two Sisters (see also Plate 21, vol. 1, for for details). Right: Ornaments in spandrils of arches in the Hall of the Abencerrages		Alhambra (Granada, Spain) -- Hall of the Two Sisters; Alhambra (Granada, Spain) -- Hall of the Abencerrages; Decorations; Arches	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580020001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	2053.771 KB	3600	2350	0xDD140694	RGB	asc99990000580020001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/19	19	20.jp2	/scbooks/image/20.jp2
Plate XVI, Ornaments in panels, Hall of the Ambassadors, vol. 2	Ornement dans des panneaux, Salle des Ambassadeurs					Plate XVI offers a color illustration of decorations on the panels in the Hall of the Ambassadors		Alhambra (Granada, Spain) -- Hall of the Ambassadors; Decorations; Paneling	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580021001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	1734.667 KB	2350	3600	0x1F5D060C	RGB	asc99990000580021001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/20	20	21.jp2	/scbooks/image/21.jp2
Plate XVII, Ornaments in panels, Court of the Mosque, vol. 2	Ornement dans des panneaux, Cour de la Mosquée					Plate XVII offers a color illustration of the decorated panels in the Court of the Mosque		Alhambra (Granada, Spain) -- Court of the Mosque; Decorations; Paneling	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580022001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	2273.542 KB	2350	3600	0xED9DCF25	RGB	asc99990000580022001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/21	21	22.jp2	/scbooks/image/22.jp2
Plate XVIII, Ornament over arches at the entrance to the Court of the Lions, vol. 2	Ornement au-dessus des arcs, à l'entrée de la Cour des Lions					Plate XVIII offers a color illustration of decorations over the arches at the entrance to the Court of the Lions. See also Plate XIII, vol. 1, for more details		Alhambra (Granada, Spain) -- Court of the Lions; Decorations; Arches	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580023001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	2448.811 KB	2350	3600	0xEC4C11B8	RGB	asc99990000580023001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/22	22	23.jp2	/scbooks/image/23.jp2
Plate XIX, Ornament on the walls, Hall of the Abencerrages, vol. 2	Ornement sur les murs, Salle des Abencerages					Plate XIX offers a color illustration of decorations on the walls of the Hall of the Abencerrages. See also Plate XV, vol. 1, for more details		Alhambra (Granada, Spain) -- Hall of the Abencerrages; Decorations; Walls	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580024001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	2319.26 KB	2350	3600	0xEC07F194	RGB	asc99990000580024001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/23	23	24.jp2	/scbooks/image/24.jp2
Plate XX, Ornament in panels on the walls, Court of the Mosque, vol. 2	Ornement dans des panneaux sur les murs, Cour de la Mosquée					Plate XX offers a color illustration of the decorated panels on the walls in the Court of the Mosque		Alhambra (Granada, Spain) -- Court of the Mosque; Decorations; Paneling; Walls	Drawings; Engravings								NA387.G64 1842		1 p. ; 69 cm.	eng, fre	oxe														asc99990000580025001		Goury, Jules and Owen Jones. Plans, elevations, sections, and details of the Alhambra, from drawings taken on the spot in 1834 by Jules Goury, and in 1834 and 1837 by Owen Jones : with a complete translation of the Arabic inscriptions, and an historical notice of the kings of Granada from the conquest of that city by the Arabs to the expulsion of the Moors, by Pasqual de Gayangos. London: O. Jones, 1842-1845. Volume II.	Text	image/tiff	Captiva Imaging		Nikon D200	Photoshop CS2	48 bit color	300ppi	2147.637 KB	2350	3600	0xC91B53A2	RGB	asc99990000580025001.tif		2012-04-19	2012-04-19	http://merrick.library.miami.edu:80/cdm/ref/collection/scbooks/id/24	24	25.jp2	/scbooks/image/25.jp2
